'n	ə AL n AG
konzentrieren	k AC ɔ AN n AG t AC s AJ ɛ AL n AG t AC ʀ BB iː AM ʀ BB ə AL n AG
konzentriert	k AC ɔ AN n AG t AC s AJ ɛ AL n AG t AC ʁ AJ iː AM ɐ̯ t AC
konzepte	k AC ɔ AN n AG t AC s AJ ɛ AL p AH t AC ə AL
konzern	k AC ɔ AN n AG t AC s AJ ɛ AL ʁ AJ n AG
konzert	k AC ɔ AN n AG t AC s AJ ɛ AL ɐ̯ t AC
konzertant	k AC ɔ AN n AG t AC s AJ ɛ AL ʁ AJ t AC a AL n AG t AC
konzertflügel	k AC ɔ AN n AG t AC s AJ ɛ AL ʁ AJ t AC f BC l AE yː BA ɡ AC l̩ BI
konzerthaus	k AC ɔ AN n AG t AC s AJ ɛ AL ʁ AJ t AC h AA a AL ʊ̯ BF s AJ
konzertiert	k AC ɔ AN n AG t AC s AJ ɛ AL ʁ AJ t AC iː AM ɐ̯ t AC
konzertmeister	k AC ɔ AN n AG t AC s AJ ɛ AL ɐ̯ t AC m AF a AL ɪ̯ AB s AJ t AC ɐ AN
konzessiv	k AC ɔ AN n AG t AC s AJ ɛ AL s AJ iː AM f BC
konzessivsatz	k AC ɔ AN n AG t AC s AJ ɛ AL s AJ iː AM f BC z AJ a AL t AC s AJ
konzil	k AC ɔ AN n AG t AC s AJ iː AM l AE
konzipieren	k AC ɔ AN n AG t AC s AJ i AL p AH iː AM ʁ AJ ə AL n AG
koofmich	k AC oː BA f BC m AF ɪ AL ç l̩ BI
koog	k AC oː BA x AJ
kooperieren	k AC o AN ʔ AK ɔ AN p AH ə AL ʀ BB iː AM ʀ BB ə AL n AG
kopeke	k AC o AN p AH eː AM k AC ə AL
kopenhagen	k AC ɔ AN p AH ə AL n AG h AA aː AM ɡ AC ə AL n AG
kopf	k AC ɔ AN p AH f BC
kopfballstark	k AC ɔ AN p AH f BC b AH a AL l AE ʃ AJ t AC a AL ʁ AJ k AC
kopfbewegung	k AC ɔ AN p AH f BC b AH ə AL v BC eː AM ɡ AC ʊ AN ŋ AG
kopfes	k AC ɔ AN p AH f BC ə AL s AJ
kopfgeld	k AC ɔ AN p AH f BC ɡ AC ɛ AL l AE t AC
kopfgeldjäger	k AC ɔ AN p AH f BC ɡ AC ɛ AL l AE t AC j AB ɛː AM ɡ AC ɐ AN
kopfgrind	k AC ɔ AN p AH f BC ɡ AC ʁ AJ ɪ AL n AG t AC
kopfhörer	k AC ɔ AN p AH f BC h AA øː BA ʀ BB ɐ AN
kopfkino	k AC ɔ AN p AH f BC k AC iː AM n AG o AN
kopfkissen	k AC ɔ AN p AH f BC k AC ɪ AL s AJ n̩ BH
kopflastig	k AC ɔ AN p AH f BC l AE a AL s AJ t AC ɪ AL ç
kopflaus	k AC ɔ AN p AH f BC l AE a AL ʊ̯ BF s AJ
kopflos	k AC ɔ AN p AH f BC l AE oː BA s AJ
kopflosigkeit	k AC ɔ AN p AH f BC l AE oː BA z AJ ɪ AL ç k AC a AL ɪ̯ AB t AC
kopfläuse	k AC ɔ AN p AH f BC l AE ɔ AN ɪ̯ AB z AJ ə AL
kopfnuss	k AC ɔ AN p AH f BC n AG ʊ AN s AJ
kopfnüsse	k AC ɔ AN p AH f BC n AG ʏ AN s AJ ə AL
kopfputz	k AC ɔ AN p AH f BC p AH ʊ AN t AC s AJ
kopfs	k AC ɔ AN p AH f BC s AJ
kopfsalat	k AC ɔ AN p AH f BC z AJ a AL l AE aː AM t AC
kopfscheu	k AC ɔ AN p AH f BC ʃ AJ ɔ AN ɪ̯ AB
kopfschütteln	k AC ɔ AN p AH f BC ʃ AJ ʏ AN t AC l̩ BI n AG
kopfsteinstrassen	k AC ɔ AN p AH f BC ʃ AJ t AC a AL ɪ̯ AB n AG ʃ AJ t AC r BB aː AM s AJ ə AL n AG
kopftuch	k AC ɔ AN p AH f BC t AC uː BA χ AJ
kopftuchmädchen	k AC ɔ AN p AH f BC t AC uː BA x AJ m AF ɛː AM t AC ç ə AL n AG
kopfwort	k AC ɔ AN p AH f BC v BC ɔ AN ʁ AJ t AC
kopie	k AC o AN p AH iː AM
kopien	k AC o AN p AH iː AM ə AL n AG
kopieren	k AC o AN p AH iː AM ʀ BB ə AL n AG
kopierer	k AC o AN p AH iː AM ʁ AJ ə AL ʁ AJ
kopp	k AC ɔ AN p AH
koppeln	k AC ɔ AN p AH ə AL l AE n AG
kopplung	k AC ɔ AN p AH l AE ʊ AN ŋ AG
koralle	k AC o AN r BB a AL l AE ə AL
koran	k AC o AN ʁ AJ aː AM n AG
koranisch	k AC o AN ʀ BB aː AM n AG ɪ AL ʃ AJ
korb	k AC ɔ AN ɐ̯ p AH
korbblüte	k AC ɔ AN ɐ̯ p AH b AH l AE yː BA t AC ə AL
korbblüten	k AC ɔ AN ɐ̯ p AH b AH l AE yː BA t AC ə AL n AG
korbblütengewächs	k AC ɔ AN ɐ̯ p AH b AH l AE yː BA t AC ə AL n AG ɡ AC ə AL v BC ɛ AL k AC s AJ
korbblütengewächse	k AC ɔ AN ɐ̯ p AH b AH l AE yː BA t AC ə AL n AG ɡ AC ə AL v BC ɛ AL k AC s AJ ə AL
korbblütengewächses	k AC ɔ AN ɐ̯ p AH b AH l AE yː BA t AC ə AL n AG ɡ AC ə AL v BC ɛ AL k AC s AJ ə AL s AJ
korbblütler	k AC ɔ AN ɐ̯ p AH b AH l AE yː BA t AC l AE ɐ AN
korbblütlers	k AC ɔ AN ɐ̯ p AH b AH l AE yː BA t AC l AE ɐ AN s AJ
korbmacher	k AC ɔ AN r BB p AH m AF a AL x AJ ɐ AN
korbware	k AC ɔ AN ɐ̯ p AH v BC aː AM ʁ AJ ə AL
korbwaren	k AC ɔ AN ɐ̯ p AH v BC aː AM ʁ AJ ə AL n AG
kordel	k AC ɔ AN ʁ AJ d AC l̩ BI
kordeln	k AC ɔ AN ʁ AJ d AC l̩ BI n AG
korea	k AC o AN ʀ BB eː AM aː AM
koreakrieg	k AC o AN ʁ AJ eː AM a AL k AC ʁ AJ iː AM k AC
koreanisch	k AC o AN ʁ AJ e AL aː AM n AG ɪ AL ʃ AJ
koreanistik	k AC o AN ʁ AJ e AL a AL n AG ɪ AL s AJ t AC ɪ AL k AC
korinthenkacker	k AC o AN r BB ɪ AL n AG t AC ə AL n AG k AC a AL k AC ɐ AN
kork	k AC ɔ AN ʁ AJ k AC
korken	k AC ɔ AN r BB k AC ə AL n AG
korkig	k AC ɔ AN ʁ AJ k AC ɪ AL ç
korn	k AC ɔ AN r BB n AG
kornblume	k AC ɔ AN ʁ AJ n AG b AH l AE uː BA m AF ə AL
kornblumenblau	k AC ɔ AN ʁ AJ n AG b AH l AE uː BA m AF ə AL n AG b AH l AE a AL ʊ̯ BF
kornisch	k AC ɔ AN ʁ AJ n AG ɪ AL ʃ AJ
korona	k AC o AN ʀ BB oː BA n AG a AL
koronal	k AC o AN ʀ BB o AN n AG aː AM l AE
koronar	k AC o AN ʀ BB o AN n AG aː AM ɐ̯
korporal	k AC ɔ AN ʁ AJ p AH o AN ʁ AJ aː AM l AE
korporiert	k AC ɔ AN ʁ AJ p AH o AN ʀ BB iː AM ɐ̯ t AC
korps	k AC oː BA r BB s AJ
korpus	k AC ɔ AN ʁ AJ p AH ʊ AN s AJ
korrekt	k AC ɔ AN ʁ AJ ɛ AL k AC t AC
korrektiv	k AC ɔ AN ʀ BB ɛ AL k AC t AC iː AM f BC
korrekturfahne	k AC ɔ AN ʀ BB ɛ AL k AC t AC uː BA ɐ̯ f BC aː AM n AG ə AL
korrekturleser	k AC ɔ AN ʁ AJ ɛ AL k AC t AC uː BA ɐ̯ l AE eː AM z AJ ɐ AN
korrespondent	k AC ɔ AN ʁ AJ ɛ AL s AJ p AH ɔ AN n AG d AC ɛ AL n AG t AC
korrespondentin	k AC ɔ AN ʁ AJ ɛ AL s AJ p AH ɔ AN n AG d AC ɛ AL n AG t AC ɪ AL n AG
korrespondenz	k AC ɔ AN ʀ BB ɛ AL s AJ p AH ɔ AN n AG d AC ɛ AL n AG t AC s AJ
korrespondieren	k AC ɔ AN ʁ AJ ɛ AL s AJ p AH ɔ AN n AG d AC iː AM ʁ AJ ə AL n AG
korridor	k AC ɔ AN ʁ AJ i AL d AC oː BA ɐ̯
korrigierbar	k AC ɔ AN ʁ AJ i AL ɡ AC iː AM ʀ BB b AH aː AM ɐ̯
korrigieren	k AC ɔ AN ʁ AJ i AL ɡ AC iː AM ʁ AJ ə AL n AG
korrumpierbar	k AC ɔ AN ʀ BB ʊ AN m AF p AH iː AM ɐ̯ b AH aː AM ɐ̯
korrumpieren	k AC ɔ AN ʀ BB ʊ AN m AF p AH iː AM ʀ BB ə AL n AG
korrupt	k AC ɔ AN ʁ AJ ʊ AN p AH t AC
korsika	k AC ɔ AN ɐ̯ z AJ i AL k AC aː AM
korso	k AC ɔ AN ʁ AJ z AJ o AN
kortikal	k AC ɔ AN ʁ AJ t AC i AL k AC aː AM l AE
koryphäe	k AC ɔ AN ʁ AJ y AN f BC ɛː AM ə AL
kos	k AC oː BA s AJ
kosakisch	k AC o AN z AJ a AL k AC ɪ AL ʃ AJ
kose	k AC oː BA z AJ ə AL
kosen	k AC oː BA z AJ n̩ BH
koset	k AC oː BA z AJ ə AL t AC
kosewort	k AC oː BA z AJ ə AL v BC ɔ AN ʁ AJ t AC
kosmetisch	k AC ɔ AN s AJ m AF eː AM t AC ɪ AL ʃ AJ
kosmodrom	k AC ɔ AN s AJ m AF o AN d AC ʁ AJ oː BA m AF
kosovarisch	k AC ɔ AN s AJ o AN v BC aː AM ʀ BB ɪ AL ʃ AJ
kosovo	k AC ɔ AN s AJ o AN v BC o AN
kost	k AC oː BA s AJ t AC
koste	k AC ɔ AN s AJ t AC ə AL
kosten	k AC ɔ AN s AJ t AC ə AL n AG
kostendeckend	k AC ɔ AN s AJ t AC n̩ BH d AC ɛ AL k AC n̩ BH t AC
kostenfrei	k AC ɔ AN s AJ t AC n̩ BH f BC ʀ BB a AL ɪ̯ AB
kostengünstig	k AC ɔ AN s AJ t AC n̩ BH ɡ AC ʏ AN n AG s AJ t AC ɪ AL ç
kostenlos	k AC ɔ AN s AJ t AC n̩ BH l AE oː BA s AJ
kostenmässig	k AC ɔ AN s AJ t AC n̩ BH m AF ɛː AM s AJ ɪ AL ç
kostenpflichtig	k AC ɔ AN s AJ t AC n̩ BH p AH f BC l AE ɪ AL ç t AC ɪ AL ç
kostenträger	k AC ɔ AN s AJ t AC n̩ BH t AC ʁ AJ ɛː AM ɡ AC ɐ AN
kostest	k AC ɔ AN s AJ t AC ə AL s AJ t AC
kostet	k AC ɔ AN s AJ t AC ə AL t AC
kostspielig	k AC ɔ AN s AJ t AC ʃ AJ p AH iː AM l AE ɪ AL ç
kostüm	k AC ɔ AN s AJ t AC yː BA m AF
kot	k AC oː BA t AC
kotelett	k AC ɔ AN t AC l AE ɛ AL t AC
kotelette	k AC ɔ AN t AC l AE ɛ AL t AC ə AL
koteletten	k AC ɔ AN t AC l AE ɛ AL t AC ə AL n AG
koteletts	k AC ɔ AN t AC l AE ɛ AL t AC s AJ
koten	k AC oː BA t AC ə AL n AG
kotflügel	k AC oː BA t AC f BC l AE yː BA ɡ AC ə AL l AE
kotieren	k AC o AN t AC iː AM ʁ AJ ə AL n AG
kotstecher	k AC oː BA t AC ʃ AJ t AC ɛ AL ç ɐ AN
kotze	k AC ɔ AN t AC s AJ ə AL
kotzen	k AC ɔ AN t AC s AJ ə AL n AG
kotzübel	k AC ɔ AN t AC s AJ ʔ AK yː BA b AH l̩ BI
kozi	k AC oː BA t AC s AJ i AL
krabbe	k AC ʁ AJ a AL b AH ə AL
krabbeln	k AC ʁ AJ a AL b AH ə AL l AE n AG
krach	k AC ʁ AJ a AL x AJ
krache	k AC ʀ BB a AL χ AJ ə AL
kracke	k AC r BB a AL k AC ə AL
kraft	k AC ʁ AJ a AL f BC t AC
kraftakt	k AC ʁ AJ a AL f BC t AC a AL k AC t AC
kraftausdruck	k AC ʁ AJ a AL f BC t AC ʔ AK a AL ʊ̯ BF s AJ d AC ʁ AJ ʊ AN k AC
kraftfahrzeug	k AC ʀ BB a AL f BC t AC f BC aː AM ɐ̯ t AC s AJ ɔ AN ɪ̯ AB k AC
kraftlos	k AC ʀ BB a AL f BC t AC l AE oː BA s AJ
kraftraubend	k AC ʁ AJ a AL f BC t AC ʁ AJ a AL ʊ̯ BF b AH n̩ BH t AC
kraftraum	k AC ʁ AJ a AL f BC t AC ʁ AJ a AL ʊ̯ BF m AF
kraftvergeudung	k AC ʀ BB a AL f BC t AC f BC ɛ AL ɐ̯ ɡ AC ɔ AN ɪ̯ AB d AC ʊ AN ŋ AG
kraftvoll	k AC ʀ BB a AL f BC t AC f BC ɔ AN l AE
kraftwerk	k AC ʀ BB a AL f BC t AC v BC ɛ AL ʁ AJ k AC
kraftwerke	k AC ʀ BB a AL f BC t AC v BC ɛ AL ʁ AJ k AC ə AL
kraftwort	k AC ʁ AJ a AL f BC t AC v BC ɔ AN ʁ AJ t AC
kragen	k AC r BB aː AM ɡ AC ə AL n AG
kragenlos	k AC ʀ BB aː AM ɡ AC n̩ BH l AE oː BA s AJ
krake	k AC ʁ AJ aː AM k AC ə AL
krakeelen	k AC ʁ AJ a AL k AC eː AM l AE ə AL n AG
krakeelig	k AC ʁ AJ a AL k AC eː AM l AE ɪ AL ç
krakeln	k AC ʁ AJ aː AM k AC ə AL l AE n AG
kralle	k AC ʁ AJ a AL l AE ə AL
kram	k AC ʁ AJ aː AM m AF
krampf	k AC ʁ AJ a AL m AF p AH f BC
krampfader	k AC ʁ AJ a AL m AF p AH f BC ʔ AK aː AM d AC ɐ AN
krampfen	k AC ʁ AJ a AL m AF p AH f BC n̩ BH
krampfhaft	k AC ʀ BB a AL m AF p AH f BC h AA a AL f BC t AC
krampfig	k AC ʀ BB a AL m AF p AH f BC ɪ AL ç
krampus	k AC ʁ AJ a AL m AF p AH ʊ AN s AJ
kran	k AC ʁ AJ aː AM n AG
kranbeere	k AC ʁ AJ aː AM n AG b AH eː AM ʁ AJ ə AL
kraneberger	k AC ʁ AJ aː AM n AG ə AL b AH ɛ AL ɐ̯ ɡ AC ɐ AN
kranial	k AC ʁ AJ a AL n AG i AL aː AM l AE
kranich	k AC ʁ AJ aː AM n AG ɪ AL ç
kranichzug	k AC ʁ AJ aː AM n AG ɪ AL ç t AC s AJ uː BA k AC
krank	k AC ʁ AJ a AL ŋ AG k AC
krankenbett	k AC ʁ AJ a AL ŋ AG k AC n̩ BH b AH ɛ AL t AC
krankenhaus	k AC ʁ AJ a AL ŋ AG k AC ə AL n AG h AA a AL ʊ̯ BF s AJ
krankenhäuser	k AC ʀ BB a AL ŋ AG k AC n̩ BH h AA ɔ AN ɪ̯ AB z AJ ɐ AN
krankensalbung	k AC ʁ AJ a AL ŋ AG k AC n̩ BH z AJ a AL l AE b AH ʊ AN ŋ AG
krankenversichert	k AC ʀ BB a AL ŋ AG k AC n̩ BH f BC ɛ AL ɐ̯ z AJ ɪ AL ç ɐ AN t AC
krankenversicherung	k AC ʁ AJ a AL ŋ AG k AC n̩ BH f BC ɛ AL ɐ̯ z AJ ɪ AL ç ə AL ʁ AJ ʊ AN ŋ AG
krankhaft	k AC ʁ AJ a AL ŋ AG k AC h AA a AL f BC t AC
krankschreiben	k AC ʁ AJ a AL ŋ AG k AC ʃ AJ ʁ AJ a AL ɪ̯ AB b AH n̩ BH
kranz	k AC ʁ AJ a AL n AG t AC s AJ
kranze	k AC ʁ AJ a AL n AG t AC s AJ ə AL
kranzes	k AC ʀ BB a AL n AG t AC s AJ ə AL s AJ
kranzförmig	k AC ʁ AJ a AL n AG t AC s AJ f BC œ AN ʁ AJ m AF ɪ AL ç
krapfen	k AC ʀ BB a AL p AH f BC ɱ̩
krapp	k AC r BB a AL p AH
krass	k AC ʁ AJ a AL s AJ
krasser	k AC ʀ BB a AL s AJ ɐ AN
krassesten	k AC ʀ BB a AL s AJ ə AL s AJ t AC ə AL n AG
krattler	k AC r BB a AL t AC l AE ɐ AN
kratze	k AC ʁ AJ a AL t AC s AJ ə AL
kratzen	k AC ʀ BB a AL t AC s AJ n̩ BH
kratzer	k AC ʁ AJ a AL t AC s AJ ə AL ʁ AJ
kratzfest	k AC ʁ AJ a AL t AC s AJ f BC ɛ AL s AJ t AC
kratzig	k AC ʁ AJ a AL t AC s AJ ɪ AL ç
krause	k AC r BB a AL ʊ̯ BF z AJ ə AL
kraut	k AC ʁ AJ a AL ʊ̯ BF t AC
krautig	k AC ʀ BB a AL ʊ̯ BF t AC ɪ AL ç
krawatte	k AC ʀ BB a AL v BC a AL t AC ə AL
kreation	k AC ʁ AJ eː AM a AL t AC s AJ j AB oː BA n AG
kreationist	k AC ʁ AJ e AL a AL t AC s AJ ɪ̯ AB o AN n AG ɪ AL s AJ t AC
kreationistin	k AC ʁ AJ e AL a AL t AC s AJ ɪ̯ AB o AN n AG ɪ AL s AJ t AC ɪ AL n AG
kreativ	k AC r BB ɛ AL a AL t AC iː AM f BC
kreativität	k AC ʁ AJ e AL a AL t AC i AL v BC i AL t AC ɛː AM t AC
krebs	k AC ʁ AJ ɛ AL p AH s AJ
kredenzen	k AC ʁ AJ e AL d AC ɛ AL n AG t AC s AJ n̩ BH
kredibel	k AC ʀ BB e AL d AC iː AM b AH l̩ BI
kredit	k AC ʁ AJ e AL d AC ɪ AL t AC
kredithai	k AC ʁ AJ e AL d AC iː AM t AC h AA a AL ɪ̯ AB
kreditinstitut	k AC ʁ AJ e AL d AC iː AM t AC ɪ AL n AG s AJ t AC i AL t AC uː BA t AC
kreditkartennummer	k AC ʁ AJ e AL d AC iː AM t AC k AC a AL ʁ AJ t AC n̩ BH n AG ʊ AN m AF ɐ AN
kreditorisch	k AC ʀ BB e AL d AC i AL t AC oː BA ʀ BB ɪ AL ʃ AJ
kreditwürdig	k AC ʁ AJ e AL d AC ɪ AL t AC v BC ʏ AN ʁ AJ d AC ɪ AL ç
krefeld	k AC ʁ AJ eː AM f BC ɛ AL l AE t AC
kreide	k AC ʁ AJ a AL ɪ̯ AB d AC ə AL
kreidehaltig	k AC ʀ BB a AL ɪ̯ AB d AC ə AL h AA a AL l AE t AC ɪ AL ç
kreiden	k AC ʀ BB a AL ɪ̯ AB d AC n̩ BH
kreideweiss	k AC ʁ AJ a AL ɪ̯ AB d AC ə AL v BC a AL ɪ AL s AJ
kreidig	k AC ʁ AJ a AL ɪ̯ AB d AC ɪ AL ç
kreieren	k AC ʁ AJ e AL ʔ AK iː AM ʁ AJ ə AL n AG
kreis	k AC r BB a AL ɪ̯ AB s AJ
kreisbogen	k AC r BB a AL ɪ̯ AB s AJ b AH oː BA ɡ AC ə AL n AG
kreischen	k AC ʀ BB a AL ɪ̯ AB ʃ AJ ə AL n AG
kreisdurchmesser	k AC r BB a AL ɪ̯ AB s AJ d AC ʊ AN ʁ AJ ç m AF ɛ AL s AJ ɐ AN
kreise	k AC ʀ BB a AL ɪ̯ AB z AJ ə AL
kreisel	k AC ʁ AJ a AL ɪ̯ AB z AJ l̩ BI
kreiselegge	k AC ʁ AJ a AL ɪ̯ AB z AJ l̩ BI ɛ AL ɡ AC ə AL
kreiselpumpe	k AC ʁ AJ a AL ɪ̯ AB z AJ l̩ BI p AH ʊ AN m AF p AH ə AL
kreisen	k AC ʀ BB a AL ɪ̯ AB z AJ ə AL n AG
kreisfläche	k AC r BB a AL ɪ̯ AB s AJ f BC l AE ɛ AL ç ə AL
kreisfrei	k AC ʀ BB a AL ɪ̯ AB s AJ f BC ʀ BB a AL ɪ̯ AB
kreisförmig	k AC ʁ AJ a AL ɪ̯ AB s AJ f BC œ AN ʁ AJ m AF ɪ AL ç
kreiskonstante	k AC r BB a AL ɪ̯ AB s AJ k AC ɔ AN n AG s AJ t AC a AL n AG t AC ə AL
kreisrund	k AC ʀ BB a AL ɪ̯ AB s AJ ʀ BB ʊ AN n AG t AC
kreissehne	k AC r BB a AL ɪ̯ AB s AJ z AJ eː AM n AG ə AL
kreisssaal	k AC ʁ AJ a AL ɪ̯ AB s AJ z AJ aː AM l AE
kreisstadt	k AC ʁ AJ a AL ɪ̯ AB s AJ ʃ AJ t AC a AL t AC
kreisumfang	k AC r BB a AL ɪ̯ AB s AJ ʊ AN m AF f BC a AL ŋ AG
kreisverkehr	k AC ʁ AJ a AL ɪ̯ AB s AJ f BC ɛ AL ɐ̯ k AC eː AM ɐ̯
kreiswinkel	k AC r BB a AL ɪ̯ AB s AJ v BC ɪ AL ŋ AG k AC ə AL l AE
kreiswinkels	k AC r BB a AL ɪ̯ AB s AJ v BC ɪ AL ŋ AG k AC ə AL l AE s AJ
kreiszahl	k AC r BB a AL ɪ̯ AB s AJ t AC s AJ aː AM l AE
krem	k AC ʁ AJ eː AM m AF
krematorium	k AC ʁ AJ e AL m AF a AL t AC oː BA ʁ AJ i AL ʊ AN m AF
kreme	k AC ʁ AJ eː AM m AF ə AL
krempe	k AC ʁ AJ ɛ AL m AF p AH ə AL
krempel	k AC ʁ AJ ɛ AL m AF p AH l̩ BI
kren	k AC r BB eː AM n AG
kreolisch	k AC ʀ BB e AL oː BA l AE ɪ AL ʃ AJ
krepp	k AC ʁ AJ ɛ AL p AH
kresse	k AC ʁ AJ ɛ AL s AJ ə AL
kreta	k AC ʁ AJ eː AM t AC a AL
kretazisch	k AC ʁ AJ e AL t AC aː AM t AC s AJ ɪ AL ʃ AJ
kreter	k AC ʁ AJ eː AM t AC ɐ AN
kretisch	k AC ʀ BB eː AM t AC ɪ AL ʃ AJ
kretscham	k AC r BB ɛ AL t AC ʃ AJ a AL m AF
kretschmer	k AC r BB ɛ AL t AC ʃ AJ m AF ɐ AN
kretschmers	k AC ʁ AJ ɛ AL t AC ʃ AJ m AF ɐ AN s AJ
kreuz	k AC ʁ AJ ɔ AN ʏ̯ t AC s AJ
kreuzass	k AC ʁ AJ ɔ AN ɪ̯ AB t AC s AJ ʔ AK a AL s AJ
kreuzbein	k AC ʁ AJ ɔ AN ɪ̯ AB t AC s AJ b AH a AL ɪ̯ AB n AG
kreuzbrav	k AC ʁ AJ ɔ AN ʏ̯ t AC s AJ b AH ʁ AJ aː AM f BC
kreuzchen	k AC ʁ AJ ɔ AN ʏ̯ t AC s AJ ç ə AL n AG
kreuzen	k AC ʁ AJ ɔ AN ʏ̯ t AC s AJ ə AL n AG
kreuzer	k AC ʁ AJ ɔ AN ʏ̯ t AC s AJ ɐ AN
kreuzfahrt	k AC ʀ BB ɔ AN ɪ̯ AB t AC s AJ f BC aː AM ɐ̯ t AC
kreuzfahrtschiff	k AC ʀ BB ɔ AN ɪ̯ AB t AC s AJ f BC aː AM ɐ̯ t AC ʃ AJ ɪ AL f BC
kreuzfidel	k AC ʁ AJ ɔ AN ʏ̯ t AC s AJ f BC i AL d AC eː AM l AE
kreuzförmig	k AC ʁ AJ ɔ AN ʏ̯ t AC s AJ f BC œ AN ʁ AJ m AF ɪ AL ç
kreuzgefährlich	k AC ʁ AJ ɔ AN ɪ̯ AB t AC s AJ ɡ AC ə AL f BC ɛː AM ɐ̯ l AE ɪ AL ç
kreuzgefährliche	k AC ʁ AJ ɔ AN ɪ̯ AB t AC s AJ ɡ AC ə AL f BC ɛː AM ɐ̯ l AE ɪ AL ç ə AL
kreuzgefährlichem	k AC ʁ AJ ɔ AN ɪ̯ AB t AC s AJ ɡ AC ə AL f BC ɛː AM ɐ̯ l AE ɪ AL ç m̩ BG
kreuzlahm	k AC ʁ AJ ɔ AN ʏ̯ t AC s AJ l AE aː AM m AF
kreuzotter	k AC ʁ AJ ɔ AN ɪ̯ AB t AC s AJ ʔ AK ɔ AN t AC ɐ AN
kreuzritter	k AC ʁ AJ ɔ AN ʏ̯ t AC s AJ ʁ AJ ɪ AL t AC ɐ AN
kreuzung	k AC ʁ AJ ɔ AN ɪ̯ AB t AC s AJ ʊ AN ŋ AG
kreuzweg	k AC ʁ AJ ɔ AN ɪ̯ AB t AC s AJ v BC eː AM k AC
kreuzzeichen	k AC ʁ AJ ɔ AN ʏ̯ t AC s AJ t AC s AJ a AL ɪ̯ AB ç ə AL n AG
kreuzzug	k AC ʁ AJ ɔ AN ʏ̯ t AC s AJ t AC s AJ uː BA k AC
kribbeln	k AC ʁ AJ ɪ AL b AH ə AL l AE n AG
krickente	k AC r BB ɪ AL k AC ɛ AL n AG t AC ə AL
krieche	k AC r BB iː AM ç ə AL
kriechen	k AC ʀ BB iː AM ç ə AL n AG
kriechtier	k AC ʁ AJ iː AM ç t AC iː AM ɐ̯
krieg	k AC ʁ AJ iː AM k AC
kriegen	k AC ʀ BB iː AM ɡ AC ə AL n AG
krieger	k AC ʁ AJ iː AM ɡ AC ɐ AN
kriegerin	k AC ʁ AJ iː AM ɡ AC ə AL ʁ AJ ɪ AL n AG
kriegerisch	k AC ʀ BB iː AM ɡ AC ə AL ʀ BB ɪ AL ʃ AJ
kriegern	k AC ʁ AJ iː AM ɡ AC ɐ AN n AG
kriegers	k AC ʁ AJ iː AM ɡ AC ɐ AN s AJ
kriegsbemalung	k AC ʀ BB iː AM k AC s AJ b AH ə AL m AF aː AM l AE ʊ AN ŋ AG
kriegsbemalungen	k AC ʀ BB iː AM k AC s AJ b AH ə AL m AF aː AM l AE ʊ AN ŋ AG ə AL n AG
kriegsbeschädigt	k AC ʀ BB iː AM k AC s AJ b AH ə AL ʃ AJ ɛː AM d AC ɪ AL ç t AC
kriegsentscheidend	k AC ʀ BB iː AM k AC s AJ ɛ AL n AG t AC ʃ AJ a AL ɪ̯ AB d AC ə AL n AG t AC
kriegsgebeutelt	k AC ʀ BB iː AM ɡ AC s AJ ɡ AC ə AL b AH ɔ AN ɪ̯ AB t AC l̩ BI t AC
kriegsgeplagt	k AC ʀ BB iː AM k AC s AJ ɡ AC ə AL p AH l AE aː AM k AC t AC
kriegsgewohnt	k AC ʁ AJ iː AM k AC s AJ ɡ AC ə AL v BC oː BA n AG t AC
kriegsgott	k AC ʁ AJ iː AM k AC s AJ ɡ AC ɔ AN t AC
kriegskunst	k AC ʁ AJ iː AM k AC s AJ k AC ʊ AN n AG s AJ t AC
kriegsmacht	k AC ʁ AJ iː AM k AC s AJ m AF a AL x AJ t AC
kriegsmüde	k AC ʀ BB iː AM k AC s AJ m AF yː BA d AC ə AL
kriegsnebel	k AC ʁ AJ iː AM k AC s AJ n AG eː AM b AH l̩ BI
kriegsschauplatz	k AC ʀ BB iː AM k AC s AJ ʃ AJ a AL ʊ̯ BF p AH l AE a AL t AC s AJ
kriegsschiff	k AC ʀ BB iː AM k AC s AJ ʃ AJ ɪ AL f BC
kriegsschuld	k AC ʁ AJ iː AM k AC s AJ ʃ AJ ʊ AN l AE t AC
kriegst	k AC ʁ AJ ɪ AL s AJ t AC
kriegstüchtig	k AC ʀ BB iː AM k AC s AJ t AC ʏ AN ç t AC ɪ AL ç
kriegsversehrt	k AC ʀ BB iː AM k AC s AJ f BC ɛ AL ɐ̯ z AJ eː AM ɐ̯ t AC
kriegswaffenähnlich	k AC ʁ AJ iː AM k AC s AJ v BC a AL f BC n̩ BH ɛː AM n AG l AE ɪ AL ç
kriegswichtig	k AC ʀ BB iː AM k AC s AJ v BC ɪ AL ç t AC ɪ AL ç
kriegszerstört	k AC ʁ AJ iː AM k AC s AJ t AC s AJ ɛ AL ɐ̯ ʃ AJ t AC øː BA ɐ̯ t AC
kriegszitterer	k AC ʁ AJ iː AM k AC s AJ t AC s AJ ɪ AL t AC ə AL ʁ AJ ɐ AN
kriegt	k AC ʁ AJ ɪ AL ç t AC
krimi	k AC r BB ɪ AL m AF i AL
kriminal	k AC ʁ AJ i AL m AF i AL n AG aː AM l AE
