က	k a̰ AG
မျက်ခွံ	m j AB ɛ AD ʔ kʰ ʊ AE ɴ
မျက်စိ	m j AB ɛ AD ʔ s ḭ
မျက်တောင်	m j AB ɛ AD ʔ t a AD ʊ AE ɴ
မျက်နှာ	m j AB ɛ AD ʔ n̥ a AD
မျက်နှာကြက်	m j AB ɛ AD ʔ n̥ a AD d ʑ ɛ AD ʔ
မျက်နှာဖုံး	m j AB ɛ AD ʔ n̥ ə AD pʰ o AE ʊ AE ɴ
မျက်နှာသုတ်ပဝါ	m j AB ɛ AD ʔ n̥ a AD θ o AE ʊ AE ʔ p a̰ AG w AC a AD
မျက်ပါး	m j AB ɛ AD ʔ p a AD
မျက်မှန်	m j AB ɛ AD ʔ m̥ a AD ɴ
မျက်ရည်	m j AB ɛ AD ʔ j AB e AD
မျက်လုံး	m j AB ɛ AD ʔ l o AE ʊ AE ɴ
မျက်လွှာ	m j AB ɛ AD ʔ l̥ w AC a AD
မျက်လှည့်	m j AB ɛ AD ʔ l̥ ɛ̰ AG
မျည်းတံ	m j AB i AD d a AD ɴ
များ	m j AB a AD
များများ	m j AB a AD m j AB a AD
မျို	m j AB o AE
မျိုး	m j AB o AE
မျိုးချစ်စိတ်	m j AB o AE t ɕʰ ɪ AD ʔ s e AD ɪ AD ʔ
မျိုးစိတ်	m j AB o AE z e AD ɪ AD ʔ
မျိုးစု	m j AB o AE z ṵ
မျိုးဆက်	m j AB o AE z ɛ AD ʔ
မျိုးဥအိမ်	m j AB o AE ʔ ṵ ʔ e AD ɪ AD ɴ
မျော	m j AB ɔ AE
မျောက်	m j AB a AD ʊ AE ʔ
မျောက်ချော	m j AB a AD ʊ AE ʔ t ɕʰ ɔ AE
မျောက်လုတ်	m j AB a AD ʊ AE ʔ l o AE ʊ AE ʔ
မျောက်လောင်း	m j AB a AD ʊ AE ʔ l a AD ʊ AE ɴ
မျှင်	m̥ j AB ɪ AD ɴ
မျှစ်	m̥ j AB ɪ AD ʔ
မျှို့	m̥ j AB o̰ AH
မျှော်	m̥ j AB ɔ AE
မျှော်လင့်	m̥ j AB ɔ AE l ɪ̰ AG ɴ
မျှော်လင့်ချက်	m̥ j AB ɔ AE l ɪ̰ AG ɴ d ʑ ɛ AD ʔ
မြ	m j AB a̰ AG
မြက်	m j AB ɛ AD ʔ
မြက်ခင်း	m j AB ɛ AD ʔ kʰ ɪ AD ɴ
မြက်ခုတ်ဓား	m j AB ɛ AD ʔ kʰ o AE ʊ AE ʔ d a AD
မြက်ခြောက်	m j AB ɛ AD ʔ t ɕʰ a AD ʊ AE ʔ
မြင့်	m j AB ɪ̰ AG ɴ
မြင်	m j AB ɪ AD ɴ
မြင်း	m j AB ɪ AD ɴ
မြင်းကလေး	m j AB ɪ AD ɴ ɡ ə AD l e AD
မြင်းကျား	m j AB ɪ AD ɴ d ʑ a AD
မြင်းခြံ	m j AB ɪ AD ɴ d ʑ a AD ɴ
မြင်းခွာ	m j AB ɪ AD ɴ kʰ w AC a AD
မြင်းခွာရွက်သုပ်	m j AB ɪ AD ɴ kʰ w AC a AD j AB w AC ɛ AD ʔ θ o AE ʊ AE ʔ
မြင်းစားဂျုံ	m j AB ɪ AD ɴ z a AD d ʑ o AE ʊ AE ɴ
မြင်းဆေး	m j AB ɪ AD ɴ z e AD
မြင်းမ	m j AB ɪ AD ɴ m a̰ AG
မြင်းမကလေး	m j AB ɪ AD ɴ m a̰ AG ɡ ə AD l e AD
မြင်းမိုရ်	m j AB ɪ AD ɴ m o AE
မြင်းမိုရ်တောင်	m j AB ɪ AD ɴ m o AE t a AD ʊ AE ɴ
မြင်းလှည်း	m j AB ɪ AD ɴ l̥ ɛ AD
မြင်းသံခွာ	m j AB ɪ AD ɴ θ a AD ɴ kʰ w AC a AD
မြစ်	m j AB ɪ AD ʔ
မြစ်ကြီးနား	m j AB ɪ AD ʔ t ɕ i AD n a AD
မြည်း	m j AB i AD
မြတ်လေး	m j AB a AD ʔ l e AD
မြန်	m j AB a AD ɴ
မြန်နှုန်းပြကိရိယာ	m j AB a AD ɴ n̥ o AE ʊ AE ɴ p j AB a̰ AG k ḭ j AB ḭ j AB a AD
မြန်မာ	m j AB a AD ɴ m a AD
မြန်မာ့	m j AB a AD ɴ m a̰ AG
မြန်မြန်	m j AB a AD ɴ m j AB a AD ɴ
မြမ္မာ	m j AB a AD ɴ m a AD
မြဝတီ	m j AB a̰ AG w AC ə AD d i AD
မြား	m̥ j AB a AD
မြိတ်	b e AD ɪ AD ʔ
မြို့	m j AB o̰ AH
မြို့စား	m j AB o̰ AH z a AD
မြို့တော်	m j AB o̰ AH d ɔ AE
မြို့တော်ဝန်	m j AB o̰ AH d ɔ AE w AC ʊ AE ɴ
မြို့နယ်	m j AB o̰ AH n ɛ AD
မြို့ပြနိုင်ငံ	m j AB o̰ AH p j AB a̰ AG n a AD ɪ AD ɴ ŋ a AD ɴ
မြို့ဝန်	m j AB o̰ AH w AC ʊ AE ɴ
မြီ	m j AB i AD
မြီးရှေ	m j AB i AD ʃ e AD
မြုံ	m j AB o AE ʊ AE ɴ
မြူ	m j AB u AE
မြူစွမ်	m j AB u AE s w AC a AD ɴ
မြေ	m j AB e AD
မြေကွက်	m j AB e AD ɡ w AC ɛ AD ʔ
မြေခွေး	m j AB e AD ɡ w AC e AD
မြေစာ	m j AB e AD z a AD
မြေနင်းခွာစိုက်	m j AB e AD n ɪ AD ɴ kʰ w AC a AD z a AD ɪ AD ʔ
မြေနုကျွန်းပေါ်	m j AB e AD n ṵ t ɕ ʊ AE ɴ b ɔ AE
မြေပုံ	m j AB e AD b o AE ʊ AE ɴ
မြေပုံသီး	m j AB e AD b o AE ʊ AE ɴ ð i AD
မြေပဲ	m j AB e AD b ɛ AD
မြေပြင်	m j AB e AD b j AB ɪ AD ɴ
မြေပြန့်	m j AB e AD b j AB a̰ AG ɴ
မြေဖြူခဲ	m j AB e AD b j AB u AE ɡ ɛ AD
မြေရိုင်း	m j AB e AD j AB a AD ɪ AD ɴ
မြေရှင်	m j AB e AD ʃ ɪ AD ɴ
မြေအောက်	m j AB e AD ʔ a AD ʊ AE ʔ
မြေအောက်မီးရထား	m j AB e AD ʔ a AD ʊ AE ʔ m i AD j AB ə AD tʰ a AD
မြေဩဇာ	m j AB e AD ʔ ɔ AE z a AD
မြောက်	m j AB a AD ʊ AE ʔ
မြောက်ကိုရီးယား	m j AB a AD ʊ AE ʔ k o AE ɹ AI i AD j AB a AD
မြောင်း	m j AB a AD ʊ AE ɴ
မြေး	m j AB e AD
မြေးမ	m j AB e AD m a̰ AG
မြံမာ	m j AB a AD ɴ m a AD
မြွက်	m j AB w AC ɛ AD ʔ
မြွေ	m w AC e AD
မြွေပါ	m w AC e AD b a AD
မြွေဟောက်	m j AB w AC e AD h AA a AD ʊ AE ʔ
မြှား	m̥ j AB a AD
မြှောက်	m̥ j AB a AD ʊ AE ʔ
မြှောက်ရကိန်း	m̥ j AB a AD ʊ AE ʔ j AB a̰ AG k e AD ɪ AD ɴ
မွတ်	m ʊ AE ʔ
မွတ်စလင်	m ʊ AE ʔ s ə AD l ɪ AD ɴ
မွန်	m ʊ AE ɴ
မွန်ဂိုးလီးယား	m ʊ AE ɴ ɡ o AE l i AD j AB a AD
မွန်တီနီဂရိုး	m ʊ AE ɴ t i AD n i AD ɡ ə AD ɹ AI o AE
မွာချီး	m w AC a AD t ɕʰ i AD
မွေး	m w AC e AD
မွေးနေ့	m w AC e AD n ḛ
မွေးနေ့မင်္ဂလာပါ	m w AC e AD n ḛ m ɪ AD ɴ ɡ ə AD l a AD b a AD
မွဲ	m w AC ɛ AD
မွှား	m̥ w AC a AD
မွှေး	m̥ w AC e AD
မှ	m̥ a̰ AG
မှတ်ကျောက်	m̥ a AD ʔ t ɕ a AD ʊ AE ʔ
မှတ်စု	m̥ a AD ʔ s ṵ
မှတ်စုစာအုပ်	m̥ a AD ʔ s ṵ s a AD ʔ o AE ʊ AE ʔ
မှတ်ဉာဏ်	m̥ a AD ʔ ɲ a AD n
မှတ်တိုင်	m̥ a AD ʔ t a AD ɪ AD ɴ
မှတ်မိ	m̥ a AD ʔ m ḭ
မှန်	m̥ a AD ɴ
မှန်စာ	m̥ a AD ɴ z a AD
မှန်စီရွှေချ	m̥ a AD ɴ z i AD ʃ w AC e AD t ɕʰ a̰ AG
မှန်တော့	m̥ a AD ɴ d ɔ̰ AH
မှန်ပါ့ဘုရား	m̥ a AD ɴ b a̰ AG pʰ ə AD j AB a AD
မှန်ပြောင်း	m̥ a AD ɴ b j AB a AD ʊ AE ɴ
မှန်ဖြူ	m̥ a AD ɴ b j AB u AE
မှန်ဘီလူး	m̥ a AD ɴ b ə AD l u AE
မှန်မှန်	m̥ a AD ɴ m̥ a AD ɴ
မှန်လာ	m̥ a AD ɴ l a AD
မှာ	m̥ a AD
မှား	m̥ a AD
မှို	m̥ o AE
မှု	m̥ ṵ
မှုတ်	m̥ o AE ʊ AE ʔ
မှုန့်	m̥ o̰ AH ʊ AE ɴ
မှုန်	m̥ o AE ʊ AE ɴ
မှဲ့	m̥ ɛ̰ AG
ယက်	j AB ɛ AD ʔ
ယခု	j AB ə AD kʰ ṵ
ယင်	j AB ɪ AD ɴ
ယင်ကောင်	j AB ɪ AD ɴ ɡ a AD ʊ AE ɴ
ယင်းမာ	j AB ɪ AD ɴ m a AD
ယစ်ထုတ်	j AB ɪ AD ʔ tʰ o AE ʊ AE ʔ
ယဉ်	j AB ɪ AD ɴ
ယဉ်ကျေးမှု	j AB ɪ AD ɴ t ɕ e AD m̥ ṵ
ယတြာ	j AB ə AD d ə AD j AB a AD
ယနေ့	j AB a̰ AG n ḛ
ယန္တရား	j AB a AD ɴ d ə AD j AB a AD
ယပက်လက်	j AB a̰ AG p ɛ AD ʔ l ɛ AD ʔ
ယပင့်	j AB a̰ AG p ɪ̰ AG ɴ
ယပ်	j AB a AD ʔ
ယမက	j AB ə AD m ə AD k a̰ AG
ယမင်း	j AB ə AD m ɪ AD ɴ
ယမနေ	j AB ə AD m ə AD n e AD
ယမန်နှစ်	j AB ə AD m a AD ɴ n̥ ɪ AD ʔ
ယမမင်း	j AB ə AD m a̰ AG m ɪ AD ɴ
ယမုန်နာ	j AB ə AD m o AE ʊ AE ɴ n a AD
ယမ်း	j AB a AD ɴ
ယမ်းတောင့်	j AB a AD ɴ d a̰ AG ʊ AE ɴ
ယမ်းမှုန့်	j AB a AD ɴ m̥ o̰ AH ʊ AE ɴ
ယဝဒီပ	j AB a̰ AG w AC a̰ AG d i AD p a̰ AG
ယသောဓရာ	j AB a̰ AG θ ɔ AE d ə AD j AB a AD
ယာဉ်	j AB ɪ AD ɴ
ယာဉ်မောင်း	j AB ɪ AD ɴ m a AD ʊ AE ɴ
ယာဉ်ရပ်	j AB ɪ AD ɴ j AB a AD ʔ
ယာဘ	j AB a AD b a̰ AG
ယာမာ	j AB a AD m a AD
ယာယီ	j AB a AD j AB i AD
ယို	j AB o AE
ယိုးဒယား	j AB o AE d ə AD j AB a AD
ယီမင်	j AB i AD m ɪ AD ɴ
ယုဂ်	j AB o AE ʊ AE ʔ
ယုဇန	j AB ṵ z a̰ AG n a̰ AG
ယုတ္တိ	j AB o AE ʊ AE ʔ t ḭ
ယုတ္တိဗေဒ	j AB o AE ʊ AE ʔ t ḭ b e AD d a̰ AG
ယုန်	j AB o AE ʊ AE ɴ
ယုံ	j AB o AE ʊ AE ɴ
ယုံကြည်	j AB o AE ʊ AE ɴ t ɕ i AD
ယူ	j AB u AE
ယူကရိန်း	j AB u AE k ə AD ɹ AI e AD ɪ AD ɴ
ယူဂန်းဒါး	j AB u AE ɡ a AD ɴ d a AD
ယူနိုက်တက်ကင်းဒမ်း	j AB u AE n a AD ɪ AD ʔ t ɛ AD ʔ k ɪ AD ɴ d a AD ɴ
ယူနီယန်	j AB u AE n i AD j AB a AD ɴ
ယူရို	j AB u AE ɹ AI o AE
ယူရေးရှား	j AB u AE ɹ AI e AD ʃ a AD
ယေရှု	j AB e AD ʃ ṵ
ယောက္ခထီး	j AB a AD ʊ AE ʔ kʰ ə AD tʰ i AD
ယောက္ခမ	j AB a AD ʊ AE ʔ kʰ ə AD m a̰ AG
ယောက်	j AB a AD ʊ AE ʔ
ယောက်ဖ	j AB a AD ʊ AE ʔ pʰ a̰ AG
ယောက်မ	j AB a AD ʊ AE ɴ m a̰ AG
ယောက်ျား	j AB a AD ʊ AE ʔ t ɕ a AD
ယောက်ျားလျာ	j AB a AD ʊ AE ʔ k ə AD ʃ a AD
ယောဂ	j AB ɔ AE ɡ a̰ AG
ယောဇနာ	j AB ɔ AE z ə AD n a AD
ယောနိ	j AB ɔ AE n ḭ
ယဲ့ယဲ့	j AB ɛ̰ AG j AB ɛ̰ AG
ယွန်း	j AB ʊ AE ɴ
ယွန်းထည်	j AB ʊ AE ɴ tʰ ɛ AD
ယွန်းယွန်း	j AB ʊ AE ɴ j AB ʊ AE ɴ
ယှဉ်ဖက်	ʃ ɪ AD ɴ pʰ ɛ AD ʔ
ယှဉ်း	ʃ ɪ AD ɴ
ရ	ɹ AI a̰ AG
ရကောက်	j AB a̰ AG k a AD ʊ AE ʔ
ရက်	j AB ɛ AD ʔ
ရက်ကန်း	j AB ɛ AD ʔ k a AD ɴ
ရက်ကန်းစင်	j AB ɛ AD ʔ k a AD ɴ z ɪ AD ɴ
ရက်စွဲ	j AB ɛ AD ʔ s w AC ɛ AD
ရက်ရာဇာ	j AB ɛ AD ʔ j AB a AD z a AD
ရက်သတ္တပတ်	j AB ɛ AD ʔ θ a AD ʔ d ə AD b a AD ʔ
ရခိုင်	j AB ə AD kʰ a AD ɪ AD ɴ
ရင်	j AB ɪ AD ɴ
ရင်ခံ	j AB ɪ AD ɴ kʰ a AD ɴ
ရင်ထိုးတံဆိပ်	j AB ɪ AD ɴ d o AE d ə AD z e AD ɪ AD ʔ
ရင်ပတ်	j AB ɪ AD ɴ b a AD ʔ
ရင်ပြင်	j AB ɪ AD ɴ b j AB ɪ AD ɴ
ရင်ဘတ်	j AB ɪ AD ɴ b a AD ʔ
ရင်းရဲ	j AB ɪ AD ɴ j AB ɛ AD
ရည်	j AB i AD
ရည်းစား	j AB i AD z a AD
ရတနာ	j AB ɛ AD d ə AD n a AD
ရတနာပုံ	j AB ɛ AD d ə AD n a AD b o AE ʊ AE ɴ
ရတနာပူရ	j AB ɛ AD d ə AD n a AD p u AE ɹ AI a̰ AG
ရတနာသိင်္ဃ	j AB ə AD d ə AD n a AD θ e AD ɪ AD ɴ ɡ a̰ AG
ရတနာသုံးပါး	j AB ɛ AD d ə AD n a AD θ o AE ʊ AE ɴ b a AD
ရတီ	j AB ə AD t i AD
ရတု	j AB a̰ AG t ṵ
ရထား	j AB ə AD tʰ a AD
ရနံ့	j AB ə AD n a̰ AG ɴ
ရန်	j AB a AD ɴ
ရန်ကုန်	j AB a AD ɴ ɡ o AE ʊ AE ɴ
ရန်ပြု	j AB a AD ɴ p j AB ṵ
ရန်ဖြစ်	j AB a AD ɴ pʰ j AB ɪ AD ʔ
ရန်သူ	j AB a AD ɴ ð u AE
ရန်သူမျိုးငါးပါး	j AB a AD ɴ ð u AE m j AB o AE ŋ a AD b a AD
ရပါတယ်	j AB a̰ AG b a AD d ɛ AD
ရပ်	j AB a AD ʔ
ရပ်ကွက်	j AB a AD ʔ k w AC ɛ AD ʔ
ရမ္မက်	j AB ə AD m ɛ AD ʔ
ရမ်	ɹ AI a AD ɴ
ရမ်းရမ်း	j AB a AD ɴ j AB a AD ɴ
ရယ်	j AB i AD
ရရစ်	j AB a̰ AG j AB ɪ AD ʔ
ရဝမ်ဒါ	ɹ AI ə AD w AC a AD ɴ d a AD
ရဝိန်	j AB ə AD w AC e AD ɪ AD ɴ
ရဝေ	j AB ə AD w AC e AD
ရသ	j AB a̰ AG ð a AD
ရဟတ်	j AB ə AD h AA a AD ʔ
ရဟန်း	j AB ə AD h AA a AD ɴ
ရာ	j AB a AD
ရာခိုင်နှုန်း	j AB a AD kʰ a AD ɪ AD ɴ n̥ o AE ʊ AE ɴ
ရာဂ	j AB a AD ɡ a̰ AG
ရာစု	j AB a AD z ṵ
ရာစုနှစ်	j AB a AD z ṵ n̥ ɪ AD ʔ
ရာဇ	j AB a AD z a̰ AG
ရာဇဂုရု	j AB a AD z a̰ AG ɡ ṵ ɹ AI ṵ
ရာဇဌာန်	ɹ AI a AD z ə AD tʰ a AD n
ရာဇဝင်	j AB a AD z ə AD w AC ɪ AD ɴ
ရာဇဝတ်	j AB a AD z ə AD w AC ʊ AE ʔ
ရာဇဝတ်ကောင်	j AB a AD z ə AD w AC ʊ AE ʔ k a AD ʊ AE ɴ
ရာဇသတ်	j AB a AD z ə AD θ a AD ʔ
ရာဇာ	j AB a AD z a AD
ရာဇာဓိရာဇဂုရု	j AB a AD z a̰ AG d ḭ j AB a AD z a̰ AG ɡ ṵ ɹ AI ṵ
ရာဘ	j AB a AD b a̰ AG
ရာဘာ	j AB a AD b a AD
ရာမ	j AB a AD m a̰ AG
ရာမည	ɹ AI a AD m ə AD ɲ a̰ AG
ရာဝဏ	ɹ AI a AD w AC ə AD n a̰ AG
ရာသီ	j AB a AD ð i AD
ရာသီဥတု	j AB a AD ð i AD ʔ ṵ d ṵ
ရာဟုလာ	j AB a AD h AA ṵ l a AD
ရိက္ခါ	j AB e AD ɪ AD ʔ kʰ a AD
ရိက္ခာ	j AB e AD ɪ AD ʔ kʰ a AD
ရိတ်	j AB e AD ɪ AD ʔ
ရိတ်သိမ်း	j AB e AD ɪ AD ʔ θ e AD ɪ AD ɴ
ရိပ်ရိပ်	j AB e AD ɪ AD ʔ j AB e AD ɪ AD ʔ
ရိုက်	j AB a AD ɪ AD ʔ
ရိုင်ဖယ်	ɹ AI a AD ɪ AD ɴ pʰ ɛ AD
ရိုင်ရိုင်	j AB a AD ɪ AD ɴ j AB a AD ɪ AD ɴ
ရိုဟင်ဂျာ	ɹ AI o AE h AA ɪ AD ɴ d ʑ a AD
ရိုး	j AB o AE
ရိုးရာအမည်	j AB o AE j AB a AD ʔ ə AD m j AB i AD
ရိုးရိုး	j AB o AE j AB o AE
ရုက္ခစိုး	j AB o AE ʊ AE ʔ ɡ ə AD z o AE
ရုက္ခဗေဒ	j AB o AE ʊ AE ʔ kʰ a̰ AG b e AD d a̰ AG
ရုပ်	j AB o AE ʊ AE ʔ
ရုပ်ကလာပ်	j AB o AE ʊ AE ʔ k ə AD l a AD ʔ
ရုပ်တု	j AB o AE ʊ AE ʔ t ṵ
ရုပ်ပုံ	j AB o AE ʊ AE ʔ p o AE ʊ AE ɴ
ရုပ်မြင်သံကြား	j AB o AE ʊ AE ʔ m j AB ɪ AD ɴ θ a AD ɴ d ʑ a AD
ရုပ်ရှင်	j AB o AE ʊ AE ʔ ʃ ɪ AD ɴ
ရုပ်ရှင်ရုံ	j AB o AE ʊ AE ʔ ʃ ɪ AD ɴ j AB o AE ʊ AE ɴ
ရုပ်သေး	j AB o AE ʊ AE ʔ θ e AD
ရုပ်သေးအစိုးရ	j AB o AE ʊ AE ʔ θ e AD ʔ ə AD s o AE j AB a̰ AG
ရုရု	j AB ṵ j AB ṵ
ရုရှား	ɹ AI ṵ ʃ a AD
ရုံ	j AB o AE ʊ AE ɴ
ရုံး	j AB o AE ʊ AE ɴ
ရုံးပတီ	j AB o AE ʊ AE ɴ b ə AD t i AD
ရူပ	j AB u AE p a̰ AG
ရူပကအလင်္ကာ	j AB u AE p ə AD k a̰ AG ʔ ə AD l i AD ɡ a AD
ရူပနက္ခတ္တဗေဒ	j AB u AE p a̰ AG n ɛ AD ʔ kʰ a AD ʔ t a̰ AG b e AD d a̰ AG
ရူပဗေဒ	j AB u AE p a̰ AG b e AD d a̰ AG
ရူမေးနီးယား	ɹ AI u AE m e AD n i AD j AB a AD
ရေ	j AB e AD
ရေကတော့	j AB e AD ɡ ə AD d ɔ̰ AH
ရေကာတာ	j AB e AD ɡ a AD d a AD
ရေကူး	j AB e AD k u AE
ရေကူးကန်	j AB e AD k u AE ɡ a AD ɴ
ရေကြီး	j AB e AD t ɕ i AD
ရေကြီးခြင်း	j AB e AD t ɕ i AD d ʑ ɪ AD ɴ
ရေခဲ	j AB e AD ɡ ɛ AD
ရေခဲမုန့်	j AB e AD ɡ ɛ AD m o̰ AH ʊ AE ɴ
ရေခဲသေတ္တာ	j AB e AD ɡ ɛ AD θ ɪ AD ʔ t a AD
ရေချိုး	j AB e AD t ɕʰ o AE
ရေခွက်	j AB e AD ɡ w AC ɛ AD ʔ
ရေငတ်တယ်	j AB e AD ŋ a AD ʔ t ɛ AD
ရေငွေ့	j AB e AD ŋ w AC ḛ
ရေစစ္စရီ	j AB e AD s ɪ AD ʔ s ə AD ɹ AI i AD
ရေညှိ	j AB e AD ɲ̊ ḭ
ရေတပ်	j AB e AD d a AD ʔ
ရေတံခွန်	j AB e AD d a AD ɡ ʊ AE ɴ
ရေတွက်	j AB e AD t w AC ɛ AD ʔ
ရေတွင်း	j AB e AD d w AC ɪ AD ɴ
ရေဒီယို	ɹ AI e AD d i AD j AB o AE
ရေနဂါး	j AB e AD n ə AD ɡ a AD
ရေနံ	j AB e AD n a AD ɴ
ရေနံချောင်း	j AB e AD n a AD ɴ t ɕʰ a AD ʊ AE ɴ
ရေနံဆီ	j AB e AD n a AD ɴ z i AD
ရေပန်း	j AB e AD b a AD ɴ
ရေပိုက်	j AB e AD p a AD ɪ AD ʔ
ရေမိုင်	j AB e AD m a AD ɪ AD ɴ
ရေမြင်း	j AB e AD m j AB ɪ AD ɴ
ရေမွှေး	j AB e AD m̥ w AC e AD
ရေမှုတ်	j AB e AD m̥ o AE ʊ AE ʔ
ရေယုန်	j AB e AD j AB o AE ʊ AE ɴ
ရေလက်ဝါး	j AB e AD l ɛ AD ʔ w AC a AD
ရေလုပ်သား	j AB e AD l o AE ʊ AE ʔ θ a AD
ရေဝတ	ɹ AI e AD w AC ə AD t a̰ AG
ရေဝတဘုရား	j AB e AD w AC ə AD t a̰ AG pʰ ə AD j AB a AD
ရေသူ	j AB e AD ð u AE
ရေသူမ	j AB e AD ð u AE m a̰ AG
ရောက်	j AB a AD ʊ AE ʔ
ရောဂန္တရကပ်	j AB ɔ AE ɡ a AD ɴ t ə AD ɹ AI a̰ AG k a AD ʔ
ရောဂါ	j AB ɔ AE ɡ a AD
ရောဂါဗေဒ	j AB ɔ AE ɡ a AD b e AD d a̰ AG
ရောင်	j AB a AD ʊ AE ɴ
ရောင်ခြည်	j AB a AD ʊ AE ɴ d ʑ i AD
ရောင်း	j AB a AD ʊ AE ɴ
ရောမ	ɹ AI ɔ AE m a̰ AG
ရော်ဘာ	ɹ AI ɔ AE b a AD
ရေး	j AB e AD
ရေးချ	j AB e AD t ɕʰ a̰ AG
ရေးရေး	j AB e AD j AB e AD
ရဲ	j AB ɛ AD
ရဲစခန်း	j AB ɛ AD s ə AD kʰ a AD ɴ
ရဲတိုက်	j AB ɛ AD d a AD ɪ AD ʔ
ရဲဘော်	j AB ɛ AD b ɔ AE
ရဲရင့်	j AB ɛ AD j AB ɪ̰ AG ɴ
ရဲရဲ	j AB ɛ AD j AB ɛ AD
ရဲသား	j AB ɛ AD ð a AD
ရဲ့	j AB ɛ̰ AG
ရွတ်ရွတ်	j AB ʊ AE ʔ j AB ʊ AE ʔ
ရွပ်ရွပ်	j AB ʊ AE ʔ j AB ʊ AE ʔ
ရွရွ	j AB w AC a̰ AG j AB w AC a̰ AG
ရွာ	j AB w AC a AD
ရွာစား	j AB w AC a AD z a AD
ရွာသူ	j AB w AC a AD ð u AE
ရွေး	j AB w AC e AD
ရွေးကောက်ပွဲ	j AB w AC e AD k a AD ʊ AE ʔ p w AC ɛ AD
ရွှေ	ʃ w AC e AD
ရွှေကြည်	ʃ w AC e AD d ʑ i AD
ရွှေချည်ထိုး	ʃ w AC e AD d ʑ i AD d o AE
ရွှေချီ	ʃ w AC e AD d ʑ i AD
ရွှေတိုက်	ʃ w AC e AD d a AD ɪ AD ʔ
ရွှေတောင်	ʃ w AC e AD d a AD ʊ AE ɴ
ရွှေတောင်ခေါက်ဆွဲ	ʃ w AC e AD d a AD ʊ AE ɴ kʰ a AD ʊ AE ʔ sʰ w AC ɛ AD
ရွှေထမင်း	ʃ w AC e AD tʰ ə AD m ɪ AD ɴ
ရွှေနန်းရွှေပြာသာဒ်သခင်	ʃ w AC e AD n a AD ɴ ʃ w AC e AD p j AB a AD ʔ θ a AD ʔ θ ə AD kʰ ɪ AD ɴ
ရွှေနန်းရှင်ဘုရား	ʃ w AC e AD n a AD ɴ ʃ ɪ AD ɴ pʰ ə AD j AB a AD
ရွှေပြည်စိုး	ʃ w AC e AD p j AB i AD s o AE
ရွှေဖရုံသီး	ʃ w AC e AD pʰ ə AD j AB o AE ʊ AE ɴ ð i AD
ရွှေဖြူ	ʃ w AC e AD b j AB u AE
ရွှေဘို	ʃ w AC e AD b o AE
ရွှေမျက်ပါး	ʃ w AC e AD m j AB ɛ AD ʔ p a AD
ရွှေရင်အေး	ʃ w AC e AD j AB ɪ AD ɴ ʔ e AD
ရွှေ့	ʃ w AC ḛ
ရွှဲ	ʃ w AC ɛ AD
ရွှံ့	ʃ ʊ̰ AH ɴ
ရွှံ့ပွက်	ʃ ʊ̰ AH ɴ b w AC ɛ AD ʔ
ရှက်	ʃ ɛ AD ʔ
ရှင့်	ʃ ɪ̰ AG ɴ
ရှင်	ʃ ɪ AD ɴ
ရှင်တို့	ʃ ɪ AD ɴ d o̰ AH
ရှင်ပြု	ʃ ɪ AD ɴ p j AB ṵ
ရှင်ဘုရင်	ʃ ɪ AD ɴ b ə AD j AB ɪ AD ɴ
ရှင်ရှင်	ʃ ɪ AD ɴ ʃ ɪ AD ɴ
ရှင်းရှင်း	ʃ ɪ AD ɴ ʃ ɪ AD ɴ
ရှစ်	ʃ ɪ AD ʔ
ရှစ်လ	ʃ ɪ AD ʔ l a̰ AG
ရှဉ့်	ʃ ɪ̰ AG ɴ
ရှည်	ʃ e AD
ရှည်မျော	ʃ e AD m j AB ɔ AE
ရှမ်း	ʃ a AD ɴ
ရှမ်းခေါက်ဆွဲ	ʃ a AD ɴ kʰ a AD ʊ AE ʔ sʰ w AC ɛ AD
ရှယ်	ʃ ɛ AD
ရှလကာရည်	ʃ a AD l ə AD k a AD j AB e AD
ရှလပတ်ရည်	ʃ a̰ AG l ə AD p a AD ʔ j AB e AD
ရှာ	ʃ a AD
ရှား	ʃ a AD
ရှိ	ʃ ḭ
ရှိန်းခို	ʃ e AD ɪ AD ɴ ɡ o AE
ရှိုက်	ʃ a AD ɪ AD ʔ
ရှို့	ʃ o̰ AH
ရှိုး	ʃ o AE
ရှူ	ʃ u AE
ရှူတင်	ʃ u AE t ɪ AD ɴ
ရှူရှိုက်	ʃ u AE ʃ a AD ɪ AD ʔ
ရှူးဖိနပ်	ʃ u AE pʰ ə AD n a AD ʔ
ရှောက်	ʃ a AD ʊ AE ʔ
ရှောက်နု	ʃ a AD ʊ AE ʔ n ṵ
ရှေ့	ʃ ḛ
ရှေ့ဆက်	ʃ ḛ z ɛ AD ʔ
ရှေ့နေ	ʃ ḛ n e AD
ရှေ့ရုံး	ʃ ḛ j AB o AE ʊ AE ɴ
ရှေး	ʃ e AD
ရဿ	ɹ AI a AD ʔ θ a̰ AG
လ	l a̰ AG
လက္ခဏ	l ɛ AD ʔ kʰ ə AD n a̰ AG
လက္ခဏာ	l ɛ AD ʔ kʰ ə AD n a AD
လက္ခဏာရေးသုံးပါး	l ɛ AD ʔ kʰ ə AD n a AD j AB e AD θ o AE ʊ AE ɴ b a AD
လက်	l ɛ AD ʔ
