't	t AC
talampas	t AC a AK l AD a AK m AE p AG a AK s AH
talavera	t AC a AK l AD a AK b AG ɛ AK ɾ BD a AK
talento	t AC a AK l AD ɛ AK n AF t AC o AM
talo	t AC a AK l AD o AM
talon	t AC a AK l AD o AM n AF
talong	t AC a AK l AD o AM ŋ AF
talukbong	t AC a AK l AD u AM k AC b AG o AM ŋ AF
talulot	t AC a AK l AD u AM l AD o AM t AC
talunan	t AC a AK l AD u AM n AF a AK n AF
tam	t AC a AK m AE
tambakol	t AC a AK m AE b AG a AK k AC o AM l AD
tamban	t AC a AK m AE b AG a AK n AF
tambayan	t AC a AK m AE b AG a AK j AB a AK n AF
tamis	t AC a AK m AE i AK s AH
tampal	t AC a AK m AE p AG a AK l AD
tan	t AC a AK n AF
tanauan	t AC a AK n AF ʔ AJ a AK w AI a AK n AF
tancinco	t AC a AK n AF s AH i AK n AF k AC o AM
tang	t AC a AK ŋ AF
tanga	t AC a AK ŋ AF a AK
tangco	t AC a AK ŋ AF k AC o AM
tanggal	t AC a AK ŋ AF ɡ AC a AK l AD
tanghalian	t AC a AK ŋ AF h AA a AK l AD i AK ʔ AJ a AK n AF
tanghas	t AC a AK ŋ AF h AA a AK s AH
tanikala	t AC a AK n AF i AK k AC a AK l AD a AK ʔ AJ
tanso	t AC a AK n AF s AH o AM ʔ AJ
tantiya	t AC a AK n AF t AC ʃ AH a AK
tao	t AC a AK ʔ AJ o AM
taog	t AC a AK ʔ AJ o AM ɡ AC
taon	t AC a AK ʔ AJ o AM n AF
tapales	t AC a AK p AG a AK l AD ɛ AK s AH
tapat	t AC a AK p AG a AK t AC
tapay	t AC a AK p AG a AK j AB
tapilok	t AC a AK p AG i AK l AD o AM k AC
tapos	t AC a AK p AG o AM s AH
tapunan	t AC a AK p AG u AM n AF a AK n AF
tapusin	t AC a AK p AG u AM s AH i AK n AF
tarik	t AC a AK ɾ BD i AK k AC
taruc	t AC a AK ɾ BD u AM k AC
tasa	t AC a AK s AH a AK
tataw	t AC a AK t AC a AK w AI
tatlo	t AC a AK t AC l AD ɔ AM
tatlonghari	t AC a AK t AC l AD o AM ŋ AF h AA a AK ɾ BD i AK
tatlumpu	t AC a AK t AC l AD u AM m AE p AG u AM ʔ AJ
tatlundaan	t AC a AK t AC l AD u AM n AF d AC a AK a AK n AF
tato	t AC a AK t AC o AM ʔ AJ
tatsulok	t AC ɐ AM t AC s AH u AM l AD ɔ AM k AC
tawag	t AC a AK w AI a AK ɡ AC
tayahan	t AC a AK j AB a AK h AA a AK n AF
tayo	t AC aː AL j AB ɔ AM
tañada	t AC a AK ɲ AF a AK d AC a AK
tecson	t AC ɛ AK k AC s AH o AM n AF
tee	t AC iː AL
teklado	t AC e AK k AC l AD a AK d AC o AM
telepono	t AC ɛ AK l AD ɛ AK p AG o AM n AF o AM
tenga	t AC ɛː AL ŋ AF a AK
tenorio	t AC ɛ AK n AF o AM ɾ BD j AB o AM
tenyente	t AC ɛ AK n AF j AB ɛ AK n AF t AC ɛ AK
teoriya	t AC ɛ AK o AM ɾ BD i AK a AK
teritoryo	t AC ɛ AK ɾ BD i AK t AC o AM ɾ BD j AB o AM
tiamson	t AC j AB a AK m AE s AH o AM n AF
tian	t AC j AB a AK n AF
tiangco	t AC j AB a AK ŋ AF k AC o AM
tibay	t AC i AK b AG a AK i AK
tibo	t AC ɪ AK b AG ɔ AM ʔ AJ
tiburcio	t AC i AK b AG u AM ɾ BD s AH j AB o AM
ticzon	t AC i AK k AC s AH o AM n AF
tien	t AC j AB e AK n AF
tigang	t AC i AK ɡ AC a AK ŋ AF
tigas	t AC i AK ɡ AC a AK s AH
tigilan	t AC i AK ɡ AC i AK l AD a AK n AF
tiis	t AC i AK ʔ AJ i AK s AH
tikbalang	t AC i AK k AC b AG a AK l AD a AK ŋ AF
tikling	t AC i AK k AC l AD i AK ŋ AF
tiklop	t AC i AK k AC l AD o AM p AG
tiktik	t AC i AK k AC t AC i AK k AC
timbang	t AC i AK m AE b AG a AK ŋ AF
timog	t AC i AK m AE o AM ɡ AC
tin	t AC ɪ AK n AF
tindero	t AC i AK n AF d AC ɛ AK ɾ BD o AM
tindig	t AC i AK n AF d AC i AK ɡ AC
ting	t AC ɪ AK ŋ AF
tinga	t AC i AK ŋ AF a AK
tingala	t AC i AK ŋ AF a AK l AD a AK ʔ AJ
tingalaan	t AC i AK ŋ AF a AK l AD a AK a AK n AF
tingid	t AC i AK ŋ AF i AK d AC
tingin	t AC i AK ŋ AF i AK n AF
tinidor	t AC i AK n AF i AK d AC o AM ɾ BD
tinig	t AC i AK n AF i AK ɡ AC
tinik	t AC i AK n AF i AK k AC
tinikling	t AC i AK n AF i AK k AC l AD i AK ŋ AF
tinta	t AC i AK n AF t AC a AK
tio	t AC j AB o AM
tiongco	t AC i AK o AM ŋ AF k AC o AM
tiozon	t AC j AB o AM s AH o AM n AF
tipaklong	t AC i AK p AG a AK k AC l AD o AM ŋ AF
tipon	t AC i AK p AG o AM n AF
tira	t AC i AK ɾ BD a AK
tiraniya	t AC i AK ɾ BD a AK n AF i AK a AK
tirik	t AC i AK ɾ BD i AK k AC
tiris	t AC i AK ɾ BD i AK s AH
tirona	t AC i AK ɾ BD o AM n AF a AK
tisod	t AC i AK s AH o AM d AC
tita	t AC i AK t AC a AK
tito	t AC i AK t AC o AM ʔ AJ
tiu	t AC j AB uː AN
tiwala	t AC i AK w AI a AK l AD a AK ʔ AJ
tiwali	t AC i AK w AI a AK l AD i AK ʔ AJ
tiya	t AC i AK a AK
tiyaga	t AC i AK a AK ɡ AC a AK ʔ AJ
tiyahin	t AC ʃ AH a AK h AA i AK n AF
tiyan	t AC i AK a AK n AF
tiyanak	t AC i AK a AK n AF a AK k AC
tiyangge	t AC i AK a AK ŋ AF ɡ AC ɛ AK ʔ AJ
tiyo	t AC i AK o AM
tiyubibo	t AC i AK j AB u AM b AG i AK b AG ɔ AM
tiyuhin	t AC ʃ AH u AM h AA i AK n AF
to	t AC o AM
tonelada	t AC o AM n AF ɛ AK l AD a AK d AC a AK
tong	t AC o AM ŋ AF
topacio	t AC o AM p AG a AK s AH j AB o AM
tore	t AC o AM ɾ BD ɛ AK
torotot	t AC o AM ɾ BD o AM t AC o AM t AC
torrecampo	t AC o AM ɾ BD ɾ BD ɛ AK k AC a AK m AE p AG o AM
totanes	t AC o AM t AC a AK n AF ɛ AK s AH
trabaho	t AC r BA a AK b AG a AK h AA o AM
trangkaso	t AC ɾ BD a AK ŋ AF k AC a AK s AH o AM
trapik	t AC ɾ BD a AK p AG i AK k AC
traqueña	t AC ɾ BD a AK k AC ɛ AK ɲ AF a AK
tratado	t AC ɾ BD a AK t AC a AK d AC o AM
trato	t AC ɾ BD a AK t AC o AM
traydor	t AC ɾ BD a AK i AK d AC o AM ɾ BD
tria	t AC ɾ BD i AK a AK
triguhan	t AC r BA ɪ AK ɡ AC ʊ AM h AA a AK n AF
trillanes	t AC ɾ BD i AK l AD l AD a AK n AF ɛ AK s AH
trip	t AC ɾ BD i AK p AG
tropatuts	t AC r BA o AM p AG a AK t AC u AM t AC s AH
tsaka	t AC ʃ AH a AK k AC a AK
tsikinini	t AC ʃ AH i AK k AC i AK n AF i AK n AF i AK ʔ AJ
tsiklet	t AC ʃ AH i AK k AC l AD ɛ AK t AC
tsikot	t AC ʃ AH i AK k AC o AM t AC
tsina	t AC s AH i AK n AF a AK
tsinelas	t AC ʃ AH i AK n AF ɛ AK l AD a AK s AH
tsinoy	t AC s AH ɪ AK n AF ɔ AM ɪ AK
tsong	t AC ʃ AH o AM ŋ AF
tsonggo	t AC ʃ AH o AM ŋ AF ɡ AC o AM
tsugi	t AC ʃ AH u AM ɡ AC i AK
tsuper	t AC ʃ AH u AM p AG e AK ɾ BD
tuason	t AC w AI a AK s AH o AM n AF
tuba	t AC u AM b AG a AK
tubero	t AC u AM b AG ɛ AK ɾ BD o AM
tubig	t AC u AM b AG i AK ɡ AC
tubo	t AC u AM b AG o AM ʔ AJ
tubuhan	t AC u AM b AG u AM h AA a AK n AF
tugade	t AC u AM ɡ AC a AK d AC ɛ AK
tugtog	t AC u AM ɡ AC t AC o AM ɡ AC
tugtugin	t AC u AM ɡ AC t AC u AM ɡ AC i AK n AF
tuhod	t AC u AM h AA o AM d AC
tuklaw	t AC u AM k AC l AD a AK u AM
tukod	t AC u AM k AC o AM d AC
tukso	t AC u AM k AC s AH o AM
tulad	t AC u AM l AD a AK d AC
tulak	t AC u AM l AD a AK k AC
tulatod	t AC u AM l AD a AK t AC o AM d AC
tulay	t AC u AM l AD a AK i AK
tulingan	t AC u AM l AD i AK ŋ AF a AK n AF
tullao	t AC u AM l AD j AB a AK u AM
tulo	t AC u AM l AD o AM ʔ AJ
tulog	t AC u AM l AD o AM ɡ AC
tulong	t AC u AM l AD o AM ŋ AF
tuloy	t AC u AM l AD o AM i AK
tumaba	t AC u AM m AE a AK b AG a AK ʔ AJ
tumacder	t AC u AM m AE a AK k AC d AC ɛ AK ɾ BD
tumae	t AC u AM m AE a AK ʔ AJ ɛ AK
tumahimik	t AC u AM m AE a AK h AA i AK m AE i AK k AC
tumakbo	t AC u AM m AE a AK k AC b AG ɔ AM
tumalima	t AC u AM m AE a AK l AD i AK m AE a AK
tumalon	t AC u AM m AE a AK l AD o AM n AF
tumanggi	t AC u AM m AE a AK ŋ AF ɡ AC i AK
tumapon	t AC u AM m AE a AK p AG o AM n AF
tumawa	t AC u AM m AE a AK w AI a AK
tumayo	t AC u AM m AE a AK j AB o AM ʔ AJ
tumbaga	t AC u AM m AE b AG a AK ɡ AC a AK
tumbalik	t AC u AM m AE b AG a AK l AD i AK k AC
tumbok	t AC u AM m AE b AG o AM k AC
tumbong	t AC u AM m AE b AG o AM ŋ AF
tumimos	t AC u AM m AE i AK m AE o AM s AH
tumingala	t AC u AM m AE i AK ŋ AF a AK l AD a AK ʔ AJ
tumira	t AC u AM m AE i AK ɾ BD a AK
tumirik	t AC u AM m AE i AK r BA i AK k AC
tumpang	t AC u AM m AE p AG a AK ŋ AF
tumpok	t AC u AM m AE p AG o AM k AC
tumugtog	t AC u AM m AE u AM ɡ AC t AC o AM ɡ AC
tumukso	t AC u AM m AE u AM k AC s AH o AM
tumula	t AC u AM m AE u AM l AD a AK ʔ AJ
tumulong	t AC u AM m AE u AM l AD o AM ŋ AF
tunaw	t AC u AM n AF a AK w AI
tunay	t AC u AM n AF a AK i AK
tung	t AC u AM ŋ AF
tungaw	t AC u AM ŋ AF a AK u AM
tungkab	t AC u AM ŋ AF k AC a AK b AG
tungkod	t AC u AM ŋ AF k AC o AM d AC
tungkol	t AC u AM ŋ AF k AC o AM l AD
tungkos	t AC u AM ŋ AF k AC o AM s AH
tunog	t AC u AM n AF o AM ɡ AC
tunton	t AC u AM n AF t AC o AM n AF
tunugan	t AC u AM n AF u AM ɡ AC a AK n AF
tupad	t AC u AM p AG a AK d AC
tupi	t AC u AM p AG i AK ʔ AJ
turnilyo	t AC u AM ɾ BD n AF i AK l AD j AB o AM
turok	t AC u AM ɾ BD o AM k AC
tuso	t AC u AM s AH o AM
tutol	t AC u AM t AC o AM l AD
tutubi	t AC u AM t AC u AM b AG i AK
tuwa	t AC u AM w AI a AK ʔ AJ
tuwad	t AC u AM a AK d AC
tuwalya	t AC u AM a AK l AD j AB a AK
tuwang	t AC u AM a AK ŋ AF
ty	t AC iː AL
uang	u AM ʔ AJ a AK ŋ AF
ubad	ʔ AJ u AM b AG a AK d AC
ubalde	u AM b AG a AK l AD d AC e AK
ubas	ʔ AJ u AM b AG a AK s AH
ubasan	ʔ AJ u AM b AG a AK s AH a AK n AF
ubo	ʔ AJ u AM b AG o AM ʔ AJ
udyukan	ʔ AJ u AM d AC j AB u AM k AC a AK n AF
ugat	ʔ AJ u AM ɡ AC a AK t AC
uhaw	ʔ AJ u AM h AA a AK w AI
ulam	ʔ AJ u AM l AD a AK m AE
ulep	ʔ AJ u AM l AD ɛ AK p AG
ulila	ʔ AJ u AM l AD i AK l AD a AK
uling	ʔ AJ u AM l AD i AK ŋ AF
ulo	u AM l AD o AM
umabay	ʔ AJ u AM m AE a AK b AG a AK j AB
umagahas	ʔ AJ u AM m AE a AK ɡ AC a AK h AA a AK s AH
umakyat	ʔ AJ u AM m AE a AK k AC j AB a AK t AC
umalis	ʔ AJ u AM m AE a AK l AD i AK s AH
umang	ʔ AJ u AM m AE a AK ŋ AF
umanta	ʔ AJ u AM m AE a AK n AF t AC a AK
umaraw	u AM m AE a AK r BA a AK w AI
umasa	ʔ AJ u AM m AE a AK s AH a AK
umasinta	ʔ AJ u AM m AE a AK s AH i AK n AF t AC a AK
umawat	ʔ AJ u AM m AE a AK w AI a AK t AC
umawit	ʔ AJ u AM m AE a AK w AI i AK t AC
umibig	ʔ AJ u AM m AE i AK b AG i AK ɡ AC
umihi	ʔ AJ u AM m AE i AK h AA i AK ʔ AJ
uminom	ʔ AJ u AM m AE i AK n AF o AM m AE
umiwas	ʔ AJ u AM m AE i AK w AI a AK s AH
umiyak	ʔ AJ u AM m AE i AK j AB a AK k AC
umpisa	ʔ AJ u AM m AE p AG i AK s AH a AK
umuha	ʔ AJ u AM m AE u AM h AA a AK ʔ AJ
umunlad	ʔ AJ u AM m AE u AM n AF l AD a AK d AC
umupo	ʔ AJ u AM m AE u AM p AG o AM ʔ AJ
umutot	ʔ AJ u AM m AE u AM t AC o AM t AC
umuwi	ʔ AJ u AM m AE u AM w AI i AK ʔ AJ
unan	u AM n AF a AK n AF
untalan	ʔ AJ u AM n AF t AC a AK l AD a AK n AF
upa	ʔ AJ u AM p AG a AK
upaw	ʔ AJ u AM p AG a AK w AI
uriarte	ʔ AJ u AM ɾ BD j AB a AK ɾ BD t AC ɛ AK
ursua	ʔ AJ u AM ɾ BD s AH u AM a AK
usap	ʔ AJ u AM s AH a AK p AG
usapan	u AM s AH a AK p AG a AK n AF
usisero	ʔ AJ u AM s AH i AK s AH ɛ AK ɾ BD o AM
usog	u AM s AH o AM ɡ AC
utak	ʔ AJ u AM t AC a AK k AC
utang	u AM t AC a AK ŋ AF
utong	ʔ AJ u AM t AC o AM ŋ AF
utot	ʔ AJ u AM t AC o AM t AC
uwak	ʔ AJ u AM a AK k AC
uwang	u AM w AI a AK ŋ AF
uwi	ʔ AJ u AM w AI i AK ʔ AJ
uwian	u AM w AI i AK a AK n AF
uy	u AM i AK
uyaw	ʔ AJ u AM j AB a AK w AI
valera	b AG a AK l AD ɛ AK ɾ BD a AK
valle	b AG a AK l AD l AD ɛ AK
valmores	b AG a AK l AD m AE o AM ɾ BD ɛ AK s AH
vangie	b AG a AK n AF d AC ʒ AH i AK
varias	b AG a AK ɾ BD i AK a AK s AH
varona	b AG a AK ɾ BD o AM n AF a AK
vecino	b AG ɛ AK s AH i AK n AF o AM
velarde	b AG ɛ AK l AD a AK ɾ BD d AC ɛ AK
velasquez	b AG ɛ AK l AD a AK s AH k AC ɛ AK s AH
velez	b AG ɛ AK l AD ɛ AK s AH
veloria	b AG ɛ AK l AD o AM ɾ BD j AB a AK
veneracion	b AG ɛ AK n AF ɛ AK ɾ BD a AK s AH j AB o AM n AF
venturina	b AG ɛ AK n AF t AC u AM ɾ BD i AK n AF a AK
versoza	b AG ɛ AK ɾ BD s AH o AM s AH a AK
viernes	b AG j AB ɛ AK ɾ BD n AF ɛ AK s AH
vigilante	b AG i AK d AC ʒ AH i AK l AD a AK n AF t AC e AK
villablanca	b AG i AK l AD l AD a AK b AG l AD a AK n AF k AC a AK
villacarlos	b AG i AK l AD l AD a AK k AC a AK ɾ BD l AD o AM s AH
villafranca	b AG i AK l AD l AD a AK p AG ɾ BD a AK n AF k AC a AK
villafuerte	b AG i AK l AD l AD a AK p AG w AI ɛ AK ɾ BD t AC ɛ AK
villagracia	b AG i AK l AD l AD a AK ɡ AC ɾ BD a AK s AH j AB a AK
villamater	b AG i AK l AD l AD a AK m AE a AK t AC ɛ AK ɾ BD
villamin	b AG i AK l AD l AD a AK m AE i AK n AF
villamor	b AG i AK l AD l AD a AK m AE o AM ɾ BD
villapando	b AG i AK l AD l AD a AK p AG a AK n AF d AC o AM
villareal	b AG i AK l AD l AD a AK ɾ BD ɛ AK a AK l AD
villarino	b AG i AK l AD l AD a AK ɾ BD i AK n AF o AM
villaruz	b AG i AK l AD l AD a AK ɾ BD u AM s AH
villaseñor	b AG i AK l AD l AD a AK s AH ɛ AK ɲ AF o AM ɾ BD
villasis	b AG i AK l AD l AD a AK s AH i AK s AH
villaverde	b AG i AK l AD l AD a AK b AG ɛ AK ɾ BD d AC ɛ AK
villavicencio	b AG i AK l AD l AD a AK b AG i AK s AH ɛ AK n AF s AH j AB o AM
villegas	b AG i AK l AD l AD ɛ AK ɡ AC a AK s AH
vinoya	b AG i AK n AF o AM j AB a AK
virata	b AG i AK ɾ BD a AK t AC a AK
virrey	b AG i AK ɾ BD ɾ BD ɛ AK i AK
visaya	b AG i AK s AH a AK j AB a AK ʔ AJ
volante	b AG o AM l AD a AK n AF t AC ɛ AK
waag	w AI a AK ʔ AJ a AK ɡ AC
waagan	w AI a AK ʔ AJ a AK ɡ AC a AK n AF
waak	w AI a AK ʔ AJ a AK k AC
waang	w AI a AK ʔ AJ a AK ŋ AF
wadwad	w AI a AK d AC w AI a AK d AC
wagayway	w AI a AK ɡ AC a AK j AB w AI a AK j AB
wagaywayan	w AI a AK ɡ AC a AK j AB w AI a AK j AB a AK n AF
wagi	w AI a AK ɡ AC i AK
wagiswis	w AI a AK ɡ AC i AK s AH w AI i AK s AH
wagwag	w AI a AK ɡ AC w AI a AK ɡ AC
wakaak	w AI a AK k AC a AK ʔ AJ a AK k AC
wakas	w AI a AK k AC a AK s AH
waklas	w AI a AK k AC l AD a AK s AH
wakwak	w AI a AK k AC w AI a AK k AC
wakya	w AI a AK k AC j AB a AK ʔ AJ
wala	w AI a AK l AD a AK ʔ AJ
walawad	w AI a AK l AD a AK w AI a AK d AC
waldas	w AI a AK l AD d AC a AK s AH
waley	w AI a AK l AD e AK ɪ AK
walidwid	w AI a AK l AD i AK d AC w AI i AK d AC
waling	w AI a AK l AD i AK ŋ AF
walingwaling	w AI a AK l AD i AK ŋ AF w AI a AK l AD i AK ŋ AF
waliswis	w AI a AK l AD i AK s AH w AI i AK s AH
waliwali	w AI a AK l AD i AK w AI a AK l AD i AK
walna	w AI a AK l AD n AF a AK ʔ AJ
walo	w AI a AK l AD o AM
walumpu	w AI a AK l AD u AM m AE p AG u AM ʔ AJ
walundaan	w AI a AK l AD u AM n AF d AC a AK ʔ AJ a AK n AF
walunlibo	w AI a AK l AD u AM n AF l AD i AK b AG o AM
walwal	w AI a AK l AD w AI a AK l AD
wang	w AI a AK ŋ AF
wangis	w AI a AK ŋ AF i AK s AH
wani	w AI a AK n AF i AK ʔ AJ
waray	w AI a AK ɾ BD a AK j AB
wardi	w AI a AK ɾ BD d AC i AK
wasak	w AI a AK s AH a AK k AC
watawat	w AI a AK t AC a AK w AI a AK t AC
wating	w AI a AK t AC i AK ŋ AF
wawa	w AI a AK w AI a AK ʔ AJ
webera	w AI e AK b AG e AK ɾ BD a AK
wee	w AI i AK
welga	w AI e AK l AD ɡ AC a AK
werpa	w AI e AK r BA p AG a AK
wigwig	w AI i AK ɡ AC w AI i AK ɡ AC
wika	w AI i AK k AC a AK ʔ AJ
wiklas	w AI i AK k AC l AD a AK s AH
wilik	w AI i AK l AD i AK k AC
wiliwid	w AI i AK l AD i AK w AI i AK d AC
windang	w AI i AK n AF d AC a AK ŋ AF
wingkag	w AI i AK ŋ AF k AC a AK ɡ AC
wisik	w AI i AK s AH i AK k AC
wisit	w AI i AK s AH i AK t AC
wiski	w AI i AK s AH k AC i AK
wiswis	w AI i AK s AH w AI i AK s AH
witwit	w AI i AK t AC w AI i AK t AC
wong	w AI o AM ŋ AF
wu	w AI uː AN
yaang	j AB a AK ʔ AJ a AK ŋ AF
yagban	j AB a AK ɡ AC b AG a AK n AF
yagit	j AB a AK ɡ AC i AK t AC
yakap	j AB a AK k AC a AK p AG
yalung	j AB a AK l AD u AM ŋ AF
yaman	j AB a AK m AE a AK n AF
yamutmot	j AB a AK m AE u AM t AC m AE o AM t AC
yan	j AB a AK n AF
yang	j AB a AK ŋ AF
yangasngas	j AB a AK ŋ AF a AK s AH ŋ AF a AK s AH
yangit	j AB a AK ŋ AF i AK t AC
yangot	j AB a AK ŋ AF o AM t AC
yanig	j AB a AK n AF i AK ɡ AC
yano	j AB a AK n AF o AM
yantas	j AB a AK n AF t AC a AK s AH
yantok	j AB a AK n AF t AC o AM k AC
yao	j AB a AK w AI
yaon	j AB a AK o AM n AF
yap	j AB a AK p AG
yarda	j AB a AK ɾ BD d AC a AK
yasay	j AB a AK s AH a AK i AK
yata	j AB a AK t AC a AK ʔ AJ
yatab	j AB a AK t AC a AK b AG
yatco	j AB a AK t AC k AC o AM
yate	j AB a AK t AC e AK
yatyat	j AB a AK t AC j AB a AK t AC
ybañez	ʔ AJ i AK b AG a AK ɲ AF ɛ AK s AH
yee	j AB i AK
yelo	j AB e AK l AD o AM
yepes	j AB ɛ AK p AG ɛ AK s AH
yongco	j AB ɔ AM ŋ AF k AC o AM
young	j AB ɐ AM ŋ AF
yukyok	j AB u AM k AC j AB o AM k AC
yumabang	j AB u AM m AE a AK b AG a AK ŋ AF
yumabong	j AB u AM m AE a AK b AG o AM ŋ AF
yumahod	j AB u AM m AE a AK h AA o AM d AC
yumakap	j AB u AM m AE a AK k AC a AK p AG
yumaman	j AB u AM m AE a AK m AE a AK n AF
yumamot	j AB u AM m AE a AK m AE o AM t AC
yumanig	j AB u AM m AE a AK n AF i AK ɡ AC
yumari	j AB u AM m AE a AK ɾ BD i AK ʔ AJ
yumasak	j AB u AM m AE a AK s AH a AK k AC
yumukdo	j AB u AM m AE u AM k AC d AC o AM
yumuko	j AB u AM m AE u AM k AC o AM ʔ AJ
yumurak	j AB u AM m AE u AM ɾ BD a AK k AC
yung	j AB ʊ AM ŋ AF
yungib	j AB u AM ŋ AF i AK b AG
yuvienco	j AB u AM b AG i AK ɛ AK n AF k AC o AM
yñiguez	j AB ɲ AF i AK ɡ AC ɛ AK s AH
zafra	s AH a AK p AG ɾ BD a AK
zaide	s AH a AK i AK d AC ɛ AK
zapanta	s AH a AK p AG a AK n AF t AC a AK
zavalla	s AH a AK b AG a AK l AD l AD a AK
zhang	t AC ʃ AH o AM ŋ AF
zoleta	s AH o AM l AD ɛ AK t AC a AK
zubiri	a AK b AG a AK d AC j AB a AK n AF o AM
zuñiga	s AH u AM ɲ AF i AK ɡ AC a AK
