अ	ə AG
दंपति	d̪ AB ə AG m AE p AE ə AG t̪ AB iː AG
दंपती	d̪ AB ə AG m AE p AE ə AG t̪ AB iː AG
दंभ	d̪ AB ə AG m AE bʱ AF
दंश	d̪ AB ə AG n AB ʃ AB
दक्खिन	d̪ AB ə AG k AB kʰ AC ɪ AG n AB
दक्खिनी	d̪ AB ə AG k AB kʰ AC ɪ AG n AB iː AG
दक्ष	d̪ AB ə AG k AB ʂ AB
दक्षिण	d̪ AB ə AG k AB ʂ AB ɪ AG ɳ AB
दक्षिणपंथ	d̪ AB ə AG k AB ʂ AB ɪ AG ɳ AB p AE ə AG n AB t̪ʰ AC
दक्षिणपंथी	d̪ AB ə AG k AB ʂ AB ɪ AG ɳ AB p AE ə AG n AB t̪ʰ AC iː AG
दक्षिणा	d̪ AB ə AG k AB ʂ AB ɪ AG ɳ AB ɑː AG
दक्षिणापथ	d̪ AB ə AG k AB ʂ AB ɪ AG ɳ AB ɑː AG p AE ə AG t̪ʰ AC
दख़ल	d̪ AB ə AG x AB ə AG l AD
दगला	d̪ AB ə AG ɡ AB l AD ɑː AG
दग़ा	d̪ AB ə AG ɣ AB ɑː AG
दग़ाबाज़	d̪ AB ə AG ɣ AB ɑː AG b AE ɑː AG z AB
दफतर	d̪ AB ə AG pʰ AF t̪ AB ə AG ɾ AJ
दफ़तर	d̪ AB ə AG pʰ AF t̪ AB ə AG ɾ AJ
दफ़न	d̪ AB ə AG pʰ AF ə AG n AB
दफ़नाना	d̪ AB ə AG pʰ AF n AB ɑː AG n AB ɑː AG
दफ़ा	d̪ AB ə AG pʰ AF ɑː AG
दफ़्तरशाह	d̪ AB ə AG pʰ AF t̪ AB ə AG ɾ AJ ʃ AB ɑː AG ɦ AI
दबंग	d̪ AB ə AG b AE ə AG ŋ AB ɡ AB
दबदबा	d̪ AB ə AG b AE d̪ AB ə AG b AE ɑː AG
दबाना	d̪ AB ə AG b AE ɑː AG n AB ɑː AG
दबाव	d̪ AB ə AG b AE ɑː AG ʋ AK
दबोचना	d̪ AB ə AG b AE oː AH t AB ʃ AB n AB ɑː AG
दम	d̪ AB ə AG m AE
दमन	d̪ AB ə AG m AE ə AG n AB
दमिश्क़	d̪ AB ə AG m AE ɪ AG ʃ AB q AB
दम्पति	d̪ AB ə AG m AE p AE ə AG t̪ AB iː AG
दम्पती	d̪ AB ə AG m AE p AE ə AG t̪ AB iː AG
दया	d̪ AB ə AG j AA ɑː AG
दर	d̪ AB ə AG ɾ AJ
दरअसल	d̪ AB ə AG ɾ AJ ə AG s AB ə AG l AD
दरख़ास्त	d̪ AB ə AG ɾ AJ x AB ɑː AG s AB t̪ AB
दरख़्त	d̪ AB ə AG ɾ AJ ə AG x AB t̪ AB
दरगाह	d̪ AB ə AG ɾ AJ ɡ AB ɑː AG ɦ AI
दरबार	d̪ AB ə AG ɾ AJ b AE ɑː AG ɾ AJ
दरमियान	d̪ AB ə AG ɾ AJ m AE ɪ AG j AA ɑː AG n AB
दरमियानी	d̪ AB ə AG ɾ AJ m AE ɪ AG j AA ɑː AG n AB iː AG
दरवाज़ा	d̪ AB ə AG ɾ AJ ʋ AK ɑː AG z AB ɑː AG
दरवेश	d̪ AB ə AG ɾ AJ ʋ AK eː AG ʃ AB
दरांती	d̪ AB ə AG ɾ AJ ɑː AG n AB t̪ AB iː AG
दराज़	d̪ AB ə AG ɾ AJ ɑː AG z AB
दरार	d̪ AB ə AG ɾ AJ ɑː AG ɾ AJ
दरिंदा	d̪ AB ə AG ɾ AJ ɪ AG n AB d̪ AB ɑː AG
दरियाई	d̪ AB ə AG ɾ AJ ɪ AG j AA ɑː AG iː AG
दरी	d̪ AB ə AG ɾ AJ iː AG
दरोग़ा	d̪ AB ə AG ɾ AJ oː AH ɣ AB ɑː AG
दर्ज	d̪ AB ə AG ɾ AJ d AB ʒ AB
दर्ज़ी	d̪ AB ə AG ɾ AJ z AB iː AG
दर्जा	d̪ AB ə AG ɾ AJ d AB ʒ AB ɑː AG
दर्द	d̪ AB ə AG ɾ AJ d̪ AB
दर्दनाक	d̪ AB ə AG ɾ AJ d̪ AB n AB ɑː AG k AB
दर्पण	d̪ AB ə AG ɾ AJ p AE ə AG ɳ AB
दर्शक	d̪ AB ə AG ɾ AJ ʃ AB ə AG k AB
दर्शन	d̪ AB ə AG ɾ AJ ʃ AB ə AG n AB
दर्शाना	d̪ AB ə AG ɾ AJ ʃ AB ɑː AG n AB ɑː AG
दल	d̪ AB ə AG l AD
दलदल	d̪ AB ə AG l AD d̪ AB ə AG l AD
दलबदलू	d̪ AB ə AG l AD b AE ə AG d̪ AB l AD uː AH
दलहन	d̪ AB ə AG l AD ɦ AI ə AG n AB
दलाल	d̪ AB ə AG l AD ɑː AG l AD
दलित	d̪ AB ə AG l AD ɪ AG t̪ AB
दलील	d̪ AB ə AG l AD iː AG l AD
दवा	d̪ AB ə AG ʋ AK ɑː AG
दवाई	d̪ AB ə AG ʋ AK ɑː AG iː AG
दवाख़ाना	d̪ AB ə AG ʋ AK ɑː AG x AB ɑː AG n AB ɑː AG
दवाखाना	d̪ AB ə AG ʋ AK ɑː AG x AB ɑː AG n AB ɑː AG
दवात	d̪ AB ə AG ʋ AK ɑː AG t̪ AB
दशम	d̪ AB ə AG ʃ AB ə AG m AE
दशमलव	d̪ AB ə AG ʃ AB ə AG m AE l AD ə AG ʋ AK
दशहरा	d̪ AB ə AG ʃ AB ə AG ɦ AI ɾ AJ ɑː AG
दस	d̪ AB ə AG s AB
दस्यु	d̪ AB ə AG s AB j AA uː AH
दहन	d̪ AB ə AG ɦ AI ə AG n AB
दहना	d̪ AB ə AG ɦ AI n AB ɑː AG
दहलना	d̪ AB ə AG ɦ AI ə AG l AD n AB ɑː AG
दहला	d̪ AB ə AG ɦ AI l AD ɑː AG
दहलीज़	d̪ AB ə AG ɦ AI l AD iː AG z AB
दहशत	d̪ AB ə AG ɦ AI ʃ AB ə AG t̪ AB
दही	d̪ AB ə AG ɦ AI iː AG
दहेज़	d̪ AB ə AG ɦ AI eː AG z AB
दाँत	d̪ AB ɑ̃ː AG t̪ AB
दाँव	d̪ AB ɑ̃ː AG ʋ AK
दांत	d̪ AB ɑ̃ː AG t̪ AB
दाई	d̪ AB ɑː AG iː AG
दाएँ	d̪ AB ɑː AG ẽː
दाख़िल	d̪ AB ɑː AG x AB ɪ AG l AD
दाख़िला	d̪ AB ɑː AG x AB ɪ AG l AD ɑː AG
दाग़	d̪ AB ɑː AG ɣ AB
दाग़ना	d̪ AB ɑː AG ɣ AB n AB ɑː AG
दाड़िम	d̪ AB ɑː AG ɽ AJ ɪ AG m AE
दाढ़	d̪ AB ɑː AG ɽʱ AL
दाढ़ी	d̪ AB ɑː AG ɽʱ AL iː AG
दाता	d̪ AB ɑː AG t̪ AB ɑː AG
दाताओ	d̪ AB ɑː AG t̪ AB ɑː AG oː AH
दाताओं	d̪ AB ɑː AG t̪ AB ɑː AG õː
दादरा	d̪ AB ɑː AG d̪ AB ɾ AJ ɑː AG
दादस	d̪ AB ɑː AG d̪ AB ə AG s AB
दादसरा	d̪ AB ɑː AG d̪ AB ə AG s AB ɾ AJ ɑː AG
दादा	d̪ AB ɑː AG d̪ AB ɑː AG
दादी	d̪ AB ɑː AG d̪ AB iː AG
दादुर	d̪ AB ɑː AG d̪ AB ʊ AH ɾ AJ
दान	d̪ AB ɑː AG n AB
दाना	d̪ AB ɑː AG n AB ɑː AG
दाब	d̪ AB ɑː AG b AE
दाम	d̪ AB ɑː AG m AE
दामन	d̪ AB ɑː AG m AE ə AG n AB
दामाद	d̪ AB ɑː AG m AE ɑː AG d̪ AB
दायर	d̪ AB ɑː AG j AA ə AG ɾ AJ
दायाँ	d̪ AB ɑː AG j AA ɑ̃ː AG
दायित्ववान	d̪ AB ɑː AG j AA ɪ AG t̪ AB ʋ AK ə AG ʋ AK ɑː AG n AB
दायित्ववान्	d̪ AB ɑː AG j AA ɪ AG t̪ AB ʋ AK ə AG ʋ AK ɑː AG n AB
दायित्वशील	d̪ AB ɑː AG j AA ɪ AG t̪ AB ʋ AK ə AG ʃ AB iː AG l AD
दायित्वहीन	d̪ AB ɑː AG j AA ɪ AG t̪ AB ʋ AK ə AG ɦ AI iː AG n AB
दायी	d̪ AB ɑː AG j AA iː AG
दार	d̪ AB ɑː AG ɾ AJ
दारचीनी	d̪ AB ɑː AG ɾ AJ t AB ʃ AB iː AG n AB iː AG
दारु	d̪ AB ɑː AG ɾ AJ uː AH
दारुलहुकूमत	d̪ AB ɑː AG ɾ AJ ʊ AH l AD ɦ AI ʊ AH k AB uː AH m AE ə AG t̪ AB
दारू	d̪ AB ɑː AG ɾ AJ uː AH
दाल	d̪ AB ɑː AG l AD
दालचीनी	d̪ AB ɑː AG l AD t AB ʃ AB iː AG n AB iː AG
दावत	d̪ AB ɑː AG ʋ AK ə AG t̪ AB
दावा	d̪ AB ɑː AG ʋ AK ɑː AG
दावेदार	d̪ AB ɑː AG ʋ AK eː AG d̪ AB ɑː AG ɾ AJ
दास	d̪ AB ɑː AG s AB
दासप्रथा	d̪ AB ɑː AG s AB p AE ɾ AJ ə AG t̪ʰ AC ɑː AG
दास्तान	d̪ AB ɑː AG s AB t̪ AB ɑː AG n AB
दाहिना	d̪ AB ɑː AG ɦ AI ɪ AG n AB ɑː AG
दाहिने	d̪ AB ɑː AG ɦ AI ɪ AG n AB eː AG
दिक़्क़त	d̪ AB ɪ AG q AB q AB ə AG t̪ AB
दिक्पात	d̪ AB ɪ AG k AB p AE ɑː AG t̪ AB
दिखाई	d̪ AB ɪ AG kʰ AC ɑː AG iː AG
दिखाऊ	d̪ AB ɪ AG kʰ AC ɑː AG uː AH
दिखाना	d̪ AB ɪ AG kʰ AC ɑː AG n AB ɑː AG
दिखावा	d̪ AB ɪ AG kʰ AC ɑː AG ʋ AK ɑː AG
दिगंबर	d̪ AB ɪ AG ɡ AB ə AG m AE b AE ə AG ɾ AJ
दिग्गज	d̪ AB ɪ AG ɡ AB ɡ AB ə AG d AB ʒ AB
दिन	d̪ AB ɪ AG n AB
दिनभर	d̪ AB ɪ AG n AB bʱ AF ə AG ɾ AJ
दिनांकित	d̪ AB ɪ AG n AB ɑ̃ː AG k AB ɪ AG t̪ AB
दिनेश	d̪ AB ɪ AG n AB eː AG ʃ AB
दिमाग़	d̪ AB ɪ AG m AE ɑː AG ɣ AB
दिया	d̪ AB ɪ AG j AA ɑː AG
दिरम	d̪ AB ɪ AG ɾ AJ ə AG m AE
दिल	d̪ AB ɪ AG l AD
दिलचस्प	d̪ AB ɪ AG l AD t AB ʃ AB ə AG s AB p AE
दिलचस्पी	d̪ AB ɪ AG l AD t AB ʃ AB ə AG s AB p AE iː AG
दिलबर	d̪ AB ɪ AG l AD b AE ə AG ɾ AJ
दिलरुबा	d̪ AB ɪ AG l AD ɾ AJ ʊ AH b AE ɑː AG
दिलासा	d̪ AB ɪ AG l AD ɑː AG s AB ɑː AG
दिली	d̪ AB ɪ AG l AD iː AG
दिलेरी	d̪ AB ɪ AG l AD eː AG ɾ AJ iː AG
दिल्ली	d̪ AB ɪ AG l AD l AD iː AG
दिल्लीवाला	d̪ AB ɪ AG l AD l AD iː AG ʋ AK ɑː AG l AD ɑː AG
दिवस	d̪ AB ɪ AG ʋ AK ə AG s AB
दिवाली	d̪ AB ɪ AG ʋ AK ɑː AG l AD iː AG
दिवि	d̪ AB ɪ AG ʋ AK iː AG
दिव्यांग	d̪ AB ɪ AG ʋ AK j AA ɑː AG ŋ AB ɡ AB
दिशानिर्देश	d̪ AB ɪ AG ʃ AB ɑː AG n AB ɪ AG ɾ AJ d̪ AB eː AG ʃ AB
दिसंबर	d̪ AB ɪ AG s AB ə AG m AE b AE ə AG ɾ AJ
दिहाड़ी	d̪ AB ɪ AG ɦ AI ɑː AG ɽ AJ iː AG
दीठ	d̪ AB iː AG ʈʰ AC
दीदार	d̪ AB iː AG d̪ AB ɑː AG ɾ AJ
दीन	d̪ AB iː AG n AB
दीनार	d̪ AB iː AG n AB ɑː AG ɾ AJ
दीपक	d̪ AB iː AG p AE ə AG k AB
दीपावली	d̪ AB iː AG p AE ɑː AG ʋ AK l AD iː AG
दीपिका	d̪ AB iː AG p AE ɪ AG k AB ɑː AG
दीया	d̪ AB iː AG j AA ɑː AG
दीर्घ	d̪ AB iː AG ɾ AJ ɡʱ AC
दीवट	d̪ AB iː AG ʋ AK ə AG ʈ AB
दीवान	d̪ AB iː AG ʋ AK ɑː AG n AB
दीवानगी	d̪ AB iː AG ʋ AK ɑː AG n AB ɡ AB iː AG
दीवाना	d̪ AB iː AG ʋ AK ɑː AG n AB ɑː AG
दीवार	d̪ AB iː AG ʋ AK ɑː AG ɾ AJ
दुःख	d̪ AB ʊ AH kʰ AC
दुःखी	d̪ AB ʊ AH ɦ AI kʰ AC iː AG
दुःस्वप्न	d̪ AB ʊ AH ɦ AI s AB ʋ AK ə AG p AE n AB ə AG
दुअन्नी	d̪ AB ʊ AH ə AG n AB n AB iː AG
दुआ	d̪ AB ʊ AH ɑː AG
दुकान	d̪ AB ʊ AH k AB ɑː AG n AB
दुक्की	d̪ AB ʊ AH k AB k AB iː AG
दुख	d̪ AB ʊ AH kʰ AC
दुख़्तर	d̪ AB ʊ AH x AB t̪ AB ə AG ɾ AJ
दुखी	d̪ AB ʊ AH kʰ AC iː AG
दुगना	d̪ AB ʊ AH ɡ AB n AB ɑː AG
दुत	d̪ AB ʊ AH t̪ AB
दुनाली	d̪ AB ʊ AH n AB ɑː AG l AD iː AG
दुनिया	d̪ AB ʊ AH n AB ɪ AG j AA ɑː AG
दुनियाएँ	d̪ AB ʊ AH n AB ɪ AG j AA ɑː AG ẽː
दुपट्टा	d̪ AB ʊ AH p AE ə AG ʈ AB ʈ AB ɑː AG
दुपहिया	d̪ AB ʊ AH p AE ə AG ɦ AI ɪ AG j AA ɑː AG
दुबई	d̪ AB ʊ AH b AE ə AG iː AG
दुभाषिया	d̪ AB ʊ AH bʱ AF ɑː AG ʂ AB ɪ AG j AA ɑː AG
दुमन	d̪ AB ʊ AH m AE ə AG n AB
दुराघ्री	d̪ AB ʊ AH ɾ AJ ɑː AG ɡʱ AC ɾ AJ iː AG
दुरुपयोग	d̪ AB ʊ AH ɾ AJ ʊ AH p AE j AA oː AH ɡ AB
दुरुस्त	d̪ AB ʊ AH ɾ AJ ʊ AH s AB t̪ AB
दुर्ग	d̪ AB ʊ AH ɾ AJ ɡ AB
दुर्गंध	d̪ AB ʊ AH ɾ AJ ɡ AB ə AG n AB d̪ʱ AC
दुर्गन्ध	d̪ AB ʊ AH ɾ AJ ɡ AB ə AG n AB d̪ʱ AC
दुर्घटनाग्रस्त	d̪ AB ʊ AH ɾ AJ ɡʱ AC ə AG ʈ AB n AB ɑː AG ɡ AB ɾ AJ ə AG s AB t̪ AB
दुर्भाग्यवश	d̪ AB ʊ AH ɾ AJ bʱ AF ɑː AG ɡ AB j AA ə AG ʋ AK ə AG ʃ AB
दुर्भावना	d̪ AB ʊ AH ɾ AJ bʱ AF ɑː AG ʋ AK n AB ɑː AG
दुर्भावनापूर्ण	d̪ AB ʊ AH ɾ AJ bʱ AF ɑː AG ʋ AK n AB ɑː AG p AE uː AH ɾ AJ ɳ AB
दुर्मना	d̪ AB ʊ AH ɾ AJ m AE ə AG n AB ɑː AG
दुर्व्यवहार	d̪ AB ʊ AH ɾ AJ ʋ AK j AA ə AG ʋ AK ɦ AI ɑː AG ɾ AJ
दुश्मन	d̪ AB ʊ AH ʃ AB m AE ə AG n AB
दुश्वार	d̪ AB ʊ AH ʃ AB ʋ AK ɑː AG ɾ AJ
दुष्ट	d̪ AB ʊ AH ʂ AB ʈ AB
दुष्परिणाम	d̪ AB ʊ AH ʂ AB p AE ə AG ɾ AJ ɪ AG ɳ AB ɑː AG m AE
दुस्साहस	d̪ AB ʊ AH s AB s AB ɑː AG ɦ AI ə AG s AB
दुहाई	d̪ AB ʊ AH ɦ AI ɑː AG iː AG
दूँगा	d̪ AB uː AH ŋ AB ɡ AB ɑː AG
दूकान	d̪ AB uː AH k AB ɑː AG n AB
दूज	d̪ AB uː AH d AB ʒ AB
दूतावास	d̪ AB uː AH t̪ AB ɑː AG ʋ AK ɑː AG s AB
दूध	d̪ AB uː AH d̪ʱ AC
दूधमुँहा	d̪ AB uː AH d̪ʱ AC m AE ʊ̃ AH ɦ AI ɑː AG
दूधिया	d̪ AB uː AH d̪ʱ AC ɪ AG j AA ɑː AG
दूधी	d̪ AB uː AH d̪ʱ AC iː AG
दूना	d̪ AB uː AH n AB ɑː AG
दूब	d̪ AB uː AH b AE
दूर	d̪ AB uː AH ɾ AJ
दूरदर्शन	d̪ AB uː AH ɾ AJ d̪ AB ə AG ɾ AJ ʃ AB ə AG n AB
दूरदर्शिता	d̪ AB uː AH ɾ AJ d̪ AB ə AG ɾ AJ ʃ AB ɪ AG t̪ AB ɑː AG
दूरबीन	d̪ AB uː AH ɾ AJ b AE iː AG n AB
दूरभाष	d̪ AB uː AH ɾ AJ bʱ AF ɑː AG ʂ AB
दूरलेख	d̪ AB uː AH ɾ AJ l AD eː AG kʰ AC
दूरी	d̪ AB uː AH ɾ AJ iː AG
दूरीकरण	d̪ AB uː AH ɾ AJ iː AG k AB ə AG ɾ AJ ə AG ɳ AB
दूल्हा	d̪ AB uː AH l AD ɦ AI ɑː AG
दूसरा	d̪ AB uː AH s AB ɾ AJ ɑː AG
दूसरे	d̪ AB uː AH s AB ɾ AJ eː AG
दृग	d̪ AB ɾ AJ ɪ AG ɡ AB
दृढ़	d̪ AB ɾ AJ ɪ AG ɽʱ AL
दृढ़तापूर्वक	d̪ AB ɾ AJ ɪ AG ɽʱ AL t̪ AB ɑː AG p AE uː AH ɾ AJ ʋ AK ə AG k AB
दृढ़संकल्प	d̪ AB ɾ AJ ɪ AG ɽʱ AL s AB ə AG ŋ AB k AB ə AG l AD p AE
दृष्टि	d̪ AB ɾ AJ ɪ AG ʂ AB ʈ AB iː AG
दृष्टिपटल	d̪ AB ɾ AJ ɪ AG ʂ AB ʈ AB ɪ AG p AE ʈ AB ə AG l AD
दे	d̪ AB eː AG
देख	d̪ AB eː AG kʰ AC
देखकर	d̪ AB eː AG kʰ AC k AB ə AG ɾ AJ
देखके	d̪ AB eː AG kʰ AC k AB eː AG
देखना	d̪ AB eː AG kʰ AC n AB ɑː AG
देखने	d̪ AB eː AG kʰ AC n AB eː AG
देखनेवाला	d̪ AB eː AG kʰ AC n AB eː AG ʋ AK ɑː AG l AD ɑː AG
देखभाल	d̪ AB eː AG kʰ AC bʱ AF ɑː AG l AD
देखादेखी	d̪ AB eː AG kʰ AC ɑː AG d̪ AB eː AG kʰ AC iː AG
देखिए	d̪ AB eː AG kʰ AC ɪ AG eː AG
देखो	d̪ AB eː AG kʰ AC oː AH
देन	d̪ AB eː AG n AB
देना	d̪ AB eː AG n AB ɑː AG
देने	d̪ AB eː AG n AB eː AG
देर	d̪ AB eː AG ɾ AJ
देव	d̪ AB eː AG ʋ AK
देवता	d̪ AB eː AG ʋ AK t̪ AB ɑː AG
देवदार	d̪ AB eː AG ʋ AK d̪ AB ɑː AG ɾ AJ
देवनागरी	d̪ AB eː AG ʋ AK n AB ɑː AG ɡ AB ɾ AJ iː AG
देवभाषा	d̪ AB eː AG ʋ AK bʱ AF ɑː AG ʂ AB ɑː AG
देवल	d̪ AB eː AG ʋ AK ə AG l AD
देवी	d̪ AB eː AG ʋ AK iː AG
देश	d̪ AB eː AG ʃ AB
देशभक्त	d̪ AB eː AG ʃ AB bʱ AF ə AG k AB t̪ AB
देशभक्ति	d̪ AB eː AG ʃ AB bʱ AF ə AG k AB t̪ AB iː AG
देशव्यापी	d̪ AB eː AG ʃ AB ə AG ʋ AK j AA ɑː AG p AE iː AG
देशी	d̪ AB eː AG ʃ AB iː AG
देसी	d̪ AB eː AG s AB iː AG
देहकान	d̪ AB eː AG ɦ AI k AB ɑː AG n AB
देहरा	d̪ AB eː AG ɦ AI ɾ AJ ɑː AG
देहरादून	d̪ AB eː AG ɦ AI ɾ AJ ɑː AG d̪ AB uː AH n AB
देहली	d̪ AB eː AG ɦ AI l AD iː AG
देहांत	d̪ AB eː AG ɦ AI ɑː AG n AB t̪ AB
देहात	d̪ AB eː AG ɦ AI ɑː AG t̪ AB
देहाती	d̪ AB eː AG ɦ AI ɑː AG t̪ AB iː AG
दैत	d̪ AB ɛː AG t̪ AB
दैनिक	d̪ AB ɛː AG n AB ɪ AG k AB
दैव	d̪ AB ɛː AG ʋ AK
दो	d̪ AB oː AH
दोआब	d̪ AB oː AH ɑː AG b AE
दोगुना	d̪ AB oː AH ɡ AB ʊ AH n AB ɑː AG
दोपहर	d̪ AB oː AH p AE ə AG ɦ AI ə AG ɾ AJ
दोष	d̪ AB oː AH ʂ AB
दोषपूर्ण	d̪ AB oː AH ʂ AB p AE uː AH ɾ AJ ɳ AB
दोषमुक्ति	d̪ AB oː AH ʂ AB m AE ʊ AH k AB t̪ AB iː AG
दोषी	d̪ AB oː AH ʂ AB iː AG
दोस्त	d̪ AB oː AH s AB t̪ AB
दोहरना	d̪ AB oː AH ɦ AI ə AG ɾ AJ n AB ɑː AG
दोहा	d̪ AB oː AH ɦ AI ɑː AG
दौड़	d̪ AB ɔː AH ɽ AJ
दौड़ाई	d̪ AB ɔː AH ɽ AJ ɑː AG iː AG
दौड़ाना	d̪ AB ɔː AH ɽ AJ ɑː AG n AB ɑː AG
दौर	d̪ AB ɔː AH ɾ AJ
दौरा	d̪ AB ɔː AH ɾ AJ ɑː AG
दौरान	d̪ AB ɔː AH ɾ AJ ɑː AG n AB
दौलतमंद	d̪ AB ɔː AH l AD ə AG t̪ AB m AE ə AG n AB d̪ AB
द्रविड़	d̪ AB ɾ AJ ə AG ʋ AK ɪ AG ɽ AJ
द्रव्यमान	d̪ AB ɾ AJ ə AG ʋ AK j AA ə AG m AE ɑː AG n AB
द्राक्षिरा	d̪ AB ɾ AJ ɑː AG k AB ʂ AB ɪ AG ɾ AJ ɑː AG
द्रुतगामी	d̪ AB ɾ AJ ʊ AH t̪ AB ɡ AB ɑː AG m AE iː AG
द्वंद्व	d̪ AB ʋ AK ə AG n AB d̪ AB ʋ AK ə AG
द्वार	d̪ AB ʋ AK ɑː AG ɾ AJ
द्वारा	d̪ AB ʋ AK ɑː AG ɾ AJ ɑː AG
द्विध्रुव	d̪ AB ʋ AK ɪ AG d̪ʱ AC ɾ AJ ʊ AH ʋ AK
द्विर	d̪ AB ʋ AK ɪ AG ɾ AJ
द्विरेफ	d̪ AB ʋ AK ɪ AG ɾ AJ eː AG pʰ AF
ध	d̪ʱ AC ə AG
धँसना	d̪ʱ AC ə̃ AG s AB n AB ɑː AG
धंधा	d̪ʱ AC ə AG n AB d̪ʱ AC ɑː AG
धकेलना	d̪ʱ AC ə AG k AB eː AG l AD n AB ɑː AG
धज्जी	d̪ʱ AC ə AG d AB ʒ AB d AB ʒ AB iː AG
धड़कन	d̪ʱ AC ə AG ɽ AJ k AB ə AG n AB
धड़ल्ला	d̪ʱ AC ə AG ɽ AJ ə AG l AD l AD ɑː AG
धन	d̪ʱ AC ə AG n AB
धनगढी	d̪ʱ AC ə AG n AB ə AG ɡ AB ɖʱ AC iː AG
धनतेरस	d̪ʱ AC ə AG n AB t̪ AB eː AG ɾ AJ ə AG s AB
धनबाद	d̪ʱ AC ə AG n AB b AE ɑː AG d̪ AB
धनराशि	d̪ʱ AC ə AG n AB ɾ AJ ɑː AG ʃ AB iː AG
धनवान	d̪ʱ AC ə AG n AB ʋ AK ɑː AG n AB
धनादेश	d̪ʱ AC ə AG n AB ɑː AG d̪ AB eː AG ʃ AB
धनायन	d̪ʱ AC ə AG n AB ɑː AG j AA ə AG n AB
धनिया	d̪ʱ AC ə AG n AB ɪ AG j AA ɑː AG
धनी	d̪ʱ AC ə AG n AB iː AG
धनुर्विद्या	d̪ʱ AC ə AG n AB ʊ AH ɾ AJ ʋ AK ɪ AG d̪ AB j AA ɑː AG
धन्यवाद	d̪ʱ AC ə AG n AB j AA ə AG ʋ AK ɑː AG d̪ AB
धब्बा	d̪ʱ AC ə AG b AE b AE ɑː AG
धमकाना	d̪ʱ AC ə AG m AE k AB ɑː AG n AB ɑː AG
धमकी	d̪ʱ AC ə AG m AE k AB iː AG
धमनी	d̪ʱ AC ə AG m AE n AB iː AG
धमाका	d̪ʱ AC ə AG m AE ɑː AG k AB ɑː AG
धरती	d̪ʱ AC ə AG ɾ AJ t̪ AB iː AG
धरना	d̪ʱ AC ə AG ɾ AJ n AB ɑː AG
धरपकड़	d̪ʱ AC ə AG ɾ AJ p AE ə AG k AB ə AG ɽ AJ
धरातल	d̪ʱ AC ə AG ɾ AJ ɑː AG t̪ AB ə AG l AD
धरान	d̪ʱ AC ə AG ɾ AJ ɑː AG n AB
धरोहर	d̪ʱ AC ə AG ɾ AJ oː AH ɦ AI ə AG ɾ AJ
धर्म	d̪ʱ AC ə AG ɾ AJ m AE
धर्मनिरपेक्ष	d̪ʱ AC ə AG ɾ AJ m AE n AB ɪ AG ɾ AJ p AE eː AG k AB ʂ AB
धर्मनिरपेक्षता	d̪ʱ AC ə AG ɾ AJ m AE n AB ɪ AG ɾ AJ p AE eː AG k AB ʂ AB t̪ AB ɑː AG
धर्मपरायण	d̪ʱ AC ə AG ɾ AJ m AE p AE ə AG ɾ AJ ɑː AG j AA ə AG ɳ AB
धर्मभूमि	d̪ʱ AC ə AG ɾ AJ m AE bʱ AF uː AH m AE iː AG
धर्मशाला	d̪ʱ AC ə AG ɾ AJ m AE ʃ AB ɑː AG l AD ɑː AG
धर्मस्थल	d̪ʱ AC ə AG ɾ AJ m AE s AB t̪ʰ AC ə AG l AD
धर्मस्थलो	d̪ʱ AC ə AG ɾ AJ m AE ə AG s AB t̪ʰ AC ə AG l AD oː AH
धर्मस्थलों	d̪ʱ AC ə AG ɾ AJ m AE ə AG s AB t̪ʰ AC ə AG l AD õː
धर्मार्थ	d̪ʱ AC ə AG ɾ AJ m AE ɑː AG ɾ AJ t̪ʰ AC
धाकड़	d̪ʱ AC ɑː AG k AB ə AG ɽ AJ
धातुकर्म	d̪ʱ AC ɑː AG t̪ AB ʊ AH k AB ə AG ɾ AJ m AE
धान	d̪ʱ AC ɑː AG n AB
धान्य	d̪ʱ AC ɑː AG n AB j AA ə AG
धाम	d̪ʱ AC ɑː AG m AE
धारणा	d̪ʱ AC ɑː AG ɾ AJ ɳ AB ɑː AG
धारा	d̪ʱ AC ɑː AG ɾ AJ ɑː AG
धारित	d̪ʱ AC ɑː AG ɾ AJ ɪ AG t̪ AB
धार्मिक	d̪ʱ AC ɑː AG ɾ AJ m AE ɪ AG k AB
धावा	d̪ʱ AC ɑː AG ʋ AK ɑː AG
धीरा	d̪ʱ AC iː AG ɾ AJ ɑː AG
धीरे	d̪ʱ AC iː AG ɾ AJ eː AG
धुंध	d̪ʱ AC ʊ AH n AB d̪ʱ AC
धुंधला	d̪ʱ AC ʊ AH n AB d̪ʱ AC l AD ɑː AG
धुन्नी	d̪ʱ AC ʊ AH n AB n AB iː AG
धुलना	d̪ʱ AC ʊ AH l AD n AB ɑː AG
धूआँ	d̪ʱ AC uː AH ɑ̃ː AG
धूप	d̪ʱ AC uː AH p AE
धूम	d̪ʱ AC uː AH m AE
धूर्तता	d̪ʱ AC uː AH ɾ AJ t̪ AB ə AG t̪ AB ɑː AG
धूल	d̪ʱ AC uː AH l AD
धूलि	d̪ʱ AC uː AH l AD iː AG
धोखा	d̪ʱ AC oː AH kʰ AC ɑː AG
धोखाधड़ी	d̪ʱ AC oː AH kʰ AC ɑː AG d̪ʱ AC ə AG ɽ AJ iː AG
