अ	ə AF
फ़ासला	pʰ ɑː AB s l ɑː AB
फ़ासिला	pʰ ɑː AB s ɪ AF l ɑː AB
फ़िजी	pʰ ɪ AF d ʒ iː AB
फ़ितरत	pʰ ɪ AF t̪ ɾ ə AF t̪
फ़ितूर	pʰ ɪ AF t̪ uː AC ɾ
फ़िदा	pʰ ɪ AF d̪ ɑː AB
फ़िदायीन	pʰ ɪ AF d̪ ɑː AB j AA iː AB n
फ़िनलैंड	pʰ ɪ AF n l ɛː AB ɳ ɖ
फ़िरंग	pʰ ɪ AF ɾ ə AF ŋ ɡ
फ़िरंगी	pʰ ɪ AF ɾ ə AF ŋ ɡ iː AB
फ़िराक़	pʰ ɪ AF ɾ ɑː AB k
फ़िरिश्ता	pʰ ɪ AF ɾ ɪ AF ʃ t̪ ɑː AB
फ़िरौन	pʰ ɪ AF ɾ ɔː AC n
फ़िलहाल	pʰ ɪ AF l ɦ AE ɑː AB l
फ़िलिस्तीनी	pʰ ɪ AF l ɪ AF s t̪ iː AB n iː AB
फ़िलीपीन्स	pʰ ɪ AF l iː AB p iː AB n s
फ़िल्म	pʰ ɪ AF l ə AF m
फ़ीता	pʰ iː AB t̪ ɑː AB
फ़ीलपाँव	pʰ iː AB l p ɑ̃ː AH ʋ AI
फ़ील्मी	pʰ iː AB l m iː AB
फ़ीस	pʰ iː AB s
फ़ीसद	pʰ iː AB s ə AF d̪
फ़ुर्क़त	pʰ ʊ AD ɾ k ə AF t̪
फ़ुर्सत	pʰ ʊ AD ɾ s ə AF t̪
फ़ेसबुक	pʰ eː AB s b ʊ AD k
फ़ेहरिस्त	pʰ eː AB ɦ AE ɾ ɪ AF s t̪
फ़ैक्टरी	pʰ ɛː AB k ʈ ɾ iː AB
फ़ैज़	pʰ ɛː AB d ʒ
फ़ैज़ाबाद	pʰ ɛː AB d ʒ ɑː AB b ɑː AB d̪
फ़ैसलाबाद	pʰ ɛː AB s l ɑː AB b ɑː AB d̪
फ़ोटो	pʰ oː AC ʈ oː AC
फ़ोन	pʰ oː AC n
फ़ौज	pʰ ɔː AC d ʒ
फ़ौजी	pʰ ɔː AC d ʒ iː AB
फ़ौरन	pʰ ɔː AC ɾ ə AF n
फ़्राँस	pʰ ɾ ɑ̃ː AH s
फ़्राँसीसी	pʰ ɾ ɑ̃ː AH s iː AB s iː AB
फ़्रांसीसी	pʰ ɾ ɑː AB n s iː AB s iː AB
फ़्रान्सीसी	pʰ ɾ ɑː AB n s iː AB s iː AB
फ़्रिज	pʰ ɾ ɪ AF d ʒ
फ़्रेन्चाइज़	pʰ ɾ eː AB n t ʃ ɑː AB ɪ AF d ʒ
फ़्लैट	pʰ l ɛː AB ʈ
फ़्लोरिडा	pʰ l oː AC ɾ ɪ AF ɖ ɑː AB
फाँसी	pʰ ɑ̃ː AH s iː AB
फाड़ी	pʰ ɑː AB ɽ iː AB
फाफड़ा	pʰ ɑː AB pʰ ɽ ɑː AB
फायदा	pʰ ɑː AB j AA d̪ ɑː AB
फालतू	pʰ ɑː AB l t̪ uː AC
फालसा	pʰ ɑː AB l s ɑː AB
फाल्गुन	pʰ ɑː AB l ɡ ʊ AD n
फावड़ा	pʰ ɑː AB ʋ AI ɽ ɑː AB
फिटकरी	pʰ ɪ AF ʈ k ə AF ɾ iː AB
फिर	pʰ ɪ AF ɾ
फिरकी	pʰ ɪ AF ɾ k iː AB
फिरना	pʰ ɪ AF ɾ n ɑː AB
फिल्म	pʰ ɪ AF l m
फिल्मी	pʰ ɪ AF l m iː AB
फिसलन	pʰ ɪ AF s l ə AF n
फिसलना	pʰ ɪ AF s ə AF l n ɑː AB
फीका	pʰ iː AB k ɑː AB
फीणी	pʰ iː AB ɳ iː AB
फुंसी	pʰ ʊ AD n s iː AB
फुदकना	pʰ ʊ AD d̪ ə AF k n ɑː AB
फुनगी	pʰ ʊ AD n ɡ iː AB
फुर्ती	pʰ ʊ AD ɾ t̪ iː AB
फुलका	pʰ ʊ AD l k ɑː AB
फुलझड़ी	pʰ ʊ AD l d ʒʱ ə AF ɽ iː AB
फुसफुसाना	pʰ ʊ AD s pʰ ʊ AD s ɑː AB n ɑː AB
फुहार	pʰ ʊ AD ɦ AE ɑː AB ɾ
फूंक	pʰ ũː k
फूफा	pʰ uː AC pʰ ɑː AB
फूल	pʰ uː AC l
फूलदान	pʰ uː AC l d̪ ɑː AB n
फूलना	pʰ uː AC l n ɑː AB
फूलो	pʰ uː AC l oː AC
फूलों	pʰ uː AC l õː
फेंक	pʰ eː AB ŋ k
फेंकना	pʰ eː AB ŋ k n ɑː AB
फेफड़ा	pʰ eː AB pʰ ɽ ɑː AB
फेफडे	pʰ eː AB pʰ ɽ eː AB
फेरी	pʰ eː AB ɾ iː AB
फेसबुक	pʰ eː AB s b ʊ AD k
फैलना	pʰ ɛː AB l n ɑː AB
फैलाव	pʰ ɛː AB l ɑː AB ʋ AI
फैसला	pʰ ɛː AB s l ɑː AB
फोकट	pʰ oː AC k ə AF ʈ
फोड़	pʰ oː AC ɽ
फोड़ा	pʰ oː AC ɽ ɑː AB
फोन	pʰ oː AC n
फौज	pʰ ɔː AC d ʒ
फ्रांस	pʰ ɾ ɑː AB n s
फ्रांसीसी	pʰ ɾ ɑː AB n s iː AB s iː AB
फ्रेन्चाइज़	pʰ ɾ eː AB n t ʃ ɑː AB ɪ AF d ʒ
ब	b ə AF
बँटवारा	b ə AF ɳ ʈ ʋ AI ɑː AB ɾ ɑː AB
बँधुआ	b ə AF n d̪ʱ ʊ AD ɑː AB
बंगला	b ə AF ŋ ɡ l ɑː AB
बंगाली	b ə AF ŋ ɡ ɑː AB l iː AB
बंग्ली	b ə AF ŋ ɡ l iː AB
बंजर	b ə AF n d ʒ ə AF ɾ
बंजारा	b ə AF n d ʒ ɑː AB ɾ ɑː AB
बंटना	b ə AF ɳ ʈ n ɑː AB
बंटाना	b ə AF ɳ ʈ ɑː AB n ɑː AB
बंद	b ə AF n d̪
बंदगी	b ə AF n d̪ ə AF ɡ iː AB
बंदर	b ə AF n d̪ ə AF ɾ
बंदरगाह	b ə AF n d̪ ə AF ɾ ɡ ɑː AB ɦ AE
बंदरिया	b ə AF n d̪ ə AF ɾ ɪ AF j AA ɑː AB
बंदा	b ə AF n d̪ ɑː AB
बंदिनी	b ə AF n d̪ ɪ AF n iː AB
बंदिश	b ə AF n d̪ ɪ AF ʃ
बंदी	b ə AF n d̪ iː AB
बंदीघर	b ə AF n d̪ iː AB ɡʱ ə AF ɾ
बंदूक़	b ə AF n d̪ uː AC q
बंध	b ə AF n d̪ʱ
बंधु	b ə AF n d̪ʱ uː AC
बंबई	b ə AF m b ə AF iː AB
बंबा	b ə AF m b ɑː AB
बकचोदी	b ə AF k t ʃ oː AC d̪ iː AB
बकरा	b ə AF k ɾ ɑː AB
बकरी	b ə AF k ɾ iː AB
बकवास	b ə AF k ʋ AI ɑː AB s
बक़रीद	b ə AF q ə AF ɾ iː AB d̪
बक़ाया	b ə AF q ɑː AB j AA ɑː AB
बकुची	b ə AF k ʊ AD t ʃ iː AB
बक्सा	b ə AF k s ɑː AB
बख़रा	b ə AF x ɾ ɑː AB
बख़ील	b ə AF x iː AB l
बख़ूबी	b ə AF x uː AC b iː AB
बख़्त	b ə AF x t̪
बख़्शना	b ə AF x ʃ n ɑː AB
बख़्शिश	b ə AF x ʃ ɪ AF ʃ
बखान	b ə AF kʰ ɑː AB n
बगला	b ə AF ɡ l ɑː AB
बग़दाद	b ə AF ɣ d̪ ɑː AB d̪
बग़ल	b ə AF ɣ ə AF l
बग़ावत	b ə AF ɣ ɑː AB ʋ AI ə AF t̪
बग़ीचा	b ə AF ɣ iː AB t ʃ ɑː AB
बग़ैर	b ə AF ɣ ɛː AB ɾ
बगावत	b ə AF ɣ ɑː AB ʋ AI ə AF t̪
बगीचा	b ə AF ɣ iː AB t ʃ ɑː AB
बघारना	b ə AF ɡʱ ɑː AB ɾ n ɑː AB
बचत	b ə AF t ʃ ə AF t̪
बचना	b ə AF t ʃ n ɑː AB
बचपन	b ə AF t ʃ p ə AF n
बचपना	b ə AF t ʃ p ə AF n ɑː AB
बचाना	b ə AF t ʃ ɑː AB n ɑː AB
बचाव	b ə AF t ʃ ɑː AB ʋ AI
बच्चन	b ə AF t ʃ t ʃ ə AF n
बच्चा	b ə AF t ʃ t ʃ ɑː AB
बछड़ा	b ə AF t ʃʰ ɽ ɑː AB
बजना	b ə AF d ʒ n ɑː AB
बजरंगबली	b ə AF d ʒ ɾ ə AF ŋ ɡ ə AF b l iː AB
बजाय	b ə AF d ʒ ɑː AB j AA
बजे	b ə AF d ʒ eː AB
बटाटा	b ə AF ʈ ɑː AB ʈ ɑː AB
बटाना	b ə AF ʈ ɑː AB n ɑː AB
बटालियन	b ə AF ʈ ɑː AB l ɪ AF j AA ə AF n
बटेर	b ə AF ʈ eː AB ɾ
बटोरना	b ə AF ʈ oː AC ɾ n ɑː AB
बड़	b ə AF ɽ
बड़बड़ाना	b ə AF ɽ b ə AF ɽ ɑː AB n ɑː AB
बड़ा	b ə AF ɽ ɑː AB
बड़े	b ə AF ɽ eː AB
बड़ो	b ə AF ɽ oː AC
बडा	b ə AF ɽ ɑː AB
बढ़ई	b ə AF ɽʱ ə AF iː AB
बढ़ना	b ə AF ɽʱ n ɑː AB
बढ़ाना	b ə AF ɽʱ ɑː AB n ɑː AB
बढ़ावा	b ə AF ɽʱ ɑː AB ʋ AI ɑː AB
बढ़िया	b ə AF ɽʱ ɪ AF j AA ɑː AB
बढ़ेला	b ə AF ɽʱ eː AB l ɑː AB
बढ़ोतरी	b ə AF ɽʱ oː AC t̪ ə AF ɾ iː AB
बतलाना	b ə AF t̪ l ɑː AB n ɑː AB
बताना	b ə AF t̪ ɑː AB n ɑː AB
बतियाना	b ə AF t̪ ɪ AF j AA ɑː AB n ɑː AB
बतौर	b ə AF t̪ ɔː AC ɾ
बत्तख	b ə AF t̪ t̪ ə AF x
बत्तख़	b ə AF t̪ t̪ ə AF x
बत्ती	b ə AF t̪ t̪ iː AB
बत्तीस	b ə AF t̪ t̪ iː AB s
बदतमीज़	b ə AF d̪ t̪ ə AF m iː AB z
बदतर	b ə AF d̪ t̪ ə AF ɾ
बदतरीन	b ə AF d̪ t̪ ə AF ɾ iː AB n
बदन	b ə AF d̪ ə AF n
बदनाम	b ə AF d̪ n ɑː AB m
बदमाश	b ə AF d̪ m ɑː AB ʃ
बदर	b ə AF d̪ ə AF ɾ
बदल	b ə AF d̪ ə AF l
बदलाव	b ə AF d̪ l ɑː AB ʋ AI
बदहज़मी	b ə AF d̪ʱ ə AF z m iː AB
बदौलत	b ə AF d̪ ɔː AC l ə AF t̪
बद्दुआ	b ə AF d̪ d̪ ʊ AD ɑː AB
बद्दू	b ə AF d̪ d̪ uː AC
बद्ध	b ə AF d̪ d̪ʱ
बधिर	b ə AF d̪ʱ ɪ AF ɾ
बधिरता	b ə AF d̪ʱ ɪ AF ɾ t̪ ɑː AB
बन	b ə AF n
बनना	b ə AF n n ɑː AB
बनमानुस	b ə AF n m ɑː AB n ʊ AD s
बनवाना	b ə AF n ʋ AI ɑː AB n ɑː AB
बनाऊंगी	b ə AF n ɑː AB uː AC ŋ ɡ iː AB
बनाना	b ə AF n ɑː AB n ɑː AB
बनाने	b ə AF n ɑː AB n eː AB
बनाम	b ə AF n ɑː AB m
बनारस	b ə AF n ɑː AB ɾ ə AF s
बनावट	b ə AF n ɑː AB ʋ AI ə AF ʈ
बनावटी	b ə AF n ɑː AB ʋ AI ə AF ʈ iː AB
बनिज	b ə AF n ɪ AF d ʒ
बनिया	b ə AF n ɪ AF j AA ɑː AB
बनियान	b ə AF n ɪ AF j AA ɑː AB n
बन्दिनी	b ə AF n d̪ ɪ AF n iː AB
बन्दीघर	b ə AF n d̪ iː AB ɡʱ ə AF ɾ
बन्दूक	b ə AF n d̪ uː AC q
बन्दूक़	b ə AF n d̪ uː AC q
बपतिस्मा	b ə AF p t̪ ɪ AF s m ɑː AB
बबर	b ə AF b ə AF ɾ
बबूल	b ə AF b uː AC l
बब्बर	b ə AF b b ə AF ɾ
बम	b ə AF m
बमबारी	b ə AF m b ɑː AB ɾ iː AB
बमवर्षक	b ə AF m ʋ AI ə AF ɾ ʂ ə AF k
बम्बई	b ə AF m b ə AF iː AB
बयान	b ə AF j AA ɑː AB n
बयानबाज़ी	b ə AF j AA ɑː AB n b ɑː AB z iː AB
बयालीस	b ə AF j AA ɑː AB l iː AB s
बयासी	b ə AF j AA ɑː AB s iː AB
बरकत	b ə AF ɾ k ə AF t̪
बरक़रार	b ə AF ɾ q ə AF ɾ ɑː AB ɾ
बरगद	b ə AF ɾ ɡ ə AF d̪
बरज़बान	b ə AF ɾ ə AF z b ɑː AB n
बरतन	b ə AF ɾ t̪ ə AF n
बरतना	b ə AF ɾ ə AF t̪ n ɑː AB
बरबटी	b ə AF ɾ b ə AF ʈ iː AB
बरमा	b ə AF ɾ m ɑː AB
बरस	b ə AF ɾ ə AF s
बरसात	b ə AF ɾ s ɑː AB t̪
बरसी	b ə AF ɾ s iː AB
बरात	b ə AF ɾ ɑː AB t̪
बराबर	b ə AF ɾ ɑː AB b ə AF ɾ
बरामद	b ə AF ɾ ɑː AB m ə AF d̪
बरामदा	b ə AF ɾ ɑː AB m d̪ ɑː AB
बरिशाल	b ə AF ɾ ɪ AF ʃ ɑː AB l
बरी	b ə AF ɾ iː AB
बरेली	b ə AF ɾ eː AB l iː AB
बर्ख़ास्त	b ə AF ɾ x ɑː AB s t̪
बर्खा	b ə AF ɾ kʰ ɑː AB
बर्तन	b ə AF ɾ t̪ ə AF n
बर्ताव	b ə AF ɾ t̪ ɑː AB ʋ AI
बर्दाश्त	b ə AF ɾ d̪ ɑː AB ʃ t̪
बर्फ़	b ə AF ɾ ə AF pʰ
बर्फ़ी	b ə AF ɾ pʰ iː AB
बर्फ़ीला	b ə AF ɾ pʰ iː AB l ɑː AB
बर्बट	b ə AF ɾ b ə AF ʈ
बर्बटी	b ə AF ɾ b ə AF ʈ iː AB
बर्मिंघम	b ə AF ɾ m ɪ AF ŋ ɡʱ ə AF m
बर्लिन	b ə AF ɾ l ɪ AF n
बल	b ə AF l
बलगतिकी	b ə AF l ɡ ə AF t̪ ɪ AF k iː AB
बलग़म	b ə AF l ɣ ə AF m
बलपूर्वक	b ə AF l p uː AC ɾ ʋ AI ə AF k
बलमटेर	b ə AF l ə AF m ʈ eː AB ɾ
बला	b ə AF l ɑː AB
बलिदान	b ə AF l ɪ AF d̪ ɑː AB n
बलूच	b ə AF l uː AC t ʃ
बलूचिस्तान	b ə AF l uː AC t ʃ ɪ AF s t̪ ɑː AB n
बलूची	b ə AF l uː AC t ʃ iː AB
बल्कि	b ə AF l k iː AB
बल्ला	b ə AF l l ɑː AB
बल्ली	b ə AF l l iː AB
बल्लेबाज़	b ə AF l l eː AB b ɑː AB z
बवाल	b ə AF ʋ AI ɑː AB l
बवासीर	b ə AF ʋ AI ɑː AB s iː AB ɾ
बस	b ə AF s
बसंत	b ə AF s ə AF n t̪
बसना	b ə AF s n ɑː AB
बसेरा	b ə AF s eː AB ɾ ɑː AB
बस्त	b ə AF s t̪
बस्ता	b ə AF s t̪ ɑː AB
बस्ती	b ə AF s t̪ iː AB
बहकना	b ə AF ɦ AE ə AF k n ɑː AB
बहकाना	b ə AF ɦ AE k ɑː AB n ɑː AB
बहत्तर	b ə AF ɦ AE ə AF t̪ t̪ ə AF ɾ
बहन	b ə AF ɦ AE ɪ AF n
बहनचोद	b ə AF ɦ AE ə AF n t ʃ oː AC d̪
बहना	b ə AF ɦ AE n ɑː AB
बहनापा	b ə AF ɦ AE n ɑː AB p ɑː AB
बहनोई	b ə AF ɦ AE n oː AC iː AB
बहरा	b ə AF ɦ AE ɾ ɑː AB
बहराइच	b ə AF ɦ AE ɾ ɑː AB ɪ AF t ʃ
बहरापन	b ə AF ɦ AE ɾ ɑː AB p ə AF n
बहरी	b ə AF ɦ AE ɾ iː AB
बहरीन	b ə AF ɦ AE ɾ iː AB n
बहलना	b ə AF ɦ AE ə AF l n ɑː AB
बहलाना	b ə AF ɦ AE l ɑː AB n ɑː AB
बहस	b ə AF ɦ AE ə AF s
बहादुर	b ə AF ɦ AE ɑː AB d̪ ʊ AD ɾ
बहादुरी	b ə AF ɦ AE ɑː AB d̪ ʊ AD ɾ iː AB
बहाना	b ə AF ɦ AE ɑː AB n ɑː AB
बहाल	b ə AF ɦ AE ɑː AB l
बहाव	b ə AF ɦ AE ɑː AB ʋ AI
बहावलनगर	b ə AF ɦ AE ɑː AB ʋ AI ə AF l n ə AF ɡ ə AF ɾ
बहावलपुर	b ə AF ɦ AE ɑː AB ʋ AI ə AF l p ʊ AD ɾ
बहिः	b ə AF ɦ AE ɪ AF ɦ AE
बहिन	b ə AF ɦ AE ɪ AF n
बहिर्वेशन	b ə AF ɦ AE ɪ AF ɾ ʋ AI eː AB ʃ ə AF n
बहिष्कार	b ə AF ɦ AE ɪ AF ʂ k ɑː AB ɾ
बही	b ə AF ɦ AE iː AB
बहुचर्चित	b ə AF ɦ AE ʊ AD t ʃ ə AF ɾ t ʃ ɪ AF t̪
बहुजन	b ə AF ɦ AE ʊ AD d ʒ ə AF n
बहुत	b ə AF ɦ AE ʊ AD t̪
बहुपद	b ə AF ɦ AE ʊ AD p ə AF d̪
बहुपयोगी	b ə AF ɦ AE ʊ AD p j AA oː AC ɡ iː AB
बहुफलक	b ə AF ɦ AE ʊ AD pʰ ə AF l ə AF k
बहुभुज	b ə AF ɦ AE ʊ AD bʱ ʊ AD d ʒ
बहुरूपिया	b ə AF ɦ AE ʊ AD ɾ uː AC p ɪ AF j AA ɑː AB
बहुवचन	b ə AF ɦ AE ʊ AD ʋ AI ə AF t ʃ ə AF n
बहुविवाह	b ə AF ɦ AE ʊ AD ʋ AI ɪ AF ʋ AI ɑː AB ɦ AE
बहुव्रीहि	b ə AF ɦ AE ʊ AD ʋ AI ɾ iː AB ɦ AE iː AB
बहुसंख्यक	b ə AF ɦ AE ʊ AD s ə AF ŋ kʰ j AA ə AF k
बहुसंख्या	b ə AF ɦ AE ʊ AD s ə AF ŋ kʰ j AA ɑː AB
बहू	b ə AF ɦ AE uː AC
बाँग	b ɑː AB ŋ ɡ
बाँचना	b ɑ̃ː AH t ʃ n ɑː AB
बाँझ	b ɑː AB n d ʒʱ
बाँटना	b ɑ̃ː AH ʈ n ɑː AB
बाँध	b ɑː AB n d̪ʱ
बाँधना	b ɑː AB n d̪ʱ n ɑː AB
बाँस	b ɑ̃ː AH s
बाँसुरी	b ɑ̃ː AH s ʊ AD ɾ iː AB
बाँह	b ɑ̃ː AH ɦ AE
बांग्लादेश	b ɑː AB ŋ ɡ l ɑː AB d̪ eː AB ʃ
बांचना	b ɑ̃ː AH t ʃ n ɑː AB
बांझ	b ɑː AB n d ʒʱ
बांटना	b ɑ̃ː AH ʈ n ɑː AB
बांधव	b ɑː AB n d̪ʱ ə AF ʋ AI
बांस	b ɑː AB n s
बांह	b ɑ̃ː AH ɦ AE
बाई	b ɑː AB iː AB
बाईस	b ɑː AB iː AB s
बाएँ	b ɑː AB ẽː
बाक़ायदा	b ɑː AB q ɑː AB j AA d̪ ɑː AB
बाक़ी	b ɑː AB q iː AB
बाकी	b ɑː AB q iː AB
बाकू	b ɑː AB k uː AC
बाख़ुदा	b ɑː AB x ʊ AD d̪ ɑː AB
बाग	b ɑː AB ɣ
बाग़	b ɑː AB ɣ
बाघ	b ɑː AB ɡʱ
बाछ	b ɑː AB t ʃʰ
बाजरा	b ɑː AB d ʒ ɾ ɑː AB
बाज़	b ɑː AB z
बाज़ारी	b ɑː AB z ɑː AB ɾ iː AB
बाज़ीचा	b ɑː AB z iː AB t ʃ ɑː AB
बाज़ू	b ɑː AB z uː AC
बाजा	b ɑː AB d ʒ ɑː AB
बाजी	b ɑː AB d ʒ iː AB
बाट	b ɑː AB ʈ
बाटना	b ɑː AB ʈ n ɑː AB
बाड़ी	b ɑː AB ɽ iː AB
बाढ़	b ɑː AB ɽʱ
बाण	b ɑː AB ɳ
बात	b ɑː AB t̪
बातचीत	b ɑː AB t̪ t ʃ iː AB t̪
बाती	b ɑː AB t̪ iː AB
बातूनी	b ɑː AB t̪ uː AC n iː AB
बाथरूम	b ɑː AB t̪ʰ ɾ uː AC m
बाद	b ɑː AB d̪
बादल	b ɑː AB d̪ ə AF l
बादशाह	b ɑː AB d̪ ʃ ɑː AB ɦ AE
बादशाहत	b ɑː AB d̪ ʃ ɑː AB ɦ AE ə AF t̪
बादाम	b ɑː AB d̪ ɑː AB m
बाधा	b ɑː AB d̪ʱ ɑː AB
बान	b ɑː AB n
बानवे	b ɑː AB n ʋ AI eː AB
बाप	b ɑː AB p
बापू	b ɑː AB p uː AC
बाप्तिस्मा	b ɑː AB p t̪ ɪ AF s m ɑː AB
बाबत	b ɑː AB b ə AF t̪
बाबर	b ɑː AB b ə AF ɾ
बाबा	b ɑː AB b ɑː AB
बाबू	b ɑː AB b uː AC
बायाँ	b ɑː AB j AA ɑ̃ː AH
बार	b ɑː AB ɾ
बारह	b ɑː AB ɾ ə AF ɦ AE
बारहखड़ी	b ɑː AB ɾ ə AF ɦ AE kʰ ə AF ɽ iː AB
बारात	b ɑː AB ɾ ɑː AB t̪
बारिक	b ɑː AB ɾ ɪ AF k
बारिश	b ɑː AB ɾ ɪ AF ʃ
बारी	b ɑː AB ɾ iː AB
बारीक	b ɑː AB ɾ iː AB k
बारूद	b ɑː AB ɾ uː AC d̪
बारूदख़ाना	b ɑː AB ɾ uː AC d̪ x ɑː AB n ɑː AB
बारे	b ɑː AB ɾ eː AB
बाल	b ɑː AB l
बालक	b ɑː AB l ə AF k
बालकेलि	b ɑː AB l k eː AB l iː AB
बालक्रीड़ा	b ɑː AB l ə AF k ɾ iː AB ɽ ɑː AB
बालटी	b ɑː AB l ʈ iː AB
बालतोड	b ɑː AB l t̪ oː AC ɽ
बालतोड़	b ɑː AB l t̪ oː AC ɽ
बालपन	b ɑː AB l p ə AF n
बालिका	b ɑː AB l ɪ AF k ɑː AB
बालिश	b ɑː AB l ɪ AF ʃ
बालू	b ɑː AB l uː AC
बाल्टी	b ɑː AB l ʈ iː AB
बाल्यावस्था	b ɑː AB l j AA ɑː AB ʋ AI ə AF s t̪ʰ ɑː AB
बावजूद	b ɑː AB ʋ AI d ʒ uː AC d̪
बावन	b ɑː AB ʋ AI ə AF n
बावरची	b ɑː AB ʋ AI ə AF ɾ t ʃ iː AB
बावला	b ɑː AB ʋ AI l ɑː AB
बाशिंदा	b ɑː AB ʃ ɪ AF n d̪ ɑː AB
बासठ	b ɑː AB s ə AF ʈʰ
बासन	b ɑː AB s ə AF n
बासमती	b ɑː AB s m ə AF t̪ iː AB
बाहर	b ɑː AB ɦ AE ə AF ɾ
बाहुबली	b ɑː AB ɦ AE ʊ AD b ə AF l iː AB
बिंदास	b ɪ AF n d̪ ɑː AB s
बिंदी	b ɪ AF n d̪ iː AB
बिंदु	b ɪ AF n d̪ uː AC
बिकवाल	b ɪ AF k ʋ AI ɑː AB l
बिकाऊ	b ɪ AF k ɑː AB uː AC
बिक्री	b ɪ AF k ɾ iː AB
बिगड़ना	b ɪ AF ɡ ə AF ɽ n ɑː AB
बिगुल	b ɪ AF ɡ ʊ AD l
बिचला	b ɪ AF t ʃ l ɑː AB
बिचौलिया	b ɪ AF t ʃ ɔː AC l ɪ AF j AA ɑː AB
बिच्छू	b ɪ AF t ʃ t ʃʰ uː AC
बिछड़ना	b ɪ AF t ʃʰ ə AF ɽ n ɑː AB
बिछना	b ɪ AF t ʃʰ n ɑː AB
बिछवाना	b ɪ AF t ʃʰ ʋ AI ɑː AB n ɑː AB
बिछाना	b ɪ AF t ʃʰ ɑː AB n ɑː AB
बिछौना	b ɪ AF t ʃʰ ɔː AC n ɑː AB
बिजली	b ɪ AF d ʒ l iː AB
बिजलीकरण	b ɪ AF d ʒ l iː AB k ə AF ɾ ə AF ɳ
बिजलीघर	b ɪ AF d ʒ l iː AB ɡʱ ə AF ɾ
बिटिया	b ɪ AF ʈ ɪ AF j AA ɑː AB
बिताना	b ɪ AF t̪ ɑː AB n ɑː AB
बित्ता	b ɪ AF t̪ t̪ ɑː AB
बिन	b ɪ AF n
बिनती	b ɪ AF n t̪ iː AB
बिना	b ɪ AF n ɑː AB
बिबाद	b ɪ AF b ɑː AB d̪
बिमारी	b ɪ AF m ɑː AB ɾ iː AB
बियाबान	b ɪ AF j AA ɑː AB b ɑː AB n
बिरयानी	b ɪ AF ɾ j AA ɑː AB n iː AB
बिरादर	b ɪ AF ɾ ɑː AB d̪ ə AF ɾ
बिल	b ɪ AF l
बिलखना	b ɪ AF l ə AF kʰ n ɑː AB
बिलोना	b ɪ AF l oː AC n ɑː AB
बिलौटा	b ɪ AF l ɔː AC ʈ ɑː AB
बिल्कुल	b ɪ AF l k ʊ AD l
बिल्ला	b ɪ AF l l ɑː AB
बिल्ली	b ɪ AF l l iː AB
बिश्नोई	b ɪ AF ʃ n oː AC iː AB
बिसरना	b ɪ AF s ə AF ɾ n ɑː AB
बिस्कुट	b ɪ AF s k ʊ AD ʈ
बिस्तर	b ɪ AF s t̪ ə AF ɾ
बिस्मिल्ला	b ɪ AF s m ɪ AF l l ɑː AB
बिहार	b ɪ AF ɦ AE ɑː AB ɾ
बिहारी	b ɪ AF ɦ AE ɑː AB ɾ iː AB
बी	b iː AB
बीकानेर	b iː AB k ɑː AB n eː AB ɾ
बीघा	b iː AB ɡʱ ɑː AB
बीच	b iː AB t ʃ
बीज	b iː AB d ʒ
बीजांड	b iː AB d ʒ ɑː AB ɳ ɖ
बीजांडासन	b iː AB d ʒ ɑː AB ɳ ɖ ɑː AB s ə AF n
बीड़ा	b iː AB ɽ ɑː AB
बीड़ी	b iː AB ɽ iː AB
बीतना	b iː AB t̪ n ɑː AB
बीती	b iː AB t̪ iː AB
बीबी	b iː AB b iː AB
बीमा	b iː AB m ɑː AB
बीमार	b iː AB m ɑː AB ɾ
बीमारी	b iː AB m ɑː AB ɾ iː AB
बीयर	b iː AB j AA ə AF ɾ
बीर	b iː AB ɾ
बीरगंज	b iː AB ɾ ɡ ə AF n d ʒ
बीस	b iː AB s
बीहड़	b iː AB ɦ AE ə AF ɽ
बुंदेलखंड	b ʊ AD n d̪ eː AB l kʰ ə AF ɳ ɖ
बुंदेली	b ʊ AD n d̪ eː AB l iː AB
बुआ	b ʊ AD ɑː AB
बुआई	b ʊ AD ɑː AB iː AB
बुक	b ʊ AD k
बुज़दिल	b ʊ AD z d̪ ɪ AF l
बुज़ुर्ग	b ʊ AD z ʊ AD ɾ ɡ
बुझाना	b ʊ AD d ʒʱ ɑː AB n ɑː AB
बुटवल	b ʊ AD ʈ ʋ AI ə AF l
बुड्ढा	b ʊ AD ɖ ɖʱ ɑː AB
बुड्ढी	b ʊ AD ɖ ɖʱ iː AB
बुढ़ाना	b ʊ AD ɽʱ ɑː AB n ɑː AB
बुढ़ापा	b ʊ AD ɽʱ ɑː AB p ɑː AB
बुत	b ʊ AD t̪
बुद्ध	b ʊ AD d̪ d̪ʱ
बुद्धि	b ʊ AD d̪ d̪ʱ iː AB
बुद्धिजीवी	b ʊ AD d̪ d̪ʱ ɪ AF d ʒ iː AB ʋ AI iː AB
बुद्धिमान	b ʊ AD d̪ d̪ʱ ɪ AF m ɑː AB n
बुधवार	b ʊ AD d̪ʱ ʋ AI ɑː AB ɾ
बुनना	b ʊ AD n n ɑː AB
बुनियाद	b ʊ AD n ɪ AF j AA ɑː AB d̪
बुभुक्षा	b ʊ AD bʱ ʊ AD k ʂ ɑː AB
बुभुक्षित	b ʊ AD bʱ ʊ AD k ʂ ɪ AF t̪
