'n	ə AK n
policinello	p o AG l i AE t ʃ i AE n ɛ AK l o AG
politbüro	p o AG l ɪ AK t b y AG r oː AH
politik	p o AG l i AE t ɪ AK k
politiker	p o AG l iː AF t i AE k ɐ BE
politikerin	p o AG l iː AF t ɪ AK k ə AK ʁ ɪ AK n
politikum	p o AG l iː AF t i AE k ʊ AI m
politikverdrossen	p o AG l i AE t ɪ AK k f ɛ AK ɐ̯ d ʀ ɔ AI s n̩
politikwissenschaftler	p o AG l i AE t iː AF k v ɪ AK s ə AK n ʃ a AC f t l ɐ BE
politikwissenschaftlerin	p o AG l i AE t iː AF k v ɪ AK s ə AK n ʃ a AC f t l ɐ BE ʁ ɪ AK n
politisch	p o AG l iː AF t ɪ AK ʃ
politologe	p o AG l i AE t o AG l oː AH ɡ ə AK
politologin	p o AG l i AE t o AG l oː AH ɡ ɪ AK n
polizeiangabe	p o AG l i AE t s a AC ɪ̯ BB ʔ a AC n ɡ aː AD b ə AK
polizeiauto	p o AG l i AE t s a AC ɪ̯ BB ʔ a AC ʊ̯ BC t o AG
polizeibeamter	p o AG l i AE t s a AC ɪ̯ BB b ə AK ʔ a AC m t ɐ BE
polizeibeamtin	p o AG l i AE t s a AC ɪ̯ BB b ə AK ʔ a AC m t ɪ AK n
polizeibekannt	p o AG l i AE t s a AC ɪ̯ BB b ə AK k a AC n t
polizeifunk	p o AG l i AE t s a AC ɪ̯ BB f ʊ AI ŋ k
polizeihund	p o AG l i AE t s a AC ɪ̯ BB h AA ʊ AI n t
polizeilich	p o AG l i AE t s a AC ɪ̯ BB l ɪ AK ç
polizeischutz	p o AG l i AE t s a AC ɪ̯ BB ʃ ʊ AI t s
polizeisprecher	p o AG l i AE t s a AC ɪ̯ BB ʃ p ʁ ɛ AK ç ɐ BE
polizeisprecherin	p o AG l i AE t s a AC ɪ̯ BB ʃ p ʁ ɛ AK ç ə AK ʁ ɪ AK n
polizeisprecherinnen	p o AG l i AE t s a AC ɪ̯ BB ʃ p ʁ ɛ AK ç ə AK ʁ ɪ AK n ə AK n
polizeistaat	p o AG l i AE t s a AC ɪ̯ BB ʃ t aː AD t
polizeitaktisch	p o AG l i AE t s a AC ɪ̯ BB t a AC k t ɪ AK ʃ
polizeiwache	p o AG l i AE t s a AC ɪ̯ BB v a AC χ ə AK
polizeiähnlich	p o AG l i AE t s a AC ɪ̯ BB ʔ ɛː AM n l ɪ AK ç
polizist	p o AG l i AE t s ɪ AK s t
polizisten	p o AG l i AE t s ɪ AK s t ə AK n
polizistenmörder	p o AG l i AE t s ɪ AK s t n̩ m œ AI ʁ d ɐ BE
polizistin	p o AG l i AE t s ɪ AK s t ɪ AK n
polizze	p o AG l ɪ AK t s ə AK
pollen	p ɔ AI l ə AK n
pollenallergie	p ɔ AI l ə AK n ʔ a AC l ɛ AK ʁ ɡ iː AF
poller	p ɔ AI l ɐ BE
polnisch	p ɔ AI l n ɪ AK ʃ
polonistik	p o AG l o AG n ɪ AK s t ɪ AK k
polterabend	p ɔ AI l t ɐ BE ʔ aː AD b n̩ t
poltergeist	p ɔ AI l t ɐ BE ɡ a AC ɪ AK s t
poltern	p ɔ AI l t ɐ BE n
polterplatz	p ɔ AI l t ɐ BE p l a AC t s
polyamorie	p oː AH l i AE a AC m o AG ʁ iː AF
polydeistisch	p o AG l y AG d e AE ɪ AK s t ɪ AK ʃ
polydispers	p o AG l y AG d ɪ AK s p ɛ AK ʁ s
polyeder	p o AG l y AG ʔ eː AF d ɐ BE
polyethylen	p oː AH l i AE eː AF t y AG l eː AF n
polygam	p o AG l y AG ɡ aː AD m
polygamie	p o AG l y AG ɡ a AC m iː AF
polyhistor	p o AG l i AE h AA ɪ AK s t oː AH ɐ̯
polymer	p o AG l i AE m eː AF ʁ
polymerisieren	p o AG l i AE m e AE ʁ i AE z iː AF ʁ ə AK n
polynom	p o AG l y AG n oː AH m
polyphyletisch	p o AG l y AG f y AG l eː AF t ɪ AK ʃ
polysem	p o AG l y AG z eː AF m
polysemie	p o AG l i AE z e AE m iː AF
polytheismus	p o AG l i AE t e AE ɪ AK s m ʊ AI s
polytheistisch	p o AG l i AE t e AE ɪ AK s t ɪ AK ʃ
polytoxikoman	p o AG l y AG t ɔ AI k s i AE k o AG m aː AD n
polytrop	p o AG l y AG t ʀ oː AH p
polyurisch	p o AG l i AE ʔ uː AH ʀ ɪ AK ʃ
polyzentrisch	p o AG l i AE t s ɛ AK n t ʀ ɪ AK ʃ
polyzyklisch	p o AG l y AG t s yː AH k l ɪ AK ʃ
pomadig	p o AG m aː AD d ɪ AK ç
pomeranze	p ɔ AI m ə AK ʁ a AC n t s ə AK
pommerisch	p ɔ AI m ə AK r ɪ AK ʃ
pommern	p ɔ AI m ɐ BE n
pommersch	p ɔ AI m ɐ BE ʃ
pommes	p ɔ AI m ə AK s
pompon	p ɔ AI m p õ
ponderabel	p ɔ AI n d e AE r a AC b l̩
pontifikat	p ɔ AI n t i AE f i AE k aː AD t
pony	p ɔ AI n i AE
pop	p ɔ AI p
popanz	p oː AH p a AC n t s
popanze	p oː AH p a AC n t s ə AK
popanzes	p oː AH p a AC n t s ə AK s
popel	p oː AH p l̩
popelig	p oː AH p ə AK l ɪ AK ç
popeln	p oː AH p l̩ n
poplig	p oː AH p l ɪ AK ç
popo	p ɔ AI p o AG
popp	p ɔ AI p
poppe	p ɔ AI p ə AK
poppen	p ɔ AI p ə AK n
popper	p ɔ AI p ɐ BE
poppet	p ɔ AI p ə AK t
popularität	p o AG p u AG l a AC ʁ i AE t ɛː AM t
populär	p o AG p u AG l ɛː AM ɐ̯
porig	p oː AH ʁ ɪ AK ç
porigkeit	p oː AH ʁ ɪ AK ç k a AC ɪ̯ BB t
pornografie	p ɔ AI ʁ n o AG ɡ r a AC f iː AF
port	p ɔː AJ t
portal	p ɔ AI ʁ t aː AD l
portemonnaie	p ɔ AI ʁ t m o AG n eː AF
portier	p ɔ AI ʁ t iː AF ɐ̯
porto	p ɔ AI ʁ t o AG
portofrei	p ɔ AI ʁ t o AG f ʀ a AC ɪ̯ BB
portokasse	p ɔ AI ʁ t o AG k a AC s ə AK
porträt	p ɔ AI r t r ɛː AM
portugiesisch	p ɔ AI ʁ t u AG ɡ iː AF z ɪ AK ʃ
pos	p oː AH s
posaunen	p o AG z a AC ʊ̯ BC n ə AK n
positiv	p ɔ AI z ɪ AK t iː AF f
positives	p oː AH z i AE t iː AF v ə AK s
positivistisch	p o AG z i AE t i AE v ɪ AK s t ɪ AK ʃ
possessiv	p ɔ AI s ɛ AK s iː AF f
possessivsuffix	p ɔ AI s ɛ AK s iː AF f z ʊ AI f ɪ AK k s
possierlich	p ɔ AI s iː AF ɐ̯ l ɪ AK ç
post	p ɔ AI ʊ̯ BC s t
postalisch	p ɔ AI s t aː AD l ɪ AK ʃ
postalveolar	p ɔ AI s t ʔ a AC l v e AE o AG l aː AD ɐ̯
postamt	p ɔ AI s t ʔ a AC m t
postamtlich	p ɔ AI s t ʔ a AC m t l ɪ AK ç
postapokalyptisch	p ɔ AI s t ʔ a AC p o AG k a AC l ʏ AI p t ɪ AK ʃ
postbote	p ɔ AI s t b oː AH t ə AK
posten	p oː AH s t ə AK n
postfach	p ɔ AI s t f a AC χ
postfaktisch	p ɔ AI s t f a AC k t ɪ AK ʃ
postfrisch	p ɔ AI s t f ʁ ɪ AK ʃ
postille	p ɔ AI s t ɪ AK l ə AK
postkarte	p ɔ AI s t k a AC ʁ t ə AK
postkommunistisch	p ɔ AI s t k ɔ AI m u AG n ɪ AK s t ɪ AK ʃ
postkutsche	p ɔ AI s t k ʊ AI t ʃ ə AK
postlagernd	p ɔ AI s t l aː AD ɡ ɐ BE n t
postleitzahl	p ɔ AI s t l a AC ɪ̯ BB t t s aː AD l
postmortal	p ɔ AI s t m ɔ AI ʁ t aː AD l
postoperativ	p ɔ AI s t ʔ o AG p ə AK ʀ a AC t iː AF f
postsexuell	p ɔ AI s t z ɛ AK k s u̯ BF ɛ AK l
postskriptum	p ɔ AI s t s k r ɪ AK p t ʊ AI m
posttraumatisch	p ɔ AI s t t ʁ a AC ʊ̯ BC m aː AD t ɪ AK ʃ
postum	p ɔ AI s t uː AH m
postwendend	p ɔ AI s t v ɛ AK n d n̩ t
postämter	p ɔ AI s t ʔ ɛ AK m t ɐ BE
potent	p o AG t ɛ AK n t
potenzieren	p o AG t ɛ AK n t s iː AF ʁ ə AK n
potenzsteigernd	p o AG t ɛ AK n t s ʃ t a AC ɪ̯ BB ɡ ɐ BE n t
pott	p ɔ AI t
potthässlich	p ɔ AI t h AA ɛ AK s l ɪ AK ç
potz	p ɔ AI t s
poule	p uː AH l ə AK
power	p oː AH v ə AK r
powidl	p ɔ AI v i AE d l̩
pracht	p ʀ a AC χ t
prachtkerl	p ʁ a AC x t k ɛ AK ʁ l
prachtstrasse	p ʁ a AC χ t ʃ t ʁ aː AD s ə AK
prachtvoll	p ʀ a AC χ t f ɔ AI l
prachtweib	p ʀ a AC χ t v a AC ɪ̯ BB p
pragmatisch	p ʁ a AC ɡ m aː AD t ɪ AK ʃ
prahlen	p ʁ aː AD l ə AK n
prahlerei	p ʁ aː AD l ə AK ʁ a AC ɪ̯ BB
praktikabel	p ʀ a AC k t i AE k aː AD b l̩
praktikum	p ʁ a AC k t i AE k ʊ AI m
praktisch	p ʁ a AC k t ɪ AK ʃ
praline	p ʁ a AC l iː AF n ə AK
prallen	p ʁ a AC l ə AK n
prangen	p r a AC ŋ ə AK n
pranzen	p r a AC n t s ə AK n
praxis	p ʁ a AC k s ɪ AK s
praxisfern	p ʀ a AC k s ɪ AK s f ɛ AK ʁ n
praxisfremd	p ʀ a AC k s ɪ AK s f ʀ ɛ AK m t
praxisnah	p ʀ a AC k s ɪ AK s n aː AD
predigen	p ʀ eː AF d ɪ AK ɡ ə AK n
predigerin	p ʁ eː AF d ɪ AK ɡ ə AK ʁ ɪ AK n
predigt	p ʁ eː AF d ɪ AK ç t
preis	p ʁ a AC ɪ̯ BB s
preisbewusst	p ʀ a AC ɪ̯ BB s b ə AK v ʊ AI s t
preiselbeere	p ʁ a AC ɪ̯ BB z ə AK l b eː AF ʁ ə AK
preisgekrönt	p ʀ a AC ɪ̯ BB s ɡ ə AK k ʀ øː AH n t
preisgünstig	p ʀ a AC ɪ̯ BB s ɡ ʏ AI n s t ɪ AK ç
preislich	p ʀ a AC ɪ̯ BB s l ɪ AK ç
preisverdächtig	p ʀ a AC ɪ̯ BB s f ɛ AK ɐ̯ d ɛ AK ç t ɪ AK ç
preisverleihung	p ʁ a AC ɪ̯ BB s f ɛ AK ɐ̯ l a AC ɪ̯ BB ʊ AI ŋ
prekariat	p ʁ e AE k a AC ʁ i AE aː AD t
prekarisierung	p ʁ e AE k a AC ʁ i AE z iː AF ʁ ʊ AI ŋ
prekär	p ʁ e AE k ɛː AM ɐ̯
prellen	p ʁ ɛ AK l ə AK n
premierminister	p ʁ e AE m j AB eː AF m i AE n ɪ AK s t ɐ BE
premierministerin	p ʁ e AE m j AB eː AF m i AE n ɪ AK s t ɐ BE ʁ ɪ AK n
pressburg	p ʀ ɛ AK s b ʊ AI ʁ k
presse	p ʀ ɛ AK s ə AK
pressehaus	p ʁ ɛ AK s ə AK h AA a AC ʊ̯ BC s
pressekonferenz	p ʁ ɛ AK s ə AK k ɔ AI n f e AE ʁ ɛ AK n t s
pressemitteilung	p ʁ ɛ AK s ə AK m ɪ AK t a AC ɪ AK l ʊ AI ŋ
pressen	p ʀ ɛ AK s ə AK n
pressesprachlich	p ʀ ɛ AK s ə AK ʃ p ʀ aː AD χ l ɪ AK ç
presssack	p r ɛ AK s z a AC k
preussen	p ʀ ɔ AI ɪ̯ BB s ə AK n
preussisch	p ʀ ɔ AI ɪ̯ BB s ɪ AK ʃ
priapeisch	p ʀ i AE a AC p eː AF ɪ AK ʃ
priapisch	p ʀ i AE a AC p eː AF ɪ AK ʃ
prickeln	p ʁ ɪ AK k l̩ n
priel	p ʁ iː AF l
priester	p ʁ iː AF s t ɐ BE
priesterin	p ʀ iː AF s t ə AK ʀ ɪ AK n
priesterschaft	p ʁ iː AF s t ɐ BE ʃ a AC f t
priestertum	p ʁ iː AF s t ɐ BE t uː AH m
primas	p ʀ iː AF m a AC s
primatologe	p ʁ i AE m aː AD t o AG l oː AH ɡ ə AK
primatologin	p ʁ i AE m aː AD t o AG l oː AH ɡ ɪ AK n
primfaktor	p ʁ iː AF m f a AC k t oː AH ɐ̯
primitiv	p ʀ i AE m i AE t i AE v
primiz	p ʁ i AE m iː AF t s
primzahl	p ʀ iː AF m t s aː AD l
primär	p ʁ i AE m ɛː AM ɐ̯
primärkunststoff	p ʁ i AE m ɛː AM ɐ̯ k ʊ AI n s t ʃ t ɔ AI f
prinz	p ʀ ɪ AK n t s
prinzessin	p ʀ ɪ AK n t s ɛ AK s ɪ AK n
prinzip	p ʁ ɪ AK n t s ɪ AK p
prinzips	p ʀ ɪ AK n t s iː AF p s
priorisieren	p ʁ i AE o AG ʁ i AE z iː AF ʁ ə AK n
prioritär	p ʀ i AE o AG ʀ i AE t ɛː AM ɐ̯
priorität	p ʁ i AE o AG ʁ i AE t ɛː AM t
prismenförmig	p ʀ ɪ AK s m ə AK n f œ AI ʁ m ɪ AK ç
pritsche	p ʁ ɪ AK t ʃ ə AK
privat	p ʀ i AE v aː AD t
privatangelegenheit	p r i AE v aː AD t ʔ a AC n ɡ ə AK l eː AF ɡ ə AK n h AA a AC ɪ̯ BB t
privatdozent	p ʁ i AE v aː AD t d o AG t s ɛ AK n t
privatleben	p r i AE v aː AD t l eː AF b m̩
privatmesse	p ʁ i AE v aː AD t m ɛ AK s ə AK
privatperson	p ʁ i AE v aː AD t p ɛ AK ʁ z oː AH n
privatsache	p r i AE v aː AD t z a AC x ə AK
privatsphäre	p ʁ i AE v aː AD t s f ɛː AM ʁ ə AK
privatstrasse	p r i AE v aː AD t ʃ t ʀ aː AD s ə AK
privatsträsschen	p r i AE v aː AD t ʃ t ʀ ɛː AM s ç ə AK n
privatsträsslein	p r i AE v aː AD t ʃ t ʀ ɛː AM s l a AC ɪ̯ BB n
privatunterricht	p ʀ i AE v aː AD t ʊ AI n t ɐ BE ʀ ɪ AK ç t
privileg	p ʀ i AE v i AE l eː AF k
proaktiv	p ʁ oː AH a AC k t iː AF f
probabilistisch	p ʀ o AG b a AC b i AE l ɪ AK s t ɪ AK ʃ
probat	p ʀ o AG b aː AD t
probeexemplar	p ʁ oː AH b ə AK ɛ AK k s ɛ AK m p l aː AD ɐ̯
probeweise	p ʁ oː AH b ə AK v a AC ɪ̯ BB z ə AK
probieren	p ʁ o AG b iː AF ʁ ə AK n
problem	p ʁ o AG b l eː AF m
problematisch	p ʁ o AG b l e AE m aː AD t ɪ AK ʃ
probleme	p ʀ o AG b l eː AF m ə AK
problems	p ʀ o AG b l eː AF m s
prodromal	p r o AG d ʀ o AG m aː AD l
produktivität	p ʁ o AG d ʊ AI k t i AE v i AE t ɛː AM t
produzieren	p ʀ o AG d u AG t s iː AF ʀ ə AK n
proeuropäisch	p ʀ o AG ʔ ɔ AI ɪ̯ BB ʀ o AG p ɛː AM ɪ AK ʃ
prof	p ʁ ɔ AI f
professor	p ʁ o AG f ɛ AK s oː AH ɐ̯
professoral	p ʁ o AG f ɛ AK s o AG ʁ aː AD l
professorchen	p ʁ o AG f ɛ AK s oː AH ɐ̯ ç ə AK n
professorin	p ʁ o AG f ɛ AK s oː AH ʁ ɪ AK n
professorinnen	p ʁ o AG f ɛ AK s oː AH ʁ ɪ AK n ə AK n
professorlein	p ʁ o AG f ɛ AK s oː AH ɐ̯ l a AC ɪ̯ BB n
professur	p ʁ o AG f ɛ AK s uː AH ɐ̯
profi	p ʁ oː AH f i AE
profit	p ʁ o AG f ɪ AK t
profitieren	p ʁ o AG f i AE t iː AF ʁ ə AK n
profitänzer	p ʁ oː AH f i AE t ɛ AK n t s ɐ BE
profitänzerin	p ʁ oː AH f i AE t ɛ AK n t s ə AK ʁ ɪ AK n
profund	p ʀ o AG f ʊ AI n t
prognath	p ʀ o AG ɡ n aː AD t
prognose	p ʀ o AG ɡ n oː AH z ə AK
prognostizierbar	p ʀ o AG ɡ n ɔ AI s t i AE t s iː AF ɐ̯ b aː AD ɐ̯
programm	p r o AG ɡ r a AC m
programme	p ʀ o AG ɡ ʀ a AC m ə AK
programmieren	p ʀ o AG ɡ ʀ a AC m iː AF ʀ ə AK n
programmierer	p ʀ o AG ɡ ʀ a AC m iː AF ʀ ɐ BE
programmiererin	p ʁ o AG ɡ ʁ a AC m iː AF ʁ ɐ BE ʁ ɪ AK n
programmierung	p ʀ o AG ɡ ʀ a AC m iː AF ʀ ʊ AI ŋ
progressiv	p ʁ o AG ɡ ʁ ɛ AK s iː AF f
proiranisch	p ʀ o AG ʔ i AE ʀ aː AD n ɪ AK ʃ
projekt	p ʁ o AG j AB ɛ AK k t
projektieren	p ʁ o AG j AB ɛ AK k t iː AF ʁ ə AK n
projektstörung	p r o AG j AB ɛ AK k t ʃ t øː AH r ʊ AI ŋ
projizieren	p ʁ o AG j AB i AE t s iː AF ʁ ə AK n
proletarier	p ʁ o AG l e AE t aː AD ʁ i AE ɐ BE
prollig	p ʀ ɔ AI l ɪ AK ç
prometheisch	p ʀ o AG m e AE t eː AF ɪ AK ʃ
promi	p ʁ ɔ AI m i AE
promigeil	p ʁ oː AH m i AE ɡ a AC ɪ̯ BB l
promille	p ʁ o AG m ɪ AK l ə AK
prominenter	p ʁ ɔ AI m i AE n ɛ AK n t ɐ BE
promisk	p ʀ o AG m ɪ AK s k
promiskuitiv	p ʀ o AG m ɪ AK s k u AG i AE t iː AF f
promoten	p ʁ o AG m ɔ AI ʊ̯ BC t n̩
promovieren	p ʀ o AG m o AG v iː AF ʀ ə AK n
pronomen	p ʁ o AG n oː AH m ə AK n
propagandistisch	p ʀ o AG p a AC ɡ a AC n d ɪ AK s t ɪ AK ʃ
proper	p ʁ ɔ AI p ɐ BE
prophet	p ʀ o AG f eː AF t
prophetentum	p ʁ o AG f eː AF t n̩ t uː AH m
proponieren	p ʁ o AG p o AG n iː AF ʁ ə AK n
proppen	p ʁ ɔ AI p ə AK n
proppenvoll	p ʁ ɔ AI p ə AK n f ɔ AI l
proprietär	p ʁ o AG p ʁ i AE e AE t ɛː AM ɐ̯
propst	p ʁ oː AH p s t
propstes	p ʁ oː AH p s t ə AK s
propsts	p ʁ oː AH p s t s
propädeutisch	p ʁ o AG p ɛ AK d ɔ AI ɪ̯ BB t ɪ AK ʃ
prorussisch	p ʀ oː AH ʀ ʊ AI s ɪ AK ʃ
prosit	p r oː AH z i AE t
prosodie	p ʁ o AG z o AG d iː AF
prosodisch	p ʀ o AG z oː AH d ɪ AK ʃ
prosopagnosie	p ʀ o AG z o AG p ʔ a AC ɡ n o AG z iː AF
prosopografisch	p ʀ o AG z o AG p o AG ɡ ʀ aː AD f ɪ AK ʃ
prost	p ʀ oː AH s t
prosten	p ʀ oː AH s t n̩
protagonist	p ʀ o AG t a AC ɡ o AG n ɪ AK s t
protagonisten	p ʀ o AG t a AC ɡ o AG n ɪ AK s t ə AK n
proteisch	p ʁ o AG t eː AF ɪ AK ʃ
protektorat	p ʀ o AG t ɛ AK k t o AG ʀ aː AD t
proterozoikum	p ʀ o AG t e AE ʀ o AG t s oː AH i AE k ʊ AI m
protest	p ʁ o AG t ɛ AK s t
protestieren	p ʁ o AG t ɛ AK s t iː AF ʁ ə AK n
prothese	p ʁ o AG t eː AF z ə AK
protokoll	p ʁ o AG t o AG k ɔ AI l
proton	p ʁ o AG tʰ ɔ AI n
prototypisch	p ʀ o AG t o AG t y AG p ɪ AK ʃ
prototürkisch	p ʀ o AG t o AG t ʏ AI ʁ k ɪ AK ʃ
protz	p ʀ ɔ AI t s
protze	p r ɔ AI t s ə AK
protzig	p ʁ ɔ AI t s ɪ AK ç
provinzler	p ʁ o AG v ɪ AK n t s l ɐ BE
provisorium	p ʁ o AG v i AE z oː AH ʁ i AE ʊ AI m
provokateur	p ʁ o AG v o AG k a AC t øː AH ʁ
provokateurin	p ʁ o AG v o AG k a AC t øː AH ʁ ɪ AK n
provokativ	p ʀ o AG v o AG k a AC t iː AF f
provozieren	p ʀ o AG v o AG t s iː AF ʀ ə AK n
prowestlich	p ʀ oː AH v ɛ AK s t l ɪ AK ç
prozent	p ʁ o AG t s ɛ AK n t
prozentsatz	p ʁ o AG t s ɛ AK n t z a AC t s
prozentual	p ʀ o AG t s ɛ AK n t u̯ BF aː AD l
prozess	p ʁ o AG t s ɛ AK s
prozessieren	p ʁ o AG t s ɛ AK s iː AF ʁ ə AK n
prunken	p ʁ ʊ AI ŋ k n̩
prunksüchtig	p ʀ ʊ AI ŋ k z ʏ AI ç t ɪ AK ç
prunkvoll	p ʀ ʊ AI ŋ k f ɔ AI l
prussisch	p ʀ uː AH s ɪ AK ʃ
prusten	p ʁ uː AH s t ə AK n
präambel	p ʁ ɛː AM a AC m b l̩
präambeln	p ʁ ɛ AK a AC m b l̩ n
präantepänultima	p ʁ ɛː AM a AC n t ə AK p ɛː AM n ʔ ʊ AI l t i AE m a AC
präarchaikum	p ʁ ɛː AM a AC ʁ ç aː AD i AE k ʊ AI m
prächtig	p ʀ ɛ AK ç t ɪ AK ç
prädator	p ʁ ɛː AM d aː AD t oː AH ɐ̯
prädestinieren	p ʁ ɛː AM d ɛ AK s t i AE n iː AF ʁ ə AK n
prädial	p ʀ ɛː AM d i AE aː AD l
prädialadel	p ʀ ɛː AM d i AE aː AD l aː AD d l̩
prädikat	p ʁ ɛː AM d i AE k aː AD t
prädikatenlogik	p ʀ ɛː AM d i AE k aː AD t n̩ l oː AH ɡ ɪ AK k
prädikativ	p ʀ ɛː AM d i AE k a AC t iː AF f
prädiktabel	p ʀ ɛ AK d ɪ AK k t aː AD b l̩
prädisponieren	p ʁ ɛ AK d ɪ AK s p o AG n iː AF ʁ ə AK n
präfaschistisch	p ʁ ɛː AM f a AC ʃ ɪ AK s t ɪ AK ʃ
präfekt	p ʁ ɛː AM f ɛ AK k t
präfektur	p ʁ ɛː AM f ɛ AK k t uː AH ɐ̯
präferabel	p ʀ ɛː AM f e AE ʀ aː AD b l̩
präferenz	p ʁ ɛː AM f e AE ʁ ɛ AK n t s
präferieren	p ʁ ɛː AM f e AE ʁ iː AF ʁ ə AK n
präfigieren	p ʁ ɛ AK f i AE ɡ iː AF ʁ ə AK n
präfigierung	p ʁ ɛ AK f i AE ɡ iː AF ʁ ʊ AI ŋ
präfix	p ʁ ɛː AM f ɪ AK k s
prägeanstalt	p ʁ ɛː AM ɡ ə AK a AC n ʃ t a AC l t
prägnant	p ʁ ɛ AK ɡ n a AC n t
prägung	p ʁ ɛː AM ɡ ʊ AI ŋ
prähistorisch	p ʁ ɛː AM h AA ɪ AK s t oː AH ʁ ɪ AK ʃ
präkambrisch	p ʁ ɛː AM k a AC m b ʁ ɪ AK ʃ
präkambrium	p ʀ ɛː AM k a AC m b ʀ i AE ʊ AI m
präkolumbisch	p ʀ ɛː AM k o AG l ʊ AI m b ɪ AK ʃ
präkomatös	p ʀ ɛ AK k o AG m a AC t øː AH s
präliminär	p ʀ ɛː AM l i AE m i AE n ɛː AM ɐ̯
prämarital	p ʀ ɛː AM m a AC ʀ i AE t aː AD l
prämieren	p ʁ ɛ AK m iː AF ʁ ə AK n
prämiert	p ʀ ɛː AM m iː AF ɐ̯ t
prämisse	p ʁ ɛ AK m ɪ AK s ə AK
prämissen	p ʁ ɛ AK m ɪ AK s n̩
prämonetär	p ʀ ɛː AM m o AG n e AE t ɛː AM ɐ̯
pränatal	p ʀ ɛː AM n a AC t aː AD l
präoperativ	p ʀ ɛː AM ʔ o AG p ə AK ʀ a AC t iː AF f
präordnung	p ʁ ɛː AM ɔ AI ʁ d n ʊ AI ŋ
präparat	p ʁ ɛ AK p a AC ʁ aː AD t
präparativ	p ʁ ɛː AM p a AC ʁ a AC t iː AF f
präparator	p ʁ ɛ AK p a AC ʁ a AC t oː AH ɐ̯
präplanetar	p ʀ ɛ AK p l a AC n e AE t aː AD ɐ̯
präpositionalphrase	p ʁ ɛː AM p o AG z i AE t s i AE o AG n aː AD l f ʁ aː AD z ə AK
präpositiv	p ʁ ɛː AM p o AG z i AE t iː AF f
präpotent	p ʀ ɛː AM p o AG t ɛ AK n t
präpotenz	p ʀ ɛː AM p o AG t ɛ AK n t s
präpubertierend	p ʁ ɛː AM p u AG b ɛ AK ʁ t iː AF ʁ ə AK n t
prärie	p ʀ ɛː AM ʀ iː AF
prärogativ	p ʀ ɛː AM ʀ o AG ɡ a AC t iː AF f
präsens	p ʁ ɛː AM z ɛ AK n s
präsent	p ʁ ɛ AK z ɛ AK n t
präsentieren	p ʀ ɛ AK z ɛ AK n t iː AF ʀ ə AK n
präsentisch	p ʀ ɛ AK z ɛ AK n t ɪ AK ʃ
präservativ	p ʁ ɛ AK z ɛ AK ʁ v a AC t iː AF f
präsident	p ʁ ɛ AK z i AE d ɛ AK n t
präsidentenwahl	p ʁ ɛː AM z i AE d ɛ AK n t n̩ v aː AD l
präsidentin	p ʁ ɛ AK z i AE d ɛ AK n t ɪ AK n
präsidentschaft	p ʁ ɛː AM z i AE d ɛ AK n t ʃ a AC f t
präsidentschaftskandidat	p ʁ ɛ AK z i AE d ɛ AK n t ʃ a AC f t s k a AC n d i AE d aː AD t
präsidentschaftskandidatin	p ʁ ɛ AK z i AE d ɛ AK n t ʃ a AC f t s k a AC n d i AE d aː AD t ɪ AK n
präsidentschaftswahl	p ʁ ɛ AK z i AE d ɛ AK n t ʃ a AC f t s v aː AD l
präskriptiv	p ʀ ɛ AK s k ʀ ɪ AK p t iː AF f
präsumtiv	p ʀ ɛ AK z ʊ AI m t iː AF f
präsupponieren	p ʁ ɛ AK z ʊ AI p o AG n iː AF ʁ ə AK n
präterital	p ʀ ɛ AK t e AE ʀ i AE t aː AD l
prävalenz	p ʁ ɛ AK v a AC l ɛ AK n t s
präventiv	p ʁ ɛ AK v ɛ AK n t iː AF f
präventivkrieg	p ʁ ɛ AK v ɛ AK n t iː AF f k ʁ iː AF k
präventivschlag	p ʁ ɛ AK v ɛ AK n t iː AF f ʃ l aː AD k
präverb	p ʁ ɛː AM v ɛ AK ʁ p
präzedenzfall	p ʁ ɛː AM t s e AE d ɛ AK n t s f a AC l
präzis	p ʁ ɛː AM t s iː AF s
präzise	p ʁ ɛː AM t s iː AF z ə AK
pröpste	p ʁ øː AH p s t ə AK
pröpsten	p ʁ øː AH p s t ə AK n
prüde	p ʁ yː AH d ə AK
prüfen	p ʀ yː AH f ə AK n
prüfstein	p ʀ yː AH f ʃ t a AC ɪ̯ BB n
prüfung	p ʀ yː AH f ʊ AI ŋ
prügelei	p ʁ yː AH ɡ ə AK l a AC ɪ̯ BB
prügelknabe	p ʀ yː AH ɡ ə AK l k n aː AD b ə AK
prüll	p ʁ ʏ AI l
prütt	p ʁ ʏ AI t
pseudogetreide	p s ɔ AI ɪ̯ BB d o AG ɡ ə AK t ʁ a AC ɪ̯ BB d ə AK
pseudonym	p s ɔ AI ɪ̯ BB d ɔ AI n yː AH m
pseudowissenschaft	p s ɔ AI ɪ̯ BB d o AG v ɪ AK s n̩ ʃ a AC f t
pseudowissenschaftlich	p s ɔ AI ɪ̯ BB d o AG v ɪ AK s n̩ ʃ a AC f t l ɪ AK ç
psychisch	p s yː AH ç i AE ʃ
psychoanalyse	p s yː AH ç o AG a AC n a AC l yː AH z ə AK
psychogen	p s y AG ç o AG ɡ eː AF n
psychologe	p s y AG ç o AG l oː AH ɡ ə AK
psychologie	p s yː AH ç o AG l o AG ɡ iː AF
psychologin	p s y AG ç o AG l oː AH ɡ ɪ AK n
