あ	a̠ AI
ちんじゅつ	t ɕ ĩ ɲ̟ d ʑ ɨᵝ t s ɨᵝ
ちんじゅふしょうぐん	t ɕ ĩ ɲ̟ d ʑ ɨᵝ ɸ ɯ̟ᵝ ɕ o̞ː AE ɡ ɯ̟̃ᵝ ɴ
ちんすこう	t ɕ ĩ ɰ̃ AK s ɨᵝ k o̞ː AE
ちんせい	t ɕ ĩ ɰ̃ AK s e̞ː AD
ちんせいか	t ɕ ĩ ɰ̃ AK s e̞ː AD k a̠ AI
ちんせいざい	t ɕ ĩ ɰ̃ AK s e̞ː AD z a̠ AI i AC
ちんちゃく	t ɕ ĩ ɲ̟ t ɕ a̠ AI k ɯ̟ᵝ
ちんちょう	t ɕ ĩ ɲ̟ t ɕ o̞ː AE
ちんちろりん	t ɕ ĩ ɲ̟ t ɕ i AC ɾ o̞ AF ɾʲ ĩ ɴ
ちんつう	t ɕ ĩ n t s ɨᵝː
ちんつうざい	t ɕ ĩ n t s ɨᵝː z a̠ AI i AC
ちんでん	t ɕ ĩ n d ẽ̞ ɴ
ちんば	t ɕ ĩ m b a̠ AI
ちんぷ	t ɕ ĩ m p ɯ̟ᵝ
ちんぷんかん	t ɕ ĩ m p ɯ̟̃ᵝ ŋ k ã̠ ɴ
ちんぷんかんぷん	t ɕ ĩ m p ɯ̟̃ᵝ ŋ k ã̠ m p ɯ̟̃ᵝ ɴ
ちんぼつ	t ɕ ĩ m b o̞ AF t s ɨᵝ
ちんぽ	t ɕ ĩ m p o̞ AF
ちんぽこ	t ɕ ĩ m p o̞ AF k o̞ AF
ちんみ	t ɕ ĩ mʲː i AC
ちんもく	t ɕ ĩ mː o̞ AF k ɯ̟ᵝ
ちんれつ	t ɕ ĩ n ɾ e̞ AC t s ɨᵝ
ぢ	ʑ i AC
ぢぇ	d ʑ e̞ AC
ぢゃ	d ʑ a̠ AI
ぢゅ	d ʑ ɨᵝ
ぢょ	d ʑ o̞ AF
っしゃ	ɕː a̠ AI
っす	sː ɯ̟ᵝ
って	t̚ t e̞ AC
ってば	t̚ t e̞ AC b a̠ AI
つ	t s ɨᵝ
つぁ	t s a̠ AI
つい	t s ɨᵝ i AC
ついえ	t s ɨᵝ i AC e̞ AC
ついえる	t s ɨᵝ i AC e̞ AC ɾ ɯ̟ᵝ
ついおく	t s ɨᵝ i AC o̞ AF k ɯ̟ᵝ
ついか	t s ɨᵝ i AC k a̠ AI
ついき	t s ɨᵝ i AC kʲ i AC
ついきゅう	t s ɨᵝ i AC kʲ ɨᵝː
ついげき	t s ɨᵝ i AC ɡ e̞ AC kʲ i AC
ついこつ	t s ɨᵝ i AC k o̞ AF t s ɨᵝ
ついし	t s ɨᵝ i AC ɕ i AC
ついしけん	t s ɨᵝ i AC ɕ i AC k ẽ̞ ɴ
ついじゅう	t s ɨᵝ i AC ʑ ɨᵝː
ついずい	t s ɨᵝ i AC z ɨᵝ i AC
ついせき	t s ɨᵝ i AC s e̞ AC kʲ i AC
ついそう	t s ɨᵝ i AC s o̞ː AE
ついぞ	t s ɨᵝ i AC z o̞ AF
ついたち	t s ɨᵝ i AC t a̠ AI t ɕ i AC
ついとう	t s ɨᵝ i AC t o̞ː AE
ついとうしき	t s ɨᵝ i AC t o̞ː AE ɕ i AC kʲ i AC
ついとつ	t s ɨᵝ i AC t o̞ AF t s ɨᵝ
ついな	t s ɨᵝ i AC n a̠ AI
ついばむ	t s ɨᵝ i AC b a̠ AI m ɯ̟ᵝ
ついほう	t s ɨᵝ i AC h AA o̞ː AE
ついやす	t s ɨᵝ i AC j AB a̠ AI s ɨᵝ
ついらく	t s ɨᵝ i AC ɾ a̠ AI k ɯ̟ᵝ
つうか	t s ɨᵝː k a̠ AI
つうかい	t s ɨᵝː k a̠ AI i AC
つうかく	t s ɨᵝː k a̠ AI k ɯ̟ᵝ
つうかん	t s ɨᵝː k ã̠ ɴ
つうがく	t s ɨᵝː ɡ a̠ AI k ɯ̟ᵝ
つうがくかばん	t s ɨᵝː ɡ a̠ AI k ɯ̟ᵝ k a̠ AI b ã̠ ɴ
つうきん	t s ɨᵝː kʲ ĩ ɴ
つうぎょう	t s ɨᵝː ɡʲ o̞ː AE
つうこう	t s ɨᵝː k o̞ː AE
つうこく	t s ɨᵝː k o̞ AF k ɯ̟ᵝ
つうさん	t s ɨᵝː s ã̠ ɴ
つうしょう	t s ɨᵝː ɕ o̞ː AE
つうしん	t s ɨᵝː ɕ ĩ ɴ
つうしんはんばい	t s ɨᵝː ɕ ĩ ɰ̃ AK h AA ã̠ m b a̠ AI i AC
つうじょう	t s ɨᵝː ʑ o̞ː AE
つうじょううんてん	t s ɨᵝː ʑ o̞ː AE ɯ̟̃ᵝ n t ẽ̞ ɴ
つうせき	t s ɨᵝː s e̞ AC kʲ i AC
つうせつ	t s ɨᵝː s e̞ AC t s ɨᵝ
つうぞく	t s ɨᵝː z o̞ AF k ɯ̟ᵝ
つうち	t s ɨᵝː t ɕ i AC
つうちひょう	t s ɨᵝː t ɕ i AC ç o̞ː AE
つうちょう	t s ɨᵝː t ɕ o̞ː AE
つうはん	t s ɨᵝː h AA ã̠ ɴ
つうふう	t s ɨᵝː ɸ ɯ̟ᵝː
つうほう	t s ɨᵝː h AA o̞ː AE
つうやく	t s ɨᵝː j AB a̠ AI k ɯ̟ᵝ
つうよう	t s ɨᵝː j AB o̞ː AE
つうれつ	t s ɨᵝː ɾ e̞ AC t s ɨᵝ
つうろ	t s ɨᵝː ɾ o̞ AF
つうわ	t s ɨᵝː ɰᵝ a̠ AI
つぇ	t s e̞ AC
つえ	t s ɨᵝ e̞ AC
つぉ	t s o̞ AF
つか	t s ɨ̥ᵝ k a̠ AI
つかい	t s ɨ̥ᵝ k a̠ AI i AC
つかいこなす	t s ɨᵝ k a̠ AI i AC k o̞ AF n a̠ AI s ɨᵝ
つかいっぱしり	t s ɨᵝ k a̠ AI i AC p̚ p a̠ AI ɕ i AC ɾʲ i AC
つかいはしり	t s ɨᵝ k a̠ AI i AC h AA a̠ AI ɕ i AC ɾʲ i AC
つかいばしり	t s ɨᵝ k a̠ AI i AC b a̠ AI ɕ i AC ɾʲ i AC
つかいふるし	t s ɨᵝ k a̠ AI i AC ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ i AC
つかいふるす	t s ɨᵝ k a̠ AI i AC ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ s ɨᵝ
つかいみち	t s ɨ̥ᵝ k a̠ AI i AC mʲ i AC t ɕ i AC
つかいわける	t s ɨᵝ k a̠ AI i AC ɰᵝ a̠ AI k e̞ AC ɾ ɯ̟ᵝ
つかう	t s ɨ̥ᵝ k a̠ AI ɯ̟ᵝ
つかえる	t s ɨᵝ k a̠ AI e̞ AC ɾ ɯ̟ᵝ
つかさどる	t s ɨ̥ᵝ k a̠ AI s a̠ AI d o̞ AF ɾ ɯ̟ᵝ
つかのま	t s ɨ̥ᵝ k a̠ AI n o̞ AF m a̠ AI
つかまえる	t s ɨᵝ k a̠ AI m a̠ AI e̞ AC ɾ ɯ̟ᵝ
つかまつる	t s ɨᵝ k a̠ AI m a̠ AI t s ɨᵝ ɾ ɯ̟ᵝ
つかまる	t s ɨᵝ k a̠ AI m a̠ AI ɾ ɯ̟ᵝ
つかむ	t s ɨᵝ k a̠ AI m ɯ̟ᵝ
つかる	t s ɨᵝ k a̠ AI ɾ ɯ̟ᵝ
つかれ	t s ɨ̥ᵝ k a̠ AI ɾ e̞ AC
つかれる	t s ɨᵝ k a̠ AI ɾ e̞ AC ɾ ɯ̟ᵝ
つが	t s ɨᵝ ɡ a̠ AI
つがう	t s ɨᵝ ɡ a̠ AI ɯ̟ᵝ
つがざくら	t s ɨᵝ ɡ a̠ AI z a̠ AI k ɯ̟ᵝ ɾ a̠ AI
つがる	t s ɨᵝ ɡ a̠ AI ɾ ɯ̟ᵝ
つがるせんきょ	t s ɨᵝ ɡ a̠ AI ɾ ɯ̟ᵝ s ẽ̞ ŋʲ kʲ o̞ AF
つき	t s ɨᵝ kʲ i AC
つきあい	t s ɨ̥ᵝ kʲ i AC a̠ AI i AC
つきあう	t s ɨᵝ kʲ i AC a̠ AI ɯ̟ᵝ
つきあたり	t s ɨᵝ kʲ i AC a̠ AI t a̠ AI ɾʲ i AC
つきあたる	t s ɨᵝ kʲ i AC a̠ AI t a̠ AI ɾ ɯ̟ᵝ
つきかげ	t s ɨ̥ᵝ kʲ i AC k a̠ AI ɡ e̞ AC
つきころす	t s ɨᵝ kʲ i AC k o̞ AF ɾ o̞ AF s ɨᵝ
つきじ	t s ɨᵝ kʲ i AC ʑ i AC
つきすすむ	t s ɨᵝ kʲ i AC s ɨᵝ s ɨᵝ m ɯ̟ᵝ
つきそい	t s ɨ̥ᵝ kʲ i AC s o̞ AF i AC
つきそう	t s ɨᵝ kʲ i AC s o̞ː AE
つきつめる	t s ɨᵝ kʲ i AC t s ɨᵝ m e̞ AC ɾ ɯ̟ᵝ
つきとめる	t s ɨᵝ kʲ i AC t o̞ AF m e̞ AC ɾ ɯ̟ᵝ
つきのわぐま	t s ɨ̥ᵝ kʲ i AC n o̞ AF ɰᵝ a̠ AI ɡ ɯ̟ᵝ m a̠ AI
つきまとう	t s ɨᵝ kʲ i AC m a̠ AI t o̞ AF ɯ̟ᵝ
つきみ	t s ɨᵝ kʲ i AC mʲ i AC
つきよ	t s ɨᵝ kʲ i AC j AB o̞ AF
つきよみ	t s ɨ̥ᵝ kʲ i AC j AB o̞ AF mʲ i AC
つきる	t s ɨᵝ kʲ i AC ɾ ɯ̟ᵝ
つきんぼう	t s ɨᵝ kʲ ĩ m b o̞ː AE
つぎあわせる	t s ɨᵝ ɡʲ i AC a̠ AI ɰᵝ a̠ AI s e̞ AC ɾ ɯ̟ᵝ
つぎざま	t s ɨᵝ ɡʲ i AC z a̠ AI m a̠ AI
つぎめ	t s ɨᵝ ɡʲ i AC m e̞ AC
つく	t s ɨᵝ k ɯ̟ᵝ
つくえ	t s ɨᵝ k ɯ̟ᵝ e̞ AC
つくす	t s ɨᵝ k ɯ̟ᵝ s ɨᵝ
つくね	t s ɨ̥ᵝ k ɯ̟ᵝ n e̞ AC
つくひよ	t s ɨᵝ k ɯ̟ᵝ ç i AC j AB o̞ AF
つくよみおとこ	t s ɨᵝ k ɯ̟ᵝ j AB o̞ AF mʲ i AC o̞ AF t o̞ AF k o̞ AF
つくり	t s ɨᵝ k ɯ̟ᵝ ɾʲ i AC
つくりあげる	t s ɨᵝ k ɯ̟ᵝ ɾʲ i AC a̠ AI ɡ e̞ AC ɾ ɯ̟ᵝ
つくりかた	t s ɨ̥ᵝ k ɯ̟ᵝ ɾʲ i AC k a̠ AI t a̠ AI
つくりじ	t s ɨᵝ k ɯ̟ᵝ ɾʲ i AC ʑ i AC
つくりたけ	t s ɨᵝ k ɯ̟ᵝ ɾʲ i AC t a̠ AI k e̞ AC
つくりだす	t s ɨᵝ k ɯ̟ᵝ ɾʲ i AC d a̠ AI s ɨᵝ
つくりばなし	t s ɨᵝ k ɯ̟ᵝ ɾʲ i AC b a̠ AI n a̠ AI ɕ i AC
つくりもの	t s ɨᵝ k ɯ̟ᵝ ɾʲ i AC m o̞ AF n o̞ AF
つくりわらい	t s ɨᵝ k ɯ̟ᵝ ɾʲ i AC ɰᵝ a̠ AI ɾ a̠ AI i AC
つくる	t s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ
つくろいもの	t s ɨᵝ k ɯ̟ᵝ ɾ o̞ AF i AC m o̞ AF n o̞ AF
つくろう	t s ɨᵝ k ɯ̟ᵝ ɾ o̞ AF ɯ̟ᵝ
つぐ	t s ɨᵝ ɡ ɯ̟ᵝ
つぐなう	t s ɨᵝ ɡ ɯ̟ᵝ n a̠ AI ɯ̟ᵝ
つぐみ	t s ɨᵝ ɡ ɯ̟ᵝ mʲ i AC
つけくわえる	t s ɨᵝ k e̞ AC k ɯ̟ᵝ ɰᵝ a̠ AI e̞ AC ɾ ɯ̟ᵝ
つけこむ	t s ɨᵝ k e̞ AC k o̞ AF m ɯ̟ᵝ
つけはずし	t s ɨᵝ k e̞ AC h AA a̠ AI z ɨᵝ ɕ i AC
つけぶみ	t s ɨᵝ k e̞ AC b ɯ̟ᵝ mʲ i AC
つけまつげ	t s ɨᵝ k e̞ AC m a̠ AI t s ɨᵝ ɡ e̞ AC
つけもの	t s ɨ̥ᵝ k e̞ AC m o̞ AF n o̞ AF
つける	t s ɨᵝ k e̞ AC ɾ ɯ̟ᵝ
つげる	t s ɨᵝ ɡ e̞ AC ɾ ɯ̟ᵝ
つごう	t s ɨᵝ ɡ o̞ː AE
つしまやまねこ	t s ɨᵝ ɕ i AC m a̠ AI j AB a̠ AI m a̠ AI n e̞ AC k o̞ AF
つじ	t s ɨᵝ ʑ i AC
つじうら	t s ɨᵝ ʑ i AC ɯ̟ᵝ ɾ a̠ AI
つじうらせんべい	t s ɨᵝ ʑ i AC ɯ̟ᵝ ɾ a̠ AI s ẽ̞ m b e̞ː AD
つじぎり	t s ɨᵝ ʑ i AC ɡʲ i AC ɾʲ i AC
つじじどうしゃ	t s ɨᵝ ʑ i AC ʑ i AC d o̞ː AE ɕ a̠ AI
つじつま	t s ɨᵝ ʑ i AC t s ɨᵝ m a̠ AI
つたう	t s ɨᵝ t a̠ AI ɯ̟ᵝ
つたえる	t s ɨᵝ t a̠ AI e̞ AC ɾ ɯ̟ᵝ
つたない	t s ɨᵝ t a̠ AI n a̠ AI i AC
つたわる	t s ɨᵝ t a̠ AI ɰᵝ a̠ AI ɾ ɯ̟ᵝ
つだみ	t s ɨᵝ d a̠ AI mʲ i AC
つち	t s ɨᵝ t ɕ i AC
つちかう	t s ɨᵝ t ɕ i AC k a̠ AI ɯ̟ᵝ
つちぐも	t s ɨ̥ᵝ t ɕ i AC ɡ ɯ̟ᵝ m o̞ AF
つちけ	t s ɨᵝ t ɕ i AC k e̞ AC
つちにんぎょう	t s ɨ̥ᵝ t ɕ i AC ɲ̟ ĩ ŋʲ ɡʲ o̞ː AE
つちぶた	t s ɨ̥ᵝ t ɕ i AC b ɯ̟ᵝ t a̠ AI
つっこみ	t s ɨ̥ᵝ k̚ k o̞ AF mʲ i AC
つっこむ	t s ɨᵝ k̚ k o̞ AF m ɯ̟ᵝ
つったつ	t s ɨᵝ t̚ t a̠ AI t s ɨᵝ
つっぱしる	t s ɨᵝ p̚ p a̠ AI ɕ i AC ɾ ɯ̟ᵝ
つっぱり	t s ɨᵝ p̚ p a̠ AI ɾʲ i AC
つっぱりぼう	t s ɨᵝ p̚ p a̠ AI ɾʲ i AC b o̞ː AE
つっぱる	t s ɨᵝ p̚ p a̠ AI ɾ ɯ̟ᵝ
つつ	t s ɨ̥ᵝ t s ɨᵝ
つついづつ	t s ɨᵝ t s ɨᵝ i AC z ɨᵝ t s ɨᵝ
つつうらうら	t s ɨᵝ t s ɨᵝː ɾ a̠ AI ɯ̟ᵝ ɾ a̠ AI
つつきまわす	t s ɨᵝ t s ɨᵝ kʲ i AC m a̠ AI ɰᵝ a̠ AI s ɨᵝ
つつしむ	t s ɨᵝ t s ɨᵝ ɕ i AC m ɯ̟ᵝ
つつぬけ	t s ɨ̥ᵝ t s ɨᵝ n ɯ̟ᵝ k e̞ AC
つつむ	t s ɨᵝ t s ɨᵝ m ɯ̟ᵝ
つつもたせ	t s ɨᵝ t s ɨᵝ m o̞ AF t a̠ AI s e̞ AC
つづく	t s ɨᵝ z ɨᵝ k ɯ̟ᵝ
つづけじ	t s ɨᵝ z ɨᵝ k e̞ AC ʑ i AC
つづける	t s ɨᵝ z ɨᵝ k e̞ AC ɾ ɯ̟ᵝ
つづみ	t s ɨᵝ z ɨᵝ mʲ i AC
つづり	t s ɨᵝ z ɨᵝ ɾʲ i AC
つづりじ	t s ɨᵝ z ɨᵝ ɾʲ i AC ʑ i AC
つづる	t s ɨᵝ z ɨᵝ ɾ ɯ̟ᵝ
つて	t s ɨ̥ᵝ t e̞ AC
つとまる	t s ɨᵝ t o̞ AF m a̠ AI ɾ ɯ̟ᵝ
つとめさき	t s ɨᵝ t o̞ AF m e̞ AC s a̠ AI kʲ i AC
つとめて	t s ɨᵝ t o̞ AF m e̞ AC t e̞ AC
つとめる	t s ɨᵝ t o̞ AF m e̞ AC ɾ ɯ̟ᵝ
つどう	t s ɨᵝ d o̞ AF ɯ̟ᵝ
つな	t s ɨᵝ n a̠ AI
つながり	t s ɨᵝ n a̠ AI ɡ a̠ AI ɾʲ i AC
つながる	t s ɨᵝ n a̠ AI ɡ a̠ AI ɾ ɯ̟ᵝ
つなぐ	t s ɨᵝ n a̠ AI ɡ ɯ̟ᵝ
つなひき	t s ɨᵝ n a̠ AI ç i̥ AC kʲ i AC
つなみ	t s ɨᵝ n a̠ AI mʲ i AC
つなみけいほう	t s ɨᵝ n a̠ AI mʲ i AC k e̞ː AD h AA o̞ː AE
つねじ	t s ɨᵝ n e̞ AC ʑ i AC
つねに	t s ɨᵝ n e̞ AC ɲ̟ i AC
つねる	t s ɨᵝ n e̞ AC ɾ ɯ̟ᵝ
つのかくし	t s ɨᵝ n o̞ AF k a̠ AI k ɯ̟ᵝ ɕ i AC
つのざめ	t s ɨᵝ n o̞ AF z a̠ AI m e̞ AC
つのめどり	t s ɨᵝ n o̞ AF m e̞ AC d o̞ AF ɾʲ i AC
つのる	t s ɨᵝ n o̞ AF ɾ ɯ̟ᵝ
つば	t s ɨᵝ b a̠ AI
つばき	t s ɨᵝ b a̠ AI kʲ i AC
つばくらめ	t s ɨᵝ b a̠ AI k ɯ̟ᵝ ɾ a̠ AI m e̞ AC
つばさ	t s ɨᵝ b a̠ AI s a̠ AI
つび	t s ɨᵝ bʲ i AC
つぶす	t s ɨᵝ b ɯ̟ᵝ s ɨᵝ
つぶやき	t s ɨᵝ b ɯ̟ᵝ j AB a̠ AI kʲ i AC
つぶやく	t s ɨᵝ b ɯ̟ᵝ j AB a̠ AI k ɯ̟ᵝ
つぶる	t s ɨᵝ b ɯ̟ᵝ ɾ ɯ̟ᵝ
つぶれる	t s ɨᵝ b ɯ̟ᵝ ɾ e̞ AC ɾ ɯ̟ᵝ
つべ	t s ɨᵝ b e̞ AC
つべこべ	t s ɨᵝ b e̞ AC k o̞ AF b e̞ AC
つぼ	t s ɨᵝ b o̞ AF
つぼき	t s ɨᵝ b o̞ AF kʲ i AC
つぼくさ	t s ɨᵝ b o̞ AF k ɯ̟ᵝ s a̠ AI
つぼる	t s ɨᵝ b o̞ AF ɾ ɯ̟ᵝ
つま	t s ɨᵝ m a̠ AI
つまさき	t s ɨᵝ m a̠ AI s a̠ AI kʲ i AC
つまずく	t s ɨᵝ m a̠ AI z ɨᵝ k ɯ̟ᵝ
つまびく	t s ɨᵝ m a̠ AI bʲ i AC k ɯ̟ᵝ
つまむ	t s ɨᵝ m ɯ̟ᵝ
つまらない	t s ɨᵝ m a̠ AI ɾ a̠ AI n a̠ AI i AC
つまる	t s ɨᵝ m a̠ AI ɾ ɯ̟ᵝ
つみき	t s ɨᵝ mʲ i AC kʲ i AC
つみこむ	t s ɨᵝ mʲ i AC k o̞ AF m ɯ̟ᵝ
つみぶかい	t s ɨᵝ mʲ i AC b ɯ̟ᵝ k a̠ AI i AC
つみれ	t s ɨᵝ mʲ i AC ɾ e̞ AC
つむ	t s ɨᵝ m ɯ̟ᵝ
つむぎ	t s ɨᵝ m ɯ̟ᵝ ɡʲ i AC
つむじ	t s ɨᵝ m ɯ̟ᵝ ʑ i AC
つむる	t s ɨᵝ m ɯ̟ᵝ ɾ ɯ̟ᵝ
つめ	t s ɨᵝ m e̞ AC
つめあわせ	t s ɨᵝ m e̞ AC a̠ AI ɰᵝ a̠ AI s e̞ AC
つめかみ	t s ɨᵝ m e̞ AC k a̠ AI mʲ i AC
つめかんむり	t s ɨᵝ m e̞ AC k ã̠ mː ɯ̟ᵝ ɾʲ i AC
つめきり	t s ɨᵝ m e̞ AC kʲ i AC ɾʲ i AC
つめくさ	t s ɨᵝ m e̞ AC k ɯ̟̊ᵝ s a̠ AI
つめこむ	t s ɨᵝ m e̞ AC k o̞ AF m ɯ̟ᵝ
つめたい	t s ɨᵝ m e̞ AC t a̠ AI i AC
つめたいせんそう	t s ɨᵝ m e̞ AC t a̠ AI i AC s ẽ̞ ɰ̃ AK s o̞ː AE
つめる	t s ɨᵝ m e̞ AC ɾ ɯ̟ᵝ
つめろ	t s ɨᵝ m e̞ AC ɾ o̞ AF
つもる	t s ɨᵝ m o̞ AF ɾ ɯ̟ᵝ
つや	t s ɨᵝ j AB a̠ AI
つやま	t s ɨᵝ j AB a̠ AI m a̠ AI
つゆ	t s ɨᵝ j AB ɯ̟ᵝ
つゆあけ	t s ɨᵝ j AB ɯ̟ᵝ a̠ AI k e̞ AC
つよい	t s ɨᵝ j AB o̞ AF i AC
つよがり	t s ɨᵝ j AB o̞ AF ɡ a̠ AI ɾʲ i AC
つよがる	t s ɨᵝ j AB o̞ AF ɡ a̠ AI ɾ ɯ̟ᵝ
つよび	t s ɨᵝ j AB o̞ AF bʲ i AC
つよまる	t s ɨᵝ j AB o̞ AF m a̠ AI ɾ ɯ̟ᵝ
つよみ	t s ɨᵝ j AB o̞ AF mʲ i AC
つよめ	t s ɨᵝ j AB o̞ AF m e̞ AC
つよめる	t s ɨᵝ j AB o̞ AF m e̞ AC ɾ ɯ̟ᵝ
つらがまえ	t s ɨᵝ ɾ a̠ AI ɡ a̠ AI m a̠ AI e̞ AC
つらなる	t s ɨᵝ ɾ a̠ AI n a̠ AI ɾ ɯ̟ᵝ
つらぬく	t s ɨᵝ ɾ a̠ AI n ɯ̟ᵝ k ɯ̟ᵝ
つらねる	t s ɨᵝ ɾ a̠ AI n e̞ AC ɾ ɯ̟ᵝ
つりあう	t s ɨᵝ ɾʲ i AC a̠ AI ɯ̟ᵝ
つりあげる	t s ɨᵝ ɾʲ i AC a̠ AI ɡ e̞ AC ɾ ɯ̟ᵝ
つりかわ	t s ɨᵝ ɾʲ i AC k a̠ AI ɰᵝ a̠ AI
つりぐ	t s ɨᵝ ɾʲ i AC ɡ ɯ̟ᵝ
つりざお	t s ɨᵝ ɾʲ i AC z a̠ AI o̞ AF
つりばし	t s ɨᵝ ɾʲ i AC b a̠ AI ɕ i AC
つりばしこうか	t s ɨᵝ ɾʲ i AC b a̠ AI ɕ i AC k o̞ː AE k a̠ AI
つる	t s ɨᵝ ɾ ɯ̟ᵝ
つるかめざん	t s ɨᵝ ɾ ɯ̟ᵝ k a̠ AI m e̞ AC z ã̠ ɴ
つるざ	t s ɨᵝ ɾ ɯ̟ᵝ z a̠ AI
つるす	t s ɨᵝ ɾ ɯ̟ᵝ s ɨᵝ
つるのひとこえ	t s ɨᵝ ɾ ɯ̟ᵝ n o̞ AF ç i AC t o̞ AF k o̞ AF e̞ AC
つるはし	t s ɨᵝ ɾ ɯ̟ᵝ h AA a̠ AI ɕ i AC
つるぺた	t s ɨᵝ ɾ ɯ̟ᵝ p e̞ AC t a̠ AI
つるれいし	t s ɨᵝ ɾ ɯ̟ᵝ ɾ e̞ː AD ɕ i AC
つれ	t s ɨᵝ ɾ e̞ AC
つれきたる	t s ɨᵝ ɾ e̞ AC kʲ i̥ AC t a̠ AI ɾ ɯ̟ᵝ
つれさる	t s ɨᵝ ɾ e̞ AC s a̠ AI ɾ ɯ̟ᵝ
つれだす	t s ɨᵝ ɾ e̞ AC d a̠ AI s ɨᵝ
つれる	t s ɨᵝ ɾ e̞ AC ɾ ɯ̟ᵝ
つわもの	t s ɨᵝ ɰᵝ a̠ AI m o̞ AF n o̞ AF
つわり	t s ɨᵝ ɰᵝ a̠ AI ɾʲ i AC
つわる	t s ɨᵝ ɰᵝ a̠ AI ɾ ɯ̟ᵝ
つんどく	t s ɨ̃ᵝ n d o̞ AF k ɯ̟ᵝ
つんぼさじき	t s ɨ̃ᵝ m b o̞ AF s a̠ AI ʑ i AC kʲ i AC
つ゚	t ɯ̟ᵝ
づめ	t s ɨᵝ m e̞ AC
て	t e̞ AC
てあい	t e̞ AC a̠ AI i AC
てあし	t e̞ AC a̠ AI ɕ i AC
てあせ	t e̞ AC a̠ AI s e̞ AC
てあたりしだい	t e̞ AC a̠ AI t a̠ AI ɾʲ i AC ɕ i AC d a̠ AI i AC
てあて	t e̞ AC a̠ AI t e̞ AC
てあらい	t e̞ AC a̠ AI ɾ a̠ AI i AC
てあれ	t e̞ AC a̠ AI ɾ e̞ AC
てい	t e̞ː AD
ていおう	t e̞ː AD o̞ː AE
ていおうせっかい	t e̞ː AD o̞ː AE s e̞ AC k̚ k a̠ AI i AC
ていおん	t e̞ː AD õ̞ ɴ
ていか	t e̞ː AD k a̠ AI
ていかんし	t e̞ː AD k ã̠ ɰ̃ AK ɕ i AC
ていがい	t e̞ː AD ɡ a̠ AI i AC
ていきけん	t e̞ː AD kʲ i AC k ẽ̞ ɴ
ていきゅう	t e̞ː AD kʲ ɨᵝː
ていきゅうしぼうさん	t e̞ː AD kʲ ɨᵝː ɕ i AC b o̞ː AE s ã̠ ɴ
ていきゅうび	t e̞ː AD kʲ ɨᵝː bʲ i AC
ていきょう	t e̞ː AD kʲ o̞ː AE
ていきん	t e̞ː AD kʲ ĩ ɴ
ていぎ	t e̞ː AD ɡʲ i AC
ていけいぶん	t e̞ː AD k e̞ː AD b ɯ̟̃ᵝ ɴ
ていけっとう	t e̞ː AD k e̞ AC t̚ t o̞ː AE
ていけつ	t e̞ː AD k e̞ AC t s ɨᵝ
ていげん	t e̞ː AD ɡ ẽ̞ ɴ
ていこ	t e̞ː AD k o̞ AF
ていこう	t e̞ː AD k o̞ː AE
ていこうき	t e̞ː AD k o̞ː AE kʲ i AC
ていこく	t e̞ː AD k o̞ AF k ɯ̟ᵝ
ていし	t e̞ː AD ɕ i AC
ていしき	t e̞ː AD ɕ i AC kʲ i AC
ていしつ	t e̞ː AD ɕ i AC t s ɨᵝ
ていしゃ	t e̞ː AD ɕ a̠ AI
ていしゃじょう	t e̞ː AD ɕ a̠ AI ʑ o̞ː AE
ていしゅかんぱく	t e̞ː AD ɕ ɨᵝ k ã̠ m p a̠ AI k ɯ̟ᵝ
ていしゅく	t e̞ː AD ɕ ɨ̥ᵝ k ɯ̟ᵝ
ていしゅつ	t e̞ː AD ɕ ɨᵝ t s ɨᵝ
ていしょう	t e̞ː AD ɕ o̞ː AE
ていしょく	t e̞ː AD ɕ o̞ AF k ɯ̟ᵝ
ていしょとくしゃ	t e̞ː AD ɕ o̞ AF t o̞ AF k ɯ̟ᵝ s o̞ː AE
ていしょとくそう	t e̞ː AD ɕ o̞ AF t o̞ AF k ɯ̟ᵝ s o̞ː AE
ていしん	t e̞ː AD ɕ ĩ ɴ
ていじ	t e̞ː AD ʑ i AC
ていじゅう	t e̞ː AD ʑ ɨᵝː
ていじろ	t e̞ː AD ʑ i AC ɾ o̞ AF
ていすう	t e̞ː AD s ɨᵝː
ていせい	t e̞ː AD s e̞ː AD
ていせつ	t e̞ː AD s e̞ AC t s ɨᵝ
ていせんりつ	t e̞ː AD s ẽ̞ n ɾʲ i AC t s ɨᵝ
ていそう	t e̞ː AD s o̞ː AE
ていそうたい	t e̞ː AD s o̞ː AE t a̠ AI i AC
ていぞく	t e̞ː AD z o̞ AF k ɯ̟ᵝ
ていたいせき	t e̞ː AD t a̠ AI i AC s e̞ AC kʲ i AC
ていちゃく	t e̞ː AD t ɕ a̠ AI k ɯ̟ᵝ
ていちょう	t e̞ː AD t ɕ o̞ː AE
ていちょうちょう	t e̞ː AD t ɕ o̞ː AE t ɕ o̞ː AE
ていてい	t e̞ː AD t e̞ː AD
ていてつ	t e̞ː AD t e̞ AC t s ɨᵝ
ていでん	t e̞ː AD d ẽ̞ ɴ
