ᆜ	j AB ɯ AD
옥시토신	o̞ AE k ɕ͈ i AD tʰ o̞ AE ɕʰ i AD n
옥심	o̞ AE k ɕ͈ i AD m
옥잠화	o̞ AE k̚ t ɕ͈ a̠ AF m β w AC a̠ AF
옥좌	o̞ AE k̚ t ɕ͈ w AC a̠ AF
옥중	o̞ AE k̚ t ɕ͈ u AE ŋ
옥탑	o̞ AE k̚ tʰ a̠ AF p̚
옥테인	o̞ AE k̚ tʰ e̞ AD i AD n
옥토	o̞ AE k̚ tʰ o̞ AE
온	o̞ː AE n
온갖	o̞ː AE n ɡ a̠ AF t̚
온도	o̞ AE n d o̞ AE
온도계	o̞ AE n d o̞ AE ɡ j AB e̞ AD
온돌	o̞ AE n d o̞ AE ɭ
온돌방	o̞ AE n d o̞ AE ɭ p͈ a̠ AF ŋ
온두라스	o̞ AE n d u AE ɾ a̠ AF sʰ ɯ AD
온라인	o̞ AE n n a̠ AF i AD n
온몸	o̞ː AE n m o̞ AE m
온수	o̞ AE n sʰ u AE
온실	o̞ AE n ɕʰ i AD ɭ
온전하다	o̞ː AE ɲ d ʑ ʌ̹ n ɦ AA a̠ AF d a̠ AF
온종일	o̞ː AE ɲ d ʑ o̞ AE ŋ i AD ɭ
온천	o̞ AE ɲ t ɕʰ ʌ̹ n
온통	o̞ː AE n tʰ o̞ AE ŋ
올	o̞ AE ɭ
올겨울	o̞ AE ɭ k͈ j AB ʌ̹ u AE ɭ
올라가다	o̞ AE ɭ ɭ a̠ AF ɡ a̠ AF d a̠ AF
올라오다	o̞ AE ɭ ɭ a̠ AF o̞ AE d a̠ AF
올려놓다	o̞ AE ʎ ʎ j AB ʌ̹ n o̞ AE tʰ a̠ AF
올리고	o̞ AE ʎ ʎ i AD ɡ o̞ AE
올리고당	o̞ AE ʎ ʎ i AD ɡ o̞ AE d a̠ AF ŋ
올리다	o̞ AE ʎ ʎ i AD d a̠ AF
올리브	o̞ AE ʎ ʎ i AD b ɯ AD
올림말	o̞ AE ʎ ʎ i AD m m a̠ AF ɭ
올림픽	o̞ AE ʎ ʎ i AD m pʰ i AD k̚
올바르다	o̞ AE ɭ b a̠ AF ɾ ɯ AD d a̠ AF
올여름	o̞ AE ʎ ʎ j AB ʌ̹ ɾ ɯ AD m
올통볼통	o̞ AE ɭ tʰ o̞ AE ŋ b o̞ AE ɭ tʰ o̞ AE ŋ
옮기다	o̞ AE m ɡ i AD d a̠ AF
옮다	o̞ː AE m t͈ a̠ AF
옮아가다	o̞ AE ɭ m a̠ AF ɡ a̠ AF d a̠ AF
옮아오다	o̞ AE ɭ m a̠ AF o̞ AE d a̠ AF
옳다	o̞ AE ɭ tʰ a̠ AF
옳아	o̞ AE ɾ a̠ AF
옴스크	o̞ AE m sʰ ɯ AD k x ɯ AD
옴쌀	o̞ AE m s͈ a̠ AF ɭ
옷	o̞ AE t̚
옷감	o̞ AE t̚ k͈ a̠ AF m
옷걸이	o̞ AE t̚ k͈ ʌ̹ ɾ i AD
옷고름	o̞ AE t̚ k͈ o̞ AE ɾ ɯ AD m
옷장	o̞ AE t̚ t ɕ͈ a̠ AF ŋ
옹	o̞ AE ŋ
옹졸	o̞ː AE ŋ d ʑ o̞ AE ɭ
옹졸하다	o̞ː AE ŋ d ʑ o̞ AE ɾ ɦ AA a̠ AF d a̠ AF
옹호	o̞ː AE ŋ β o̞ AE
옹호하다	o̞ː AE ŋ β o̞ AE ɦ AA a̠ AF d a̠ AF
옻	o̞ AE t̚
와	w AC a̠ AF
와가두구	w AC a̠ AF ɡ a̠ AF d u AE ɡ u AE
와그르르	w AC a̠ AF ɡ ɯ AD ɾ ɯ AD ɾ ɯ AD
와글와글	w AC a̠ AF ɡ ɯ AD ɾ w AC a̠ AF ɡ ɯ AD ɭ
와꾸	w AC a̠ AF k͈ u AE
와봐	w AC a̠ː AF b w AC a̠ AF
와사비	w AC a̠ AF sʰ a̠ AF b i AD
와사삭	w AC a̠ AF sʰ a̠ AF sʰ a̠ AF k̚
와사삭와사삭	w AC a̠ AF sʰ a̠ AF sʰ a̠ AF ɡ w AC a̠ AF sʰ a̠ AF sʰ a̠ AF k̚
와삭	w AC a̠ AF sʰ a̠ AF k̚
와삭바삭	w AC a̠ AF sʰ a̠ AF k̚ p͈ a̠ AF sʰ a̠ AF k̚
와삭와삭	w AC a̠ AF sʰ a̠ AF ɡ w AC a̠ AF sʰ a̠ AF k̚
와셔	w AC a̠ AF ɕʰ ʌ̹
와싹	w AC a̠ AF s͈ a̠ AF k̚
와싹와싹	w AC a̠ AF s͈ a̠ AF ɡ w AC a̠ AF s͈ a̠ AF k̚
와이셔츠	w AC a̠ AF i AD ɕʰ ʌ̹ t ɕʰ ɯ AD
와이파이	w AC a̠ AF i AD pʰ a̠ AF i AD
와이프	w AC a̠ AF i AD pʰ ɯ AD
와인	w AC a̠ AF i AD n
와타시	w AC a̠ AF tʰ a̠ AF ɕʰ i AD
와트	w AC a̠ AF tʰ ɯ AD
왁자그르르	w AC a̠ AF k̚ t ɕ͈ a̠ AF ɡ ɯ AD ɾ ɯ AD ɾ ɯ AD
왁자지껄하다	w AC a̠ AF k̚ t ɕ͈ a̠ AF d ʑ i AD k͈ ʌ̹ ɾ ɦ AA a̠ AF d a̠ AF
왁찐	w AC a̠ AF k̚ t ɕ͈ i AD n
완곡어법	w AC a̠ː AF n ɡ o̞ AE ɡ ʌ̹ p͈ ʌ̹ p̚
완곡하다	w AC a̠ː AF n ɡ o̞ AE kʰ a̠ AF d a̠ AF
완곡한	w AC a̠ː AF n ɡ o̞ AE kʰ a̠ AF n
완두	w AC a̠ AF n d u AE
완료	w AC a̠ AF ʎ ʎ j AB o AE
완벽	w AC a̠ AF n b j AB ʌ̹ k̚
완벽하다	w AC a̠ AF n b j AB ʌ̹ kʰ a̠ AF d a̠ AF
완비	w AC a̠ AF n b i AD
완성	w AC a̠ AF n sʰ ʌ̹ ŋ
완성하다	w AC a̠ AF n sʰ ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
완전	w AC a̠ AF ɲ d ʑ ʌ̹ n
완전하다	w AC a̠ AF ɲ d ʑ ʌ̹ n ɦ AA a̠ AF d a̠ AF
완전히	w AC a̠ AF ɲ d ʑ ʌ̹ n ʝ i AD
왈	w AC a̠ AF ɭ
왈가왈부	w AC a̠ AF ɭ ɡ a̠ AF w AC a̠ AF ɭ b u AE
왈츠	w AC a̠ AF ʎ t ɕʰ ɯ AD
왐마	w AC a̠ AF m m a̠ AF
왕	w AC a̠ AF ŋ
왕가	w AC a̠ AF ŋ ɡ a̠ AF
왕관	w AC a̠ AF ŋ ɡ w AC a̠ AF n
왕국	w AC a̠ AF ŋ ɡ u AE k̚
왕복	w AC a̠ː AF ŋ b o̞ AE k̚
왕비	w AC a̠ AF ŋ b i AD
왕서방	w AC a̠ AF ŋ sʰ ʌ̹ b a̠ AF ŋ
왕성	w AC a̠ː AF ŋ sʰ ʌ̹ ŋ
왕수	w AC a̠ AF ŋ sʰ u AE
왕실	w AC a̠ AF ŋ ɕʰ i AD ɭ
왕자	w AC a̠ AF ŋ d ʑ a̠ AF
왕자병	w AC a̠ AF ŋ d ʑ a̠ AF p͈ j AB ʌ̹ ŋ
왕조	w AC a̠ AF ŋ d ʑ o̞ AE
왕좌	w AC a̠ AF ŋ d ʑ w AC a̠ AF
왕홀	w AC a̠ AF ŋ β o̞ AE ɭ
왕후	w AC a̠ AF ŋ β u AE
왜	w AC ɛː AD
왜가리	w AC ɛː AD ɡ a̠ AF ɾ i AD
왜서	w AC ɛː AD sʰ ʌ̹
외	w AC e̞ AD
외계어	w AC e̞ː AD ɡ j AB e̞ AD ʌ̹
외과	w AC e̞ː AD k͈ w AC a̠ AF
외교	w AC e̞ː AD ɡ j AB o AE
외교관	w AC e̞ː AD ɡ j AB o AE ɡ w AC a̠ AF n
외국	w AC e̞ː AD ɡ u AE k̚
외국어	w AC e̞ː AD ɡ u AE ɡ ʌ̹
외국인	w AC e̞ː AD ɡ u AE ɡ i AD n
외동딸	w AC e̞ AD d o̞ AE ŋ t͈ a̠ AF ɭ
외딸	w AC e̞ AD t͈ a̠ AF ɭ
외로	w AC e̞ AD ɾ o̞ AE
외롭다	w AC e̞ AD ɾ o̞ AE p̚ t͈ a̠ AF
외면	w AC e̞ː AD m j AB ʌ̹ n
외면하다	w AC e̞ː AD m j AB ʌ̹ n ɦ AA a̠ AF d a̠ AF
외모	w AC e̞ː AD m o̞ AE
외몽고	w AC e̞ AD m o̞ AE ŋ ɡ o̞ AE
외복사근	w AC e̞ AD b o̞ AE k s͈ a̠ AF ɡ ɯ AD n
외부	w AC e̞ː AD b u AE
외삼촌	w AC e̞ː AD sʰ a̠ AF m t ɕʰ o̞ AE n
외설	w AC e̞ː AD sʰ ʌ̹ ɭ
외손녀	w AC e̞ː AD sʰ o̞ AE n ɲ j AB ʌ̹
외손자	w AC e̞ː AD sʰ o̞ AE ɲ d ʑ a̠ AF
외숙모	w AC e̞ AD sʰ u AE ŋ m o̞ AE
외식	w AC e̞ː AD ɕʰ i AD k̚
외식하다	w AC e̞ː AD ɕʰ i AD kʰ a̠ AF d a̠ AF
외심	w AC e̞ː AD ɕʰ i AD m
외아들	w AC e̞ AD a̠ AF d ɯ AD ɭ
외야수	w AC e̞ː AD j AB a̠ AF sʰ u AE
외우다	w AC e̞ AD u AE d a̠ AF
외인	w AC e̞ː AD i AD n
외접원	w AC e̞ː AD d ʑ ʌ̹ b w AC ʌ̹ n
외지	w AC e̞ AD d ʑ i AD
외출하다	w AC e̞ː AD t ɕʰ u AE ɾ ɦ AA a̠ AF d a̠ AF
외치다	w AC e̞ AD t ɕʰ i AD d a̠ AF
외투	w AC e̞ː AD tʰ u AE
외할머니	w AC e̞ AD ɦ AA a̠ AF ɭ m ʌ̹ n i AD
외할아버지	w AC e̞ AD ɦ AA a̠ AF ɾ a̠ AF b ʌ̹ d ʑ i AD
외화	w AC e̞ː AD β w AC a̠ AF
외환	w AC e̞ː AD β w AC a̠ AF n
왼손잡이	w AC e̞ː AD n sʰ o̞ AE ɲ d ʑ a̠ AF b i AD
왼쪽	w AC e̞ː AD ɲ t ɕ͈ o̞ AE k̚
요	j AB ʌ̹
요가	j AB o AE ɡ a̠ AF
요건	j AB o AE k͈ ʌ̹ n
요격	j AB o AE ɡ j AB ʌ̹ k̚
요괴	j AB o AE ɡ w AC e̞ AD
요구	j AB o AE ɡ u AE
요구되다	j AB o AE ɡ u AE d w AC e̞ AD d a̠ AF
요구르트	j AB o AE ɡ u AE ɾ ɯ AD tʰ ɯ AD
요구하다	j AB o AE ɡ u AE ɦ AA a̠ AF d a̠ AF
요금	j AB oː AE ɡ ɯ AD m
요녕	j AB o AE ɲ j AB ʌ̹ ŋ
요도	j AB o AE d o̞ AE
요람	j AB o AE ɾ a̠ AF m
요람본	j AB o AE ɾ a̠ AF m b o̞ AE n
요령	j AB o AE ɾ j AB ʌ̹ ŋ
요르단	j AB o AE ɾ ɯ AD d a̠ AF n
요리	j AB o AE ɾ i AD
요리사	j AB o AE ɾ i AD sʰ a̠ AF
요리하다	j AB o AE ɾ i AD ɦ AA a̠ AF d a̠ AF
요망	j AB o AE m a̠ AF ŋ
요법	j AB o AE p͈ ʌ̹ p̚
요사이	j AB o AE sʰ a̠ AF i AD
요소	j AB o AE sʰ o̞ AE
요술	j AB o AE sʰ u AE ɭ
요약하다	j AB o AE j AB a̠ AF kʰ a̠ AF d a̠ AF
요오드	j AB o AE o̞ AE d ɯ AD
요일	j AB o AE i AD ɭ
요절	j AB oː AE d ʑ ʌ̹ ɭ
요정	j AB o AE d ʑ ʌ̹ ŋ
요즈음	j AB o AE d ʑ ɯ AD ɯ AD m
요즘	j AB o AE d ʑ ɯ AD m
요지	j AB o AE d ʑ i AD
요청	j AB o AE t ɕʰ ʌ̹ ŋ
요청하다	j AB o AE t ɕʰ ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
요충	j AB o AE t ɕʰ u AE ŋ
요크셔	j AB o AE k x ɯ AD ɕʰ ʌ̹
요하다	j AB o AE ɦ AA a̠ AF d a̠ AF
요한	j AB o AE ɦ AA a̠ AF n
욕	j AB o AE k̚
욕망	j AB o AE ŋ m a̠ AF ŋ
욕실	j AB o AE k ɕ͈ i AD ɭ
욕심	j AB o AE k ɕ͈ i AD m
욕조	j AB o AE k̚ t ɕ͈ o̞ AE
욕하다	j AB o AE kʰ a̠ AF d a̠ AF
용	j AB o AE ŋ
용감	j AB oː AE ŋ ɡ a̠ AF m
용감하다	j AB oː AE ŋ ɡ a̠ AF m ɦ AA a̠ AF d a̠ AF
용과	j AB o AE ŋ ɡ w AC a̠ AF
용기	j AB oː AE ŋ ɡ i AD
용도	j AB oː AE ŋ d o̞ AE
용돈	j AB oː AE ŋ t͈ o̞ AE n
용모	j AB o AE ŋ m o̞ AE
용병	j AB o AE ŋ b j AB ʌ̹ ŋ
용비어천가	j AB o AE ŋ b i AD ʌ̹ t ɕʰ ʌ̹ n ɡ a̠ AF
용상어	j AB o AE ŋ sʰ a̠ AF ŋ ʌ̹
용서하다	j AB o AE ŋ sʰ ʌ̹ ɦ AA a̠ AF d a̠ AF
용어	j AB oː AE ŋ ʌ̹
용언	j AB oː AE ŋ ʌ̹ n
용역	j AB oː AE ŋ j AB ʌ̹ k̚
용의자	j AB o AE ŋ ɰ AB i AD d ʑ a̠ AF
용이	j AB o AE ŋ i AD
용이하다	j AB o AE ŋ i AD ɦ AA a̠ AF d a̠ AF
용접	j AB o AE ŋ d ʑ ʌ̹ p̚
용접하다	j AB o AE ŋ d ʑ ʌ̹ pʰ a̠ AF d a̠ AF
용지	j AB oː AE ŋ d ʑ i AD
용케	j AB oː AE ŋ kʰ e̞ AD
용하다	j AB oː AE ŋ ɦ AA a̠ AF d a̠ AF
우	uː AE
우간다	u AE ɡ a̠ AF n d a̠ AF
우그르르	u AE ɡ ɯ AD ɾ ɯ AD ɾ ɯ AD
우기다	u AE ɡ i AD d a̠ AF
우눈헥슘	u AE n u AE n ɦ AA e̞ AD k ɕ͈ u AE m
우는토끼	uː AE n ɯ AD n tʰ o̞ AE k͈ i AD
우단	uː AE d a̠ AF n
우도	u AE d o̞ AE
우동	u AE d o̞ AE ŋ
우두커니	u AE d u AE kʰ ʌ̹ n i AD
우라누스	u AE ɾ a̠ AF n u AE sʰ ɯ AD
우라늄	u AE ɾ a̠ AF ɲ j AB u AE m
우란	u AE ɾ a̠ AF n
우량계	uː AE ɾ j AB a̠ AF ŋ ɡ j AB e̞ AD
우러러보다	u AE ɾ ʌ̹ ɾ ʌ̹ b o̞ AE d a̠ AF
우러르다	u AE ɾ ʌ̹ ɾ ɯ AD d a̠ AF
우렁각시	u AE ɾ ʌ̹ ŋ ɡ a̠ AF k ɕ͈ i AD
우렁이	u AE ɾ ʌ̹ ŋ i AD
우레	uː AE ɾ e̞ AD
우려	u AE ɾ j AB ʌ̹
우롱차	u AE ɾ o̞ AE ŋ t ɕʰ a̠ AF
우루과이	u AE ɾ u AE ɡ w AC a̠ AF i AD
우르두어	u AE ɾ ɯ AD d u AE ʌ̹
우리	u AE ɾ i AD
우리나라	u AE ɾ i AD n a̠ AF ɾ a̠ AF
우리들	u AE ɾ i AD d ɯ AD ɭ
우리말	u AE ɾ i AD m a̠ AF ɭ
우리집	u AE ɾ i AD d ʑ i AD p̚
우마	u AE m a̠ AF
우먼	u AE m ʌ̹ n
우물	u AE m u AE ɭ
우물우물	u AE m u AE ɾ u AE m u AE ɭ
우민	u AE m i AD n
우박	uː AE b a̠ AF k̚
우비다	u AE b i AD d a̠ AF
우사	u AE sʰ a̠ AF
우산	uː AE sʰ a̠ AF n
우상	uː AE sʰ a̠ AF ŋ
우선	u AE sʰ ʌ̹ n
우세	u AE sʰ e̞ AD
우수리	u AE sʰ u AE ɾ i AD
우습다	uː AE sʰ ɯ AD p̚ t͈ a̠ AF
우승	u AE sʰ ɯ AD ŋ
우아	u AE a̠ AF
우아하다	u AE a̠ AF ɦ AA a̠ AF d a̠ AF
우언	uː AE ʌ̹ n
우엉	u AE ʌ̹ ŋ
우연	u AE j AB ʌ̹ n
우연히	u AE j AB ʌ̹ n ʝ i AD
우울	u AE u AE ɭ
우울증	u AE u AE ʎ t ɕ͈ ɯ AD ŋ
우울하다	u AE u AE ɾ ɦ AA a̠ AF d a̠ AF
우웩	u AE w AC e̞ AD k̚
우유	u AE j AB u AE
우의	uː AE ɰ AB i AD
우익수	uː AE i AD k s͈ u AE
우인	u AE i AD n
우정	uː AE d ʑ ʌ̹ ŋ
우주	uː AE d ʑ u AE
우주론	u AE d ʑ u AE ɾ o̞ AE n
우주선	uː AE d ʑ u AE sʰ ʌ̹ n
우주인	uː AE d ʑ u AE i AD n
우주진	uː AE d ʑ u AE d ʑ i AD n
우즈베크어	u AE d ʑ ɯ AD b e̞ AD k x ɯ AD ʌ̹
우체국	u AE t ɕʰ e̞ AD ɡ u AE k̚
우체부	uː AE t ɕʰ e̞ AD b u AE
우체통	u AE t ɕʰ e̞ AD tʰ o̞ AE ŋ
우크라이나	u AE k x ɯ AD ɾ a̠ AF i AD n a̠ AF
우크라이나어	u AE k x ɯ AD ɾ a̠ AF i AD n a̠ AF ʌ̹
우펀국	u AE pʰ ʌ̹ n ɡ u AE k̚
우편	u AE pʰ j AB ʌ̹ n
우편번호	u AE pʰ j AB ʌ̹ n b ʌ̹ n β o̞ AE
우편함	u AE pʰ j AB ʌ̹ n ɦ AA a̠ AF m
우표	u AE pʰ j AB o AE
우한	u AE ɦ AA a̠ AF n
우화	uː AE β w AC a̠ AF
우회	u AE β w AC e̞ AD
욱	u AE k̚
운검	u AE n ɡ ʌ̹ m
운남	u AE n n a̠ AF m
운동	uː AE n d o̞ AE ŋ
운동공원	u AE n d o̞ AE ŋ ɡ o̞ AE ŋ w AC ʌ̹ n
운동량	uː AE n d o̞ AE ŋ ɲ j AB a̠ AF ŋ
운동복	uː AE n d o̞ AE ŋ b o̞ AE k̚
운동선수	u AE n d o̞ AE ŋ sʰ ʌ̹ n sʰ u AE
운동장	uː AE n d o̞ AE ŋ d ʑ a̠ AF ŋ
운동하다	uː AE n d o̞ AE ŋ ɦ AA a̠ AF d a̠ AF
운동화	uː AE n d o̞ AE ŋ β w AC a̠ AF
운라	u AE ɭ ɭ a̠ AF
운명	uː AE n m j AB ʌ̹ ŋ
운명론	uː AE n m j AB ʌ̹ ŋ n o̞ AE n
운반	uː AE n b a̠ AF n
운석	uː AE n sʰ ʌ̹ k̚
운송	u AE n sʰ o̞ AE ŋ
운수	u AE n sʰ u AE
운영하다	uː AE ɲ j AB ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
운전	u AE ɲ d ʑ ʌ̹ n
운전기사	uː AE ɲ d ʑ ʌ̹ n ɡ i AD sʰ a̠ AF
운전사	uː AE ɲ d ʑ ʌ̹ n sʰ a̠ AF
운전자	uː AE ɲ d ʑ ʌ̹ ɲ d ʑ a̠ AF
운전하다	u AE ɲ d ʑ ʌ̹ n ɦ AA a̠ AF d a̠ AF
운하	uː AE n ɦ AA a̠ AF
운하다	u AE n ɦ AA a̠ AF d a̠ AF
울	u AE ɭ
울다	uː AE ɭ d a̠ AF
울란바토르	u AE ɭ ɭ a̠ AF n b a̠ AF tʰ o̞ AE ɾ ɯ AD
울리다	u AE ʎ ʎ i AD d a̠ AF
울리짜	u AE ʎ ʎ i AD t ɕ͈ a̠ AF
울버린	u AE ɭ b ʌ̹ ɾ i AD n
울산	u AE ɭ s͈ a̠ AF n
울음	u AE ɾ ɯ AD m
울음소리	u AE ɾ ɯ AD m s͈ o̞ AE ɾ i AD
울타리	u AE ɭ tʰ a̠ AF ɾ i AD
울퉁불퉁	u AE ɭ tʰ u AE ŋ b u AE ɭ tʰ u AE ŋ
움	u AE m
움직이다	u AE m d ʑ i AD ɡ i AD d a̠ AF
움직임	u AE m d ʑ i AD ɡ i AD m
움짤	u AE m t ɕ͈ a̠ AF ɭ
웁살라	u AE p s͈ a̠ AF ɭ ɭ a̠ AF
웃기다	u AE t̚ k͈ i AD d a̠ AF
웃다	uː AE t̚ t͈ a̠ AF
웃음	u AE sʰ ɯ AD m
웃음소리	u AE sʰ ɯ AD m s͈ o̞ AE ɾ i AD
웃프다	u AE t̚ pʰ ɯ AD d a̠ AF
웅덩이	u AE ŋ d ʌ̹ ŋ i AD
웅데	u AE ŋ d e̞ AD
웅변	u AE ŋ b j AB ʌ̹ n
웅어	u AE ŋ ʌ̹
웆제서	u AE t̚ t ɕ͈ e̞ AD sʰ ʌ̹
워	w AC ʌ̹
워그르르	w AC ʌ̹ ɡ ɯ AD ɾ ɯ AD ɾ ɯ AD
워글워글	w AC ʌ̹ ɡ ɯ AD ɾ w AC ʌ̹ ɡ ɯ AD ɭ
워낙	w AC ʌ̹ n a̠ AF k̚
워석	w AC ʌ̹ sʰ ʌ̹ k̚
워석버석	w AC ʌ̹ sʰ ʌ̹ k̚ p͈ ʌ̹ sʰ ʌ̹ k̚
워석워석	w AC ʌ̹ sʰ ʌ̹ ɡ w AC ʌ̹ sʰ ʌ̹ k̚
워싱턴	w AC ʌ̹ ɕʰ i AD ŋ tʰ ʌ̹ n
워싱톤	w AC ʌ̹ ɕʰ i AD ŋ tʰ o̞ AE n
워썩	w AC ʌ̹ s͈ ʌ̹ k̚
워썩워썩	w AC ʌ̹ s͈ ʌ̹ ɡ w AC ʌ̹ s͈ ʌ̹ k̚
웍저그르르	w AC ʌ̹ k̚ t ɕ͈ ʌ̹ ɡ ɯ AD ɾ ɯ AD ɾ ɯ AD
원	w AC ʌ̹ n
원고	w AC ʌ̹ n ɡ o̞ AE
원곡	w AC ʌ̹ n ɡ o̞ AE k̚
원기둥	w AC ʌ̹ n ɡ i AD d u AE ŋ
원료	w AC ʌ̹ ʎ ʎ j AB o AE
원룸	w AC ʌ̹ n n u AE m
원리	w AC ʌ̹ ʎ ʎ i AD
원망	w AC ʌ̹ n m a̠ AF ŋ
원망하다	w AC ɘː AD n m a̠ AF ŋ ɦ AA a̠ AF d a̠ AF
원문	w AC ʌ̹ n m u AE n
원반	w AC ʌ̹ n b a̠ AF n
원본	w AC ʌ̹ n b o̞ AE n
원산	w AC ʌ̹ n sʰ a̠ AF n
원석	w AC ʌ̹ n sʰ ʌ̹ k̚
원소	w AC ʌ̹ n sʰ o̞ AE
원수	w AC ʌ̹ n sʰ u AE
원숭이	w AC ɘː AD n sʰ u AE ŋ i AD
원시	w AC ɘː AD n ɕʰ i AD
원쑤	w AC ʌ̹ n s͈ u AE
원앙	w AC ʌ̹ n a̠ AF ŋ
원앙사촌	w AC ʌ̹ n a̠ AF ŋ sʰ a̠ AF t ɕʰ o̞ AE n
원인	w AC ʌ̹ n i AD n
원자	w AC ʌ̹ ɲ d ʑ a̠ AF
원자력	w AC ʌ̹ ɲ d ʑ a̠ AF ɾ j AB ʌ̹ k̚
원자력발전소	w AC ʌ̹ ɲ d ʑ a̠ AF ɾ j AB ʌ̹ k̚ p͈ a̠ AF ʎ d ʑ ʌ̹ n sʰ o̞ AE
원자폭탄	w AC ʌ̹ ɲ d ʑ a̠ AF pʰ o̞ AE k̚ tʰ a̠ AF n
원작	w AC ʌ̹ ɲ d ʑ a̠ AF k̚
원장	w AC ʌ̹ ɲ d ʑ a̠ AF ŋ
원조	w AC ɘː AD ɲ d ʑ o̞ AE
원조교제	w AC ʌ̹ ɲ d ʑ o̞ AE ɡ j AB o AE d ʑ e̞ AD
원족	w AC ʌ̹ ɲ d ʑ o̞ AE k̚
원주율	w AC ʌ̹ ɲ d ʑ u AE j AB u AE ɭ
원주필	w AC ʌ̹ ɲ d ʑ u AE pʰ i AD ɭ
원천	w AC ʌ̹ ɲ t ɕʰ ʌ̹ n
원추각막	w AC ʌ̹ ɲ t ɕʰ u AE ɡ a̠ AF ŋ m a̠ AF k̚
원칙	w AC ʌ̹ ɲ t ɕʰ i AD k̚
원통	w AC ʌ̹ n tʰ o̞ AE ŋ
원폭	w AC ʌ̹ n pʰ o̞ AE k̚
원피스	w AC ʌ̹ n pʰ i AD sʰ ɯ AD
원하다	w AC ɘː AD n ɦ AA a̠ AF d a̠ AF
월	w AC ʌ̹ ɭ
월경	w AC ʌ̹ ɭ ɡ j AB ʌ̹ ŋ
월경지	w AC ʌ̹ ɭ ɡ j AB ʌ̹ ŋ d ʑ i AD
월남	w AC ʌ̹ ɭ ɭ a̠ AF m
월드컵	w AC ʌ̹ ɭ d ɯ AD kʰ ʌ̹ p̚
월병	w AC ʌ̹ ɭ b j AB ʌ̹ ŋ
월세	w AC ʌ̹ ɭ s͈ e̞ AD
월식	w AC ʌ̹ ɭ ɕ͈ i AD k̚
월영	w AC ʌ̹ ɾ j AB ʌ̹ ŋ
월요일	w AC ʌ̹ ɾ j AB o AE i AD ɭ
월일	w AC ʌ̹ ɾ i AD ɭ
웨브페지	w AC e̞ AD b ɯ AD pʰ e̞ AD d ʑ i AD
웨이터	w AC e̞ AD i AD tʰ ʌ̹
웬	w AC e̞ AD n
웬이	w AC e̞ː AD n i AD
웬일	w AC e̞ː AD n n i AD ɭ
웰링턴	w AC e̞ AD ʎ ʎ i AD ŋ tʰ ʌ̹ n
웹	w AC e̞ AD p̚
웹사이트	w AC e̞ AD p s͈ a̠ AF i AD tʰ ɯ AD
웹툰	w AC e̞ AD p̚ tʰ u AE n
윁남	w AC e̞ AD n n a̠ AF m
위	ɥ AC i AD
위거	ɥ AC i AD ɡ ʌ̹
위구르어	ɥ AC i AD ɡ u AE ɾ ɯ AD ʌ̹
위굴말	ɥ AC i AD ɡ u AE ɭ m a̠ AF ɭ
위글말	ɥ AC i AD ɡ ɯ AD ɭ m a̠ AF ɭ
위기	ɥ AC i AD ɡ i AD
위도	ɥ AC iː AD d o̞ AE
위력	ɥ AC i AD ɾ j AB ʌ̹ k̚
위반	ɥ AC i AD b a̠ AF n
위병	ɥ AC i AD b j AB ʌ̹ ŋ
위선자	ɥ AC i AD sʰ ʌ̹ ɲ d ʑ a̠ AF
위성	ɥ AC i AD sʰ ʌ̹ ŋ
위안부	ɥ AC i AD a̠ AF n b u AE
위업	ɥ AC i AD ʌ̹ p̚
위원	ɥ AC i AD w AC ʌ̹ n
위원장	ɥ AC i AD w AC ʌ̹ ɲ d ʑ a̠ AF ŋ
위원회	ɥ AC i AD w AC ʌ̹ n β w AC e̞ AD
위음성	ɥ AC i AD ɯ AD m sʰ ʌ̹ ŋ
위조	ɥ AC iː AD d ʑ o̞ AE
위주	ɥ AC i AD d ʑ u AE
위증	ɥ AC i AD d ʑ ɯ AD ŋ
위축	ɥ AC i AD t ɕʰ u AE k̚
위치	ɥ AC i AD t ɕʰ i AD
위치하다	ɥ AC i AD t ɕʰ i AD ɦ AA a̠ AF d a̠ AF
위탁	ɥ AC i AD tʰ a̠ AF k̚
위하다	ɥ AC i AD ɦ AA a̠ AF d a̠ AF
위험	ɥ AC i AD ɦ AA ʌ̹ m
위험하다	ɥ AC i AD ɦ AA ʌ̹ m ɦ AA a̠ AF d a̠ AF
위협	ɥ AC i AD ʝ j AB ʌ̹ p̚
위협하다	ɥ AC i AD ʝ j AB ʌ̹ pʰ a̠ AF d a̠ AF
위화감	ɥ AC i AD β w AC a̠ AF ɡ a̠ AF m
위훈	ɥ AC i AD β u AE n
윅셔너리	ɥ AC i AD k ɕ͈ ʌ̹ n ʌ̹ ɾ i AD
윈난	ɥ AC i AD n n a̠ AF n
윈도	ɥ AC i AD n d o̞ AE
윈도우	ɥ AC i AD n d o̞ AE u AE
윗	ɥ AC i AD t̚
유가	j AB u AE ɡ a̠ AF
유가증권	j AB uː AE ɡ a̠ AF d ʑ ɯ AD ŋ k͈ w AC ʌ̹ n
유감	j AB u AE ɡ a̠ AF m
