aa	ɑː AE
penkoa	p e̞ AD ŋ k o̞ AF ɑ AD ʔ
penkoja	p e̞ AD ŋ k o̞ AF j AB ɑ AD
penkominen	p e̞ AD ŋ k o̞ AF m i AD n e̞ AD n
pennanen	p e̞ AD nː ɑ AD n e̞ AD n
pennimääräinen	p e̞ AD nː i AD m æː AE r æ AD i̯ AB n e̞ AD n
penninginmaa	p e̞ AD nː i AD ŋː i AD m m ɑː AE
pennsylvania	p e̞ AD n s̠ y AF l ʋ AC e̞ AD i̯ AB n i AD ɑ AD
pensaikkoinen	p e̞ AD n s̠ ɑ AD i̯ AB k k o̞ AF i̯ AB n e̞ AD n
pensainen	p e̞ AD n s̠ ɑ AD i̯ AB n e̞ AD n
pensaisto	p e̞ AD n s̠ ɑ AD i̯ AB s̠ t̪ o̞ AF
pensas	p e̞ AD n s̠ ɑ AD s̠
pensaskerros	p e̞ AD n s̠ ɑ AD s̠ k e̞ AD rː o̞ AF s̠
pensaskoira	p e̞ AD n s̠ ɑ AD s̠ k o̞ AF i̯ AB r ɑ AD
pensasmainen	p e̞ AD n s̠ ɑ AD s̠ m ɑ AD i̯ AB n e̞ AD n
pensasmaisesti	p e̞ AD n s̠ ɑ AD s̠ m ɑ AD i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
pensasmaisuus	p e̞ AD n s̠ ɑ AD s̠ m ɑ AD i̯ AB s̠ uː AG s̠
pensassakset	p e̞ AD n s̠ ɑ AD s̠ s̠ ɑ AD k s̠ e̞ AD t̪
pensastasku	p e̞ AD n s̠ ɑ AD s̠ t̪ ɑ AD s̠ k u AF
pensastoinen	p e̞ AD n s̠ ɑ AD s̠ t̪ o̞ AF i̯ AB n e̞ AD n
pensastua	p e̞ AD n s̠ ɑ AD s̠ t̪ u AF ɑ AD ʔ
penseästi	p e̞ AD n s̠ e̞ AD æ AD s̠ t̪ i AD ʔ
penslata	p e̞ AD n s̠ l ɑ AD t̪ ɑ AD ʔ
pensoittua	p e̞ AD n s̠ o̞ AF i̯ AB t̪ t̪ u AF ɑ AD ʔ
pensseli	p e̞ AD n s̠ː e̞ AD l i AD
pentaani	p e̞ AD n̪ t̪ ɑː AE n i AD
pentaedri	p e̞ AD n̪ t̪ ɑ AD e̞ AD d r i AD
pentakordi	p e̞ AD n̪ t̪ ɑ AD k o̞ AF r d i AD
pentanoli	p e̞ AD n̪ t̪ ɑ AD n o̞ AF l i AD
penteleesti	p e̞ AD n̪ t̪ e̞ AD l e̞ː AE s̠ t̪ i AD ʔ
pentteri	p e̞ AD n̪ t̪ː e̞ AD r i AD
pentti	p e̞ AD n̪ t̪ː i AD
penttilä	p e̞ AD n̪ t̪ː i AD l æ AD
penttinen	p e̞ AD n̪ t̪ː i AD n e̞ AD n
pentu	p e̞ AD n̪ t̪ u AF
pentukoira	p e̞ AD n̪ t̪ u AF k o̞ AF i̯ AB r ɑ AD
pentumainen	p e̞ AD n̪ t̪ u AF m ɑ AD i̯ AB n e̞ AD n
pentumaisesti	p e̞ AD n̪ t̪ u AF m ɑ AD i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
pentumaisuus	p e̞ AD n̪ t̪ u AF m ɑ AD i̯ AB s̠ uː AG s̠
penumbra	p e̞ AD n u AF m b r ɑ AD
penätä	p e̞ AD n æ AD t̪ æ AD ʔ
penääminen	p e̞ AD n æː AE m i AD n e̞ AD n
pepitaruudullinen	p e̞ AD p i AD t̪ ɑ AD r uː AG d u AF l l i AD n e̞ AD n
pepitaruutu	p e̞ AD p i AD t̪ ɑ AD r uː AG t̪ u AF
pepitaruutuinen	p e̞ AD p i AD t̪ ɑ AD r uː AG t̪ u AF i̯ AB n e̞ AD n
peppi	p e̞ AD pː i AD
peppu	p e̞ AD pː u AF
peptidaasi	p e̞ AD p t̪ i AD d ɑː AE s̠ i AD
peptisoituminen	p e̞ AD p t̪ i AD s̠ o̞ AF i̯ AB t̪ u AF m i AD n e̞ AD n
pepu	p e̞ AD p u AF
perata	p e̞ AD r ɑ AD t̪ ɑ AD ʔ
perehdyttäjä	p e̞ AD r e̞ AD h AA d y AF t̪ː æ AD j AB æ AD
perehdyttäminen	p e̞ AD r e̞ AD h AA d y AF t̪ː æ AD m i AD n e̞ AD n
perehdyttää	p e̞ AD r e̞ AD h AA d y AF t̪ː æː AE ʔ
perehtyminen	p e̞ AD r e̞ AD h AA t̪ y AF m i AD n e̞ AD n
perehtymys	p e̞ AD r e̞ AD h AA t̪ y AF m y AF s̠
perehtymätön	p e̞ AD r e̞ AD h AA t̪ y AF m æ AD t̪ ø̞ AF n
perehtyneisyys	p e̞ AD r e̞ AD h AA t̪ y AF n e̞ AD i̯ AB s̠ yː AG s̠
peremmä	p e̞ AD r e̞ AD mː æ AD ʔ
peremmäksi	p e̞ AD r e̞ AD m m æ AD k s̠ i AD
peremmälle	p e̞ AD r e̞ AD m m æ AD lː e̞ AD ʔ
peremmällä	p e̞ AD r e̞ AD m m æ AD lː æ AD
peremmältä	p e̞ AD r e̞ AD m m æ AD l t̪ æ AD
peremmäs	p e̞ AD r e̞ AD mː æ AD s̠
perempänä	p e̞ AD r e̞ AD m p æ AD n æ AD
perempää	p e̞ AD r e̞ AD m p æː AE
perenna	p e̞ AD r e̞ AD nː ɑ AD
perennoida	p e̞ AD r e̞ AD n n o̞ AF i̯ AB d ɑ AD ʔ
perestroika	p e̞ AD r e̞ AD s̠ t̪ r o̞ AF i̯ AB k ɑ AD
perforaattori	p e̞ AD r f o̞ AF r ɑː AE t̪ː o̞ AF r i AD
performanssitaiteilija	p e̞ AD r f o̞ AF r m ɑ AD n s̠ː i AD t̪ ɑ AD i AD t̪ e̞ AD i AD l i AD j AB ɑ AD
perforointi	p e̞ AD r f o̞ AF r o̞ AF i̯ AB n̪ t̪ i AD
perga	p e̞ AD r ɡ ɑ AD
pergamentointi	p e̞ AD r ɡ ɑ AD m e̞ AD n̪ t̪ o̞ AF i̯ AB n̪ t̪ i AD
pergamiini	p e̞ AD r ɡ ɑ AD m iː AE n i AD
perhananmoinen	p e̞ AD r h AA ɑ AD n ɑ AD m m o̞ AF i̯ AB n e̞ AD n
perhanasti	p e̞ AD r h AA ɑ AD n ɑ AD s̠ t̪ i AD ʔ
perhe	p e̞ AD r h AA e̞ AD ʔ
perhealbumi	p e̞ AD r h AA e̞ AD ʔ ɑ AD l b u AF m i AD
perheasunto	p e̞ AD r h AA e̞ AD ʔ ɑ AD s̠ u AF n̪ t̪ o̞ AF
perheauto	p e̞ AD r h AA e̞ AD ʔ ɑ AD u̯ AC t̪ o̞ AF
perhebarometri	p e̞ AD r h AA e̞ AD b̚ b ɑ AD r o̞ AF m e̞ AD t̪ r i AD
perheellinen	p e̞ AD r h AA e̞ː AE l l i AD n e̞ AD n
perheenisä	p e̞ AD r h AA e̞ː AE n i AD s̠ æ AD
perheenäiti	p e̞ AD r h AA e̞ː AE n æ AD i̯ AB t̪ i AD
perheetön	p e̞ AD r h AA e̞ː AE t̪ ø̞ AF n
perhehauta	p e̞ AD r h AA e̞ AD h AA h AA ɑ AD u̯ AC t̪ ɑ AD
perhehelvetti	p e̞ AD r h AA e̞ AD h AA h AA e̞ AD l ʋ AC e̞ AD t̪ː i AD
perheittäin	p e̞ AD r h AA e̞ AD i̯ AB t̪ː æ AD i̯ AB n
perhekeskeinen	p e̞ AD r h AA e̞ AD k̚ k e̞ AD s̠ k e̞ AD i̯ AB n e̞ AD n
perhekeskeisyys	p e̞ AD r h AA e̞ AD k̚ k e̞ AD s̠ k e̞ AD i̯ AB s̠ yː AG s̠
perhekustannukset	p e̞ AD r h AA e̞ AD k̚ k u AF s̠ t̪ ɑ AD n n u AF k s̠ e̞ AD t̪
perheneuvonta	p e̞ AD r h AA e̞ AD n n e̞ AD u̯ AC ʋː AJ o̞ AF n̪ t̪ ɑ AD
perhepalaveri	p e̞ AD r h AA e̞ AD p̚ p ɑ AD l ɑ AD ʋ AC e̞ AD r i AD
perhepiiri	p e̞ AD r h AA e̞ AD p̚ p iː AE r i AD
perhesiteet	p e̞ AD r h AA e̞ AD s̠ s̠ i AD t̪ e̞ː AE t̪
perhesivu	p e̞ AD r h AA e̞ AD s̠ s̠ i AD ʋ AC u AF
perhesuhteet	p e̞ AD r h AA e̞ AD s̠ s̠ u AF x t̪ e̞ː AE t̪
perhetunne	p e̞ AD r h AA e̞ AD t̪̚ t̪ u AF nː e̞ AD ʔ
perhetyö	p e̞ AD r h AA e̞ AD t̪̚ t̪ y AF ø̞̯
perheviljelmä	p e̞ AD r h AA e̞ AD ʋ AC ʋ AC i AD l j AB e̞ AD l m æ AD
perho	p e̞ AD r h AA o̞ AF
perholainen	p e̞ AD r h AA o̞ AF l ɑ AD i̯ AB n e̞ AD n
perhomainen	p e̞ AD r h AA o̞ AF m ɑ AD i̯ AB n e̞ AD n
perhonjoki	p e̞ AD r h AA o̞ AF n j AB o̞ AF k i AD
perhoskoira	p e̞ AD r h AA o̞ AF s̠ k o̞ AF i̯ AB r ɑ AD
perhospihvi	p e̞ AD r h AA o̞ AF s̠ p i AD ç ʋ AC i AD
perhostaa	p e̞ AD r h AA o̞ AF s̠ t̪ ɑː AE ʔ
periaate	p e̞ AD r i AD ɑː AE t̪ e̞ AD ʔ
periaatteellinen	p e̞ AD r i AD ɑː AE t̪ː e̞ː AE l l i AD n e̞ AD n
periaatteeton	p e̞ AD r i AD ɑː AE t̪ː e̞ː AE t̪ o̞ AF n
periaatteettomuus	p e̞ AD r i AD ɑː AE t̪ː e̞ː AE t̪ t̪ o̞ AF m uː AG s̠
periapsis	p e̞ AD r i AD ɑ AD p s̠ i AD s̠
periastroni	p e̞ AD r i AD ɑ AD s̠ t̪ r o̞ AF n i AD
perifeerisyys	p e̞ AD r i AD f e̞ː AE r i AD s̠ yː AG s̠
perifrastisesti	p e̞ AD r i AD f r ɑ AD s̠ t̪ i AD s̠ e̞ AD s̠ t̪ i AD ʔ
perihämäläinen	p e̞ AD r i AD h AA æ AD m æ AD l æ AD i̯ AB n e̞ AD n
perihämäläisyys	p e̞ AD r i AD h AA æ AD m æ AD l æ AD i̯ AB s̠ yː AG s̠
perijätär	p e̞ AD r i AD j AB æ AD t̪ æ AD r
perikato	p e̞ AD r i AD k ɑ AD t̪ o̞ AF
perikoroniitti	p e̞ AD r i AD k o̞ AF r o̞ AF n iː AE t̪ː i AD
periksiantamaton	p e̞ AD r i AD k s̠ i AD ɑ AD n̪ t̪ ɑ AD m ɑ AD t̪ o̞ AF n
perillinen	p e̞ AD r i AD l l i AD n e̞ AD n
perimiskulut	p e̞ AD r i AD m i AD s̠ k u AF l u AF t̪
perimmiltään	p e̞ AD r i AD m m i AD l t̪ æː AE n
perimmältä	p e̞ AD r i AD m m æ AD l t̪ æ AD
perimmältään	p e̞ AD r i AD m m æ AD l t̪ æː AE n
perimys	p e̞ AD r i AD m y AF s̠
perimyssota	p e̞ AD r i AD m y AF s̠ s̠ o̞ AF t̪ ɑ AD
perimä	p e̞ AD r i AD m æ AD
perimätapa	p e̞ AD r i AD m æ AD t̪ ɑ AD p ɑ AD
perin	p e̞ AD r i AD n
perinatologi	p e̞ AD r i AD n ɑ AD t̪ o̞ AF l o̞ AF ɡ i AD
perinatologia	p e̞ AD r i AD n ɑ AD t̪ o̞ AF l o̞ AF ɡ i AD ɑ AD
perinjuurinen	p e̞ AD r i AD n j AB uː AG r i AD n e̞ AD n
perinne	p e̞ AD r i AD nː e̞ AD ʔ
perinnearkisto	p e̞ AD r i AD nː e̞ AD ʔ ɑ AD r k i AD s̠ t̪ o̞ AF
perinnelaiva	p e̞ AD r i AD nː e̞ AD l l ɑ AD i̯ AB ʋ AC ɑ AD
perinnemaisema	p e̞ AD r i AD nː e̞ AD m m ɑ AD i̯ AB s̠ e̞ AD m ɑ AD
perinnetiede	p e̞ AD r i AD nː e̞ AD t̪̚ t̪ i AD e̞̯ d e̞ AD ʔ
perinnetieto	p e̞ AD r i AD nː e̞ AD t̪̚ t̪ i AD e̞̯ t̪ o̞ AF
perinnäinen	p e̞ AD r i AD n n æ AD i̯ AB n e̞ AD n
perinnäisesti	p e̞ AD r i AD n n æ AD i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
perinnäistapa	p e̞ AD r i AD nː æ AD i̯ AB s̠ t̪ ɑ AD p ɑ AD
perinnöllisyystiede	p e̞ AD r i AD n n ø̞ AF lː i AD s̠ yː AG s̠ t̪ i AD e̞ AD d e̞ AD ʔ
perinteellinen	p e̞ AD r i AD n t̪ e̞ː AE lː i AD n e̞ AD n
perinteellisesti	p e̞ AD r i AD n t̪ e̞ː AE lː i AD s̠ e̞ AD s̠ t̪ i AD ʔ
perinteellisyys	p e̞ AD r i AD n t̪ e̞ː AE lː i AD s̠ yː AG s̠
perintä	p e̞ AD r i AD n̪ t̪ æ AD
perintäkirje	p e̞ AD r i AD n̪ t̪ æ AD k i AD r j AB e̞ AD ʔ
perintätoimisto	p e̞ AD r i AD n̪ t̪ æ AD t̪ o̞ AF i̯ AB m i AD s̠ t̪ o̞ AF
perintöhopeat	p e̞ AD r i AD n̪ t̪ ø̞ AF h AA o̞ AF p e̞ AD ɑ AD t̪
perintöoikeudellinen	p e̞ AD r i AD n̪ t̪ ø̞ AF o̞ AF i̯ AB k e̞ AD u AF d e̞ AD lː i AD n e̞ AD n
periodeittain	p e̞ AD r i AD o̞ AF d e̞ AD i̯ AB t̪ː ɑ AD i̯ AB n
periodinen	p e̞ AD r i AD o̞ AF d i AD n e̞ AD n
periodiopetus	p e̞ AD r i AD o̞ AF d i AD o̞ AF p e̞ AD t̪ u AF s̠
periodisesti	p e̞ AD r i AD o̞ AF d i AD s̠ e̞ AD s̠ t̪ i AD ʔ
periodisuus	p e̞ AD r i AD o̞ AF d i AD s̠ uː AG s̠
periodityö	p e̞ AD r i AD o̞ AF d i AD t̪ y AF ø̞ AF
peripohjalainen	p e̞ AD r i AD p o̞ AF x j AB ɑ AD l ɑ AD i̯ AB n e̞ AD n
peripohjalaisuus	p e̞ AD r i AD p o̞ AF x j AB ɑ AD l ɑ AD i̯ AB s̠ uː AG s̠
perisentri	p e̞ AD r i AD s̠ e̞ AD n̪ t̪ r i AD
perisokea	p e̞ AD r i AD s̠ o̞ AF k e̞ AD ɑ AD
perisuomalainen	p e̞ AD r i AD s̠ u AF o̞̯ m ɑ AD l ɑ AD i̯ AB n e̞ AD n
periteksti	p e̞ AD r i AD t̪ e̞ AD k s̠ t̪ i AD
periyttää	p e̞ AD r i AD y AF t̪ː æː AE ʔ
periytyminen	p e̞ AD r i AD y AF t̪ y AF m i AD n e̞ AD n
periytyvyys	p e̞ AD r i AD y AF t̪ y AF ʋ AC yː AG s̠
periä	p e̞ AD r i AD æ AD ʔ
perjantai	p e̞ AD r j AB ɑ AD n̪ t̪ ɑ AD i̯ AB
perjantaiaamupäivä	p e̞ AD r j AB ɑ AD n̪ t̪ ɑ AD i̯ AB ɑː AE m u AF p æ AD i̯ AB ʋ AC æ AD
perjantainen	p e̞ AD r j AB ɑ AD n t̪ ɑ AD i̯ AB n e̞ AD n
perjantaipäivä	p e̞ AD r j AB ɑ AD n̪ t̪ ɑ AD i̯ AB p æ AD i̯ AB ʋ AC æ AD
perjantaisin	p e̞ AD r j AB ɑ AD n t̪ ɑ AD i̯ AB s̠ i AD n
perkaaja	p e̞ AD r k ɑː AE j AB ɑ AD
perkaali	p e̞ AD r k ɑː AE l i AD
perkaaminen	p e̞ AD r k ɑː AE m i AD n e̞ AD n
perkaus	p e̞ AD r k ɑ AD u AF s̠
perkausrauta	p e̞ AD r k ɑ AD u AF s̠ r ɑ AD u̯ AC t̪ ɑ AD
perkeet	p e̞ AD r k e̞ː AE t̪
perkele	p e̞ AD r k e̞ AD l e̞ AD ʔ
perkeleellinen	p e̞ AD r k e̞ AD l e̞ː AE lː i AD n e̞ AD n
perkeleenmoinen	p e̞ AD r k e̞ AD l e̞ː AE m m o̞ AF i̯ AB n e̞ AD n
perkiö	p e̞ AD r k i AD ø̞ AF
perkloorihappo	p e̞ AD r k l o̞ː AG r i AD h AA ɑ AD pː o̞ AF
perkule	p e̞ AD r k u AF l e̞ AD ʔ
perkussiivinen	p e̞ AD r k u AF s̠ s̠ iː AE ʋ AC i AD n e̞ AD n
perkuu	p e̞ AD r k uː AG
perkuulauta	p e̞ AD r k uː AG l ɑ AD u̯ AC t̪ ɑ AD
permakulttuuri	p e̞ AD r m ɑ AD k u AF l t̪ː uː AG r i AD
permalainen	p e̞ AD r m ɑ AD l ɑ AD i̯ AB n e̞ AD n
permanentata	p e̞ AD r m ɑ AD n e̞ AD n̪ t̪ ɑ AD t̪ ɑ AD ʔ
permanto	p e̞ AD r m ɑ AD n̪ t̪ o̞ AF
permantoliike	p e̞ AD r m ɑ AD n̪ t̪ o̞ AF l iː AE k e̞ AD ʔ
permeaabeli	p e̞ AD r m e̞ AD ɑː AE b e̞ AD l i AD
permeabiliteetti	p e̞ AD r m e̞ AD ɑ AD b i AD l i AD t̪ e̞ː AE t̪ː i AD
permi	p e̞ AD r m i AD
permis	p e̞ AD r m i AD s̠
permittiivisyys	p e̞ AD r m i AD t̪ t̪ iː AE ʋ AC i AD s̠ yː AG s̠
permu	p e̞ AD r m u AF
permutaatiomatriisi	p e̞ AD r m u AF t̪ ɑː AE t̪ i AD o̞ AF m ɑ AD t̪ r iː AE s̠ i AD
permutaatioryhmä	p e̞ AD r m u AF t̪ ɑː AE t̪ i AD o̞ AF r y AF ç m æ AD
permutointi	p e̞ AD r m u AF t̪ o̞ AF i̯ AB n̪ t̪ i AD
perna	p e̞ AD r n ɑ AD
pernarutto	p e̞ AD r n ɑ AD r u AF t̪ː o̞ AF
pernisioosi	p e̞ AD r n i AD s̠ i AD o̞ː AG s̠ i AD
pernisioosinen	p e̞ AD r n i AD s̠ i AD o̞ː AG s̠ i AD n e̞ AD n
peroksidaasi	p e̞ AD r o̞ AF k s̠ i AD d ɑː AE s̠ i AD
peroksisomi	p e̞ AD r o̞ AF k s̠ i AD s̠ o̞ AF m i AD
perovskiitti	p e̞ AD r o̞ AF ʋ AC s̠ k iː AE t̪ː i AD
perpendikkelipituus	p e̞ AD r p e̞ AD n d i AD kː e̞ AD l i AD p i AD t̪ uː AG s̠
persaukinen	p e̞ AD r s̠ ɑ AD u̯ AC k i AD n e̞ AD n
persaukset	p e̞ AD r s̠ ɑ AD u AF k s̠ e̞ AD t̪
perse	p e̞ AD r s̠ e̞ AD ʔ
perseennuolija	p e̞ AD r s̠ e̞ː AE n n u AF o̞̯ l i AD j AB ɑ AD
perseesi	p e̞ AD r s̠ e̞ː AE s̠ i AD
perseet	p e̞ AD r s̠ e̞ː AE t̪
perseillä	p e̞ AD r s̠ e̞ AD i̯ AB lː æ AD ʔ
persentiili	p e̞ AD r s̠ e̞ AD n t̪ iː AE l i AD
perseptroni	p e̞ AD r s̠ e̞ AD p t̪ r o̞ AF n i AD
perseus	p e̞ AD r s̠ e̞ AD u AF s̠
persia	p e̞ AD r s̠ i AD ɑ AD
persialainen	p e̞ AD r s̠ i AD ɑ AD l ɑ AD i̯ AB n e̞ AD n
persikankivi	p e̞ AD r s̠ i AD k ɑ AD ŋ k i AD ʋ AC i AD
persikanpunainen	p e̞ AD r s̠ i AD k ɑ AD m p u AF n ɑ AD i̯ AB n e̞ AD n
persikanvärinen	p e̞ AD r s̠ i AD k ɑ AD n ʋ AC æ AD r i AD n e̞ AD n
persikka	p e̞ AD r s̠ i AD kː ɑ AD
persikkaiho	p e̞ AD r s̠ i AD kː ɑ AD i AD ɦ AA o̞ AF
persilja	p e̞ AD r s̠ i AD l j AB ɑ AD
persimon	p e̞ AD r s̠ i AD m o̞ AF n
persimoni	p e̞ AD r s̠ i AD m o̞ AF n i AD
perskat	p e̞ AD r s̠ k ɑ AD t̪
perskänni	p e̞ AD r s̠ k æ AD nː i AD
perso	p e̞ AD r s̠ o̞ AF
persoilla	p e̞ AD r s̠ o̞ AF i̯ AB lː ɑ AD ʔ
persoilu	p e̞ AD r s̠ o̞ AF i̯ AB l u AF
personoitua	p e̞ AD r s̠ o̞ AF n o̞ AF i̯ AB t̪ u AF ɑ AD ʔ
personoituma	p e̞ AD r s̠ o̞ AF n o̞ AF i̯ AB t̪ u AF m ɑ AD
persoona	p e̞ AD r s̠ o̞ː AG n ɑ AD
persoonallisuustyyppi	p e̞ AD r s̠ o̞ː AG n ɑ AD lː i AD s̠ uː AG s̠ t̪ yː AG pː i AD
persoonamuotoinen	p e̞ AD r s̠ o̞ː AG n ɑ AD m u AF o̞̯ t̪ o̞ AF i̯ AB n e̞ AD n
persoonapronomini	p e̞ AD r s̠ o̞ː AG n ɑ AD p r o̞ AF n o̞ AF m i AD n i AD
persoonattomasti	p e̞ AD r s̠ o̞ː AG n ɑ AD t̪ː o̞ AF m ɑ AD s̠ t̪ i AD ʔ
persoonattomuus	p e̞ AD r s̠ o̞ː AG n ɑ AD t̪ː o̞ AF m uː AG s̠
persoonittain	p e̞ AD r s̠ o̞ː AG n i AD t̪ː ɑ AD i̯ AB n
persous	p e̞ AD r s̠ o̞ AF u AF s̠
perspektiivi	p e̞ AD r s̠ p e̞ AD k t̪ iː AE ʋ AC i AD
perspektiivikuva	p e̞ AD r s̠ p e̞ AD k t̪ iː AE ʋ AC i AD k u AF ʋ AC ɑ AD
perspektiivimaalaus	p e̞ AD r s̠ p e̞ AD k t̪ iː AE ʋ AC i AD m ɑː AE l ɑ AD u AF s̠
perspektiivinen	p e̞ AD r s̠ p e̞ AD k t̪ iː AE ʋ AC i AD n e̞ AD n
perspektiivipiirustus	p e̞ AD r s̠ p e̞ AD k t̪ iː AE ʋ AC i AD p iː AE r u AF s̠ t̪ u AF s̠
persus	p e̞ AD r s̠ u AF s̠
persuukset	p e̞ AD r s̠ uː AG k s̠ e̞ AD t̪
pertiitti	p e̞ AD r t̪ iː AE t̪ː i AD
pertti	p e̞ AD r t̪ː i AD
perttu	p e̞ AD r t̪ː u AF
perttula	p e̞ AD r t̪ː u AF l ɑ AD
pertunmaa	p e̞ AD r t̪ u AF m m ɑː AE
pertunmaalainen	p e̞ AD r t̪ u AF m m ɑː AE l ɑ AD i̯ AB n e̞ AD n
peru	p e̞ AD r u AF ʔ
perua	p e̞ AD r u AF ɑ AD ʔ
perukirja	p e̞ AD r u AF k i AD r j AB ɑ AD
peruna	p e̞ AD r u AF n ɑ AD
perunahiutale	p e̞ AD r u AF n ɑ AD h AA i AD u̯ AC t̪ ɑ AD l e̞ AD ʔ
perunainen	p e̞ AD r u AF n ɑ AD i̯ AB n e̞ AD n
perunajauho	p e̞ AD r u AF n ɑ AD j AB ɑ AD u̯ AC ɦ AA o̞ AF
perunakappa	p e̞ AD r u AF n ɑ AD k ɑ AD pː ɑ AD
perunakattila	p e̞ AD r u AF n ɑ AD k ɑ AD t̪ː i AD l ɑ AD
perunakeitto	p e̞ AD r u AF n ɑ AD k e̞ AD i̯ AB t̪ː o̞ AF
perunakuoppa	p e̞ AD r u AF n ɑ AD k u AF o̞̯ pː ɑ AD
perunakuoriainen	p e̞ AD r u AF n ɑ AD k u AF o̞̯ r i AD ɑ AD i̯ AB n e̞ AD n
perunalaari	p e̞ AD r u AF n ɑ AD l ɑː AE r i AD
perunalajike	p e̞ AD r u AF n ɑ AD l ɑ AD j AB i AD k e̞ AD ʔ
perunaleivos	p e̞ AD r u AF n ɑ AD l e̞ AD i̯ AB ʋ AC o̞ AF s̠
perunalettu	p e̞ AD r u AF n ɑ AD l e̞ AD t̪ː u AF
perunalimppu	p e̞ AD r u AF n ɑ AD l i AD m pː u AF
perunalohko	p e̞ AD r u AF n ɑ AD l o̞ AF x k o̞ AF
perunalumi	p e̞ AD r u AF n ɑ AD l u AF m i AD
perunamaa	p e̞ AD r u AF n ɑ AD m ɑː AE
perunamylly	p e̞ AD r u AF n ɑ AD m y AF lː y AF
perunamämmi	p e̞ AD r u AF n ɑ AD m æ AD mː i AD
perunanenä	p e̞ AD r u AF n ɑ AD n e̞ AD n æ AD
perunanhitu	p e̞ AD r u AF n ɑ AD n h AA i AD t̪ u AF
perunanistutus	p e̞ AD r u AF n ɑ AD n i AD s̠ t̪ u AF t̪ u AF s̠
perunanistutuskone	p e̞ AD r u AF n ɑ AD n i AD s̠ t̪ u AF t̪ u AF s̠ k o̞ AF n e̞ AD ʔ
perunanitu	p e̞ AD r u AF n ɑ AD n i AD t̪ u AF
perunankukka	p e̞ AD r u AF n ɑ AD ŋ k u AF kː ɑ AD
perunankuorimaveitsi	p e̞ AD r u AF n ɑ AD ŋ k u AF o̞̯ r i AD m ɑ AD ʋ AC e̞ AD i̯ AB t s̠ i AD
perunankuorimisveitsi	p e̞ AD r u AF n ɑ AD ŋ k u AF o̞̯ r i AD m i AD s̠ ʋ AC e̞ AD i̯ AB t s̠ i AD
perunankylvö	p e̞ AD r u AF n ɑ AD ŋ k y AF l ʋ AC ø̞ AF
perunanmukula	p e̞ AD r u AF n ɑ AD m m u AF k u AF l ɑ AD
perunannostaja	p e̞ AD r u AF n ɑ AD n n o̞ AF s̠ t̪ ɑ AD j AB ɑ AD
perunannosto	p e̞ AD r u AF n ɑ AD n n o̞ AF s̠ t̪ o̞ AF
perunannostokone	p e̞ AD r u AF n ɑ AD n n o̞ AF s̠ t̪ o̞ AF k o̞ AF n e̞ AD ʔ
perunanpano	p e̞ AD r u AF n ɑ AD m p ɑ AD n o̞ AF
perunansiemen	p e̞ AD r u AF n ɑ AD n s̠ i AD e̞̯ m e̞ AD n
perunantaimi	p e̞ AD r u AF n ɑ AD n t̪ ɑ AD i̯ AB m i AD
perunanuija	p e̞ AD r u AF n ɑ AD n u AF i̯ AB jː AH ɑ AD
perunanvarsi	p e̞ AD r u AF n ɑ AD n ʋ AC ɑ AD r s̠ i AD
perunanviljely	p e̞ AD r u AF n ɑ AD n ʋ AC i AD l j AB e̞ AD l y AF
perunaohukainen	p e̞ AD r u AF n ɑ AD o̞ AF ɦ AA u AF k ɑ AD i̯ AB n e̞ AD n
perunapelto	p e̞ AD r u AF n ɑ AD p e̞ AD l t̪ o̞ AF
perunapenkki	p e̞ AD r u AF n ɑ AD p e̞ AD ŋ kː i AD
perunapiirakka	p e̞ AD r u AF n ɑ AD p iː AE r ɑ AD kː ɑ AD
perunapuuro	p e̞ AD r u AF n ɑ AD p uː AG r o̞ AF
perunarieska	p e̞ AD r u AF n ɑ AD r i AD e̞̯ s̠ k ɑ AD
perunarutto	p e̞ AD r u AF n ɑ AD r u AF t̪ː o̞ AF
perunasarka	p e̞ AD r u AF n ɑ AD s̠ ɑ AD r k ɑ AD
perunasato	p e̞ AD r u AF n ɑ AD s̠ ɑ AD t̪ o̞ AF
perunasoppa	p e̞ AD r u AF n ɑ AD s̠ o̞ AF pː ɑ AD
perunasurvin	p e̞ AD r u AF n ɑ AD s̠ u AF r ʋ AC i AD n
perunasuurimo	p e̞ AD r u AF n ɑ AD s̠ uː AG r i AD m o̞ AF
perunasyöpä	p e̞ AD r u AF n ɑ AD s̠ y AF ø̞̯ p æ AD
perunateatteri	p e̞ AD r u AF n ɑ AD t̪ e̞ AD ɑ AD t̪ t̪ e̞ AD r i AD
perunateollisuus	p e̞ AD r u AF n ɑ AD t̪ e̞ AD o̞ AF l l i AD s̠ uː AG s̠
perunavako	p e̞ AD r u AF n ɑ AD ʋ AC ɑ AD k o̞ AF
perunavalmiste	p e̞ AD r u AF n ɑ AD ʋ AC ɑ AD l m i AD s̠ t̪ e̞ AD ʔ
perunavesi	p e̞ AD r u AF n ɑ AD ʋ AC e̞ AD s̠ i AD
perunaviipale	p e̞ AD r u AF n ɑ AD ʋ AC iː AE p ɑ AD l e̞ AD ʔ
