ᆜ	j AB ɯ AJ
스웨리예	sʰ BB ɯ AJ w AI e̞ AJ ɾ BA i AJ j AB e̞ AJ
스웨터	sʰ BB ɯ AJ w AI e̞ AJ tʰ AD ʌ̹
스위스	sʰ BB ɯ AJ ɥ AI i AJ sʰ BB ɯ AJ
스위치	sʰ BB ɯ AJ ɥ AI i AJ t AC ɕʰ BB i AJ
스치다	sʰ BB ɯ AJ t AC ɕʰ BB i AJ d AC a̠ AJ
스카이	sʰ BB ɯ AJ kʰ AD a̠ AJ i AJ
스카프	sʰ BB ɯ AJ kʰ AD a̠ AJ pʰ AH ɯ AJ
스칸듐	sʰ BB ɯ AJ kʰ AD a̠ AJ n AF d AC j AB u AK m AE
스커트	sʰ BB ɯ AJ kʰ AD ʌ̹ tʰ AD ɯ AJ
스컹크	sʰ BB ɯ AJ kʰ AD ʌ̹ ŋ AF k AC x AL ɯ AJ
스케이트	sʰ BB ɯ AJ kʰ AD e̞ AJ i AJ tʰ AD ɯ AJ
스케이트보드	sʰ BB ɯ AJ kʰ AD e̞ AJ i AJ tʰ AD ɯ AJ b AG o̞ AK d AC ɯ AJ
스케줄	sʰ BB ɯ AJ kʰ AD e̞ AJ d AC ʑ AL u AK ɭ AN
스케트	sʰ BB ɯ AJ kʰ AD e̞ AJ tʰ AD ɯ AJ
스코페	sʰ BB ɯ AJ kʰ AD o̞ AK pʰ AH e̞ AJ
스쿠버다이빙	sʰ BB ɯ AJ kʰ AD u AK b AG ʌ̹ d AC a̠ AJ i AJ b AG i AJ ŋ AF
스쿠터	sʰ BB ɯ AJ kʰ AD u AK tʰ AD ʌ̹
스쿼시	sʰ BB ɯ AJ kʰ AD w AI ʌ̹ ɕʰ BB i AJ
스크린	sʰ BB ɯ AJ k AC x AL ɯ AJ ɾ BA i AJ n AF
스타	sʰ BB ɯ AJ tʰ AD a̠ AJ
스타디오	sʰ BB ɯ AJ tʰ AD a̠ AJ d AC i AJ o̞ AK
스타디움	sʰ BB ɯ AJ tʰ AD a̠ AJ d AC i AJ u AK m AE
스타벅스	sʰ BB ɯ AJ tʰ AD a̠ AJ b AG ʌ̹ k AC s͈ AL ɯ AJ
스타일	sʰ BB ɯ AJ tʰ AD a̠ AJ i AJ ɭ AN
스테로이드	sʰ BB ɯ AJ tʰ AD e̞ AJ ɾ BA o̞ AK i AJ d AC ɯ AJ
스테아르산	sʰ BB ɯ AJ tʰ AD e̞ AJ a̠ AJ ɾ BA ɯ AJ sʰ BB a̠ AJ n AF
스테아린	sʰ BB ɯ AJ tʰ AD e̞ AJ a̠ AJ ɾ BA i AJ n AF
스테이크	sʰ BB ɯ AJ tʰ AD e̞ AJ i AJ k AC x AL ɯ AJ
스테이플러	sʰ BB ɯ AJ tʰ AD e̞ AJ i AJ pʰ AH ɯ AJ ɭ AN ɭ AN ʌ̹
스테파노	sʰ BB ɯ AJ tʰ AD e̞ AJ pʰ AH a̠ AJ n AF o̞ AK
스텝	sʰ BB ɯ AJ tʰ AD e̞ AJ p̚
스토브	sʰ BB ɯ AJ tʰ AD o̞ AK b AG ɯ AJ
스톡홀름	sʰ BB ɯ AJ tʰ AD o̞ AK kʰ AD o̞ AK ɭ AN ɭ AN ɯ AJ m AE
스톤헨지	sʰ BB ɯ AJ tʰ AD o̞ AK n AF ɦ AA e̞ AJ ɲ AF d AC ʑ AL i AJ
스튜	sʰ BB ɯ AJ tʰ AD j AB u AK
스튜디오	s͈ AL ɯ AJ tʰ AD j AB u AK d AC i AJ o̞ AK
스튜어디스	sʰ BB ɯ AJ tʰ AD j AB u AK ʌ̹ d AC i AJ sʰ BB ɯ AJ
스트레스	sʰ BB ɯ AJ tʰ AD ɯ AJ ɾ BA e̞ AJ s͈ AL ɯ AJ
스트레이트	sʰ BB ɯ AJ tʰ AD ɯ AJ ɾ BA e̞ AJ i AJ tʰ AD ɯ AJ
스트로	sʰ BB ɯ AJ tʰ AD ɯ AJ ɾ BA o̞ AK
스트론튬	sʰ BB ɯ AJ tʰ AD ɯ AJ ɾ BA o̞ AK n AF tʰ AD j AB u AK m AE
스트리크닌	sʰ BB ɯ AJ tʰ AD ɯ AJ ɾ BA i AJ k AC x AL ɯ AJ n AF i AJ n AF
스티커	sʰ BB ɯ AJ tʰ AD i AJ kʰ AD ʌ̹
스틱	sʰ BB ɯ AJ tʰ AD i AJ k̚
스파게티	sʰ BB ɯ AJ pʰ AH a̠ AJ ɡ AC e̞ AJ tʰ AD i AJ
스파이	sʰ BB ɯ AJ pʰ AH a̠ AJ i AJ
스파이웨어	sʰ BB ɯ AJ pʰ AH a̠ AJ i AJ w AI e̞ AJ ʌ̹
스펀지	sʰ BB ɯ AJ pʰ AH ʌ̹ ɲ AF d AC ʑ AL i AJ
스페이드	sʰ BB ɯ AJ pʰ AH e̞ AJ i AJ d AC ɯ AJ
스페인	sʰ BB ɯ AJ pʰ AH e̞ AJ i AJ n AF
스페인어	sʰ BB ɯ AJ pʰ AH e̞ AJ i AJ n AF ʌ̹
스펙트럼	sʰ BB ɯ AJ pʰ AH e̞ AJ k̚ tʰ AD ɯ AJ ɾ BA ʌ̹ m AE
스포일러	s͈ AL ɯ AJ pʰ AH o̞ AK i AJ ɭ AN ɭ AN ʌ̹
스포츠	sʰ BB ɯ AJ pʰ AH o̞ AK t AC ɕʰ BB ɯ AJ
스푸트니크	sʰ BB ɯ AJ pʰ AH u AK tʰ AD ɯ AJ n AF i AJ k AC x AL ɯ AJ
스푼	sʰ BB ɯ AJ pʰ AH u AK n AF
스풀	sʰ BB ɯ AJ pʰ AH u AK ɭ AN
스프링클러	sʰ BB ɯ AJ pʰ AH ɯ AJ ɾ BA i AJ ŋ AF k AC x AL ɯ AJ ɭ AN ɭ AN ʌ̹
스피커	s͈ AL ɯ AJ pʰ AH i AJ kʰ AD ʌ̹
슥	sʰ BB ɯ AJ k̚
슬	sʰ BB ɯ AJ ɭ AN
슬근슬근	sʰ BB ɯ AJ ɭ AN ɡ AC ɯ AJ n AF sʰ BB ɯ AJ ɭ AN ɡ AC ɯ AJ n AF
슬금슬금	sʰ BB ɯ AJ ɭ AN ɡ AC ɯ AJ m AE sʰ BB ɯ AJ ɭ AN ɡ AC ɯ AJ m AE
슬기	sʰ BB ɯ AJ ɭ AN ɡ AC i AJ
슬기롭다	sʰ BB ɯ AJ ɭ AN ɡ AC i AJ ɾ BA o̞ AK p̚ t͈ AC a̠ AJ
슬라브	sʰ BB ɯ AJ ɭ AN ɭ AN a̠ AJ b AG ɯ AJ
슬로건	s͈ AL ɯ AJ ɭ AN ɭ AN o̞ AK ɡ AC ʌ̹ n AF
슬로베니아	sʰ BB ɯ AJ ɭ AN ɭ AN o̞ AK b AG e̞ AJ n AF i AJ a̠ AJ
슬로베니아어	sʰ BB ɯ AJ ɭ AN ɭ AN o̞ AK b AG e̞ AJ n AF i AJ a̠ AJ ʌ̹
슬로벤스꼬	sʰ BB ɯ AJ ɭ AN ɭ AN o̞ AK b AG e̞ AJ n AF sʰ BB ɯ AJ k͈ AC o̞ AK
슬리퍼	sʰ BB ɯ AJ ʎ AN ʎ AN i AJ pʰ AH ʌ̹
슬며시	sʰ BB ɯ AJ ɭ AN m AE j AB ʌ̹ ɕʰ BB i AJ
슬슬	sʰ BB ɯ AJ ɭ AN sʰ BB ɯ AJ ɭ AN
슬쩍	sʰ BB ɯ AJ ʎ AN t AC ɕ͈ ʌ̹ k̚
슬쩍슬쩍	sʰ BB ɯ AJ ʎ AN t AC ɕ͈ ʌ̹ k AC s͈ AL ɯ AJ ʎ AN t AC ɕ͈ ʌ̹ k̚
슬프다	sʰ BB ɯ AJ ɭ AN pʰ AH ɯ AJ d AC a̠ AJ
슬픔	sʰ BB ɯ AJ ɭ AN pʰ AH ɯ AJ m AE
슬픔증	sʰ BB ɯ AJ ɭ AN pʰ AH ɯ AJ m AE d AC ʑ AL ɯ AJ ŋ AF
슴	sʰ BB ɯ AJ m AE
슴둥	sʰ BB ɯ AJ m AE d AC u AK ŋ AF
습	sʰ BB ɯ AJ p̚
습격	sʰ BB ɯ AJ p̚ k͈ AC j AB ʌ̹ k̚
습관	sʰ BB ɯ AJ p̚ k͈ AC w AI a̠ AJ n AF
습기	sʰ BB ɯ AJ p̚ k͈ AC i AJ
습니까	s͈ AL ɯ AJ m AE n AF i AJ k͈ AC a̠ AJ
습니다	s͈ AL ɯ AJ m AE n AF i AJ d AC a̠ AJ
습도	sʰ BB ɯ AJ p̚ t͈ AC o̞ AK
습득	sʰ BB ɯ AJ p̚ t͈ AC ɯ AJ k̚
습지	sʰ BB ɯ AJ p̚ t AC ɕ͈ i AJ
습하다	sʰ BB ɯ AJ pʰ AH a̠ AJ d AC a̠ AJ
승	sʰ BB ɯ AJ ŋ AF
승강기	sʰ BB ɯ AJ ŋ AF ɡ AC a̠ AJ ŋ AF ɡ AC i AJ
승계	sʰ BB ɯ AJ ŋ AF ɡ AC j AB e̞ AJ
승냥이	sʰ BB ɯ AJ ŋ AF ɲ AF j AB a̠ AJ ŋ AF i AJ
승려	sʰ BB ɯ AJ ŋ AF ɲ AF j AB ʌ̹
승리	sʰ BB ɯ AJ ŋ AF n AF i AJ
승리하다	sʰ BB ɯ AJ ŋ AF n AF i AJ ɦ AA a̠ AJ d AC a̠ AJ
승무원	sʰ BB ɯ AJ ŋ AF m AE u AK w AI ʌ̹ n AF
승부	sʰ BB ɯ AJ ŋ AF b AG u AK
승용차	sʰ BB ɯ AJ ŋ AF j AB o AK ŋ AF t AC ɕʰ BB a̠ AJ
승진	sʰ BB ɯ AJ ŋ AF d AC ʑ AL i AJ n AF
승진하다	sʰ BB ɯ AJ ŋ AF d AC ʑ AL i AJ n AF ɦ AA a̠ AJ d AC a̠ AJ
승하	sʰ BB ɯ AJ ŋ AF ɦ AA a̠ AJ
승하하다	sʰ BB ɯ AJ ŋ AF ɦ AA a̠ AJ ɦ AA a̠ AJ d AC a̠ AJ
승합차	sʰ BB ɯ AJ ŋ AF ɦ AA a̠ AJ p̚ t AC ɕʰ BB a̠ AJ
승화	sʰ BB ɯ AJ ŋ AF β AM w AI a̠ AJ
시	ɕʰ BB i AJ
시가	ɕʰ BB i AJ ɡ AC a̠ AJ
시가전차	ɕʰ BB i AJ ɡ AC a̠ AJ d AC ʑ AL ʌ̹ ɲ AF t AC ɕʰ BB a̠ AJ
시각	ɕʰ BB iː AJ ɡ AC a̠ AJ k̚
시간	ɕʰ BB i AJ ɡ AC a̠ AJ n AF
시간표	ɕʰ BB i AJ ɡ AC a̠ AJ n AF pʰ AH j AB o AK
시계	ɕʰ BB iː AJ ɡ AC j AB e̞ AJ
시골	ɕʰ BB i AJ ɡ AC o̞ AK ɭ AN
시궁쥐	ɕʰ BB i AJ ɡ AC u AK ŋ AF d AC ʑ AL ɥ AI i AJ
시금치	ɕʰ BB i AJ ɡ AC ɯ AJ m AE t AC ɕʰ BB i AJ
시기	ɕʰ BB iː AJ ɡ AC i AJ
시꺼멓다	ɕʰ BB i AJ k͈ AC ʌ̹ m AE ʌ̹ tʰ AD a̠ AJ
시끄럽다	ɕʰ BB i AJ k͈ AC ɯ AJ ɾ BA ʌ̹ p̚ t͈ AC a̠ AJ
시나리오	ɕʰ BB i AJ n AF a̠ AJ ɾ BA i AJ o̞ AK
시나브로	ɕʰ BB i AJ n AF a̠ AJ b AG ɯ AJ ɾ BA o̞ AK
시누이	ɕʰ BB i AJ n AF u AK i AJ
시다	ɕʰ BB i AJ d AC a̠ AJ
시달리다	ɕʰ BB i AJ d AC a̠ AJ ʎ AN ʎ AN i AJ d AC a̠ AJ
시더기	ɕʰ BB i AJ d AC ʌ̹ ɡ AC i AJ
시도	ɕʰ BB iː AJ d AC o̞ AK
시도하다	ɕʰ BB iː AJ d AC o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
시드니	ɕʰ BB i AJ d AC ɯ AJ n AF i AJ
시들다	ɕʰ BB i AJ d AC ɯ AJ ɭ AN d AC a̠ AJ
시디	ɕʰ BB i AJ d AC i AJ
시럽	ɕʰ BB i AJ ɾ BA ʌ̹ p̚
시력	ɕʰ BB iː AJ ɾ BA j AB ʌ̹ k̚
시루	ɕʰ BB i AJ ɾ BA u AK
시름	ɕʰ BB i AJ ɾ BA ɯ AJ m AE
시리다	ɕʰ BB i AJ ɾ BA i AJ d AC a̠ AJ
시리아	ɕʰ BB i AJ ɾ BA i AJ a̠ AJ
시리즈	ɕʰ BB i AJ ɾ BA i AJ d AC ʑ AL ɯ AJ
시립	ɕʰ BB iː AJ ɾ BA i AJ p̚
시멘트	ɕʰ BB i AJ m AE e̞ AJ n AF tʰ AD ɯ AJ
시물	ɕʰ BB i AJ m AE u AK ɭ AN
시민	ɕʰ BB iː AJ m AE i AJ n AF
시민권	ɕʰ BB iː AJ m AE i AJ n AF k͈ AC w AI ʌ̹ n AF
시발	ɕʰ BB iː AJ b AG a̠ AJ ɭ AN
시방	ɕʰ BB i AJ b AG a̠ AJ ŋ AF
시베리아	ɕʰ BB i AJ b AG e̞ AJ ɾ BA i AJ a̠ AJ
시보	ɕʰ BB i AJ b AG o̞ AK
시보귬	ɕʰ BB i AJ b AG o̞ AK ɡ AC j AB u AK m AE
시부모	ɕʰ BB i AJ b AG u AK m AE o̞ AK
시비	ɕʰ BB i AJ b AG i AJ
시사	ɕʰ BB iː AJ sʰ BB a̠ AJ
시상	ɕʰ BB iː AJ sʰ BB a̠ AJ ŋ AF
시상하부	ɕʰ BB iː AJ sʰ BB a̠ AJ ŋ AF h AA a̠ AJ b AG u AK
시선	ɕʰ BB iː AJ sʰ BB ʌ̹ n AF
시설	ɕʰ BB iː AJ sʰ BB ʌ̹ ɭ AN
시숙	ɕʰ BB i AJ sʰ BB u AK k̚
시스터	ɕʰ BB i AJ sʰ BB ɯ AJ tʰ AD ʌ̹
시스템	ɕ͈ i AJ sʰ BB ɯ AJ tʰ AD e̞ AJ m AE
시시덕거리다	ɕʰ BB i AJ ɕʰ BB i AJ d AC ʌ̹ k̚ k͈ AC ʌ̹ ɾ BA i AJ d AC a̠ AJ
시신경	ɕʰ BB iː AJ ɕʰ BB i AJ n AF ɡ AC j AB ʌ̹ ŋ AF
시심마	ɕʰ BB iː AJ ɕʰ BB i AJ m AE m AE a̠ AJ
시아버지	ɕʰ BB i AJ a̠ AJ b AG ʌ̹ d AC ʑ AL i AJ
시앗	ɕʰ BB i AJ a̠ AJ t̚
시어머니	ɕʰ BB i AJ ʌ̹ m AE ʌ̹ n AF i AJ
시에라리온	ɕ͈ i AJ e̞ AJ ɾ BA a̠ AJ ɾ BA i AJ o̞ AK n AF
시옷	ɕʰ BB i AJ o̞ AK t̚
시왕	ɕʰ BB i AJ w AI a̠ AJ ŋ AF
시원하다	ɕʰ BB i AJ w AI ʌ̹ n AF ɦ AA a̠ AJ d AC a̠ AJ
시월	ɕʰ BB i AJ w AI ʌ̹ ɭ AN
시위	ɕʰ BB iː AJ ɥ AI i AJ
시읏	ɕʰ BB i AJ ɯ AJ t̚
시인	ɕʰ BB iː AJ i AJ n AF
시작	ɕʰ BB iː AJ d AC ʑ AL a̠ AJ k̚
시작되다	ɕʰ BB iː AJ d AC ʑ AL a̠ AJ k̚ t͈ AC w AI e̞ AJ d AC a̠ AJ
시작하다	ɕʰ BB iː AJ d AC ʑ AL a̠ AJ kʰ AD a̠ AJ d AC a̠ AJ
시장	ɕʰ BB iː AJ d AC ʑ AL a̠ AJ ŋ AF
시장하다	ɕʰ BB i AJ d AC ʑ AL a̠ AJ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
시장하시다	ɕʰ BB i AJ d AC ʑ AL a̠ AJ ŋ AF ɦ AA a̠ AJ ɕʰ BB i AJ d AC a̠ AJ
시절	ɕʰ BB i AJ d AC ʑ AL ʌ̹ ɭ AN
시점	ɕʰ BB i AJ d AC ʑ AL ʌ̹ m AE
시제	ɕʰ BB i AJ d AC ʑ AL e̞ AJ
시조	ɕʰ BB iː AJ d AC ʑ AL o̞ AK
시조조	ɕʰ BB iː AJ d AC ʑ AL o̞ AK d AC ʑ AL o̞ AK
시주	ɕʰ BB iː AJ d AC ʑ AL u AK
시중	ɕʰ BB iː AJ d AC ʑ AL u AK ŋ AF
시즌	ɕʰ BB i AJ d AC ʑ AL ɯ AJ n AF
시집	ɕʰ BB i AJ d AC ʑ AL i AJ p̚
시집가다	ɕʰ BB i AJ d AC ʑ AL i AJ p̚ k͈ AC a̠ AJ d AC a̠ AJ
시짱	ɕʰ BB i AJ t AC ɕ͈ a̠ AJ ŋ AF
시찰	ɕʰ BB i AJ t AC ɕʰ BB a̠ AJ ɭ AN
시청	ɕʰ BB iː AJ t AC ɕʰ BB ʌ̹ ŋ AF
시청자	ɕʰ BB iː AJ t AC ɕʰ BB ʌ̹ ŋ AF d AC ʑ AL a̠ AJ
시체	ɕʰ BB iː AJ t AC ɕʰ BB e̞ AJ
시치미	ɕʰ BB i AJ t AC ɕʰ BB i AJ m AE i AJ
시카고	ɕʰ BB i AJ kʰ AD a̠ AJ ɡ AC o̞ AK
시토회	ɕʰ BB i AJ tʰ AD o̞ AK β AM w AI e̞ AJ
시편	ɕʰ BB i AJ pʰ AH j AB ʌ̹ n AF
시한폭탄	ɕʰ BB i AJ ɦ AA a̠ AJ n AF pʰ AH o̞ AK k̚ tʰ AD a̠ AJ n AF
시합	ɕʰ BB i AJ ɦ AA a̠ AJ p̚
시험	ɕʰ BB i AJ ɦ AA ʌ̹ m AE
시험하다	ɕʰ BB i AJ ɦ AA ʌ̹ m AE ɦ AA a̠ AJ d AC a̠ AJ
식	ɕʰ BB i AJ k̚
식감	ɕʰ BB i AJ k̚ k͈ AC a̠ AJ m AE
식구	ɕʰ BB i AJ k̚ k͈ AC u AK
식기세척기	ɕʰ BB i AJ k̚ k͈ AC i AJ sʰ BB e̞ AJ t AC ɕʰ BB ʌ̹ k̚ k͈ AC i AJ
식다	ɕʰ BB i AJ k̚ t͈ AC a̠ AJ
식당	ɕʰ BB i AJ k̚ t͈ AC a̠ AJ ŋ AF
식량	ɕʰ BB i AJ ŋ AF ɲ AF j AB a̠ AJ ŋ AF
식료	ɕʰ BB i AJ ŋ AF ɲ AF j AB o AK
식료품	ɕʰ BB i AJ ŋ AF ɲ AF j AB o AK pʰ AH u AK m AE
식료품점	ɕʰ BB i AJ ŋ AF ɲ AF j AB o AK pʰ AH u AK m AE d AC ʑ AL ʌ̹ m AE
식물	ɕʰ BB i AJ ŋ AF m AE u AK ɭ AN
식물학	ɕʰ BB i AJ ŋ AF m AE u AK ɾ BA ɦ AA a̠ AJ k̚
식민주의	ɕʰ BB i AJ ŋ AF m AE i AJ ɲ AF d AC ʑ AL u AK ɰ AB i AJ
식민지	ɕʰ BB i AJ ŋ AF m AE i AJ ɲ AF d AC ʑ AL i AJ
식빵	ɕʰ BB i AJ k̚ p͈ AG a̠ AJ ŋ AF
식사	ɕʰ BB i AJ k AC s͈ AL a̠ AJ
식사하다	ɕʰ BB i AJ k AC s͈ AL a̠ AJ ɦ AA a̠ AJ d AC a̠ AJ
식성	ɕʰ BB i AJ k AC s͈ AL ʌ̹ ŋ AF
식순	ɕʰ BB i AJ k AC s͈ AL u AK n AF
식욕	ɕʰ BB i AJ ɡ AC j AB o AK k̚
식용유	ɕʰ BB i AJ ɡ AC j AB o AK ŋ AF ɲ AF j AB u AK
식자	ɕʰ BB i AJ k̚ t AC ɕ͈ a̠ AJ
식전	ɕʰ BB i AJ k̚ t AC ɕ͈ ʌ̹ n AF
식중독	ɕʰ BB i AJ k̚ t AC ɕ͈ u AK ŋ AF d AC o̞ AK k̚
식초	ɕʰ BB i AJ k̚ t AC ɕʰ BB o̞ AK
식칼	ɕʰ BB i AJ k̚ kʰ AD a̠ AJ ɭ AN
식탁	ɕʰ BB i AJ k̚ tʰ AD a̠ AJ k̚
식탁보	ɕʰ BB i AJ k̚ tʰ AD a̠ AJ k̚ p͈ AG o̞ AK
식품	ɕʰ BB i AJ k̚ pʰ AH u AK m AE
식품보존료	ɕʰ BB i AJ k̚ pʰ AH u AK m AE b AG o̞ AK d AC ʑ AL o̞ AK ʎ AN ʎ AN j AB o AK
신	ɕ͈ i AJ n AF
신가파	ɕʰ BB i AJ n AF ɡ AC a̠ AJ pʰ AH a̠ AJ
신강	ɕʰ BB i AJ n AF ɡ AC a̠ AJ ŋ AF
신경	ɕʰ BB i AJ n AF ɡ AC j AB ʌ̹ ŋ AF
신경전달물질	ɕʰ BB i AJ n AF ɡ AC j AB ʌ̹ ŋ AF d AC ʑ AL ʌ̹ n AF d AC a̠ AJ ɭ AN m AE u AK ʎ AN t AC ɕ͈ i AJ ɭ AN
신경학	ɕʰ BB i AJ n AF ɡ AC j AB ʌ̹ ŋ AF ɦ AA a̠ AJ k̚
신고	ɕʰ BB i AJ n AF ɡ AC o̞ AK
신고하다	ɕʰ BB i AJ n AF ɡ AC o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
신곡	ɕʰ BB i AJ n AF ɡ AC o̞ AK k̚
신교도	ɕʰ BB i AJ n AF ɡ AC j AB o AK d AC o̞ AK
신규	ɕʰ BB i AJ n AF ɡ AC j AB u AK
신기	ɕʰ BB i AJ n AF ɡ AC i AJ
신기루	ɕʰ BB iː AJ n AF ɡ AC i AJ ɾ BA u AK
신기하다	ɕʰ BB iː AJ n AF ɡ AC i AJ ɦ AA a̠ AJ d AC a̠ AJ
신나다	ɕʰ BB i AJ n AF n AF a̠ AJ d AC a̠ AJ
신년사	ɕʰ BB i AJ n AF ɲ AF j AB ʌ̹ n AF sʰ BB a̠ AJ
신념	ɕʰ BB iː AJ n AF ɲ AF j AB ʌ̹ m AE
신놀린	ɕʰ BB i AJ n AF n AF o̞ AK ʎ AN ʎ AN i AJ n AF
신농	ɕʰ BB i AJ n AF n AF o̞ AK ŋ AF
신다	ɕʰ BB iː AJ n AF t͈ AC a̠ AJ
신데렐라	ɕʰ BB i AJ n AF d AC e̞ AJ ɾ BA e̞ AJ ɭ AN ɭ AN a̠ AJ
신도	ɕʰ BB i AJ n AF d AC o̞ AK
신라	ɕʰ BB i AJ ɭ AN ɭ AN a̠ AJ
신랑	ɕʰ BB i AJ ɭ AN ɭ AN a̠ AJ ŋ AF
신뢰	ɕʰ BB iː AJ ɭ AN ɭ AN w AI e̞ AJ
신뢰하다	ɕʰ BB iː AJ ɭ AN ɭ AN w AI e̞ AJ ɦ AA a̠ AJ d AC a̠ AJ
신명기	ɕʰ BB i AJ n AF m AE j AB ʌ̹ ŋ AF ɡ AC i AJ
신문	ɕʰ BB i AJ n AF m AE u AK n AF
신미	ɕʰ BB i AJ n AF m AE i AJ
신발	ɕʰ BB i AJ n AF b AG a̠ AJ ɭ AN
신법	ɕʰ BB i AJ n AF p͈ AG ʌ̹ p̚
신부	ɕʰ BB i AJ n AF b AG u AK
신부님	ɕʰ BB i AJ n AF b AG u AK n AF i AJ m AE
신분	ɕʰ BB i AJ n AF b AG u AK n AF
신분증	ɕʰ BB i AJ n AF b AG u AK ɲ AF t AC ɕ͈ ɯ AJ ŋ AF
신비	ɕʰ BB i AJ n AF b AG i AJ
신사	ɕʰ BB iː AJ n AF sʰ BB a̠ AJ
신선	ɕʰ BB i AJ n AF sʰ BB ʌ̹ n AF
신선하다	ɕʰ BB i AJ n AF sʰ BB ʌ̹ n AF ɦ AA a̠ AJ d AC a̠ AJ
신성	ɕʰ BB i AJ n AF sʰ BB ʌ̹ ŋ AF
신성하다	ɕʰ BB i AJ n AF sʰ BB ʌ̹ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
신세계	ɕʰ BB i AJ n AF sʰ BB e̞ AJ ɡ AC j AB e̞ AJ
신속	ɕʰ BB iː AJ n AF sʰ BB o̞ AK k̚
신수	ɕʰ BB i AJ n AF sʰ BB u AK
신시사이저	ɕʰ BB i AJ n AF ɕʰ BB i AJ sʰ BB a̠ AJ i AJ d AC ʑ AL ʌ̹
신시아	ɕʰ BB i AJ n AF ɕʰ BB i AJ a̠ AJ
신앙	ɕʰ BB iː AJ n AF a̠ AJ ŋ AF
신약	ɕʰ BB i AJ ɲ AF j AB a̠ AJ k̚
신어	ɕʰ BB i AJ n AF ʌ̹
신용	ɕʰ BB iː AJ ɲ AF j AB o AK ŋ AF
신음	ɕʰ BB i AJ n AF ɯ AJ m AE
신의주	ɕʰ BB i AJ n AF ɰ AB i AJ d AC ʑ AL u AK
신임	ɕʰ BB iː AJ n AF i AJ m AE
신임하다	ɕʰ BB iː AJ n AF i AJ m AE ɦ AA a̠ AJ d AC a̠ AJ
신자	ɕʰ BB iː AJ ɲ AF d AC ʑ AL a̠ AJ
신장	ɕʰ BB iː AJ ɲ AF d AC ʑ AL a̠ AJ ŋ AF
신장위	ɕʰ BB i AJ ɲ AF d AC ʑ AL a̠ AJ ŋ AF ɥ AI i AJ
신조어	ɕʰ BB i AJ ɲ AF d AC ʑ AL o̞ AK ʌ̹
신종	ɕʰ BB iː AJ ɲ AF d AC ʑ AL o̞ AK ŋ AF
신주	ɕʰ BB i AJ ɲ AF d AC ʑ AL u AK
신중하다	ɕʰ BB iː AJ ɲ AF d AC ʑ AL u AK ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
신천옹	ɕʰ BB iː AJ ɲ AF t AC ɕʰ BB ʌ̹ n AF o̞ AK ŋ AF
신청	ɕʰ BB i AJ ɲ AF t AC ɕʰ BB ʌ̹ ŋ AF
신청자	ɕʰ BB i AJ ɲ AF t AC ɕʰ BB ʌ̹ ŋ AF d AC ʑ AL a̠ AJ
신청하다	ɕʰ BB i AJ ɲ AF t AC ɕʰ BB ʌ̹ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
신체	ɕʰ BB i AJ ɲ AF t AC ɕʰ BB e̞ AJ
신칸센	ɕʰ BB i AJ n AF kʰ AD a̠ AJ n AF sʰ BB e̞ AJ n AF
신탁통치	ɕʰ BB i AJ n AF tʰ AD a̠ AJ k̚ tʰ AD o̞ AK ŋ AF t AC ɕʰ BB i AJ
신포	ɕʰ BB i AJ n AF pʰ AH o̞ AK
신학	ɕʰ BB i AJ n AF ɦ AA a̠ AJ k̚
신형	ɕʰ BB iː AJ n AF ʝ AL j AB ʌ̹ ŋ AF
신형코로나비루스감염증	ɕʰ BB i AJ n AF ʝ AL j AB ʌ̹ ŋ AF kʰ AD o̞ AK ɾ BA o̞ AK n AF a̠ AJ b AG i AJ ɾ BA u AK sʰ BB ɯ AJ ɡ AC a̠ AJ m AE j AB ʌ̹ m AE d AC ʑ AL ɯ AJ ŋ AF
신호	ɕʰ BB iː AJ n AF β AM o̞ AK
신호등	ɕʰ BB iː AJ n AF β AM o̞ AK d AC ɯ AJ ŋ AF
신호총	ɕʰ BB i AJ n AF β AM o̞ AK t AC ɕʰ BB o̞ AK ŋ AF
신화	ɕʰ BB i AJ n AF β AM w AI a̠ AJ
싣	ɕʰ BB i AJ t̚
싣다	ɕʰ BB iː AJ t̚ t͈ AC a̠ AJ
실	ɕʰ BB iː AJ ɭ AN
실고기	ɕʰ BB iː AJ ɭ AN ɡ AC o̞ AK ɡ AC i AJ
실뜨기	ɕʰ BB i AJ ɭ AN t͈ AC ɯ AJ ɡ AC i AJ
실력	ɕʰ BB i AJ ʎ AN ʎ AN j AB ʌ̹ k̚
실례	ɕʰ BB i AJ ʎ AN ʎ AN j AB e̞ AJ
실례하다	ɕʰ BB i AJ ʎ AN ʎ AN j AB e̞ AJ ɦ AA a̠ AJ d AC a̠ AJ
실로	ɕʰ BB i AJ ɭ AN ɭ AN o̞ AK
실로폰	ɕʰ BB i AJ ɭ AN ɭ AN o̞ AK pʰ AH o̞ AK n AF
실록	ɕʰ BB i AJ ɭ AN ɭ AN o̞ AK k̚
