'tain	t ɛ̃ AM
honorent	ɔ AF n ɔ AF ʁ
honorer	ɔ AF n ɔ AF ʁ e AD
honorera	ɔ AF n ɔ AF ʁ ə AJ ʁ a AC
honorerai	ɔ AF n ɔ AF ʁ ə AJ ʁ e AD
honoreraient	ɔ AF n ɔ AF ʁ ə AJ ʁ ɛ AD
honorerais	ɔ AF n ɔ AF ʁ ə AJ ʁ ɛ AD
honorerait	ɔ AF n ɔ AF ʁ ə AJ ʁ ɛ AD
honoreras	ɔ AF n ɔ AF ʁ ə AJ ʁ ɑ AK
honorerez	ɔ AF n ɔ AF ʁ ə AJ ʁ e AD
honoreriez	ɔ AF n ɔ AF ʁ ə AJ ʁ j AA e AD
honorerions	ɔ AF n ɔ AF ʁ ə AJ ʁ j AA ɔ̃ BA
honorerons	ɔ AF n ɔ AF ʁ ə AJ ʁ ɔ̃ BA
honoreront	ɔ AF n ɔ AF ʁ ə AJ ʁ ɔ̃ BA
honores	ɔ AF n ɔ AF ʁ
honorez	ɔ AF n ɔ AF ʁ e AD
honoriez	ɔ AF n ɔ AF ʁ j AA e AD
honorine	ɔ AF n ɔ AF ʁ i AE n
honorions	ɔ AF n ɔ AF ʁ j AA ɔ̃ BA
honorons	ɔ AF n ɔ AF ʁ ɔ̃ BA
honorâmes	ɔ AF n ɔ AF ʁ ɑ AK m
honorât	ɔ AF n ɔ AF ʁ ɑ AK
honorâtes	ɔ AF n ɔ AF ʁ ɑ AK t
honorèrent	ɔ AF n ɔ AF ʁ ɛ AD ʁ
honoré	ɔ AF n ɔ AF ʁ e AD
honte	ɔ̃ BA t
honteux	ɔ̃ BA t ø AI
honête	ɔ AF n ɛ AD t
hop	ɔ AF p
hoplite	ɔ AF p l i AE t
hoquet	ɔ AF k ɛ AD
hoqueter	ɔ AF k t e AD
hoqueton	ɔ AF k t ɔ̃ BA
horaire	ɔ AF ʁ ɛ AD ʁ
horde	ɔ AF ʁ d
horeca	o AF ʁ e AD k a AC
horion	ɔ AF ʁ j AA ɔ̃ BA
horisontale	ɔ AF ʁ i AE z ɔ̃ BA t a AC l
horisontalement	ɔ AF ʁ i AE z ɔ̃ BA t a AC l m ɑ̃ BB
horizon	ɔ AF ʁ i AE z ɔ̃ BA
horizons	ɔ AF ʁ i AE z ɔ̃ BA
horizontal	ɔ AF ʁ i AE z ɔ̃ BA t a AC l
horizontale	ɔ AF ʁ i AE z ɔ̃ BA t a AC l
horizontalement	ɔ AF ʁ i AE z ɔ̃ BA t a AC l m ɑ̃ BB
horizontales	ɔ AF ʁ i AE z ɔ̃ BA t a AC l
horizontalisa	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z a AC
horizontalisai	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z e AD
horizontalisaient	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ɛ AD
horizontalisais	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ɛ AD
horizontalisait	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ɛ AD
horizontalisant	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ɑ̃ BB
horizontalisas	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ɑ AK
horizontalisasse	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z a AC s
horizontalisassent	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z a AC s
horizontalisasses	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z a AC s
horizontalisassiez	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z a AC s j AA e AD
horizontalisassions	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z a AC s j AA ɔ̃ BA
horizontalise	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z
horizontalisent	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z
horizontaliser	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z e AD
horizontalisera	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ʁ a AC
horizontaliserai	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ʁ e AD
horizontaliseraient	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ʁ ɛ AD
horizontaliserais	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ʁ ɛ AD
horizontaliserait	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ʁ ɛ AD
horizontaliseras	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ʁ ɑ AK
horizontaliserez	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ʁ e AD
horizontaliseriez	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ə AJ ʁ j AA e AD
horizontaliserions	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ə AJ ʁ j AA ɔ̃ BA
horizontaliserons	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ʁ ɔ̃ BA
horizontaliseront	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ʁ ɔ̃ BA
horizontalises	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z
horizontalisez	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z e AD
horizontalisiez	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z j AA e AD
horizontalisions	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z j AA ɔ̃ BA
horizontalisons	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ɔ̃ BA
horizontalisâmes	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ɑ AK m
horizontalisât	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ɑ AK
horizontalisâtes	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ɑ AK t
horizontalisèrent	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z ɛ AD ʁ
horizontalisé	ɔ AF ʁ i AE z ɔ̃ BA t a AC l i AE z e AD
horizontaux	ɔ AF ʁ i AE z ɔ̃ BA t o AF
horloge	ɔ AF ʁ l ɔ AF ʒ
horloger	ɔ AF ʁ l ɔ AF ʒ e AD
horloges	ɔ AF ʁ l ɔ AF ʒ
hormis	ɔ AF ʁ m i AE
hormone	ɔ AF ʁ m ɔ AF n
hornette	ɔ AF ʁ n ɛ AD t
horoscope	ɔ AF ʁ ɔ AF s k ɔ AF p
horreur	ɔ AF ʁ œ AI ʁ
horrible	ɔ AF ʁ i AE b l
horriblement	ɔ AF ʁ i AE b l ə AJ m ɑ̃ BB
horribles	ɔ AF ʁ i AE b l
horrifier	ɔ AF ʁ i AE f j AA e AD
horripilant	ɔ AF ʁ i AE p i AE l ɑ̃ BB
horripiler	ɔ AF ʁ i AE p i AE l e AD
hors	ɔ AF ʁ
horsain	ɔ AF ʁ s ɛ̃ AM
hortense	ɔ AF ʁ t ɑ̃ BB s
hortensia	ɔ AF ʁ t ɑ̃ BB s j AA a AC
horticulteur	ɔ AF ʁ t i AE k y AH l t œ AI ʁ
horticulture	ɔ AF ʁ t i AE k y AH l t y AH ʁ
hospitalier	ɔ AF s p i AE t a AC l j AA e AD
hospitalité	ɔ AF s p i AE t a AC l i AE t e AD
hospitalière	ɔ AF s p i AE t a AC l j AA ɛ AD ʁ
hostie	ɔ AF s t i AE
hostile	ɔ AF s t i AE l
hosto	ɔ AF s t o AF
hotline	ɔ AF t l a AC j AA n
hotte	ɔ AF t
hottée	ɔ AF t e AD
houblon	u AG b l ɔ̃ BA
houe	u AG
houer	u AG e AD
houes	u AG
houille	u AG j AA
houiller	u AG j AA e AD
houillère	u AG j AA ɛ AD ʁ
houka	u AG k a AC
houle	u AG l
houlette	u AG l ɛ AD t
houleux	u AG l ø AI
houlque	u AG l k
houmach	u AG m a AC ʃ
houmous	u AG m u AG s
houppe	u AG p
houppelande	u AG p l ɑ̃ BB d
houppier	u AG p j AA e AD
houppiers	u AG p j AA e AD
hourvari	u AG ʁ v a AC ʁ i AE
house	a AC w AB s
houseau	u AG z o AF
houspilla	u AG s p i AE j AA a AC
houspillai	u AG s p i AE j AA e AD
houspillaient	u AG s p i AE j AA ɛ AD
houspillais	u AG s p i AE j AA ɛ AD
houspillait	u AG s p i AE j AA ɛ AD
houspillant	u AG s p i AE j AA ɑ̃ BB
houspillas	u AG s p i AE j AA ɑ AK
houspillasse	u AG s p i AE j AA a AC s
houspillassent	u AG s p i AE j AA a AC s
houspillasses	u AG s p i AE j AA a AC s
houspillassiez	u AG s p i AE j AA a AC s j AA e AD
houspillassions	u AG s p i AE j AA a AC s j AA ɔ̃ BA
houspille	u AG s p i AE j AA
houspillent	u AG s p i AE j AA
houspiller	u AG s p i AE j AA e AD
houspillera	u AG s p i AE j AA ʁ a AC
houspillerai	u AG s p i AE j AA ʁ e AD
houspilleraient	u AG s p i AE j AA ʁ ɛ AD
houspillerais	u AG s p i AE j AA ʁ ɛ AD
houspillerait	u AG s p i AE j AA ʁ ɛ AD
houspilleras	u AG s p i AE j AA ʁ ɑ AK
houspillerez	u AG s p i AE j AA ʁ e AD
houspilleriez	u AG s p i AE j AA ə AJ ʁ j AA e AD
houspillerions	u AG s p i AE j AA ə AJ ʁ j AA ɔ̃ BA
houspillerons	u AG s p i AE j AA ʁ ɔ̃ BA
houspilleront	u AG s p i AE j AA ʁ ɔ̃ BA
houspilles	u AG s p i AE j AA
houspillez	u AG s p i AE j AA e AD
houspilliez	u AG s p i AE j AA j AA e AD
houspillions	u AG s p i AE j AA j AA ɔ̃ BA
houspillons	u AG s p i AE j AA ɔ̃ BA
houspillâmes	u AG s p i AE j AA ɑ AK m
houspillât	u AG s p i AE j AA ɑ AK
houspillâtes	u AG s p i AE j AA ɑ AK t
houspillèrent	u AG s p i AE j AA ɛ AD ʁ
houspillé	u AG s p i AE j AA e AD
housse	u AG s
houx	u AG
hoyau	ɔ AF j AA o AF
huard	ɥ AN a AC ʁ
hubert	y AH b ɛ AD ʁ
hublot	y AH b l o AF
hublots	y AH b l o AF
huche	y AH ʃ
huchet	y AH ʃ ɛ AD
hue	y AH
huer	y AH e AD
hughes	y AH ɡ
hugo	y AH ɡ o AF
huguenot	y AH ɡ n o AF
huguenotisme	y AH ɡ n ɔ AF t i AE s m
hugues	y AH ɡ
huguette	y AH ɡ ɛ AD t
hui	ɥ AN i AE
huilage	ɥ AN i AE l a AC ʒ
huile	ɥ AN i AE l
huiler	ɥ AN i AE l e AD
huilerie	ɥ AN i AE l ʁ i AE
huileux	ɥ AN i AE l ø AI
huilier	ɥ AN i AE l j AA e AD
huiptante	ɥ AN i AE p t ɑ̃ BB t
huis	ɥ AN i AE
huissier	ɥ AN i AE s j AA e AD
huissière	ɥ AN i AE s j AA ɛ AD ʁ
huit	ɥ AN i AE t
huitaine	ɥ AN i AE t ɛ AD n
huitante	ɥ AN i AE t ɑ̃ BB t
huitantième	ɥ AN i AE t ɑ̃ BB t j AA ɛ AD m
huitième	ɥ AN i AE t j AA ɛ AD m
huitièmes	ɥ AN i AE t j AA ɛ AD m
huitre	ɥ AN i AE t ʁ
huitrier	ɥ AN i AE t ʁ i AE j AA e AD
huitrière	ɥ AN i AE t ʁ i AE j AA ɛ AD ʁ
hulloise	ɔ AF l w AB a AC z
hulloises	ɔ AF l w AB a AC z
hulotte	y AH l ɔ AF t
hululement	y AH l y AH l m ɑ̃ BB
hululer	y AH l y AH l e AD
hululeuse	y AH l y AH l ø AI z
humain	y AH m ɛ̃ AM
humaine	y AH m ɛ AD n
humaines	y AH m ɛ AD n
humains	y AH m ɛ̃ AM
humanitarisme	y AH m a AC n i AE t a AC ʁ i AE z m
humanité	y AH m a AC n i AE t e AD
humanités	y AH m a AC n i AE t e AD
humanoïde	y AH m a AC n ɔ AF i AE d
humbert	œ̃ BC b ɛ AD ʁ
humble	œ̃ BC b l
humblement	œ̃ BC b l ə AJ m ɑ̃ BB
humer	y AH m e AD
humeur	y AH m œ AI ʁ
humide	y AH m i AE d
humides	y AH m i AE d
humidificateur	y AH m i AE d i AE f i AE k a AC t œ AI ʁ
humidité	y AH m i AE d i AE t e AD
humiliamment	y AH m i AE l j AA a AC m ɑ̃ BB
humiliant	y AH m i AE l j AA ɑ̃ BB
humiliante	y AH m i AE l j AA ɑ̃ BB t
humiliation	y AH m i AE l j AA a AC s j AA ɔ̃ BA
humilier	y AH m i AE l j AA e AD
humilité	y AH m i AE l i AE t e AD
humour	y AH m u AG ʁ
humérale	y AH m e AD ʁ a AC l
humérus	y AH m e AD ʁ y AH s
hune	y AH n
hunier	y AH n j AA e AD
huppe	y AH p
huppes	y AH p
huppé	y AH p e AD
hure	y AH ʁ
hurla	y AH ʁ l a AC
hurlai	y AH ʁ l e AD
hurlaient	y AH ʁ l ɛ AD
hurlais	y AH ʁ l ɛ AD
hurlant	y AH ʁ l ɑ̃ BB
hurlas	y AH ʁ l ɑ AK
hurlasse	y AH ʁ l a AC s
hurlassent	y AH ʁ l a AC s
hurlasses	y AH ʁ l a AC s
hurlassiez	y AH ʁ l a AC s j AA e AD
hurlassions	y AH ʁ l a AC s j AA ɔ̃ BA
hurlement	y AH ʁ l ə AJ m ɑ̃ BB
hurlent	y AH ʁ l
hurler	y AH ʁ l e AD
hurlera	y AH ʁ l ə AJ ʁ a AC
hurlerai	y AH ʁ l ə AJ ʁ e AD
hurleraient	y AH ʁ l ə AJ ʁ ɛ AD
hurlerais	y AH ʁ l ə AJ ʁ ɛ AD
hurlerait	y AH ʁ l ə AJ ʁ ɛ AD
hurleras	y AH ʁ l ə AJ ʁ ɑ AK
hurlerez	y AH ʁ l ə AJ ʁ e AD
hurleriez	y AH ʁ l ə AJ ʁ j AA e AD
hurlerions	y AH ʁ l ə AJ ʁ j AA ɔ̃ BA
hurlerons	y AH ʁ l ə AJ ʁ ɔ̃ BA
hurleront	y AH ʁ l ə AJ ʁ ɔ̃ BA
hurles	y AH ʁ l
hurlez	y AH ʁ l e AD
hurliez	y AH ʁ l j AA e AD
hurlions	y AH ʁ l j AA ɔ̃ BA
hurlons	y AH ʁ l ɔ̃ BA
hurluberlu	y AH ʁ l y AH b ɛ AD ʁ l y AH
hurlâmes	y AH ʁ l ɑ AK m
hurlât	y AH ʁ l ɑ AK
hurlâtes	y AH ʁ l ɑ AK t
hurlèrent	y AH ʁ l ɛ AD ʁ
hurlé	y AH ʁ l e AD
huronienne	y AH ʁ ɔ AF n j AA ɛ AD n
huronne	y AH ʁ ɔ AF n
hussard	y AH s a AC ʁ
hutta	y AH t a AC
huttai	y AH t e AD
huttaient	y AH t ɛ AD
huttais	y AH t ɛ AD
huttait	y AH t ɛ AD
huttant	y AH t ɑ̃ BB
huttas	y AH t ɑ AK
huttasse	y AH t a AC s
huttassent	y AH t a AC s
huttasses	y AH t a AC s
huttassiez	y AH t a AC s j AA e AD
huttassions	y AH t a AC s j AA ɔ̃ BA
hutte	y AH t
hutteau	y AH t o AF
huttent	y AH t
hutter	y AH t e AD
huttera	y AH t ʁ a AC
hutterai	y AH t ʁ e AD
hutteraient	y AH t ʁ ɛ AD
hutterais	y AH t ʁ ɛ AD
hutterait	y AH t ʁ ɛ AD
hutteras	y AH t ʁ ɑ AK
hutterez	y AH t ʁ e AD
hutteriez	y AH t ə AJ ʁ j AA e AD
hutterions	y AH t ə AJ ʁ j AA ɔ̃ BA
hutterons	y AH t ʁ ɔ̃ BA
hutteront	y AH t ʁ ɔ̃ BA
huttes	y AH t
huttez	y AH t e AD
huttier	y AH t j AA e AD
huttiez	y AH t j AA e AD
huttions	y AH t j AA ɔ̃ BA
huttons	y AH t ɔ̃ BA
huttâmes	y AH t ɑ AK m
huttât	y AH t ɑ AK
huttâtes	y AH t ɑ AK t
huttèrent	y AH t ɛ AD ʁ
hutté	y AH t e AD
huyer	ɥ AN i AE j AA e AD
huynh	ɥ AN i AE n
huée	ɥ AN e AD
huître	ɥ AN i AE t ʁ
huîtrier	ɥ AN i AE t ʁ i AE j AA e AD
hyacinthe	j AA a AC s ɛ̃ AM t
hyaloïdienne	j AA a AC l ɔ AF i AE d j AA ɛ AD n
hybridation	i AE b ʁ i AE d a AC s j AA ɔ̃ BA
hybride	i AE b ʁ i AE d
hybrider	i AE b ʁ i AE d e AD
hybridé	i AE b ʁ i AE d e AD
hybris	y AH b ʁ i AE s
hydracide	i AE d ʁ a AC s i AE d
hydratante	i AE d ʁ a AC t ɑ̃ BB t
hydrate	i AE d ʁ a AC t
hydrater	i AE d ʁ a AC t e AD
hydrates	i AE d ʁ a AC t
hydraulicien	i AE d ʁ o AF l i AE s j AA ɛ̃ AM
hydraulique	i AE d ʁ o AF l i AE k
hydravion	i AE d ʁ a AC v j AA ɔ̃ BA
hydravions	i AE d ʁ a AC v j AA ɔ̃ BA
hydre	i AE d ʁ
hydrique	i AE d ʁ i AE k
hydrocarbure	i AE d ʁ ɔ AF k a AC ʁ b y AH ʁ
hydrocarbures	i AE d ʁ ɔ AF k a AC ʁ b y AH ʁ
hydrocution	i AE d ʁ ɔ AF k y AH s j AA ɔ̃ BA
hydrocéphalie	i AE d ʁ ɔ AF s e AD f a AC l i AE
hydrogène	i AE d ʁ ɔ AF ʒ ɛ AD n
hydrogéner	i AE d ʁ ɔ AF ʒ e AD n e AD
hydrolaccolithe	i AE d ʁ ɔ AF l a AC k ɔ AF l i AE t
hydrolienne	i AE d ʁ ɔ AF l j AA ɛ AD n
hydrolyser	i AE d ʁ ɔ AF l i AE z e AD
hydromancie	i AE d ʁ ɔ AF m ɑ̃ BB s i AE
hydromel	i AE d ʁ ɔ AF m ɛ AD l
hydrométéorologique	i AE d ʁ ɔ AF m e AD t e AD ɔ AF ʁ ɔ AF l ɔ AF ʒ i AE k
hydropathe	i AE d ʁ ɔ AF p a AC t
hydropathes	i AE d ʁ ɔ AF p a AC t
hydrophobe	i AE d ʁ ɔ AF f ɔ AF b
hydroplanage	i AE d ʁ ɔ AF p l a AC n a AC ʒ
hydroponique	i AE d ʁ ɔ AF p ɔ AF n i AE k
hydroptère	i AE d ʁ ɔ AF p t ɛ AD ʁ
hydroptères	i AE d ʁ ɔ AF p t ɛ AD ʁ
hydrorésistante	i AE d ʁ o AF ʁ e AD z i AE s t ɑ̃ BB t
hydrostatique	i AE d ʁ ɔ AF s t a AC t i AE k
hydrosulfureuse	i AE d ʁ ɔ AF s y AH l f y AH ʁ ø AI z
hydrothioneuse	i AE d ʁ ɔ AF t j AA ɔ AF n ø AI z
hydrure	i AE d ʁ y AH ʁ
hydrures	i AE d ʁ y AH ʁ
hygiène	i AE ʒ j AA ɛ AD n
hygiénique	i AE ʒ j AA e AD n i AE k
hygiéniste	i AE ʒ j AA e AD n i AE s t
hylémorphisme	i AE l e AD m ɔ AF ʁ f i AE s m
hymen	i AE m ɛ AD n
hymne	i AE m n
hyménoptère	i AE m e AD n ɔ AF p t ɛ AD ʁ
hyménéen	i AE m e AD n e AD ɛ̃ AM
hyménéenne	i AE m e AD n e AD ɛ AD n
hyoïde	j AA ɔ AF i AE d
hyoïdien	j AA ɔ AF i AE d j AA ɛ̃ AM
hyoïdienne	j AA ɔ AF i AE d j AA ɛ AD n
hyperbole	i AE p ɛ AD ʁ b ɔ AF l
hyperboles	i AE p ɛ AD ʁ b ɔ AF l
hyperbolique	i AE p ɛ AD ʁ b ɔ AF l i AE k
hyperboliques	i AE p ɛ AD ʁ b ɔ AF l i AE k
hyperboréenne	i AE p ɛ AD ʁ b ɔ AF ʁ e AD ɛ AD n
hyperconnecté	i AE p ɛ AD ʁ k ɔ AF n ɛ AD k t e AD
hypercorrection	i AE p ɛ AD ʁ k ɔ AF ʁ ɛ AD k s j AA ɔ̃ BA
hypercorrections	i AE p ɛ AD ʁ k ɔ AF ʁ ɛ AD k s j AA ɔ̃ BA
hypercube	i AE p ɛ AD ʁ k y AH b
hyperesthésie	i AE p ɛ AD ʁ ɛ AD s t e AD z i AE
hyperglycémiante	i AE p ɛ AD ʁ ɡ l i AE s e AD m j AA ɑ̃ BB t
hyperlia	i AE p ɛ AD ʁ l j AA a AC
hyperliai	i AE p ɛ AD ʁ l j AA e AD
hyperliaient	i AE p ɛ AD ʁ l j AA ɛ AD
hyperliais	i AE p ɛ AD ʁ l j AA ɛ AD
hyperliait	i AE p ɛ AD ʁ l j AA ɛ AD
hyperliant	i AE p ɛ AD ʁ l j AA ɑ̃ BB
hyperlias	i AE p ɛ AD ʁ l j AA ɑ AK
hyperliasse	i AE p ɛ AD ʁ l j AA a AC s
hyperliassent	i AE p ɛ AD ʁ l j AA a AC s
hyperliasses	i AE p ɛ AD ʁ l j AA a AC s
hyperliassiez	i AE p ɛ AD ʁ l j AA a AC s j AA e AD
hyperliassions	i AE p ɛ AD ʁ l j AA a AC s j AA ɔ̃ BA
hyperlie	i AE p ɛ AD ʁ l i AE
hyperlient	i AE p ɛ AD ʁ l i AE
hyperlier	i AE p ɛ AD ʁ l j AA e AD
hyperliera	i AE p ɛ AD ʁ l i AE ʁ a AC
hyperlierai	i AE p ɛ AD ʁ l i AE ʁ e AD
hyperlieraient	i AE p ɛ AD ʁ l i AE ʁ ɛ AD
hyperlierais	i AE p ɛ AD ʁ l i AE ʁ ɛ AD
hyperlierait	i AE p ɛ AD ʁ l i AE ʁ ɛ AD
hyperlieras	i AE p ɛ AD ʁ l i AE ʁ ɑ AK
hyperlierez	i AE p ɛ AD ʁ l i AE ʁ e AD
hyperlieriez	i AE p ɛ AD ʁ l i AE ʁ j AA e AD
hyperlierions	i AE p ɛ AD ʁ l i AE ʁ j AA ɔ̃ BA
hyperlierons	i AE p ɛ AD ʁ l i AE ʁ ɔ̃ BA
hyperlieront	i AE p ɛ AD ʁ l i AE ʁ ɔ̃ BA
hyperlies	i AE p ɛ AD ʁ l i AE
hyperliez	i AE p ɛ AD ʁ l j AA e AD
hyperliiez	i AE p ɛ AD ʁ l i AE j AA e AD
hyperliions	i AE p ɛ AD ʁ l i AE j AA ɔ̃ BA
hyperlions	i AE p ɛ AD ʁ l j AA ɔ̃ BA
hyperliâmes	i AE p ɛ AD ʁ l j AA ɑ AK m
hyperliât	i AE p ɛ AD ʁ l j AA ɑ AK
hyperliâtes	i AE p ɛ AD ʁ l j AA ɑ AK t
hyperlièrent	i AE p ɛ AD ʁ l j AA ɛ AD ʁ
hyperlié	i AE p ɛ AD ʁ l j AA e AD
hyperlourd	i AE p ɛ AD ʁ l u AG ʁ
hyperlourde	i AE p ɛ AD ʁ l u AG ʁ d
hyperlourdes	i AE p ɛ AD ʁ l u AG ʁ d
hyperlourds	i AE p ɛ AD ʁ l u AG ʁ
hypermarché	i AE p ɛ AD ʁ m a AC ʁ ʃ e AD
hyperonyme	i AE p ɛ AD ʁ ɔ AF n i AE m
hyperpolariser	i AE p ɛ AD ʁ p ɔ AF l a AC ʁ i AE z e AD
hyperreligieuse	i AE p e AD ʁ ə AJ l i AE ʒ j AA ø AI z
hypersexuel	i AE p ɛ AD ʁ s ɛ AD k s ɥ AN ɛ AD l
hypertension	i AE p ɛ AD ʁ t ɑ̃ BB s j AA ɔ̃ BA
hypertexte	i AE p ɛ AD ʁ t ɛ AD k s t
hypertrichose	i AE p ɛ AD ʁ t ʁ i AE k o AF z
hypervitesse	i AE p ɛ AD ʁ v i AE t ɛ AD s
hyphen	i AE f ɛ AD n
hypnotique	i AE p n ɔ AF t i AE k
hypnotiser	i AE p n ɔ AF t i AE z e AD
hypoazoteuse	i AE p o AF a AC z ɔ AF t ø AI z
hypochloreux	i AE p ɔ AF k l ɔ AF ʁ ø AI
hypochondrie	i AE p ɔ AF k ɔ̃ BA d ʁ i AE
hypocondriaque	i AE p ɔ AF k ɔ̃ BA d ʁ i AE j AA a AC k
hypocondriasie	i AE p ɔ AF k ɔ̃ BA d ʁ i AE j AA a AC z i AE
hypocondrie	i AE p ɔ AF k ɔ̃ BA d ʁ i AE
hypocoristique	i AE p ɔ AF k ɔ AF ʁ i AE s t i AE k
hypocras	i AE p ɔ AF k ʁ ɑ AK s
hypocrisie	i AE p ɔ AF k ʁ i AE z i AE
hypocrisies	i AE p ɔ AF k ʁ i AE z i AE
hypocrite	i AE p ɔ AF k ʁ i AE t
hypocrétine	i AE p ɔ AF k ʁ e AD t i AE n
hypodermiquement	i AE p ɔ AF d ɛ AD ʁ m i AE k m ɑ̃ BB
hypogastrique	i AE p ɔ AF ɡ a AC s t ʁ i AE k
hypogastriques	i AE p ɔ AF ɡ a AC s t ʁ i AE k
hypogée	i AE p ɔ AF ʒ e AD
hypokhâgne	i AE p ɔ AF k a AC ɲ
hyponatrémie	i AE p ɔ AF n a AC t ʁ e AD m i AE
hyponatrémies	i AE p ɔ AF n a AC t ʁ e AD m i AE
hyponitreuse	i AE p ɔ AF n i AE t ʁ ø AI z
hyponyme	i AE p ɔ AF n i AE m
hypophosphoreuse	i AE p ɔ AF f ɔ AF s f ɔ AF ʁ ø AI z
hypophyse	i AE p ɔ AF f i AE z
hypostase	i AE p ɔ AF s t a AC z
hyposulfureuse	i AE p ɔ AF s y AH l f y AH ʁ ø AI z
hypotaupe	i AE p ɔ AF t o AF p
hypotensive	i AE p ɔ AF t ɑ̃ BB s i AE v
hypothalamus	i AE p ɔ AF t a AC l a AC m y AH s
hypothèque	i AE p ɔ AF t ɛ AD k
hypothèse	i AE p ɔ AF t ɛ AD z
hypothèses	i AE p ɔ AF t ɛ AD z
hypothécairement	i AE p ɔ AF t e AD k ɛ AD ʁ m ɑ̃ BB
hypothéquer	i AE p ɔ AF t e AD k e AD
hypothétique	i AE p ɔ AF t e AD t i AE k
hypothétiquement	i AE p ɔ AF t e AD t i AE k m ɑ̃ BB
hypothétiques	i AE p ɔ AF t e AD t i AE k
hypotonie	i AE p ɔ AF t ɔ AF n i AE
hypotonies	i AE p ɔ AF t ɔ AF n i AE
hypoténuse	i AE p ɔ AF t e AD n y AH z
hypoxie	i AE p ɔ AF k s i AE
hypéride	i AE p e AD ʁ i AE d
hypéron	i AE p e AD ʁ ɔ̃ BA
hysope	i AE z ɔ AF p
hystérie	i AE s t e AD ʁ i AE
hystérique	i AE s t e AD ʁ i AE k
hyène	j AA ɛ AD n
hyéroise	j AA e AD ʁ w AB a AC z
hâbler	ɑ AK b l e AD
hâblerie	ɑ AK b l ə AJ ʁ i AE
hâbleur	ɑ AK b l œ AI ʁ
hâler	ɑ AK l e AD
hâte	ɑ AK t
hâter	ɑ AK t e AD
hâtif	ɑ AK t i AE f
hâtifs	ɑ AK t i AE f
hâtive	ɑ AK t i AE v
hâtivement	ɑ AK t i AE v m ɑ̃ BB
hâtives	ɑ AK t i AE v
hâve	ɑ AK v
hèle	ɛ AD l
hèles	ɛ AD l
hère	ɛ AD ʁ
hé	e AD
hébergement	e AD b ɛ AD ʁ ʒ ə AJ m ɑ̃ BB
héberger	e AD b ɛ AD ʁ ʒ e AD
hébergeur	e AD b ɛ AD ʁ ʒ œ AI ʁ
hébergeurs	e AD b ɛ AD ʁ ʒ œ AI ʁ
hébergeuse	e AD b ɛ AD ʁ ʒ ø AI z
hébergeuses	e AD b ɛ AD ʁ ʒ ø AI z
hébert	e AD b ɛ AD ʁ
hébertisme	e AD b ɛ AD ʁ t i AE s m
hébertiste	e AD b ɛ AD ʁ t i AE s t
hébraïque	e AD b ʁ a AC i AE k
hébreu	e AD b ʁ ø AI
hébreue	e AD b ʁ ø AI
hébreuse	e AD b ʁ ø AI z
hébron	e AD b ʁ ɔ̃ BA
hébéphrénie	e AD b e AD f ʁ e AD n i AE
hébété	e AD b e AD t e AD
hécatombe	e AD k a AC t ɔ̃ BA b
hégire	e AD ʒ i AE ʁ
hégirienne	e AD ʒ i AE ʁ j AA ɛ AD n
héhé	e AD e AD
hélas	e AD l a AC s
héler	e AD l e AD
