ँ	ə̃ AJ
पैदाइशी	p ɛː AC d̪ äː ɪ AD ʃ iː AC
पैदावार	p ɛː AC d̪ äː ʋ AB äː ɾ
पैना	p ɛː AC n̪ äː
पैमाना	p ɛː AC m äː n̪ äː
पैराग्वे	p ɛː AC ɾ äː ɡ ʋ AB eː AC
पैरोकार	p ɛː AC ɾ oː AE k äː ɾ
पैसा	p ɛː AC s̪ äː
पोंछना	p õː n̪ t ʃʰ n̪ äː
पोका	p oː AE k aː AC
पोखरा	p oː AE kʰ ɾ äː
पोतना	p oː AE t̪̚ n̪ äː
पोता	p oː AE t̪ äː
पोपला	p oː AE p l̪ äː
पोलिश	p oː AE l̪ ɪ AD ʃ
पोलैंड	p oː AE l̪ ɛ̃ː AI ɳ ɖ
पोशाक	p oː AE ʃ äː k
पौंड	p ɔ̃ː AH ɳ ɖ
पौदा	p ɔː AE d̪ äː
पौधा	p ɔː AE d̪ʱ äː
पौन	p ɔ̃ː AH n̪
पौना	p ɔː AE n̪ äː
पौने	p ɔː AE n̪ eː AC
पौराणिक	p ɔː AE ɾ äː ɳ ɪ AD k
पौरुष	p ɔː AE ɾ ʊ AF ʃ
पौष	p ɔː AE ʃ
पौष्टिक	p ɔː AE ʃ ʈ ɪ AD k
प्याऊ	p j AA äː uː AE
प्याज	p j AA äː z
प्याज़	p j AA äː z
प्यादा	p j AA äː d̪ äː
प्यार	p j AA äː ɾ
प्यास	p j AA äː s̪
प्यासा	p j AA äː s̪ äː
प्योंगचांग	p j AA õː ŋ ɡ t ʃ ä̃ː ŋ ɡ
प्योंगचैंग	p j AA õː ŋ ɡ t ʃ ɛ̃ː AI ŋ ɡ
प्योंगयांग	p j AA õː ŋ ɡ j AA ä̃ː ŋ ɡ
प्रकांड	p ɾ ə AD k ä̃ː ɳ ɖ
प्रकार	p ɾ ə AD k äː ɾ
प्रकार्यात्मक	p ɾ ə AD k äː ɾ j AA äː t̪ m ə AD k
प्रकाश	p ɾ ə AD k äː ʃ
प्रकाशक	p ɾ ə AD k äː ʃ ə AD k
प्रकाशन	p ɾ ə AD k äː ʃ ə̃ AJ n̪
प्रकासम	p ɾ ə AD k äː s̪ ə̃ AJ m
प्रकीर्णन	p ɾ ə AD k iː AC ɾ ɳ ə̃ AJ n̪
प्रक्रम	p ɾ ə AD k ɾ ə̃ AJ m
प्रक्रिया	p ɾ ə AD k ɾ i AD j AA äː
प्रक्षेपास्त्र	p ɾ ə AD k ʃ eː AC p äː s̪ t̪ ɾ
प्रक्षेप्य	p ɾ ə AD k ʃ eː AC p j AA
प्रगतिवाद	p ɾ ə AD ɡ ə AD t̪ ɪ AD ʋ AB äː d̪
प्रगतिवादी	p ɾ ə AD ɡ ə AD t̪ ɪ AD ʋ AB äː d̪ iː AC
प्रगतिशील	p ɾ ə AD ɡ ə AD t̪ ɪ AD ʃ iː AC l̪
प्रचंड	p ɾ ə AD t ʃ ə̃ AJ ɳ ɖ
प्रचलित	p ɾ ə AD t ʃ ə AD l̪ ɪ AD t̪
प्रचार	p ɾ ə AD t ʃ äː ɾ
प्रचारक	p ɾ ə AD t ʃ äː ɾ ə AD k
प्रचारिणी	p ɾ ə AD t ʃ äː ɾ ɪ AD ɳ iː AC
प्रचारित	p ɾ ə AD t ʃ äː ɾ ɪ AD t̪
प्रचारी	p ɾ ə AD t ʃ äː ɾ iː AC
प्रजनन	p ɾ ə AD d ʒ ə AD n̪ ə̃ AJ n̪
प्रजा	p ɾ ə AD d ʒ äː
प्रजातंत्र	p ɾ ə AD d ʒ äː t̪ ə̃ AJ n̪ t̪ ɾ
प्रजातंत्रवाद	p ɾ ə AD d ʒ äː t̪ ə̃ AJ n̪ t̪ ɾ ə AD ʋ AB äː d̪
प्रज्वलित	p ɾ ə AD d ʒ ʋ AB ə AD l̪ ɪ AD t̪
प्रण	p ɾ ə̃ AJ ɳ
प्रणाम	p ɾ ə AD ɳ ä̃ː m
प्रणाली	p ɾ ə AD ɳ äː l̪ iː AC
प्रताड़ित	p ɾ ə AD t̪ äː ɽ ɪ AD t̪
प्रताप	p ɾ ə AD t̪ äː p
प्रतापी	p ɾ ə AD t̪ äː p iː AC
प्रतिकर्षण	p ɾ ə AD t̪ ɪ AD k ə AD ɾ ʃ ə̃ AJ ɳ
प्रतिकर्षी	p ɾ ə AD t̪ ɪ AD k ə AD ɾ ʃ iː AC
प्रतिक्रमण	p ɾ ə AD t̪ ɪ AD k ɾ ə AD m ə̃ AJ ɳ
प्रतिक्रिया	p ɾ ə AD t̪ ɪ AD k ɾ i AD j AA äː
प्रतिक्रियावादी	p ɾ ə AD t̪ ɪ AD k ɾ i AD j AA äː ʋ AB äː d̪ iː AC
प्रतिच्छेद	p ɾ ə AD t̪ ɪ AD t̚ t ʃʰ eː AC d̪
प्रतिज्ञा	p ɾ ə AD t̪ ɪ AD ɡ j AA äː
प्रतिज्ञापन	p ɾ ə AD t̪ ɪ AD ɡ j AA äː p ə̃ AJ n̪
प्रतिध्वनि	p ɾ ə AD t̪ ɪ AD d̪ʱ ʋ AB ə AD n̪ iː AC
प्रतिनिधि	p ɾ ə AD t̪ ɪ AD n̪ ɪ AD d̪ʱ iː AC
प्रतिनिधित्व	p ɾ ə AD t̪ ɪ AD n̪ ɪ AD d̪ʱ ɪ AD t̪ w AB
प्रतिफल	p ɾ ə AD t̪ ɪ AD pʰ ə AD l̪
प्रतिबंध	p ɾ ə AD t̪ ɪ AD b ə̃ AJ n̪ d̪ʱ
प्रतिबंधित	p ɾ ə AD t̪ ɪ AD b ə̃ AJ n̪ d̪ʱ ɪ AD t̪
प्रतिबिंब	p ɾ ə AD t̪ ɪ AD b ɪ̃ AJ m b
प्रतिभा	p ɾ ə AD t̪ ɪ AD bʱ äː
प्रतिमा	p ɾ ə AD t̪ ɪ AD m äː
प्रतिमाह	p ɾ ə AD t̪ ɪ AD m äː ɦ AG
प्रतियोगिता	p ɾ ə AD t̪ i AD j AA oː AE ɡ ɪ AD t̪ äː
प्रतिरोधकता	p ɾ ə AD t̪ ɪ AD ɾ oː AE d̪ʱ ə AD k t̪ äː
प्रतिलोम	p ɾ ə AD t̪ ɪ AD l̪ õː m
प्रतिश्याय	p ɾ ə AD t̪ ɪ AD ʃ j AA äː j AA
प्रतिस्पर्धा	p ɾ ə AD t̪ ɪ AD s̪ p ə AD ɾ d̪ʱ äː
प्रतीकात्मक	p ɾ ə AD t̪ iː AC k äː t̪ m ə AD k
प्रत्यक्षदर्शी	p ɾ ə AD t̪ j AA ə AD k ʃ d̪ ə AD ɾ ʃ iː AC
प्रत्यक्षीकरण	p ɾ ə AD t̪ j AA ə AD k ʃ iː AC k ə AD ɾ ə̃ AJ ɳ
प्रत्यर्पण	p ɾ ə AD t̪ j AA ə AD ɾ p ə̃ AJ ɳ
प्रत्याशा	p ɾ ə AD t̪ j AA äː ʃ äː
प्रत्याशी	p ɾ ə AD t̪ j AA äː ʃ iː AC
प्रथमतः	p ɾ ə AD t̪ʰ ə̃ AJ m t̪ ə AD ɦ AG
प्रदर्शन	p ɾ ə AD d̪ ə AD ɾ ʃ ə̃ AJ n̪
प्रदाता	p ɾ ə AD d̪ äː t̪ äː
प्रदान	p ɾ ə AD d̪ ä̃ː n̪
प्रदूषण	p ɾ ə AD d̪ uː AE ʃ ə̃ AJ ɳ
प्रधान	p ɾ ə AD d̪ʱ ä̃ː n̪
प्रधानाचार्य	p ɾ ə AD d̪ʱ äː n̪ äː t ʃ äː ɾ j AA
प्रधानाध्यापक	p ɾ ə AD d̪ʱ äː n̪ äː d̪ʱ j AA äː p ə AD k
प्रबंध	p ɾ ə AD b ə̃ AJ n̪ d̪ʱ
प्रबंधक	p ɾ ə AD b ə̃ AJ n̪ d̪ʱ ə AD k
प्रबंधकर्ता	p ɾ ə AD b ə̃ AJ n̪ d̪ʱ k ə AD ɾ t̪ äː
प्रबन्ध	p ɾ ə AD b ə̃ AJ n̪ d̪ʱ
प्रबल	p ɾ ə AD b ə AD l̪
प्रभात	p ɾ ə AD bʱ äː t̪
प्रभारी	p ɾ ə AD bʱ äː ɾ iː AC
प्रभाव	p ɾ ə AD bʱ äː ʋ AB
प्रभावकारी	p ɾ ə AD bʱ äː ʋ AB k äː ɾ iː AC
प्रभावित	p ɾ ə AD bʱ äː ʋ AB ɪ AD t̪
प्रभावी	p ɾ ə AD bʱ äː ʋ AB iː AC
प्रभुत्व	p ɾ ə AD bʱ ʊ AF t̪ w AB
प्रमाण	p ɾ ə AD m ä̃ː ɳ
प्रमाणभूत	p ɾ ə AD m ä̃ː ɳ bʱ uː AE t̪
प्रयत्न	p ɾ ə AD j AA ə AD t̪̚ n̪
प्रयत्नशील	p ɾ ə AD j AA ə AD t̪̚ n̪ ə AD ʃ iː AC l̪
प्रयास	p ɾ ə AD j AA äː s̪
प्रयोगकर्ता	p ɾ ə AD j AA oː AE ɡ k ə AD ɾ t̪ äː
प्रयोगशाला	p ɾ ə AD j AA oː AE ɡ ʃ äː l̪ äː
प्रयोगात्मक	p ɾ ə AD j AA oː AE ɡ ɑ AD t̪ m ə AD k
प्रयोजन	p ɾ ə AD j AA oː AE d ʒ ə̃ AJ n̪
प्रलय	p ɾ ə AD l̪ ə AD j AA
प्रवक्ता	p ɾ ə AD ʋ AB ə AD k t̪ äː
प्रवचन	p ɾ ə AD ʋ AB ə AD t ʃ ə̃ AJ n̪
प्रवास	p ɾ ə AD ʋ AB äː s̪
प्रवाह	p ɾ ə AD ʋ AB äː ɦ AG
प्रविष्टि	p ɾ ə AD ʋ AB ɪ AD ʃ ʈ iː AC
प्रवीण	p ɾ ə AD ʋ AB ĩː ɳ
प्रवीणता	p ɾ ə AD ʋ AB ĩː ɳ t̪ äː
प्रवृत्ति	p ɾ ə AD ʋ AB ɾ ɪ AD t̪̚ t̪ iː AC
प्रशंसक	p ɾ ə AD ʃ ə̃ AJ n̪ s̪ ə AD k
प्रशंसा	p ɾ ə AD ʃ ə̃ AJ n̪ s̪ äː
प्रशासक	p ɾ ə AD ʃ äː s̪ ə AD k
प्रशासकीय	p ɾ ə AD ʃ äː s̪ ə AD k iː AC j AA
प्रशासन	p ɾ ə AD ʃ äː s̪ ə̃ AJ n̪
प्रशासिक	p ɾ ə AD ʃ äː s̪ ɪ AD k
प्रशिक्षण	p ɾ ə AD ʃ ɪ AD k ʃ ə̃ AJ ɳ
प्रश्न	p ɾ ə AD ʃ ə̃ AJ n̪
प्रश्नोत्तर	p ɾ ə AD ʃ n̪ oː AE t̪̚ t̪ ə AD ɾ
प्रसंग	p ɾ ə AD s̪ ə̃ AJ ŋ ɡ
प्रसन्नता	p ɾ ə AD s̪ ə̃ AJ n̪ n̪ t̪ äː
प्रसव	p ɾ ə AD s̪ ə AD ʋ AB
प्रसववेदना	p ɾ ə AD s̪ ə AD ʋ AB ʋ AB eː AC d̪̚ n̪ äː
प्रसाद	p ɾ ə AD s̪ äː d̪
प्रसाधन	p ɾ ə AD s̪ äː d̪ʱ ə̃ AJ n̪
प्रसारित	p ɾ ə AD s̪ äː ɾ ɪ AD t̪
प्रसिद्धि	p ɾ ə AD s̪ ɪ AD d̪̚ d̪ʱ iː AC
प्रस्ताव	p ɾ ə AD s̪ t̪ äː ʋ AB
प्रस्तावक	p ɾ ə AD s̪ t̪ äː ʋ AB ə AD k
प्रस्तुत	p ɾ ə AD s̪ t̪ ʊ AF t̪
प्रस्तुति	p ɾ ə AD s̪ t̪ ʊ AF t̪ iː AC
प्रस्थान	p ɾ ə AD s̪ t̪ʰ ä̃ː n̪
प्रहार	p ɾ ə AD ɦ AG äː ɾ
प्रांगार	p ɾ ä̃ː ŋ ɡ äː ɾ
प्रांत	p ɾ ä̃ː n̪ t̪
प्राकृत	p ɾ äː k ɾ ɪ AD t̪
प्राकृतिक	p ɾ äː k ɾ ɪ AD t̪ ɪ AD k
प्राक्कथन	p ɾ äː k̚ k ə AD t̪ʰ ə̃ AJ n̪
प्रागितिहास	p ɾ äː ɡ ɪ AD t̪ ɪ AD ɦ AG äː s̪
प्रागैतिहासिक	p ɾ äː ɡ ɛː AC t̪ ɪ AD ɦ AG äː s̪ ɪ AD k
प्राचल	p ɾ äː t ʃ ə AD l̪
प्राची	p ɾ äː t ʃ iː AC
प्राचीन	p ɾ äː t ʃ ĩː n̪
प्राच्यलवक	p ɾ äː t ʃ j AA ə AD l̪ ə AD ʋ AB ə AD k
प्राण	p ɾ ä̃ː ɳ
प्राणवायु	p ɾ ä̃ː ɳ w AB äː j AA uː AE
प्राणी	p ɾ äː ɳ iː AC
प्रातः	p ɾ äː t̪ ə AD ɦ AG
प्राथमिक	p ɾ äː t̪ʰ m ɪ AD k
प्रादेशिक	p ɾ äː d̪ eː AC ʃ ɪ AD k
प्राधिकार	p ɾ äː d̪ʱ ɪ AD k äː ɾ
प्राधिकारी	p ɾ äː d̪ʱ ɪ AD k äː ɾ iː AC
प्राध्यापक	p ɾ äː d̪ʱ j AA äː p ə AD k
प्राप्त	p ɾ äː p t̪
प्राप्ति	p ɾ äː p t̪ iː AC
प्राप्तिकर्ता	p ɾ äː p t̪ ɪ AD k ə AD ɾ t̪ äː
प्राप्तिका	p ɾ äː p t̪ ɪ AD k äː
प्राप्य	p ɾ äː p j AA
प्राप्यक	p ɾ äː p j AA ə AD k
प्रामाणिक	p ɾ äː m äː ɳ ɪ AD k
प्रायः	p ɾ äː j AA ə AD ɦ AG
प्रायद्वीप	p ɾ äː j AA d̪ w AB iː AC p
प्रायापिज़्म	p ɾ äː j AA äː p ɪ AD z m
प्रायिकता	p ɾ äː j AA ɪ AD k t̪ äː
प्रारंभ	p ɾ äː ɾ ə̃ AJ m bʱ
प्रारंभिक	p ɾ äː ɾ ə̃ AJ m bʱ ɪ AD k
प्रारम्भ	p ɾ äː ɾ ə̃ AJ m bʱ
प्रारम्भिक	p ɾ äː ɾ ə̃ AJ m bʱ ɪ AD k
प्रार्थना	p ɾ äː ɾ t̪ʰ ə AD n̪ äː
प्रावधान	p ɾ äː ʋ AB d̪ʱ ä̃ː n̪
प्रावृत्ति	p ɾ äː ʋ AB ɾ ɪ AD t̪̚ t̪ iː AC
प्रासंगिक	p ɾ äː s̪ ə̃ AJ ŋ ɡ ɪ AD k
प्रासंगिकता	p ɾ äː s̪ ə̃ AJ ŋ ɡ ɪ AD k t̪ äː
प्रासाद	p ɾ äː s̪ äː d̪
प्रासुक	p ɾ äː s̪ ʊ AF k
प्रिंस	p ɾ ɪ̃ AJ n̪ s̪
प्रिटोरिया	p ɾ ɪ AD ʈ oː AE ɾ i AD j AA äː
प्रिय	p ɾ i AD j AA
प्रिया	p ɾ i AD j AA äː
प्रेक्षित	p ɾ eː AC k ʃ ɪ AD t̪
प्रेम	p ɾ ẽː m
प्रेमिका	p ɾ eː AC m ɪ AD k äː
प्रेयसी	p ɾ eː AC j AA s̪ iː AC
प्रेरणा	p ɾ eː AC ɾ ɳ äː
प्रेस	p ɾ eː AC s̪
प्रॉसिक्यूटर	p ɾ ɔ AF s̪ ɪ AD k j AA uː AE ʈ ə AD ɾ
प्रोग्राम	p ɾ oː AE ɡ ɾ ä̃ː m
प्रोटीन	p ɾ oː AE ʈ ĩː n̪
प्रोत्साहन	p ɾ oː AE t̪ s̪ äː ɦ AG ə̃ AJ n̪
प्रोत्साहित	p ɾ oː AE t̪ s̪ äː ɦ AG ɪ AD t̪
प्रोस्टेट	p ɾ oː AE s̪ ʈ eː AC ʈ
प्लाविका	p l̪ äː ʋ AB ɪ AD k äː
प्लीज़	p l̪ iː AC z
प्लीहा	p l̪ iː AC ɦ AG äː
फँसना	pʰ ə̃ AJ s̪ n̪ äː
फंदा	pʰ ə̃ AJ n̪ d̪ äː
फक्कड़	pʰ ə AD k̚ k ə AD ɽ
फटफटिया	pʰ ə AD ʈ pʰ ə AD ʈ i AD j AA äː
फट्टू	pʰ ə AD ʈ̚ ʈ uː AE
फड़फड़ाना	pʰ ə AD ɽ pʰ ə AD ɽ äː n̪ äː
फफकना	pʰ ə AD pʰ ə AD k n̪ äː
फफूँदी	pʰ ə AD pʰ ũː n̪ d̪ iː AC
फफोला	pʰ ə AD pʰ oː AE l̪ äː
फर्न	pʰ ə AD ɾ n̪
फर्नीचर	pʰ ə AD ɾ n̪ iː AC t ʃ ə AD ɾ
फल	pʰ ə AD l̪
फलक	pʰ ə AD l̪ ə AD k
फलन	pʰ ə AD l̪ ə̃ AJ n̪
फलना	pʰ ə AD l̪ n̪ äː
फलस्वरूप	pʰ ə AD l̪ ə AD s̪ ʋ AB ə AD ɾ uː AE p
फलालैन	pʰ ə AD l̪ äː l̪ ɛ̃ː AI n̪
फली	pʰ ə AD l̪ iː AC
फलो	pʰ ə AD l̪ oː AE
फलों	pʰ ə AD l̪ õː
फसल	pʰ ə AD s̪ ə AD l̪
फ़ंतासी	pʰ ə̃ AJ n̪ t̪ äː s̪ iː AC
फ़ज़ूल	pʰ ə AD d ʒ uː AE l̪
फ़तवा	pʰ ə AD t̪ w AB äː
फ़ना	pʰ ə AD n̪ äː
फ़रमाइश	pʰ ə AD ɾ m äː ɪ AD ʃ
फ़रमान	pʰ ə AD ɾ m ä̃ː n̪
फ़रमाना	pʰ ə AD ɾ m äː n̪ äː
फ़रात	pʰ ə AD ɾ äː t̪
फ़रार	pʰ ə AD ɾ äː ɾ
फ़रिश्ता	pʰ ə AD ɾ ɪ AD ʃ t̪ äː
फ़रीदाबाद	pʰ ə AD ɾ iː AC d̪ äː b äː d̪
फ़र्ज़ंद	pʰ ə AD ɾ d ʒ ə̃ AJ n̪ d̪
फ़र्ज़न्द	pʰ ə AD ɾ d ʒ ə̃ AJ n̪ d̪
फ़र्रुख़ाबाद	pʰ ə AD ɾ ɾ ʊ AF kʰ äː b äː d̪
फ़लक	pʰ ə AD l̪ ə AD k
फ़लसफ़ा	pʰ ə AD l̪ s̪ ə AD pʰ äː
फ़लस्तीनी	pʰ ə AD l̪ ə AD s̪ t̪ iː AC n̪ iː AC
फ़व्वारा	pʰ ə AD ʋ AB ʋ AB äː ɾ äː
फ़सल	pʰ ə AD s̪ ə AD l̪
फ़साना	pʰ ə AD s̪ äː n̪ äː
फ़ाख़्ता	pʰ äː kʰ t̪ äː
फ़ानी	pʰ äː n̪ iː AC
फ़ायदा	pʰ äː j AA d̪ äː
फ़ारसी	pʰ äː ɾ s̪ iː AC
फ़ारिग़	pʰ äː ɾ ɪ AD ɡ
फ़ालतू	pʰ äː l̪ t̪ uː AE
फ़ालसा	pʰ äː l̪ s̪ äː
फ़ाश	pʰ äː ʃ
फ़ासला	pʰ äː s̪ l̪ äː
फ़ासिला	pʰ äː s̪ ɪ AD l̪ äː
फ़िदा	pʰ ɪ AD d̪ äː
फ़िदायीन	pʰ ɪ AD d̪ äː j AA ĩː n̪
फ़िनलैंड	pʰ ɪ̃ AJ n̪ l̪ ɛ̃ː AI ɳ ɖ
फ़िरंग	pʰ ɪ AD ɾ ə̃ AJ ŋ ɡ
फ़िरंगी	pʰ ɪ AD ɾ ə̃ AJ ŋ ɡ iː AC
फ़िराक़	pʰ ɪ AD ɾ äː k
फ़िरिश्ता	pʰ ɪ AD ɾ ɪ AD ʃ t̪ äː
फ़िरौन	pʰ ɪ AD ɾ ɔ̃ː AH n̪
फ़िलहाल	pʰ ɪ AD l̪ ɦ AG äː l̪
फ़िलिस्तीनी	pʰ ɪ AD l̪ ɪ AD s̪ t̪ iː AC n̪ iː AC
फ़िलीपीन्स	pʰ ɪ AD l̪ iː AC p ĩː n̪ s̪
फ़िल्म	pʰ ɪ AD l̪ ə̃ AJ m
फ़ीता	pʰ iː AC t̪ äː
फ़ीलपाँव	pʰ iː AC l̪ p ä̃ː ʋ AB
फ़ील्मी	pʰ iː AC l̪ m iː AC
फ़ीस	pʰ iː AC s̪
फ़ीसद	pʰ iː AC s̪ ə AD d̪
फ़ुटबॉल	pʰ ʊ AF ʈ b ɔ AF l̪
फ़ुर्सत	pʰ ʊ AF ɾ s̪ ə AD t̪
फ़ेसबुक	pʰ eː AC s̪ b ʊ AF k
फ़ेहरिस्त	pʰ eː AC ɦ AG ɾ ɪ AD s̪ t̪
फ़ैज़ाबाद	pʰ ɛː AC d ʒ äː b äː d̪
फ़ैसलाबाद	pʰ ɛː AC s̪ l̪ äː b äː d̪
फ़ॉर्मूला	pʰ ɔ AF ɾ m uː AE l̪ äː
फ़ॉलोअर	pʰ ɔ AF l̪ oː AE ə AD ɾ
फ़ोन	pʰ õː n̪
फ़ौरन	pʰ ɔː AE ɾ ə̃ AJ n̪
फ़्राँस	pʰ ɾ ä̃ː s̪
फ़्राँसीसी	pʰ ɾ ä̃ː s̪ iː AC s̪ iː AC
फ़्रांसीसी	pʰ ɾ ä̃ː n̪ s̪ iː AC s̪ iː AC
फ़्रान्सीसी	pʰ ɾ ä̃ː n̪ s̪ iː AC s̪ iː AC
फ़्रेन्चाइज़	pʰ ɾ ẽː n̪ t ʃ äː ɪ AD d ʒ
फ़्लैट	pʰ l̪ ɛː AC ʈ
फ़्लोरिडा	pʰ l̪ oː AE ɾ ɪ AD ɖ äː
फाँसी	pʰ ä̃ː s̪ iː AC
फाड़ी	pʰ äː ɽ iː AC
फाफड़ा	pʰ äː pʰ ɽ äː
फायदा	pʰ äː j AA d̪ äː
फालतू	pʰ äː l̪ t̪ uː AE
फालसा	pʰ äː l̪ s̪ äː
फाल्गुन	pʰ äː l̪ ɡ ʊ̃ AL n̪
फावड़ा	pʰ äː ʋ AB ɽ äː
फिरना	pʰ ɪ AD ɾ n̪ äː
फिल्म	pʰ ɪ AD l̪ m
फिल्मी	pʰ ɪ AD l̪ m iː AC
फिसलन	pʰ ɪ AD s̪ l̪ ə̃ AJ n̪
फिसलना	pʰ ɪ AD s̪ ə AD l̪ n̪ äː
फीका	pʰ iː AC k äː
फुंसी	pʰ ʊ̃ AL n̪ s̪ iː AC
फुदकना	pʰ ʊ AF d̪ ə AD k n̪ äː
फुनगी	pʰ ʊ̃ AL n̪ ɡ iː AC
फुलका	pʰ ʊ AF l̪ k äː
फुलझड़ी	pʰ ʊ AF l̪ d ʒʱ ə AD ɽ iː AC
फुसफुसाना	pʰ ʊ AF s̪ pʰ ʊ AF s̪ äː n̪ äː
फुहार	pʰ ʊ AF ɦ AG äː ɾ
फूफा	pʰ uː AE pʰ äː
फूल	pʰ uː AE l̪
फूलदान	pʰ uː AE l̪ d̪ ä̃ː n̪
फूलना	pʰ uː AE l̪ n̪ äː
फूलो	pʰ uː AE l̪ oː AE
फूलों	pʰ uː AE l̪ õː
फेंक	pʰ ẽː ŋ k
फेंकना	pʰ ẽː ŋ k n̪ äː
फेफड़ा	pʰ eː AC pʰ ɽ äː
फेसबुक	pʰ eː AC s̪ b ʊ AF k
फैलना	pʰ ɛː AC l̪ n̪ äː
फैलाव	pʰ ɛː AC l̪ äː ʋ AB
फैसला	pʰ ɛː AC s̪ l̪ äː
फोड़ा	pʰ oː AE ɽ äː
फोन	pʰ õː n̪
फ्रांस	pʰ ɾ ä̃ː n̪ s̪
फ्रांसीसी	pʰ ɾ ä̃ː n̪ s̪ iː AC s̪ iː AC
फ्रेन्चाइज़	pʰ ɾ ẽː n̪ t ʃ äː ɪ AD d ʒ
बँटवारा	b ə̃ AJ ɳ ʈ w AB äː ɾ äː
बँधुआ	b ə̃ AJ n̪ d̪ʱ ʊ AF äː
बंगला	b ə̃ AJ ŋ ɡ l̪ äː
बंगाली	b ə̃ AJ ŋ ɡ äː l̪ iː AC
बंग्ली	b ə̃ AJ ŋ ɡ l̪ iː AC
बंजर	b ə̃ AJ n̪ d ʒ ə AD ɾ
बंजारा	b ə̃ AJ n̪ d ʒ äː ɾ äː
बंटना	b ə̃ AJ ɳ ʈ n̪ äː
बंटाना	b ə̃ AJ ɳ ʈ äː n̪ äː
बंद	b ə̃ AJ n̪ d̪
बंदगी	b ə̃ AJ n̪ d̪ ə AD ɡ iː AC
बंदर	b ə̃ AJ n̪ d̪ ə AD ɾ
बंदरगाह	b ə̃ AJ n̪ d̪ ə AD ɾ ɡ äː ɦ AG
बंदरिया	b ə̃ AJ n̪ d̪ ə AD ɾ i AD j AA äː
बंदा	b ə̃ AJ n̪ d̪ äː
बंदिनी	b ə̃ AJ n̪ d̪ ɪ AD n̪ iː AC
बंदिश	b ə̃ AJ n̪ d̪ ɪ AD ʃ
बंदी	b ə̃ AJ n̪ d̪ iː AC
बंदीघर	b ə̃ AJ n̪ d̪ iː AC ɡʱ ə AD ɾ
बंदूक़	b ə̃ AJ n̪ d̪ uː AE q
बंध	b ə̃ AJ n̪ d̪ʱ
बंधु	b ə̃ AJ n̪ d̪ʱ uː AE
बंधुत्व	b ə̃ AJ n̪ d̪ʱ ʊ AF t̪ w AB
बंबई	b ə̃ AJ m b ə AD iː AC
बंबा	b ə̃ AJ m b äː
बंबैया	b ə̃ AJ m b ə̯ AK i AD j AA äː
बकरा	b ə AD k ɾ äː
बकवास	b ə AD k w AB äː s̪
बक़ाया	b ə AD q äː j AA äː
बक्सा	b ə AD k s̪ äː
बख़रा	b ə AD x ɾ äː
बख़ील	b ə AD x iː AC l̪
बख़्शना	b ə AD x ʃ n̪ äː
बखान	b ə AD kʰ ä̃ː n̪
बगला	b ə AD ɡ l̪ äː
बग़दाद	b ə AD ɣ d̪ äː d̪
बग़ल	b ə AD ɣ ə AD l̪
बग़ावत	b ə AD ɣ äː ʋ AB ə AD t̪
बग़ीचा	b ə AD ɣ iː AC t ʃ äː
बगावत	b ə AD ɣ äː ʋ AB ə AD t̪
बगीचा	b ə AD ɣ iː AC t ʃ äː
बघारना	b ə AD ɡʱ äː ɾ n̪ äː
बचना	b ə AD t ʃ n̪ äː
बचपन	b ə AD t ʃ p ə̃ AJ n̪
बचपना	b ə AD t ʃ p ə AD n̪ äː
बचाना	b ə AD t ʃ äː n̪ äː
बचाव	b ə AD t ʃ äː ʋ AB
बच्चन	b ə AD t̚ t ʃ ə̃ AJ n̪
बच्चा	b ə AD t̚ t ʃ äː
बछड़ा	b ə AD t ʃʰ ɽ äː
बजना	b ə AD d ʒ n̪ äː
बजरंगबली	b ə AD d ʒ ɾ ə̃ AJ ŋ ɡ ə AD b l̪ iː AC
बजाय	b ə AD d ʒ äː j AA
बटाटा	b ə AD ʈ äː ʈ äː
बटाना	b ə AD ʈ äː n̪ äː
बटालियन	b ə AD ʈ äː l̪ i AD j AA ə̃ AJ n̪
बटोरना	b ə AD ʈ oː AE ɾ n̪ äː
बड़बड़ाना	b ə AD ɽ b ə AD ɽ äː n̪ äː
बड़ा	b ə AD ɽ äː
बडा	b ə AD ɽ äː
बढ़ना	b ə AD ɽʱ n̪ äː
बढ़ाना	b ə AD ɽʱ äː n̪ äː
बढ़ावा	b ə AD ɽʱ äː ʋ AB äː
बढ़िया	b ə AD ɽʱ i AD j AA äː
बढ़ेला	b ə AD ɽʱ eː AC l̪ äː
बतलाना	b ə AD t̪ l̪ äː n̪ äː
बताना	b ə AD t̪ äː n̪ äː
बतियाना	b ə AD t̪ i AD j AA äː n̪ äː
बत्तख	b ə AD t̪̚ t̪ ə AD x
बत्तख़	b ə AD t̪̚ t̪ ə AD x
बत्ती	b ə AD t̪̚ t̪ iː AC
बत्तीस	b ə AD t̪̚ t̪ iː AC s̪
बदतमीज़	b ə AD d̪̚ t̪ ə AD m iː AC z
बदतर	b ə AD d̪̚ t̪ ə AD ɾ
बदतरीन	b ə AD d̪̚ t̪ ə AD ɾ ĩː n̪
बदन	b ə AD d̪ ə̃ AJ n̪
बदनाम	b ə AD d̪̚ n̪ ä̃ː m
बदमाश	b ə AD d̪ m äː ʃ
बदल	b ə AD d̪ ə AD l̪
बदलाव	b ə AD d̪ l̪ äː ʋ AB
बदौलत	b ə AD d̪ ɔː AE l̪ ə AD t̪
