က	k AC a̰ AL
မဲခေါင်မြစ်	m AF ɛ AL kʰ AD a AL ʊ AM ɴ AG m AF j AB ɪ AL ʔ AC
မဲဆန္ဒ	m AF ɛ AL sʰ BA a AL ɴ AG d AC a̰ AL
မဲဆန္ဒနယ်	m AF ɛ AL sʰ BA a AL ɴ AG d AC a̰ AL n AG ɛ AL
မဲဆန္ဒရှင်	m AF ɛ AL sʰ BA a AL ɴ AG d AC a̰ AL ʃ AJ ɪ AL ɴ AG
မဲဆောက်	m AF ɛ AL sʰ BA a AL ʊ AM ʔ AC
မဲဇလီ	m AF ɛ AL z AJ ə AL l AE i AL
မဲပေး	m AF ɛ AL p AH e AL
မံ	m AF a AL ɴ AG
မံသ	m AF a AL ɴ AG θ AJ a̰ AL
မျက်ခုံး	m AF j AB ɛ AL ʔ AC kʰ AD o AM ʊ AM ɴ AG
မျက်ခွံ	m AF j AB ɛ AL ʔ AC kʰ AD ʊ AM ɴ AG
မျက်စိ	m AF j AB ɛ AL ʔ AC s AJ ḭ
မျက်တောင်	m AF j AB ɛ AL ʔ AC t AC a AL ʊ AM ɴ AG
မျက်နှာ	m AF j AB ɛ AL ʔ AC n̥ AG a AL
မျက်နှာကြက်	m AF j AB ɛ AL ʔ AC n̥ AG a AL d AC ʑ AJ ɛ AL ʔ AC
မျက်နှာဖုံး	m AF j AB ɛ AL ʔ AC n̥ AG ə AL pʰ AI o AM ʊ AM ɴ AG
မျက်နှာသုတ်ပဝါ	m AF j AB ɛ AL ʔ AC n̥ AG a AL θ AJ o AM ʊ AM ʔ AC p AH a̰ AL w AK a AL
မျက်ပါး	m AF j AB ɛ AL ʔ AC p AH a AL
မျက်မှန်	m AF j AB ɛ AL ʔ AC m̥ AF a AL ɴ AG
မျက်ရည်	m AF j AB ɛ AL ʔ AC j AB e AL
မျက်လုံး	m AF j AB ɛ AL ʔ AC l AE o AM ʊ AM ɴ AG
မျက်လွှာ	m AF j AB ɛ AL ʔ AC l̥ AE w AK a AL
မျက်လှည့်	m AF j AB ɛ AL ʔ AC l̥ AE ɛ̰ AL
မျည်းတံ	m AF j AB i AL d AC a AL ɴ AG
များ	m AF j AB a AL
များများ	m AF j AB a AL m AF j AB a AL
မျို	m AF j AB o AM
မျိုး	m AF j AB o AM
မျိုးချစ်စိတ်	m AF j AB o AM t AC ɕʰ BA ɪ AL ʔ AC s AJ e AL ɪ AL ʔ AC
မျိုးစိတ်	m AF j AB o AM z AJ e AL ɪ AL ʔ AC
မျိုးစု	m AF j AB o AM z AJ ṵ
မျိုးဆက်	m AF j AB o AM z AJ ɛ AL ʔ AC
မျိုးဥအိမ်	m AF j AB o AM ʔ AC ṵ ʔ AC e AL ɪ AL ɴ AG
မျော	m AF j AB ɔ AM
မျောက်	m AF j AB a AL ʊ AM ʔ AC
မျောက်ချော	m AF j AB a AL ʊ AM ʔ AC t AC ɕʰ BA ɔ AM
မျောက်လုတ်	m AF j AB a AL ʊ AM ʔ AC l AE o AM ʊ AM ʔ AC
မျောက်လောင်း	m AF j AB a AL ʊ AM ʔ AC l AE a AL ʊ AM ɴ AG
မျှင်	m̥ AF j AB ɪ AL ɴ AG
မျှစ်	m̥ AF j AB ɪ AL ʔ AC
မျှို့	m̥ AF j AB o̰ AM
မျှော်	m̥ AF j AB ɔ AM
မျှော်လင့်	m̥ AF j AB ɔ AM l AE ɪ̰ AL ɴ AG
မျှော်လင့်ချက်	m̥ AF j AB ɔ AM l AE ɪ̰ AL ɴ AG d AC ʑ AJ ɛ AL ʔ AC
မြ	m AF j AB a̰ AL
မြက်	m AF j AB ɛ AL ʔ AC
မြက်ခင်း	m AF j AB ɛ AL ʔ AC kʰ AD ɪ AL ɴ AG
မြက်ခုတ်ဓား	m AF j AB ɛ AL ʔ AC kʰ AD o AM ʊ AM ʔ AC d AC a AL
မြက်ခြောက်	m AF j AB ɛ AL ʔ AC t AC ɕʰ BA a AL ʊ AM ʔ AC
မြင့်	m AF j AB ɪ̰ AL ɴ AG
မြင်	m AF j AB ɪ AL ɴ AG
မြင်း	m AF j AB ɪ AL ɴ AG
မြင်းကလေး	m AF j AB ɪ AL ɴ AG ɡ AC ə AL l AE e AL
မြင်းကျား	m AF j AB ɪ AL ɴ AG d AC ʑ AJ a AL
မြင်းခြံ	m AF j AB ɪ AL ɴ AG d AC ʑ AJ a AL ɴ AG
မြင်းခွာ	m AF j AB ɪ AL ɴ AG kʰ AD w AK a AL
မြင်းခွာရွက်သုပ်	m AF j AB ɪ AL ɴ AG kʰ AD w AK a AL j AB w AK ɛ AL ʔ AC θ AJ o AM ʊ AM ʔ AC
မြင်းစားဂျုံ	m AF j AB ɪ AL ɴ AG z AJ a AL d AC ʑ AJ o AM ʊ AM ɴ AG
မြင်းဆေး	m AF j AB ɪ AL ɴ AG z AJ e AL
မြင်းမ	m AF j AB ɪ AL ɴ AG m AF a̰ AL
မြင်းမကလေး	m AF j AB ɪ AL ɴ AG m AF a̰ AL ɡ AC ə AL l AE e AL
မြင်းမိုရ်	m AF j AB ɪ AL ɴ AG m AF o AM
မြင်းမိုရ်တောင်	m AF j AB ɪ AL ɴ AG m AF o AM t AC a AL ʊ AM ɴ AG
မြင်းလှည်း	m AF j AB ɪ AL ɴ AG l̥ AE ɛ AL
မြင်းသံခွာ	m AF j AB ɪ AL ɴ AG θ AJ a AL ɴ AG kʰ AD w AK a AL
မြစ်	m AF j AB ɪ AL ʔ AC
မြစ်ကြီးနား	m AF j AB ɪ AL ʔ AC t AC ɕ AJ i AL n AG a AL
မြည်း	m AF j AB i AL
မြတ်လေး	m AF j AB a AL ʔ AC l AE e AL
မြန်	m AF j AB a AL ɴ AG
မြန်နှုန်းပြကိရိယာ	m AF j AB a AL ɴ AG n̥ AG o AM ʊ AM ɴ AG p AH j AB a̰ AL k AC ḭ j AB ḭ j AB a AL
မြန်မာ	m AF j AB a AL ɴ AG m AF a AL
မြန်မာ့	m AF j AB a AL ɴ AG m AF a̰ AL
မြန်မြန်	m AF j AB a AL ɴ AG m AF j AB a AL ɴ AG
မြမ္မာ	m AF j AB a AL ɴ AG m AF a AL
မြဝတီ	m AF j AB a̰ AL w AK ə AL d AC i AL
မြား	m̥ AF j AB a AL
မြိတ်	b AH e AL ɪ AL ʔ AC
မြို့	m AF j AB o̰ AM
မြို့စား	m AF j AB o̰ AM z AJ a AL
မြို့တော်	m AF j AB o̰ AM d AC ɔ AM
မြို့တော်ဝန်	m AF j AB o̰ AM d AC ɔ AM w AK ʊ AM ɴ AG
မြို့နယ်	m AF j AB o̰ AM n AG ɛ AL
မြို့ပြနိုင်ငံ	m AF j AB o̰ AM p AH j AB a̰ AL n AG a AL ɪ AL ɴ AG ŋ AG a AL ɴ AG
မြို့ဝန်	m AF j AB o̰ AM w AK ʊ AM ɴ AG
မြီ	m AF j AB i AL
မြီးရှေ	m AF j AB i AL ʃ AJ e AL
မြုံ	m AF j AB o AM ʊ AM ɴ AG
မြူ	m AF j AB u AM
မြူစွမ်	m AF j AB u AM s AJ w AK a AL ɴ AG
မြေ	m AF j AB e AL
မြေကွက်	m AF j AB e AL ɡ AC w AK ɛ AL ʔ AC
မြေခွေး	m AF j AB e AL ɡ AC w AK e AL
မြေစာ	m AF j AB e AL z AJ a AL
မြေနင်းခွာစိုက်	m AF j AB e AL n AG ɪ AL ɴ AG kʰ AD w AK a AL z AJ a AL ɪ AL ʔ AC
မြေနုကျွန်းပေါ်	m AF j AB e AL n AG ṵ t AC ɕ AJ ʊ AM ɴ AG b AH ɔ AM
မြေပုံ	m AF j AB e AL b AH o AM ʊ AM ɴ AG
မြေပုံသီး	m AF j AB e AL b AH o AM ʊ AM ɴ AG ð AJ i AL
မြေပဲ	m AF j AB e AL b AH ɛ AL
မြေပြင်	m AF j AB e AL b AH j AB ɪ AL ɴ AG
မြေပြန့်	m AF j AB e AL b AH j AB a̰ AL ɴ AG
မြေဖြူခဲ	m AF j AB e AL b AH j AB u AM ɡ AC ɛ AL
မြေရိုင်း	m AF j AB e AL j AB a AL ɪ AL ɴ AG
မြေရှင်	m AF j AB e AL ʃ AJ ɪ AL ɴ AG
မြေအောက်	m AF j AB e AL ʔ AC a AL ʊ AM ʔ AC
မြေအောက်မီးရထား	m AF j AB e AL ʔ AC a AL ʊ AM ʔ AC m AF i AL j AB ə AL tʰ AD a AL
မြေဩဇာ	m AF j AB e AL ʔ AC ɔ AM z AJ a AL
မြောက်	m AF j AB a AL ʊ AM ʔ AC
မြောက်ကိုရီးယား	m AF j AB a AL ʊ AM ʔ AC k AC o AM ɹ AB i AL j AB a AL
မြောင်း	m AF j AB a AL ʊ AM ɴ AG
မြေး	m AF j AB e AL
မြေးမ	m AF j AB e AL m AF a̰ AL
မြံမာ	m AF j AB a AL ɴ AG m AF a AL
မြွက်	m AF j AB w AK ɛ AL ʔ AC
မြွေ	m AF w AK e AL
မြွေပါ	m AF w AK e AL b AH a AL
မြွေဟောက်	m AF j AB w AK e AL h AA a AL ʊ AM ʔ AC
မြှား	m̥ AF j AB a AL
မြှောက်	m̥ AF j AB a AL ʊ AM ʔ AC
မြှောက်ရကိန်း	m̥ AF j AB a AL ʊ AM ʔ AC j AB a̰ AL k AC e AL ɪ AL ɴ AG
မွတ်	m AF ʊ AM ʔ AC
မွတ်စလင်	m AF ʊ AM ʔ AC s AJ ə AL l AE ɪ AL ɴ AG
မွန်	m AF ʊ AM ɴ AG
မွန်ဂိုးလီးယား	m AF ʊ AM ɴ AG ɡ AC o AM l AE i AL j AB a AL
မွန်တီနီဂရိုး	m AF ʊ AM ɴ AG t AC i AL n AG i AL ɡ AC ə AL ɹ AB o AM
မွာချီး	m AF w AK a AL t AC ɕʰ BA i AL
မွေး	m AF w AK e AL
မွေးနေ့	m AF w AK e AL n AG ḛ
မွေးနေ့မင်္ဂလာပါ	m AF w AK e AL n AG ḛ m AF ɪ AL ɴ AG ɡ AC ə AL l AE a AL b AH a AL
မွဲ	m AF w AK ɛ AL
မွှား	m̥ AF w AK a AL
မွှေး	m̥ AF w AK e AL
မှ	m̥ AF a̰ AL
မှတ်ကျောက်	m̥ AF a AL ʔ AC t AC ɕ AJ a AL ʊ AM ʔ AC
မှတ်စု	m̥ AF a AL ʔ AC s AJ ṵ
မှတ်စုစာအုပ်	m̥ AF a AL ʔ AC s AJ ṵ s AJ a AL ʔ AC o AM ʊ AM ʔ AC
မှတ်ဉာဏ်	m̥ AF a AL ʔ AC ɲ AG a AL n AG
မှတ်တိုင်	m̥ AF a AL ʔ AC t AC a AL ɪ AL ɴ AG
မှတ်မိ	m̥ AF a AL ʔ AC m AF ḭ
မှန်	m̥ AF a AL ɴ AG
မှန်စာ	m̥ AF a AL ɴ AG z AJ a AL
မှန်စီရွှေချ	m̥ AF a AL ɴ AG z AJ i AL ʃ AJ w AK e AL t AC ɕʰ BA a̰ AL
မှန်တော့	m̥ AF a AL ɴ AG d AC ɔ̰ AM
မှန်ပါ့ဘုရား	m̥ AF a AL ɴ AG b AH a̰ AL pʰ AI ə AL j AB a AL
မှန်ပြောင်း	m̥ AF a AL ɴ AG b AH j AB a AL ʊ AM ɴ AG
မှန်ဖြူ	m̥ AF a AL ɴ AG b AH j AB u AM
မှန်ဘီလူး	m̥ AF a AL ɴ AG b AH ə AL l AE u AM
မှန်မှန်	m̥ AF a AL ɴ AG m̥ AF a AL ɴ AG
မှန်လာ	m̥ AF a AL ɴ AG l AE a AL
မှာ	m̥ AF a AL
မှား	m̥ AF a AL
မှို	m̥ AF o AM
မှု	m̥ AF ṵ
မှုတ်	m̥ AF o AM ʊ AM ʔ AC
မှုန့်	m̥ AF o̰ AM ʊ AM ɴ AG
မှုန်	m̥ AF o AM ʊ AM ɴ AG
မှဲ့	m̥ AF ɛ̰ AL
ယက်	j AB ɛ AL ʔ AC
ယခု	j AB ə AL kʰ AD ṵ
ယင်	j AB ɪ AL ɴ AG
ယင်ကောင်	j AB ɪ AL ɴ AG ɡ AC a AL ʊ AM ɴ AG
ယင်းမာ	j AB ɪ AL ɴ AG m AF a AL
ယစ်ထုတ်	j AB ɪ AL ʔ AC tʰ AD o AM ʊ AM ʔ AC
ယဉ်	j AB ɪ AL ɴ AG
ယဉ်ကျေးမှု	j AB ɪ AL ɴ AG t AC ɕ AJ e AL m̥ AF ṵ
ယတြာ	j AB ə AL d AC ə AL j AB a AL
ယနေ့	j AB a̰ AL n AG ḛ
ယန္တရား	j AB a AL ɴ AG d AC ə AL j AB a AL
ယပက်လက်	j AB a̰ AL p AH ɛ AL ʔ AC l AE ɛ AL ʔ AC
ယပင့်	j AB a̰ AL p AH ɪ̰ AL ɴ AG
ယပ်	j AB a AL ʔ AC
ယမက	j AB ə AL m AF ə AL k AC a̰ AL
ယမင်း	j AB ə AL m AF ɪ AL ɴ AG
ယမနေ	j AB ə AL m AF ə AL n AG e AL
ယမန်နှစ်	j AB ə AL m AF a AL ɴ AG n̥ AG ɪ AL ʔ AC
ယမမင်း	j AB ə AL m AF a̰ AL m AF ɪ AL ɴ AG
ယမုန်နာ	j AB ə AL m AF o AM ʊ AM ɴ AG n AG a AL
ယမ်း	j AB a AL ɴ AG
ယမ်းတောင့်	j AB a AL ɴ AG d AC a̰ AL ʊ AM ɴ AG
ယမ်းမှုန့်	j AB a AL ɴ AG m̥ AF o̰ AM ʊ AM ɴ AG
ယဝဒီပ	j AB a̰ AL w AK a̰ AL d AC i AL p AH a̰ AL
ယသောဓရာ	j AB a̰ AL θ AJ ɔ AM d AC ə AL j AB a AL
ယာဉ်	j AB ɪ AL ɴ AG
ယာဉ်မောင်း	j AB ɪ AL ɴ AG m AF a AL ʊ AM ɴ AG
ယာဉ်ရပ်	j AB ɪ AL ɴ AG j AB a AL ʔ AC
ယာဘ	j AB a AL b AH a̰ AL
ယာမာ	j AB a AL m AF a AL
ယာယီ	j AB a AL j AB i AL
ယို	j AB o AM
ယိုးဒယား	j AB o AM d AC ə AL j AB a AL
ယီမင်	j AB i AL m AF ɪ AL ɴ AG
ယုဂ်	j AB o AM ʊ AM ʔ AC
ယုဇန	j AB ṵ z AJ a̰ AL n AG a̰ AL
ယုတ္တိ	j AB o AM ʊ AM ʔ AC t AC ḭ
ယုတ္တိဗေဒ	j AB o AM ʊ AM ʔ AC t AC ḭ b AH e AL d AC a̰ AL
ယုန်	j AB o AM ʊ AM ɴ AG
ယုံ	j AB o AM ʊ AM ɴ AG
ယုံကြည်	j AB o AM ʊ AM ɴ AG t AC ɕ AJ i AL
ယူ	j AB u AM
ယူကရိန်း	j AB u AM k AC ə AL ɹ AB e AL ɪ AL ɴ AG
ယူဂန်းဒါး	j AB u AM ɡ AC a AL ɴ AG d AC a AL
ယူနိုက်တက်ကင်းဒမ်း	j AB u AM n AG a AL ɪ AL ʔ AC t AC ɛ AL ʔ AC k AC ɪ AL ɴ AG d AC a AL ɴ AG
ယူနီယန်	j AB u AM n AG i AL j AB a AL ɴ AG
ယူရို	j AB u AM ɹ AB o AM
ယူရေးရှား	j AB u AM ɹ AB e AL ʃ AJ a AL
ယေရှု	j AB e AL ʃ AJ ṵ
ယောက္ခထီး	j AB a AL ʊ AM ʔ AC kʰ AD ə AL tʰ AD i AL
ယောက္ခမ	j AB a AL ʊ AM ʔ AC kʰ AD ə AL m AF a̰ AL
ယောက်	j AB a AL ʊ AM ʔ AC
ယောက်ဖ	j AB a AL ʊ AM ʔ AC pʰ AI a̰ AL
ယောက်မ	j AB a AL ʊ AM ɴ AG m AF a̰ AL
ယောက်ျား	j AB a AL ʊ AM ʔ AC t AC ɕ AJ a AL
ယောက်ျားလျာ	j AB a AL ʊ AM ʔ AC k AC ə AL ʃ AJ a AL
ယောဂ	j AB ɔ AM ɡ AC a̰ AL
ယောဇနာ	j AB ɔ AM z AJ ə AL n AG a AL
ယောနိ	j AB ɔ AM n AG ḭ
ယဲ့ယဲ့	j AB ɛ̰ AL j AB ɛ̰ AL
ယွန်း	j AB ʊ AM ɴ AG
ယွန်းထည်	j AB ʊ AM ɴ AG tʰ AD ɛ AL
ယွန်းယွန်း	j AB ʊ AM ɴ AG j AB ʊ AM ɴ AG
ယှဉ်ဖက်	ʃ AJ ɪ AL ɴ AG pʰ AI ɛ AL ʔ AC
ယှဉ်း	ʃ AJ ɪ AL ɴ AG
ရ	ɹ AB a̰ AL
ရကောက်	j AB a̰ AL k AC a AL ʊ AM ʔ AC
ရက်	j AB ɛ AL ʔ AC
ရက်ကန်း	j AB ɛ AL ʔ AC k AC a AL ɴ AG
ရက်ကန်းစင်	j AB ɛ AL ʔ AC k AC a AL ɴ AG z AJ ɪ AL ɴ AG
ရက်စွဲ	j AB ɛ AL ʔ AC s AJ w AK ɛ AL
ရက်ရာဇာ	j AB ɛ AL ʔ AC j AB a AL z AJ a AL
ရက်သတ္တပတ်	j AB ɛ AL ʔ AC θ AJ a AL ʔ AC d AC ə AL b AH a AL ʔ AC
ရခိုင်	j AB ə AL kʰ AD a AL ɪ AL ɴ AG
ရင်	j AB ɪ AL ɴ AG
ရင်ခံ	j AB ɪ AL ɴ AG kʰ AD a AL ɴ AG
ရင်ထိုးတံဆိပ်	j AB ɪ AL ɴ AG d AC o AM d AC ə AL z AJ e AL ɪ AL ʔ AC
ရင်ပတ်	j AB ɪ AL ɴ AG b AH a AL ʔ AC
ရင်ပြင်	j AB ɪ AL ɴ AG b AH j AB ɪ AL ɴ AG
ရင်ဘတ်	j AB ɪ AL ɴ AG b AH a AL ʔ AC
ရင်းရဲ	j AB ɪ AL ɴ AG j AB ɛ AL
ရည်	j AB i AL
ရည်းစား	j AB i AL z AJ a AL
ရတနာ	j AB ɛ AL d AC ə AL n AG a AL
ရတနာပုံ	j AB ɛ AL d AC ə AL n AG a AL b AH o AM ʊ AM ɴ AG
ရတနာပူရ	j AB ɛ AL d AC ə AL n AG a AL p AH u AM ɹ AB a̰ AL
ရတနာသိင်္ဃ	j AB ə AL d AC ə AL n AG a AL θ AJ e AL ɪ AL ɴ AG ɡ AC a̰ AL
ရတနာသုံးပါး	j AB ɛ AL d AC ə AL n AG a AL θ AJ o AM ʊ AM ɴ AG b AH a AL
ရတီ	j AB ə AL t AC i AL
ရတု	j AB a̰ AL t AC ṵ
ရထား	j AB ə AL tʰ AD a AL
ရနံ့	j AB ə AL n AG a̰ AL ɴ AG
ရန်	j AB a AL ɴ AG
ရန်ကုန်	j AB a AL ɴ AG ɡ AC o AM ʊ AM ɴ AG
ရန်ပြု	j AB a AL ɴ AG p AH j AB ṵ
ရန်ဖြစ်	j AB a AL ɴ AG pʰ AI j AB ɪ AL ʔ AC
ရန်သူ	j AB a AL ɴ AG ð AJ u AM
ရန်သူမျိုးငါးပါး	j AB a AL ɴ AG ð AJ u AM m AF j AB o AM ŋ AG a AL b AH a AL
ရပါတယ်	j AB a̰ AL b AH a AL d AC ɛ AL
ရပ်	j AB a AL ʔ AC
ရပ်ကွက်	j AB a AL ʔ AC k AC w AK ɛ AL ʔ AC
ရမ္မက်	j AB ə AL m AF ɛ AL ʔ AC
ရမ်	ɹ AB a AL ɴ AG
ရမ်းရမ်း	j AB a AL ɴ AG j AB a AL ɴ AG
ရယ်	j AB i AL
ရရစ်	j AB a̰ AL j AB ɪ AL ʔ AC
ရဝမ်ဒါ	ɹ AB ə AL w AK a AL ɴ AG d AC a AL
ရဝိန်	j AB ə AL w AK e AL ɪ AL ɴ AG
ရဝေ	j AB ə AL w AK e AL
ရသ	j AB a̰ AL ð AJ a AL
ရဟတ်	j AB ə AL h AA a AL ʔ AC
ရဟန်း	j AB ə AL h AA a AL ɴ AG
ရာ	j AB a AL
ရာခိုင်နှုန်း	j AB a AL kʰ AD a AL ɪ AL ɴ AG n̥ AG o AM ʊ AM ɴ AG
ရာဂ	j AB a AL ɡ AC a̰ AL
ရာစု	j AB a AL z AJ ṵ
ရာစုနှစ်	j AB a AL z AJ ṵ n̥ AG ɪ AL ʔ AC
ရာဇ	j AB a AL z AJ a̰ AL
ရာဇဂုရု	j AB a AL z AJ a̰ AL ɡ AC ṵ ɹ AB ṵ
ရာဇဌာန်	ɹ AB a AL z AJ ə AL tʰ AD a AL n AG
ရာဇဝင်	j AB a AL z AJ ə AL w AK ɪ AL ɴ AG
ရာဇဝတ်	j AB a AL z AJ ə AL w AK ʊ AM ʔ AC
ရာဇဝတ်ကောင်	j AB a AL z AJ ə AL w AK ʊ AM ʔ AC k AC a AL ʊ AM ɴ AG
ရာဇသတ်	j AB a AL z AJ ə AL θ AJ a AL ʔ AC
ရာဇာ	j AB a AL z AJ a AL
ရာဇာဓိရာဇဂုရု	j AB a AL z AJ a̰ AL d AC ḭ j AB a AL z AJ a̰ AL ɡ AC ṵ ɹ AB ṵ
ရာဘ	j AB a AL b AH a̰ AL
ရာဘာ	j AB a AL b AH a AL
ရာမ	j AB a AL m AF a̰ AL
ရာမည	ɹ AB a AL m AF ə AL ɲ AG a̰ AL
ရာဝဏ	ɹ AB a AL w AK ə AL n AG a̰ AL
ရာသီ	j AB a AL ð AJ i AL
ရာသီဥတု	j AB a AL ð AJ i AL ʔ AC ṵ d AC ṵ
ရာဟုလာ	j AB a AL h AA ṵ l AE a AL
ရိက္ခါ	j AB e AL ɪ AL ʔ AC kʰ AD a AL
ရိက္ခာ	j AB e AL ɪ AL ʔ AC kʰ AD a AL
ရိတ်	j AB e AL ɪ AL ʔ AC
ရိတ်သိမ်း	j AB e AL ɪ AL ʔ AC θ AJ e AL ɪ AL ɴ AG
ရိပ်ရိပ်	j AB e AL ɪ AL ʔ AC j AB e AL ɪ AL ʔ AC
ရိုက်	j AB a AL ɪ AL ʔ AC
ရိုင်ဖယ်	ɹ AB a AL ɪ AL ɴ AG pʰ AI ɛ AL
ရိုင်ရိုင်	j AB a AL ɪ AL ɴ AG j AB a AL ɪ AL ɴ AG
ရိုဟင်ဂျာ	ɹ AB o AM h AA ɪ AL ɴ AG d AC ʑ AJ a AL
ရိုး	j AB o AM
ရိုးရာအမည်	j AB o AM j AB a AL ʔ AC ə AL m AF j AB i AL
ရိုးရိုး	j AB o AM j AB o AM
ရုက္ခစိုး	j AB o AM ʊ AM ʔ AC ɡ AC ə AL z AJ o AM
ရုက္ခဗေဒ	j AB o AM ʊ AM ʔ AC kʰ AD a̰ AL b AH e AL d AC a̰ AL
ရုပ်	j AB o AM ʊ AM ʔ AC
ရုပ်ကလာပ်	j AB o AM ʊ AM ʔ AC k AC ə AL l AE a AL ʔ AC
ရုပ်တု	j AB o AM ʊ AM ʔ AC t AC ṵ
ရုပ်ပုံ	j AB o AM ʊ AM ʔ AC p AH o AM ʊ AM ɴ AG
ရုပ်မြင်သံကြား	j AB o AM ʊ AM ʔ AC m AF j AB ɪ AL ɴ AG θ AJ a AL ɴ AG d AC ʑ AJ a AL
ရုပ်ရှင်	j AB o AM ʊ AM ʔ AC ʃ AJ ɪ AL ɴ AG
ရုပ်ရှင်ရုံ	j AB o AM ʊ AM ʔ AC ʃ AJ ɪ AL ɴ AG j AB o AM ʊ AM ɴ AG
ရုပ်သေး	j AB o AM ʊ AM ʔ AC θ AJ e AL
ရုပ်သေးအစိုးရ	j AB o AM ʊ AM ʔ AC θ AJ e AL ʔ AC ə AL s AJ o AM j AB a̰ AL
ရုရု	j AB ṵ j AB ṵ
ရုရှား	ɹ AB ṵ ʃ AJ a AL
ရုံ	j AB o AM ʊ AM ɴ AG
ရုံး	j AB o AM ʊ AM ɴ AG
ရုံးပတီ	j AB o AM ʊ AM ɴ AG b AH ə AL t AC i AL
ရူပ	j AB u AM p AH a̰ AL
ရူပကအလင်္ကာ	j AB u AM p AH ə AL k AC a̰ AL ʔ AC ə AL l AE i AL ɡ AC a AL
ရူပနက္ခတ္တဗေဒ	j AB u AM p AH a̰ AL n AG ɛ AL ʔ AC kʰ AD a AL ʔ AC t AC a̰ AL b AH e AL d AC a̰ AL
ရူပဗေဒ	j AB u AM p AH a̰ AL b AH e AL d AC a̰ AL
ရူမေးနီးယား	ɹ AB u AM m AF e AL n AG i AL j AB a AL
ရေ	j AB e AL
ရေကတော့	j AB e AL ɡ AC ə AL d AC ɔ̰ AM
ရေကာတာ	j AB e AL ɡ AC a AL d AC a AL
ရေကူး	j AB e AL k AC u AM
ရေကူးကန်	j AB e AL k AC u AM ɡ AC a AL ɴ AG
ရေကြီး	j AB e AL t AC ɕ AJ i AL
ရေကြီးခြင်း	j AB e AL t AC ɕ AJ i AL d AC ʑ AJ ɪ AL ɴ AG
ရေခဲ	j AB e AL ɡ AC ɛ AL
ရေခဲမုန့်	j AB e AL ɡ AC ɛ AL m AF o̰ AM ʊ AM ɴ AG
ရေခဲသေတ္တာ	j AB e AL ɡ AC ɛ AL θ AJ ɪ AL ʔ AC t AC a AL
ရေချိုး	j AB e AL t AC ɕʰ BA o AM
ရေခွက်	j AB e AL ɡ AC w AK ɛ AL ʔ AC
ရေငတ်တယ်	j AB e AL ŋ AG a AL ʔ AC t AC ɛ AL
ရေငွေ့	j AB e AL ŋ AG w AK ḛ
ရေစစ္စရီ	j AB e AL s AJ ɪ AL ʔ AC s AJ ə AL ɹ AB i AL
ရေညှိ	j AB e AL ɲ̊ AG ḭ
ရေတပ်	j AB e AL d AC a AL ʔ AC
ရေတံခွန်	j AB e AL d AC a AL ɡ AC ʊ AM ɴ AG
ရေတွက်	j AB e AL t AC w AK ɛ AL ʔ AC
ရေတွင်း	j AB e AL d AC w AK ɪ AL ɴ AG
ရေဒီယို	ɹ AB e AL d AC i AL j AB o AM
ရေနဂါး	j AB e AL n AG ə AL ɡ AC a AL
ရေနံ	j AB e AL n AG a AL ɴ AG
ရေနံချောင်း	j AB e AL n AG a AL ɴ AG t AC ɕʰ BA a AL ʊ AM ɴ AG
ရေနံဆီ	j AB e AL n AG a AL ɴ AG z AJ i AL
ရေပန်း	j AB e AL b AH a AL ɴ AG
ရေပိုက်	j AB e AL p AH a AL ɪ AL ʔ AC
ရေမိုင်	j AB e AL m AF a AL ɪ AL ɴ AG
ရေမြင်း	j AB e AL m AF j AB ɪ AL ɴ AG
ရေမွှေး	j AB e AL m̥ AF w AK e AL
ရေမှုတ်	j AB e AL m̥ AF o AM ʊ AM ʔ AC
ရေယုန်	j AB e AL j AB o AM ʊ AM ɴ AG
ရေလက်ဝါး	j AB e AL l AE ɛ AL ʔ AC w AK a AL
ရေလုပ်သား	j AB e AL l AE o AM ʊ AM ʔ AC θ AJ a AL
ရေဝတ	ɹ AB e AL w AK ə AL t AC a̰ AL
ရေဝတဘုရား	j AB e AL w AK ə AL t AC a̰ AL pʰ AI ə AL j AB a AL
ရေသူ	j AB e AL ð AJ u AM
ရေသူမ	j AB e AL ð AJ u AM m AF a̰ AL
ရောက်	j AB a AL ʊ AM ʔ AC
ရောဂန္တရကပ်	j AB ɔ AM ɡ AC a AL ɴ AG t AC ə AL ɹ AB a̰ AL k AC a AL ʔ AC
ရောဂါ	j AB ɔ AM ɡ AC a AL
ရောဂါဗေဒ	j AB ɔ AM ɡ AC a AL b AH e AL d AC a̰ AL
ရောင်	j AB a AL ʊ AM ɴ AG
ရောင်ခြည်	j AB a AL ʊ AM ɴ AG d AC ʑ AJ i AL
ရောင်း	j AB a AL ʊ AM ɴ AG
ရောမ	ɹ AB ɔ AM m AF a̰ AL
ရော်ဘာ	ɹ AB ɔ AM b AH a AL
ရေး	j AB e AL
ရေးချ	j AB e AL t AC ɕʰ BA a̰ AL
ရေးရေး	j AB e AL j AB e AL
ရဲ	j AB ɛ AL
ရဲစခန်း	j AB ɛ AL s AJ ə AL kʰ AD a AL ɴ AG
ရဲတိုက်	j AB ɛ AL d AC a AL ɪ AL ʔ AC
ရဲဘော်	j AB ɛ AL b AH ɔ AM
ရဲရင့်	j AB ɛ AL j AB ɪ̰ AL ɴ AG
