ँ	ə̃ AN
दुर्भावनापूर्ण	d̪ AB ʊ AK ɾ BA bʱ AH äː ʋ AI n̪ AF äː p AG uː AK ɾ BA ɳ AF
दुर्मना	d̪ AB ʊ AK ɾ BA m AE ə AJ n̪ AF äː
दुर्व्यवहार	d̪ AB ʊ AK ɾ BA ʋ AI j AA ə AJ ʋ AI ɦ AL äː ɾ BA
दुश्मन	d̪ AB ʊ AK ʃ AB m AE ə̃ AN n̪ AF
दुश्वार	d̪ AB ʊ AK ʃ AB ʋ AI äː ɾ BA
दुष्चक्र	d̪ AB ʊ AK ʃ AB t AB ʃ AB ə AJ k AB ɾ BA
दुष्परिणाम	d̪ AB ʊ AK ʃ AB p AG ə AJ ɾ BA ɪ AJ ɳ AF ä̃ː m AE
दुस्साहस	d̪ AB ʊ AK s̪ AB s̪ AB äː ɦ AL ə AJ s̪ AB
दुहाई	d̪ AB ʊ AK ɦ AL äː iː AJ
दूँगा	d̪ AB ũː ŋ AF ɡ AB äː
दूकान	d̪ AB uː AK k AB ä̃ː n̪ AF
दूतावास	d̪ AB uː AK t̪ AB äː ʋ AI äː s̪ AB
दूधमुँहा	d̪ AB uː AK d̪ʱ AC m AE ʊ̃ AM ɦ AL äː
दूधिया	d̪ AB uː AK d̪ʱ AC i AJ j AA äː
दूना	d̪ AB uː AK n̪ AF äː
दूरदर्शन	d̪ AB uː AK ɾ BA d̪ AB ə AJ ɾ BA ʃ AB ə̃ AN n̪ AF
दूरदर्शिता	d̪ AB uː AK ɾ BA d̪ AB ə AJ ɾ BA ʃ AB ɪ AJ t̪ AB äː
दूरबीन	d̪ AB uː AK ɾ BA b AG ĩː n̪ AF
दूरभाष	d̪ AB uː AK ɾ BA bʱ AH äː ʃ AB
दूरलेख	d̪ AB uː AK ɾ BA l̪ AD eː AJ kʰ AC
दूरीकरण	d̪ AB uː AK ɾ BA iː AJ k AB ə AJ ɾ BA ə̃ AN ɳ AF
दूल्हा	d̪ AB uː AK l̪ AD ɦ AL äː
दूसरा	d̪ AB uː AK s̪ AB ɾ BA äː
दूसरे	d̪ AB uː AK s̪ AB ɾ BA eː AJ
दृढ़तापूर्वक	d̪ AB ɾ BA ɪ AJ ɽʱ BB t̪ AB äː p AG uː AK ɾ BA ʋ AI ə AJ k AB
दृढ़संकल्प	d̪ AB ɾ BA ɪ AJ ɽʱ BB s̪ AB ə̃ AN ŋ AF k AB ə AJ l̪ AD p AG
दृष्टि	d̪ AB ɾ BA ɪ AJ ʃ AB ʈ AB iː AJ
दृष्टिपटल	d̪ AB ɾ BA ɪ AJ ʃ AB ʈ AB ɪ AJ p AG ʈ AB ə AJ l̪ AD
देखना	d̪ AB eː AJ kʰ AC n̪ AF äː
देखने	d̪ AB eː AJ kʰ AC n̪ AF eː AJ
देखनेवाला	d̪ AB eː AJ kʰ AC n̪ AF eː AJ ʋ AI äː l̪ AD äː
देखभाल	d̪ AB eː AJ kʰ AC bʱ AH äː l̪ AD
देखादेखी	d̪ AB eː AJ kʰ AC äː d̪ AB eː AJ kʰ AC iː AJ
देन	d̪ AB ẽː n̪ AF
देना	d̪ AB eː AJ n̪ AF äː
देने	d̪ AB eː AJ n̪ AF eː AJ
देवता	d̪ AB eː AJ ʋ AI t̪ AB äː
देवदार	d̪ AB eː AJ ʋ AI d̪ AB äː ɾ BA
देवनागरी	d̪ AB eː AJ ʋ AI n̪ AF äː ɡ AB ɾ BA iː AJ
देवभाषा	d̪ AB eː AJ ʋ AI bʱ AH äː ʃ AB äː
देवल	d̪ AB eː AJ ʋ AI ə AJ l̪ AD
देशव्यापी	d̪ AB eː AJ ʃ AB ə AJ ʋ AI j AA äː p AG iː AJ
देसी	d̪ AB eː AJ s̪ AB iː AJ
देहकान	d̪ AB eː AJ ɦ AL k AB ä̃ː n̪ AF
देहरा	d̪ AB eː AJ ɦ AL ɾ BA äː
देहरादून	d̪ AB eː AJ ɦ AL ɾ BA äː d̪ AB ũː n̪ AF
देहली	d̪ AB eː AJ ɦ AL l̪ AD iː AJ
देहांत	d̪ AB eː AJ ɦ AL ä̃ː n̪ AF t̪ AB
देहात	d̪ AB eː AJ ɦ AL äː t̪ AB
देहाती	d̪ AB eː AJ ɦ AL äː t̪ AB iː AJ
दैत्य	d̪ AB ɛː AJ t̪ AB j AA aː AJ
दैनिक	d̪ AB ɛː AJ n̪ AF ɪ AJ k AB
दोआब	d̪ AB oː AK äː b AG
दोगुना	d̪ AB oː AK ɡ AB ʊ AK n̪ AF äː
दोपहर	d̪ AB oː AK p AG ɛ AJ ɦ AL ɛ AJ ɾ BA
दोष	d̪ AB oː AK ʃ AB
दोषपूर्ण	d̪ AB oː AK ʃ AB p AG uː AK ɾ BA ɳ AF
दोषमुक्ति	d̪ AB oː AK ʃ AB m AE ʊ AK k AB t̪ AB iː AJ
दोषी	d̪ AB oː AK ʃ AB iː AJ
दोस्त	d̪ AB oː AK s̪ AB t̪ AB
दोहरना	d̪ AB oː AK ɦ AL ə AJ ɾ BA n̪ AF äː
दोहा	d̪ AB oː AK ɦ AL äː
दौड़ाई	d̪ AB ɔː AK ɽ BA äː iː AJ
दौड़ाना	d̪ AB ɔː AK ɽ BA äː n̪ AF äː
दौरा	d̪ AB ɔː AK ɾ BA äː
दौरान	d̪ AB ɔː AK ɾ BA ä̃ː n̪ AF
दौलतमंद	d̪ AB ɔː AK l̪ AD ə AJ t̪ AB m AE ə̃ AN n̪ AF d̪ AB
द्रव्यमान	d̪ AB ɾ BA ə AJ ʋ AI j AA ə AJ m AE ä̃ː n̪ AF
द्रष्टव्य	d̪ AB ɾ BA ə AJ ʃ AB ʈ AB ə AJ ʋ AI j AA
द्राक्षिरा	d̪ AB ɾ BA äː k AB ʃ AB ɪ AJ ɾ BA äː
द्रुतगामी	d̪ AB ɾ BA ʊ AK t̪ AB ɡ AB äː m AE iː AJ
द्वंद्व	d̪ AB w AI ə̃ AN n̪ AF d̪ AB w AI ə AJ
द्वार	d̪ AB w AI äː ɾ BA
द्वारा	d̪ AB w AI äː ɾ BA äː
द्विध्रुव	d̪ AB w AI ɪ AJ d̪ʱ AC ɾ BA ʊ AK ʋ AI
द्विपक्षीय	d̪ AB w AI ɪ AJ p AG ə AJ k AB ʃ AB iː AJ j AA
द्विर	d̪ AB w AI ɪ AJ ɾ BA
द्विरेफ	d̪ AB w AI ɪ AJ ɾ BA eː AJ pʰ AH
धँसना	d̪ʱ AC ə̃ AN s̪ AB n̪ AF äː
धंधा	d̪ʱ AC ə̃ AN n̪ AF d̪ʱ AC äː
धकेलना	d̪ʱ AC ə AJ k AB eː AJ l̪ AD n̪ AF äː
धज्जी	d̪ʱ AC ə AJ d̚ d AB ʒ AB iː AJ
धड़कन	d̪ʱ AC ə AJ ɽ BA k AB ə̃ AN n̪ AF
धड़ल्ला	d̪ʱ AC ə AJ ɽ BA ə AJ l̪ AD l̪ AD äː
धन	d̪ʱ AC ə̃ AN n̪ AF
धनगढी	d̪ʱ AC ə AJ n̪ AF ə AJ ɡ AB ɖʱ AC iː AJ
धनतेरस	d̪ʱ AC ə̃ AN n̪ AF t̪ AB eː AJ ɾ BA ə AJ s̪ AB
धनबाद	d̪ʱ AC ə̃ AN n̪ AF b AG äː d̪ AB
धनराशि	d̪ʱ AC ə̃ AN n̪ AF ɾ BA äː ʃ AB iː AJ
धनवान	d̪ʱ AC ə̃ AN n̪ AF w AI ä̃ː n̪ AF
धनाग्र	d̪ʱ AC ə AJ n̪ AF äː ɡ AB ɾ BA
धनाढ्य	d̪ʱ AC ə AJ n̪ AF äː ɖʱ AC j AA
धनादेश	d̪ʱ AC ə AJ n̪ AF äː d̪ AB eː AJ ʃ AB
धनायन	d̪ʱ AC ə AJ n̪ AF äː j AA ə̃ AN n̪ AF
धनिया	d̪ʱ AC ə AJ n̪ AF i AJ j AA äː
धनी	d̪ʱ AC ə AJ n̪ AF iː AJ
धनुर्विद्या	d̪ʱ AC ə AJ n̪ AF ʊ AK ɾ BA ʋ AI ɪ AJ d̪ AB j AA äː
धन्य	d̪ʱ AC ə̃ AN n̪ AF j AA
धन्यवाद	d̪ʱ AC ə̃ AN n̪ AF j AA ə AJ ʋ AI äː d̪ AB
धब्बा	d̪ʱ AC ə AJ b̚ b AG äː
धमकाना	d̪ʱ AC ə̃ AN m AE k AB äː n̪ AF äː
धमकी	d̪ʱ AC ə̃ AN m AE k AB iː AJ
धमनी	d̪ʱ AC ə̃ AN m AE n̪ AF iː AJ
धमाका	d̪ʱ AC ə AJ m AE äː k AB äː
धरना	d̪ʱ AC ə AJ ɾ BA n̪ AF äː
धरातल	d̪ʱ AC ə AJ ɾ BA äː t̪ AB ə AJ l̪ AD
धरान	d̪ʱ AC ə AJ ɾ BA ä̃ː n̪ AF
धर्मनिरपेक्ष	d̪ʱ AC ə AJ ɾ BA m AE n̪ AF ɪ AJ ɾ BA p AG eː AJ k AB ʃ AB
धर्मनिरपेक्षता	d̪ʱ AC ə AJ ɾ BA m AE n̪ AF ɪ AJ ɾ BA p AG eː AJ k AB ʃ AB t̪ AB äː
धर्मपरायण	d̪ʱ AC ə AJ ɾ BA m AE p AG ə AJ ɾ BA äː j AA ə̃ AN ɳ AF
धर्मशाला	d̪ʱ AC ə AJ ɾ BA m AE ʃ AB äː l̪ AD äː
धर्मशास्त्र	d̪ʱ AC ə AJ ɾ BA m AE ə AJ ʃ AB äː s̪ AB t̪ AB ɾ BA
धर्मस्थल	d̪ʱ AC ə AJ ɾ BA m AE s̪ AB t̪ʰ AC ə AJ l̪ AD
धर्मस्थलो	d̪ʱ AC ə AJ ɾ BA m AE ə AJ s̪ AB t̪ʰ AC ə AJ l̪ AD oː AK
धर्मस्थलों	d̪ʱ AC ə AJ ɾ BA m AE ə AJ s̪ AB t̪ʰ AC ə AJ l̪ AD õː
धर्मार्थ	d̪ʱ AC ə AJ ɾ BA m AE äː ɾ BA t̪ʰ AC
धाकड़	d̪ʱ AC äː k AB ə AJ ɽ BA
धातुकर्म	d̪ʱ AC äː t̪ AB ʊ AK k AB ə AJ ɾ BA m AE
धान	d̪ʱ AC ä̃ː n̪ AF
धान्य	d̪ʱ AC ä̃ː n̪ AF j AA ə AJ
धाम	d̪ʱ AC ä̃ː m AE
धारणा	d̪ʱ AC äː ɾ BA ɳ AF äː
धारा	d̪ʱ AC äː ɾ BA äː
धारित	d̪ʱ AC äː ɾ BA ɪ AJ t̪ AB
धार्मिक	d̪ʱ AC äː ɾ BA m AE ɪ AJ k AB
धावा	d̪ʱ AC äː ʋ AI äː
धीरा	d̪ʱ AC iː AJ ɾ BA äː
धुंध	d̪ʱ AC ʊ̃ AM n̪ AF d̪ʱ AC
धुंधला	d̪ʱ AC ʊ̃ AM n̪ AF d̪ʱ AC l̪ AD äː
धुन्नी	d̪ʱ AC ʊ̃ AM n̪ AF n̪ AF iː AJ
धुलना	d̪ʱ AC ʊ AK l̪ AD n̪ AF äː
धूआँ	d̪ʱ AC uː AK ä̃ː
धूम	d̪ʱ AC ũː m AE
धूर्तता	d̪ʱ AC uː AK ɾ BA t̪ AB ə AJ t̪ AB äː
धूल	d̪ʱ AC uː AK l̪ AD
धूलि	d̪ʱ AC uː AK l̪ AD iː AJ
धोखा	d̪ʱ AC oː AK kʰ AC äː
धोखाधड़ी	d̪ʱ AC oː AK kʰ AC äː d̪ʱ AC ə AJ ɽ BA iː AJ
धोखेबाज़	d̪ʱ AC oː AK kʰ AC eː AJ b AG äː z AB
धोना	d̪ʱ AC oː AK n̪ AF äː
धोबिन	d̪ʱ AC oː AK b AG ɪ̃ AN n̪ AF
ध्यान	d̪ʱ AC j AA ä̃ː n̪ AF
ध्यानपूर्वक	d̪ʱ AC j AA ä̃ː n̪ AF p AG uː AK ɾ BA ʋ AI ə AJ k AB
ध्रुवीकरण	d̪ʱ AC ɾ BA ʊ AK ʋ AI iː AJ k AB ə AJ ɾ BA ə̃ AN ɳ AF
ध्वंसावशेष	d̪ʱ AC ʋ AI ə̃ AN n̪ AF s̪ AB äː ʋ AI ʃ AB eː AJ ʃ AB
ध्वजा	d̪ʱ AC ʋ AI ə AJ d AB ʒ AB äː
ध्वनि	d̪ʱ AC ʋ AI ə AJ n̪ AF iː AJ
ध्वनी	d̪ʱ AC ʋ AI ə AJ n̪ AF iː AJ
ध्वन्यात्मक	d̪ʱ AC ʋ AI ə̃ AN n̪ AF j AA äː t̪ AB m AE ə AJ k AB
ध्वस्त	d̪ʱ AC ʋ AI ə AJ s̪ AB t̪ AB
न	n̪ AF ə AJ
नंगा	n̪ AF ə̃ AN ŋ AF ɡ AB äː
नंगापन	n̪ AF ə̃ AN ŋ AF ɡ AB äː p AG ə̃ AN n̪ AF
नंदिनी	n̪ AF ə̃ AN n̪ AF d̪ AB ɪ AJ n̪ AF iː AJ
नंबर	n̪ AF ə̃ AN m AE b AG ə AJ ɾ BA
नई	n̪ AF ə AJ iː AJ
नक़द	n̪ AF ə AJ q AB ə AJ d̪ AB
नक़दी	n̪ AF ə AJ q AB d̪ AB iː AJ
नक़ल	n̪ AF ə AJ q AB ə AJ l̪ AD
नक़ली	n̪ AF ə AJ q AB l̪ AD iː AJ
नक़ाब	n̪ AF ə AJ q AB äː b AG
नक़ाबपोश	n̪ AF ə AJ q AB äː b̚ p AG oː AK ʃ AB
नक़्क़ारा	n̪ AF ə AJ q AB q AB äː ɾ BA äː
नक़्क़ाशी	n̪ AF ə AJ q AB q AB äː ʃ AB iː AJ
नक़्शा	n̪ AF ə AJ q AB ʃ AB äː
नकार	n̪ AF ə AJ k AB äː ɾ BA
नकारात्मक	n̪ AF ə AJ k AB äː ɾ BA äː t̪ AB m AE ə AJ k AB
नकेल	n̪ AF ə AJ k AB eː AJ l̪ AD
नक्शा	n̪ AF ə AJ q AB ʃ AB äː
नक्षत्र	n̪ AF ə AJ k AB ʃ AB ə AJ t̪ AB ɾ BA
नख	n̪ AF ə AJ kʰ AC
नखलिस्तान	n̪ AF ə AJ x AB l̪ AD ɪ AJ s̪ AB t̪ AB ä̃ː n̪ AF
नख़लिस्तान	n̪ AF ə AJ x AB l̪ AD ɪ AJ s̪ AB t̪ AB ä̃ː n̪ AF
नगण्य	n̪ AF ə AJ ɡ AB ə̃ AN ɳ AF j AA
नगर	n̪ AF ə AJ ɡ AB ə AJ ɾ BA
नगरीकरण	n̪ AF ə AJ ɡ AB ɾ BA iː AJ k AB ə AJ ɾ BA ə̃ AN ɳ AF
नगरीकृत	n̪ AF ə AJ ɡ AB ɾ BA iː AJ k AB ɾ BA ɪ AJ t̪ AB
नग़मा	n̪ AF ə AJ ɣ AB m AE äː
नगाड़ा	n̪ AF ə AJ ɡ AB äː ɽ BA äː
नचाना	n̪ AF ə AJ t AB ʃ AB äː n̪ AF äː
नजर	n̪ AF ə AJ z AB ə AJ ɾ BA
नज़र	n̪ AF ə AJ z AB ə AJ ɾ BA
नज़रअंदाज़	n̪ AF ə AJ z AB ə AJ ɾ BA ə̃ AN n̪ AF d̪ AB äː z AB
नज़रबंदी	n̪ AF ə AJ z AB ə AJ ɾ BA b AG ə̃ AN n̪ AF d̪ AB iː AJ
नज़रिया	n̪ AF ə AJ z AB ə AJ ɾ BA i AJ j AA äː
नज़ारा	n̪ AF ə AJ z AB äː ɾ BA äː
नजीबाबाद	n̪ AF ə AJ d AB ʒ AB iː AJ b AG äː b AG äː d̪ AB
नजूमी	n̪ AF ə AJ d AB ʒ AB uː AK m AE iː AJ
नज्द	n̪ AF ə AJ d AB ʒ AB d̪ AB
नटखट	n̪ AF ə AJ ʈ AB kʰ AC ə AJ ʈ AB
नत	n̪ AF ə AJ t̪ AB
नति	n̪ AF ə AJ t̪ AB iː AJ
नतीजतन	n̪ AF ə AJ t̪ AB iː AJ d AB ʒ AB t̪ AB ə̃ AN n̪ AF
नतीजा	n̪ AF ə AJ t̪ AB iː AJ d AB ʒ AB äː
नत्थी	n̪ AF ə AJ t̪̚ t̪ʰ AC iː AJ
नदारद	n̪ AF ə AJ d̪ AB äː ɾ BA ə AJ d̪ AB
नदियाँ	n̪ AF ə AJ d̪ AB i AJ j AA ä̃ː
नदियो	n̪ AF ə AJ d̪ AB i AJ j AA oː AK
नदियों	n̪ AF ə AJ d̪ AB i AJ j AA õː
नदी	n̪ AF ə AJ d̪ AB iː AJ
ननद	n̪ AF ə AJ n̪ AF ə AJ d̪ AB
नन्हा	n̪ AF ə̃ AN n̪ AF ɦ AL äː
नपुंसक	n̪ AF ə AJ p AG ʊ̃ AM n̪ AF s̪ AB ə AJ k AB
नपुंसकता	n̪ AF ə AJ p AG ʊ̃ AM n̪ AF s̪ AB ə AJ k AB t̪ AB äː
नफ़रत	n̪ AF ə AJ pʰ AH ɾ BA ə AJ t̪ AB
नब्ज	n̪ AF ə AJ b AG z AB
नब्ज़	n̪ AF ə AJ b AG z AB
नब्बे	n̪ AF ə AJ b̚ b AG eː AJ
नमक	n̪ AF ə AJ m AE ə AJ k AB
नमश्कार	n̪ AF ə AJ m AE ə AJ ʃ AB k AB äː ɾ BA
नमस्कार	n̪ AF ə AJ m AE ə AJ ʃ AB k AB äː ɾ BA
नमस्ते	n̪ AF ə AJ m AE ə AJ s̪ AB t̪ AB eː AJ
नमाज़	n̪ AF ə AJ m AE äː z AB
नमाज़गाह	n̪ AF ə AJ m AE äː z AB ɡ AB äː ɦ AL
नमी	n̪ AF ə AJ m AE iː AJ
नमूना	n̪ AF ə AJ m AE uː AK n̪ AF äː
नम्र	n̪ AF ə̃ AN m AE ɾ BA
नम्रता	n̪ AF ə̃ AN m AE ɾ BA ə AJ t̪ AB äː
नयन	n̪ AF ə AJ j AA ə̃ AN n̪ AF
नया	n̪ AF ə AJ j AA aː AJ
नयी	n̪ AF ə AJ j AA iː AJ
नर	n̪ AF ə AJ ɾ BA
नरक	n̪ AF ə AJ ɾ BA ə AJ k AB
नरगिस	n̪ AF ə AJ ɾ BA ɡ AB ɪ AJ s̪ AB
नरभक्षी	n̪ AF ə AJ ɾ BA bʱ AH ə AJ k AB ʃ AB iː AJ
नरम	n̪ AF ə AJ ɾ BA ə̃ AN m AE
नरवृषभ	n̪ AF ə AJ ɾ BA ʋ AI ɾ BA ɪ AJ ʃ AB ə AJ bʱ AH
नरसंहार	n̪ AF ə AJ ɾ BA s̪ AB ə̃ AN ɦ AL äː ɾ BA
नरसिंह	n̪ AF ə AJ ɾ BA s̪ AB ɪ̃ AN ŋ AF ɡʱ AC
नरेश	n̪ AF ə AJ ɾ BA eː AJ ʃ AB
नर्तक	n̪ AF ə AJ ɾ BA t̪ AB ə AJ k AB
नर्तकी	n̪ AF ə AJ ɾ BA t̪ AB ə AJ k AB iː AJ
नर्मदा	n̪ AF ə AJ ɾ BA m AE ə AJ d̪ AB äː
नर्स	n̪ AF ə AJ ɾ BA s̪ AB
नल्ला	n̪ AF ə AJ l̪ AD l̪ AD äː
नवंबर	n̪ AF ə AJ ʋ AI ə̃ AN m AE b AG ə AJ ɾ BA
नवजात	n̪ AF ə AJ ʋ AI d AB ʒ AB äː t̪ AB
नवजीवन	n̪ AF ə AJ ʋ AI d AB ʒ AB iː AJ ʋ AI ə̃ AN n̪ AF
नवनी	n̪ AF ə AJ ʋ AI n̪ AF iː AJ
नवनीत	n̪ AF ə AJ ʋ AI n̪ AF iː AJ t̪ AB
नवरत्न	n̪ AF ə AJ ʋ AI ɾ BA ə AJ t̪̚ n̪ AF
नवरात्रि	n̪ AF ə AJ ʋ AI ɾ BA äː t̪ AB ɾ BA iː AJ
नवविवाहित	n̪ AF ə AJ ʋ AI ʋ AI ɪ AJ ʋ AI äː ɦ AL ɪ AJ t̪ AB
नवशास्त्रीय	n̪ AF ə AJ ʋ AI ʃ AB äː s̪ AB t̪ AB ɾ BA iː AJ j AA
नवाज़	n̪ AF ə AJ ʋ AI äː z AB
नवाज़ना	n̪ AF ə AJ ʋ AI äː z AB n̪ AF äː
नवाना	n̪ AF ə AJ ʋ AI äː n̪ AF äː
नवाब	n̪ AF ə AJ ʋ AI äː b AG
नवाबशाह	n̪ AF ə AJ ʋ AI äː b AG ʃ AB äː ɦ AL
नवासी	n̪ AF ə AJ ʋ AI äː s̪ AB iː AJ
नवीन	n̪ AF ə AJ v AG iː AJ n̪ AF
नशा	n̪ AF ə AJ ʃ AB äː
नशेड़ी	n̪ AF ə AJ ʃ AB eː AJ ɽ BA iː AJ
नष्ट	n̪ AF ə AJ ʂ AB ʈ AB
नस	n̪ AF ə AJ s̪ AB
नसबंदी	n̪ AF ə AJ s̪ AB b AG ə̃ AN n̪ AF d̪ AB iː AJ
नसीब	n̪ AF ə AJ s̪ AB iː AJ b AG
नसीहत	n̪ AF ə AJ s̪ AB iː AJ ɦ AL ə AJ t̪ AB
नस्तालीक़	n̪ AF ə AJ s̪ AB t̪ AB äː l̪ AD iː AJ q AB
नस्ल	n̪ AF ə AJ s̪ AB l̪ AD
नस्लभेद	n̪ AF ə AJ s̪ AB l̪ AD bʱ AH eː AJ d̪ AB
नस्लीय	n̪ AF ə AJ s̪ AB l̪ AD iː AJ j AA
नहर	n̪ AF ɛ AJ ɦ AL ɛ AJ ɾ BA
नहला	n̪ AF ɛ AJ ɦ AL l̪ AD äː
नहलाना	n̪ AF ɛ AJ ɦ AL l̪ AD äː n̪ AF äː
नहान	n̪ AF ə AJ ɦ AL ä̃ː n̪ AF
नहाना	n̪ AF ə AJ ɦ AL äː n̪ AF äː
नहि	n̪ AF ə AJ ɦ AL iː AJ
नहीं	n̪ AF ə AJ ɦ AL ĩː
ना	n̪ AF äː
नाइजीरिया	n̪ AF äː ɪ AJ d AB ʒ AB iː AJ ɾ BA i AJ j AA äː
नाइनसाफ़ी	n̪ AF äː ɪ̃ AN n̪ AF s̪ AB äː pʰ AH iː AJ
नाई	n̪ AF äː iː AJ
नाईं	n̪ AF äː ĩː
नाक	n̪ AF äː k AB
नाकाम	n̪ AF äː k AB ä̃ː m AE
नाख़ून	n̪ AF äː x AB ũː n̪ AF
नाखुन	n̪ AF äː x AB ʊ̃ AM n̪ AF
नाखून	n̪ AF äː x AB ũː n̪ AF
नाग	n̪ AF äː ɡ AB
नागपुर	n̪ AF äː ɡ AB p AG ʊ AK ɾ BA
नागरिक	n̪ AF äː ɡ AB ɾ BA ɪ AJ k AB
नागरिकता	n̪ AF äː ɡ AB ɾ BA ɪ AJ k AB t̪ AB äː
नागवार	n̪ AF äː ɡ AB ə AJ ʋ AI äː ɾ BA
नागालैंड	n̪ AF äː ɡ AB äː l̪ AD ɛ̃ː AN ɳ AF ɖ AB
नागालैण्ड	n̪ AF äː ɡ AB äː l̪ AD ɛ̃ː AN ɳ AF ɖ AB
नाच	n̪ AF äː t AB ʃ AB
नाचना	n̪ AF äː t AB ʃ AB n̪ AF äː
नाज़	n̪ AF äː z AB
नाज़ुकी	n̪ AF äː z AB ʊ AK k AB iː AJ
नाजायज़	n̪ AF äː d AB ʒ AB äː j AA ə AJ z AB
नाटक	n̪ AF äː ʈ AB ə AJ k AB
नाटककार	n̪ AF äː ʈ AB ə AJ k̚ k AB äː ɾ BA
नाटा	n̪ AF äː ʈ AB äː
नाड़ी	n̪ AF äː ɽ BA iː AJ
नाडु	n̪ AF äː ɖ AB uː AK
नाता	n̪ AF äː t̪ AB äː
नाती	n̪ AF äː t̪ AB iː AJ
नाथ	n̪ AF äː t̪ʰ AC
नादान	n̪ AF äː d̪ AB ä̃ː n̪ AF
नादानी	n̪ AF äː d̪ AB äː n̪ AF iː AJ
नादिरशाही	n̪ AF äː d̪ AB ɪ AJ ɾ BA ʃ AB äː ɦ AL iː AJ
नान	n̪ AF ä̃ː n̪ AF
नानस	n̪ AF äː n̪ AF ə AJ s̪ AB
नानसरा	n̪ AF äː n̪ AF ə AJ s̪ AB ɾ BA äː
नाना	n̪ AF äː n̪ AF äː
नानी	n̪ AF äː n̪ AF iː AJ
नानू	n̪ AF äː n̪ AF uː AK
नाप	n̪ AF äː p AG
नापना	n̪ AF äː p AG n̪ AF äː
नापसंद	n̪ AF äː p AG ə AJ s̪ AB ə̃ AN n̪ AF d̪ AB
नाफ़	n̪ AF äː pʰ AH
नाभि	n̪ AF äː bʱ AH iː AJ
नाभिक	n̪ AF äː bʱ AH ɪ AJ k AB
नाभिकीय	n̪ AF äː bʱ AH ɪ AJ k AB iː AJ j AA
नाम	n̪ AF ä̃ː m AE
नामंज़ूर	n̪ AF äː m AE ə̃ AN z AB uː AK ɾ BA
नामक	n̪ AF äː m AE ə AJ k AB
नामकरण	n̪ AF ä̃ː m AE k AB ə AJ ɾ BA ə̃ AN ɳ AF
नामनिर्देशिती	n̪ AF ä̃ː m AE n̪ AF ɪ AJ ɾ BA d̪ AB eː AJ ʃ AB ɪ AJ t̪ AB iː AJ
नामवर	n̪ AF ä̃ː m AE w AI ə AJ ɾ BA
नामांकन	n̪ AF äː m AE ä̃ː k AB ə̃ AN n̪ AF
नामीबिया	n̪ AF äː m AE iː AJ b AG i AJ j AA äː
नामोत्पत्ति	n̪ AF äː m AE oː AK t̪ AB p AG ə AJ t̪̚ t̪ AB iː AJ
नायब	n̪ AF äː j AA ə AJ b AG
नायाब	n̪ AF äː j AA äː b AG
नायिका	n̪ AF äː j AA ɪ AJ k AB äː
नारंगी	n̪ AF äː ɾ BA ə̃ AN ŋ AF ɡ AB iː AJ
नारा	n̪ AF äː ɾ BA äː
नाराज़	n̪ AF äː ɾ BA äː z AB
नारायण	n̪ AF äː ɾ BA äː j AA ə̃ AN ɳ AF
नारियल	n̪ AF äː ɾ BA i AJ j AA ə AJ l̪ AD
नारी	n̪ AF äː ɾ BA iː AJ
नारीत्व	n̪ AF äː ɾ BA iː AJ t̪ AB w AI
नारीवाद	n̪ AF äː ɾ BA iː AJ ʋ AI äː d̪ AB
नाल	n̪ AF äː l̪ AD
नाला	n̪ AF äː l̪ AD äː
नालायक	n̪ AF äː l̪ AD äː j AA ə AJ q AB
नाव	n̪ AF äː ʋ AI
नाविक	n̪ AF äː ʋ AI ɪ AJ k AB
नाशपाती	n̪ AF äː ʃ AB p AG äː t̪ AB iː AJ
नाश्ता	n̪ AF äː ʃ AB t̪ AB äː
नासरत	n̪ AF äː s̪ AB ə AJ ɾ BA ə AJ t̪ AB
नासिक	n̪ AF äː s̪ AB ɪ AJ k AB
नास्तिक	n̪ AF äː s̪ AB t̪ AB ɪ AJ k AB
नास्तिकता	n̪ AF äː s̪ AB t̪ AB ɪ AJ k AB t̪ AB äː
नाहर	n̪ AF äː ɦ AL ə AJ ɾ BA
निंदा	n̪ AF ɪ̃ AN n̪ AF d̪ AB äː
निंदासा	n̪ AF ɪ̃ AN n̪ AF d̪ AB äː s̪ AB äː
निःशब्द	n̪ AF ɪ AJ ɦ AL ʃ AB ə AJ b AG d̪ AB
निःशुल्क	n̪ AF ɪ AJ ɦ AL ʃ AB ʊ AK l̪ AD k AB
निकट	n̪ AF ɪ AJ k AB ə AJ ʈ AB
निकम्मा	n̪ AF ɪ AJ k AB ə̃ AN m AE m AE äː
निकम्मापन	n̪ AF ɪ AJ k AB ə̃ AN m AE m AE äː p AG ə̃ AN n̪ AF
निकर	n̪ AF ɪ AJ k AB ə AJ ɾ BA
निकलना	n̪ AF ɪ AJ k AB ə AJ l̪ AD n̪ AF äː
निकलवाना	n̪ AF ɪ AJ k AB ə AJ l̪ AD ʋ AI äː n̪ AF äː
निक़ाब	n̪ AF ɪ AJ q AB äː b AG
निकारागुआ	n̪ AF ɪ AJ k AB äː ɾ BA äː ɡ AB ʊ AK äː
निकालना	n̪ AF ɪ AJ k AB äː l̪ AD n̪ AF äː
निकास	n̪ AF ɪ AJ k AB äː s̪ AB
निकाह	n̪ AF ɪ AJ k AB äː ɦ AL
निकोबार	n̪ AF ɪ AJ k AB oː AK b AG äː ɾ BA
