Ⴁ	b
მატლი	m ɑ AB tʼ l i AB
მატრაკვეცა	m ɑ AB tʼ r ɑ AB kʼ v ɛ AB t s ɑ AB
მატრიარქატი	m ɑ AB tʼ r i AB ɑ AB r kʰ ɑ AB tʼ i AB
მატრიცა	m ɑ AB tʼ r i AB t s ɑ AB
მატყლი	m ɑ AB tʼ qʼ l i AB
მატყუარა	m ɑ AB tʼ qʼ u AC ɑ AB r ɑ AB
მაქ	m ɑ AB kʰ
მაქვს	m ɑ AB kʰ v s
მაქო	m ɑ AB kʰ ɔ AC
მაქსი	m ɑ AB kʰ s i AB
მაქსიმალურად	m ɑ AB kʰ s i AB m ɑ AB l u AC r ɑ AB d
მაქსიმალური	m ɑ AB kʰ s i AB m ɑ AB l u AC r i AB
მაქსიმიზაცია	m ɑ AB kʰ s i AB m i AB z ɑ AB t s i AB ɑ AB
მაქსიმუმ	m ɑ AB kʰ s i AB m u AC m
მაქსიმუმი	m ɑ AB kʰ s i AB m u AC m i AB
მაქცია	m ɑ AB kʰ t s i AB ɑ AB
მაღაზია	m ɑ AB ɣ ɑ AB z i AB ɑ AB
მაღალი	m ɑ AB ɣ ɑ AB l i AB
მაღალკვალიფიციურად	m ɑ AB ɣ ɑ AB l kʼ v ɑ AB l i AB pʰ i AB t s i AB u AC r ɑ AB d
მაღალფარდოვნად	m ɑ AB ɣ ɑ AB l pʰ ɑ AB r d ɔ AC v n ɑ AB d
მაღარიჩი	m ɑ AB ɣ ɑ AB r i AB t ʃ i AB
მაღარო	m ɑ AB ɣ ɑ AB r ɔ AC
მაღვიძარა	m ɑ AB ɣ v i AB d z ɑ AB r ɑ AB
მაღლა	m ɑ AB ɣ l ɑ AB
მაღლივი	m ɑ AB ɣ l i AB v i AB
მაღლობი	m ɑ AB ɣ l ɔ AC b i AB
მაყალი	m ɑ AB qʼ ɑ AB l i AB
მაყვალი	m ɑ AB qʼ v ɑ AB l i AB
მაყუთი	m ɑ AB qʼ u AC tʰ i AB
მაშ	m ɑ AB ʃ
მაშა	m ɑ AB ʃ ɑ AB
მაშასადამე	m ɑ AB ʃ ɑ AB s ɑ AB d ɑ AB m ɛ AB
მაშინ	m ɑ AB ʃ i AB n
მაშინვე	m ɑ AB ʃ i AB n v ɛ AB
მაჩალიკაშვილი	m ɑ AB t ʃ ɑ AB l i AB kʼ ɑ AB ʃ v i AB l i AB
მაჩეტე	m ɑ AB t ʃ ɛ AB tʼ ɛ AB
მაჩვზღარბა	m ɑ AB t ʃ v z ɣ ɑ AB r b ɑ AB
მაჩვი	m ɑ AB t ʃ v i AB
მაჩიტა	m ɑ AB t ʃ i AB tʼ ɑ AB
მაჩუქეს	m ɑ AB t ʃ u AC kʰ ɛ AB s
მაჩქათელა	m ɑ AB t ʃ kʰ ɑ AB tʰ ɛ AB l ɑ AB
მაცდურად	m ɑ AB t s d u AC r ɑ AB d
მაცდურები	m ɑ AB t s d u AC r ɛ AB b i AB
მაცნე	m ɑ AB t s n ɛ AB
მაცხოვრებელი	m ɑ AB t s x ɔ AC v r ɛ AB b ɛ AB l i AB
მაძღარი	m ɑ AB d z ɣ ɑ AB r i AB
მაძღრობა	m ɑ AB d z ɣ r ɔ AC b ɑ AB
მაწევანი	m ɑ AB t sʼ ɛ AB v ɑ AB n i AB
მაწონი	m ɑ AB t sʼ ɔ AC n i AB
მაჭანკალი	m ɑ AB t ʃʼ ɑ AB n kʼ ɑ AB l i AB
მაჭარი	m ɑ AB t ʃʼ ɑ AB r i AB
მახათი	m ɑ AB x ɑ AB tʰ i AB
მახე	m ɑ AB x ɛ AB
მახვილი	m ɑ AB x v i AB l i AB
მახინჯი	m ɑ AB x i AB n d ʒ i AB
მახლობლად	m ɑ AB x l ɔ AC b l ɑ AB d
მაჯა	m ɑ AB d ʒ ɑ AB
მაჯაღვერი	m ɑ AB d ʒ ɑ AB ɣ v ɛ AB r i AB
მაჯლაჯუნა	m ɑ AB d ʒ l ɑ AB d ʒ u AC n ɑ AB
მაჰარაჯა	m ɑ AB h AA ɑ AB r ɑ AB d ʒ ɑ AB
მაჰმადიანური	m ɑ AB h AA m ɑ AB d i AB ɑ AB n u AC r i AB
მბრძანებელი	m b r d z ɑ AB n ɛ AB b ɛ AB l i AB
მბრძანებლობა	m b r d z ɑ AB n ɛ AB b l ɔ AC b ɑ AB
მბრძანებლურად	m b r d z ɑ AB n ɛ AB b l u AC r ɑ AB d
მბრძანებლური	m b r d z ɑ AB n ɛ AB b l u AC r i AB
მგალობლიშვილი	m ɡ ɑ AB l ɔ AC b l i AB ʃ v i AB l i AB
მგელი	m ɡ ɛ AB l i AB
მგზავრი	m ɡ z ɑ AB v r i AB
მგზავრობა	m ɡ z ɑ AB v r ɔ AC b ɑ AB
მგზნებარე	m ɡ z n ɛ AB b ɑ AB r ɛ AB
მგზნებარედ	m ɡ z n ɛ AB b ɑ AB r ɛ AB d
მგლური	m ɡ l u AC r i AB
მგონი	m ɡ ɔ AC n i AB
მგონია	m ɡ ɔ AC n i AB ɑ AB
მგოსანი	m ɡ ɔ AC s ɑ AB n i AB
მგრძნობელობა	m ɡ r d z n ɔ AC b ɛ AB l ɔ AC b ɑ AB
მგრძნობიარე	m ɡ r d z n ɔ AC b i AB ɑ AB r ɛ AB
მგრძნობიარედ	m ɡ r d z n ɔ AC b i AB ɑ AB r ɛ AB d
მდაბალი	m d ɑ AB b ɑ AB l i AB
მდაბლად	m d ɑ AB b l ɑ AB d
მდგმური	m d ɡ m u AC r i AB
მდგომარეობა	m d ɡ ɔ AC m ɑ AB r ɛ AB ɔ AC b ɑ AB
მდგომი	m d ɡ ɔ AC m i AB
მდებარეობა	m d ɛ AB b ɑ AB r ɛ AB ɔ AC b ɑ AB
მდებარეობს	m d ɛ AB b ɑ AB r ɛ AB ɔ AC b s
მდედრი	m d ɛ AB d r i AB
მდედრობითი	m d ɛ AB d r ɔ AC b i AB tʰ i AB
მდელო	m d ɛ AB l ɔ AC
მდიდარი	m d i AB d ɑ AB r i AB
მდიდრულად	m d i AB d r u AC l ɑ AB d
მდიდრული	m d i AB d r u AC l i AB
მდივანი	m d i AB v ɑ AB n i AB
მდინარე	m d i AB n ɑ AB r ɛ AB
მდინარი	m d i AB n ɑ AB r i AB
მდოგვი	m d ɔ AC ɡ v i AB
მდომებია	m d ɔ AC m ɛ AB b i AB ɑ AB
მდუმარე	m d u AC m ɑ AB r ɛ AB
მდუმარედ	m d u AC m ɑ AB r ɛ AB d
მე	m ɛ AB
მეაბრეშუმე	m ɛ AB ɑ AB b r ɛ AB ʃ u AC m ɛ AB
მეათე	m ɛ AB ɑ AB tʰ ɛ AB
მეალილოე	m ɛ AB ɑ AB l i AB l ɔ AC ɛ AB
მეამბოხე	m ɛ AB ɑ AB m b ɔ AC x ɛ AB
მეამბოხურად	m ɛ AB ɑ AB m b ɔ AC x u AC r ɑ AB d
მეამბოხური	m ɛ AB ɑ AB m b ɔ AC x u AC r i AB
მეანაბრე	m ɛ AB ɑ AB n ɑ AB b r ɛ AB
მეანი	m ɛ AB ɑ AB n i AB
მეანობა	m ɛ AB ɑ AB n ɔ AC b ɑ AB
მეარღნე	m ɛ AB ɑ AB r ɣ n ɛ AB
მეაფთიაქე	m ɛ AB ɑ AB pʰ tʰ i AB ɑ AB kʰ ɛ AB
მებათქაშე	m ɛ AB b ɑ AB tʰ kʰ ɑ AB ʃ ɛ AB
მებაღე	m ɛ AB b ɑ AB ɣ ɛ AB
მებაღეობა	m ɛ AB b ɑ AB ɣ ɛ AB ɔ AC b ɑ AB
მებორნე	m ɛ AB b ɔ AC r n ɛ AB
მებუკე	m ɛ AB b u AC kʼ ɛ AB
მებუფეტე	m ɛ AB b u AC pʰ ɛ AB tʼ ɛ AB
მეგალითი	m ɛ AB ɡ ɑ AB l i AB tʰ i AB
მეგალითური	m ɛ AB ɡ ɑ AB l i AB tʰ u AC r i AB
მეგალომანია	m ɛ AB ɡ ɑ AB l ɔ AC m ɑ AB n i AB ɑ AB
მეგატონი	m ɛ AB ɡ ɑ AB tʼ ɔ AC n i AB
მეგაფონი	m ɛ AB ɡ ɑ AB pʰ ɔ AC n i AB
მეგაჰერცი	m ɛ AB ɡ ɑ AB h AA ɛ AB r t s i AB
მეგი	m ɛ AB ɡ i AB
მეგობარი	m ɛ AB ɡ ɔ AC b ɑ AB r i AB
მეგობრები	m ɛ AB ɡ ɔ AC b r ɛ AB b i AB
მეგობრობა	m ɛ AB ɡ ɔ AC b r ɔ AC b ɑ AB
მეგობრულად	m ɛ AB ɡ ɔ AC b r u AC l ɑ AB d
მეგობრული	m ɛ AB ɡ ɔ AC b r u AC l i AB
მეგრელი	m ɛ AB ɡ r ɛ AB l i AB
მეგრული	m ɛ AB ɡ r u AC l i AB
მედალი	m ɛ AB d ɑ AB l i AB
მედალიონი	m ɛ AB d ɑ AB l i AB ɔ AC n i AB
მედდა	m ɛ AB d d ɑ AB
მედეა	m ɛ AB d ɛ AB ɑ AB
მედეგი	m ɛ AB d ɛ AB ɡ i AB
მედიანა	m ɛ AB d i AB ɑ AB n ɑ AB
მედიატორი	m ɛ AB d i AB ɑ AB tʼ ɔ AC r i AB
მედიდურად	m ɛ AB d i AB d u AC r ɑ AB d
მედიდური	m ɛ AB d i AB d u AC r i AB
მედიდურობა	m ɛ AB d i AB d u AC r ɔ AC b ɑ AB
მედიტაცია	m ɛ AB d i AB tʼ ɑ AB t s i AB ɑ AB
მედიუმი	m ɛ AB d i AB u AC m i AB
მედიცინა	m ɛ AB d i AB t s i AB n ɑ AB
მედოლე	m ɛ AB d ɔ AC l ɛ AB
მედროშე	m ɛ AB d r ɔ AC ʃ ɛ AB
მედუზა	m ɛ AB d u AC z ɑ AB
მედუქნე	m ɛ AB d u AC kʰ n ɛ AB
მეეტლე	m ɛ AB ɛ AB tʼ l ɛ AB
მეექვსე	m ɛ AB ɛ AB kʰ v s ɛ AB
მევახშე	m ɛ AB v ɑ AB x ʃ ɛ AB
მევახშეობა	m ɛ AB v ɑ AB x ʃ ɛ AB ɔ AC b ɑ AB
მევახშური	m ɛ AB v ɑ AB x ʃ u AC r i AB
მევიოლინე	m ɛ AB v i AB ɔ AC l i AB n ɛ AB
მეზობელი	m ɛ AB z ɔ AC b ɛ AB l i AB
მეზღაპრე	m ɛ AB z ɣ ɑ AB pʼ r ɛ AB
მეზღვაური	m ɛ AB z ɣ v ɑ AB u AC r i AB
მეთანი	m ɛ AB tʰ ɑ AB n i AB
მეთაური	m ɛ AB tʰ ɑ AB u AC r i AB
მეთევზე	m ɛ AB tʰ ɛ AB v z ɛ AB
მეთევზეობა	m ɛ AB tʰ ɛ AB v z ɛ AB ɔ AC b ɑ AB
მეთერთმეტე	m ɛ AB tʰ ɛ AB r tʰ m ɛ AB tʼ ɛ AB
მეთექვსმეტე	m ɛ AB tʰ ɛ AB kʰ v s m ɛ AB tʼ ɛ AB
მეთვალყურე	m ɛ AB tʰ v ɑ AB l qʼ u AC r ɛ AB
მეთილი	m ɛ AB tʰ i AB l i AB
მეთიუ	m ɛ AB tʰ i AB u AC
მეთოდი	m ɛ AB tʰ ɔ AC d i AB
მეთოდისტი	m ɛ AB tʰ ɔ AC d i AB s tʼ i AB
მეთოდოლოგია	m ɛ AB tʰ ɔ AC d ɔ AC l ɔ AC ɡ i AB ɑ AB
მეთოდოლოგიურად	m ɛ AB tʰ ɔ AC d ɔ AC l ɔ AC ɡ i AB u AC r ɑ AB d
მეთოდურად	m ɛ AB tʰ ɔ AC d u AC r ɑ AB d
მეთოდური	m ɛ AB tʰ ɔ AC d u AC r i AB
მეთოთხმეტე	m ɛ AB tʰ ɔ AC tʰ x m ɛ AB tʼ ɛ AB
მეთორმეტე	m ɛ AB tʰ ɔ AC r m ɛ AB tʼ ɛ AB
მეთუნე	m ɛ AB tʰ u AC n ɛ AB
მეთუნუქე	m ɛ AB tʰ u AC n u AC kʰ ɛ AB
მეთქი	m ɛ AB tʰ kʰ i AB
მეთხილამურე	m ɛ AB tʰ x i AB l ɑ AB m u AC r ɛ AB
მეთხუთმეტე	m ɛ AB tʰ x u AC tʰ m ɛ AB tʼ ɛ AB
მეიდანი	m ɛ AB i AB d ɑ AB n i AB
მეისრე	m ɛ AB i AB s r ɛ AB
მეკარე	m ɛ AB kʼ ɑ AB r ɛ AB
მეკასრე	m ɛ AB kʼ ɑ AB s r ɛ AB
მეკვლე	m ɛ AB kʼ v l ɛ AB
მეკობრე	m ɛ AB kʼ ɔ AC b r ɛ AB
მეკობრეობა	m ɛ AB kʼ ɔ AC b r ɛ AB ɔ AC b ɑ AB
მეკობრულად	m ɛ AB kʼ ɔ AC b r u AC l ɑ AB d
მეკობრული	m ɛ AB kʼ ɔ AC b r u AC l i AB
მელა	m ɛ AB l ɑ AB
მელანი	m ɛ AB l ɑ AB n i AB
მელანქოლია	m ɛ AB l ɑ AB n kʰ ɔ AC l i AB ɑ AB
მელანქოლიური	m ɛ AB l ɑ AB n kʰ ɔ AC l i AB u AC r i AB
მელია	m ɛ AB l i AB ɑ AB
მელნიანი	m ɛ AB l n i AB ɑ AB n i AB
მელოდია	m ɛ AB l ɔ AC d i AB ɑ AB
მელოდიურად	m ɛ AB l ɔ AC d i AB u AC r ɑ AB d
მელოდიური	m ɛ AB l ɔ AC d i AB u AC r i AB
მელოდიურობა	m ɛ AB l ɔ AC d i AB u AC r ɔ AC b ɑ AB
მელოდრამა	m ɛ AB l ɔ AC d r ɑ AB m ɑ AB
მელოდრამატულად	m ɛ AB l ɔ AC d r ɑ AB m ɑ AB tʼ u AC l ɑ AB d
მელოტი	m ɛ AB l ɔ AC tʼ i AB
მელქიორი	m ɛ AB l kʰ i AB ɔ AC r i AB
მემამულე	m ɛ AB m ɑ AB m u AC l ɛ AB
მემანქანე	m ɛ AB m ɑ AB n kʰ ɑ AB n ɛ AB
მემარცხენე	m ɛ AB m ɑ AB r t s x ɛ AB n ɛ AB
მემაუდე	m ɛ AB m ɑ AB u AC d ɛ AB
მემაღაროე	m ɛ AB m ɑ AB ɣ ɑ AB r ɔ AC ɛ AB
მემკვიდრე	m ɛ AB m kʼ v i AB d r ɛ AB
მემკვიდრეობა	m ɛ AB m kʼ v i AB d r ɛ AB ɔ AC b ɑ AB
მემკვიდრეობად	m ɛ AB m kʼ v i AB d r ɛ AB ɔ AC b ɑ AB d
მემკვიდრეობამ	m ɛ AB m kʼ v i AB d r ɛ AB ɔ AC b ɑ AB m
მემკვიდრეობას	m ɛ AB m kʼ v i AB d r ɛ AB ɔ AC b ɑ AB s
მემკვიდრეობით	m ɛ AB m kʼ v i AB d r ɛ AB ɔ AC b i AB tʰ
მემკვიდრეობის	m ɛ AB m kʼ v i AB d r ɛ AB ɔ AC b i AB s
მემონტაჟე	m ɛ AB m ɔ AC n tʼ ɑ AB ʒ ɛ AB
მემორანდუმი	m ɛ AB m ɔ AC r ɑ AB n d u AC m i AB
მემრუშე	m ɛ AB m r u AC ʃ ɛ AB
მემფისი	m ɛ AB m pʰ i AB s i AB
მენაგვე	m ɛ AB n ɑ AB ɡ v ɛ AB
მენავე	m ɛ AB n ɑ AB v ɛ AB
მენატრება	m ɛ AB n ɑ AB tʼ r ɛ AB b ɑ AB
მენახირე	m ɛ AB n ɑ AB x i AB r ɛ AB
მენახშირე	m ɛ AB n ɑ AB x ʃ i AB r ɛ AB
მენდელევიუმი	m ɛ AB n d ɛ AB l ɛ AB v i AB u AC m i AB
მენზურა	m ɛ AB n z u AC r ɑ AB
მენთოლი	m ɛ AB n tʰ ɔ AC l i AB
მენიუ	m ɛ AB n i AB u AC
მენიჩბე	m ɛ AB n i AB t ʃ b ɛ AB
მენსტრუალური	m ɛ AB n s tʼ r u AC ɑ AB l u AC r i AB
მენსტრუაცია	m ɛ AB n s tʼ r u AC ɑ AB t s i AB ɑ AB
მენუეტი	m ɛ AB n u AC ɛ AB tʼ i AB
მენცარი	m ɛ AB n t s ɑ AB r i AB
მენჯი	m ɛ AB n d ʒ i AB
მეობა	m ɛ AB ɔ AC b ɑ AB
მეოთხე	m ɛ AB ɔ AC tʰ x ɛ AB
მეოთხეც	m ɛ AB ɔ AC tʰ x ɛ AB t s
მეომარი	m ɛ AB ɔ AC m ɑ AB r i AB
მეომრულად	m ɛ AB ɔ AC m r u AC l ɑ AB d
მეორადი	m ɛ AB ɔ AC r ɑ AB d i AB
მეორე	m ɛ AB ɔ AC r ɛ AB
მეორედ	m ɛ AB ɔ AC r ɛ AB d
მეოცნებედ	m ɛ AB ɔ AC t s n ɛ AB b ɛ AB d
მეოხებით	m ɛ AB ɔ AC x ɛ AB b i AB tʰ
მეპაიე	m ɛ AB pʼ ɑ AB i AB ɛ AB
მეპატრონე	m ɛ AB pʼ ɑ AB tʼ r ɔ AC n ɛ AB
მეპურე	m ɛ AB pʼ u AC r ɛ AB
მერაბიშვილი	m ɛ AB r ɑ AB b i AB ʃ v i AB l i AB
მერე	m ɛ AB r ɛ AB
მერებაშვილი	m ɛ AB r ɛ AB b ɑ AB ʃ v i AB l i AB
მერვე	m ɛ AB r v ɛ AB
მერი	m ɛ AB r i AB
მერიდიანი	m ɛ AB r i AB d i AB ɑ AB n i AB
მერილენდი	m ɛ AB r i AB l ɛ AB n d i AB
მერინოსი	m ɛ AB r i AB n ɔ AC s i AB
მერიქიფე	m ɛ AB r i AB kʰ i AB pʰ ɛ AB
მერკანტილური	m ɛ AB r kʼ ɑ AB n tʼ i AB l u AC r i AB
მერკური	m ɛ AB r kʼ u AC r i AB
მერყევად	m ɛ AB r qʼ ɛ AB v ɑ AB d
მერყეობა	m ɛ AB r qʼ ɛ AB ɔ AC b ɑ AB
მერცხალი	m ɛ AB r t s x ɑ AB l i AB
მერძევე	m ɛ AB r d z ɛ AB v ɛ AB
მერწყული	m ɛ AB r t sʼ qʼ u AC l i AB
მერხი	m ɛ AB r x i AB
მესაათე	m ɛ AB s ɑ AB ɑ AB tʰ ɛ AB
მესაიდუმლე	m ɛ AB s ɑ AB i AB d u AC m l ɛ AB
მესაკუთრე	m ɛ AB s ɑ AB kʼ u AC tʰ r ɛ AB
მესაკუთრეობა	m ɛ AB s ɑ AB kʼ u AC tʰ r ɛ AB ɔ AC b ɑ AB
მესაკუთრულად	m ɛ AB s ɑ AB kʼ u AC tʰ r u AC l ɑ AB d
მესაკუთრული	m ɛ AB s ɑ AB kʼ u AC tʰ r u AC l i AB
მესამე	m ɛ AB s ɑ AB m ɛ AB
მესამედ	m ɛ AB s ɑ AB m ɛ AB d
მესამედი	m ɛ AB s ɑ AB m ɛ AB d i AB
მესამეული	m ɛ AB s ɑ AB m ɛ AB u AC l i AB
მესანგრე	m ɛ AB s ɑ AB n ɡ r ɛ AB
მესაქონლე	m ɛ AB s ɑ AB kʰ ɔ AC n l ɛ AB
მესაყვირე	m ɛ AB s ɑ AB qʼ v i AB r ɛ AB
მესაჭე	m ɛ AB s ɑ AB t ʃʼ ɛ AB
მესერი	m ɛ AB s ɛ AB r i AB
მესია	m ɛ AB s i AB ɑ AB
მესიგნალე	m ɛ AB s i AB ɡ n ɑ AB l ɛ AB
მესიჯი	m ɛ AB s i AB d ʒ i AB
მესმის	m ɛ AB s m i AB s
მესპილენძე	m ɛ AB s pʼ i AB l ɛ AB n d z ɛ AB
მესტვირე	m ɛ AB s tʼ v i AB r ɛ AB
მესხაძე	m ɛ AB s x ɑ AB d z ɛ AB
მესხეთი	m ɛ AB s x ɛ AB tʰ i AB
მეტაბელე	m ɛ AB tʼ ɑ AB b ɛ AB l ɛ AB
მეტაბოლიზმი	m ɛ AB tʼ ɑ AB b ɔ AC l i AB z m i AB
მეტად	m ɛ AB tʼ ɑ AB d
მეტალი	m ɛ AB tʼ ɑ AB l i AB
მეტალიზაცია	m ɛ AB tʼ ɑ AB l i AB z ɑ AB t s i AB ɑ AB
მეტალიზაციას	m ɛ AB tʼ ɑ AB l i AB z ɑ AB t s i AB ɑ AB s
მეტალურგი	m ɛ AB tʼ ɑ AB l u AC r ɡ i AB
მეტალურგია	m ɛ AB tʼ ɑ AB l u AC r ɡ i AB ɑ AB
მეტალურგიული	m ɛ AB tʼ ɑ AB l u AC r ɡ i AB u AC l i AB
მეტამორფოზა	m ɛ AB tʼ ɑ AB m ɔ AC r pʰ ɔ AC z ɑ AB
მეტაფიზიკა	m ɛ AB tʼ ɑ AB pʰ i AB z i AB kʼ ɑ AB
მეტაფიზიკურად	m ɛ AB tʼ ɑ AB pʰ i AB z i AB kʼ u AC r ɑ AB d
მეტაფიზიკური	m ɛ AB tʼ ɑ AB pʰ i AB z i AB kʼ u AC r i AB
მეტაფორა	m ɛ AB tʼ ɑ AB pʰ ɔ AC r ɑ AB
მეტაფორულად	m ɛ AB tʼ ɑ AB pʰ ɔ AC r u AC l ɑ AB d
მეტაფორული	m ɛ AB tʼ ɑ AB pʰ ɔ AC r u AC l i AB
მეტეორი	m ɛ AB tʼ ɛ AB ɔ AC r i AB
მეტეორიზმი	m ɛ AB tʼ ɛ AB ɔ AC r i AB z m i AB
მეტეორიტი	m ɛ AB tʼ ɛ AB ɔ AC r i AB tʼ i AB
მეტეოროლოგი	m ɛ AB tʼ ɛ AB ɔ AC r ɔ AC l ɔ AC ɡ i AB
მეტეოროლოგია	m ɛ AB tʼ ɛ AB ɔ AC r ɔ AC l ɔ AC ɡ i AB ɑ AB
მეტეორული	m ɛ AB tʼ ɛ AB ɔ AC r u AC l i AB
მეტეხი	m ɛ AB tʼ ɛ AB x i AB
მეტი	m ɛ AB tʼ i AB
მეტივე	m ɛ AB tʼ i AB v ɛ AB
მეტისი	m ɛ AB tʼ i AB s i AB
მეტისმეტად	m ɛ AB tʼ i AB s m ɛ AB tʼ ɑ AB d
მეტისმეტი	m ɛ AB tʼ i AB s m ɛ AB tʼ i AB
მეტიჩარა	m ɛ AB tʼ i AB t ʃ ɑ AB r ɑ AB
მეტოქე	m ɛ AB tʼ ɔ AC kʰ ɛ AB
მეტრიანი	m ɛ AB tʼ r i AB ɑ AB n i AB
მეტრო	m ɛ AB tʼ r ɔ AC
მეტრონომი	m ɛ AB tʼ r ɔ AC n ɔ AC m i AB
მეტრული	m ɛ AB tʼ r u AC l i AB
მეტსახელი	m ɛ AB tʼ s ɑ AB x ɛ AB l i AB
მეტყევე	m ɛ AB tʼ qʼ ɛ AB v ɛ AB
მეტყევეობა	m ɛ AB tʼ qʼ ɛ AB v ɛ AB ɔ AC b ɑ AB
მეტყველება	m ɛ AB tʼ qʼ v ɛ AB l ɛ AB b ɑ AB
მეტყველი	m ɛ AB tʼ qʼ v ɛ AB l i AB
მეურვე	m ɛ AB u AC r v ɛ AB
მეურვეობა	m ɛ AB u AC r v ɛ AB ɔ AC b ɑ AB
მეურნეობრივი	m ɛ AB u AC r n ɛ AB ɔ AC b r i AB v i AB
მეუღლე	m ɛ AB u AC ɣ l ɛ AB
მეფე	m ɛ AB pʰ ɛ AB
მეფედ	m ɛ AB pʰ ɛ AB d
მეფემ	m ɛ AB pʰ ɛ AB m
მეფეს	m ɛ AB pʰ ɛ AB s
მეფით	m ɛ AB pʰ i AB tʰ
მეფის	m ɛ AB pʰ i AB s
მეფობა	m ɛ AB pʰ ɔ AC b ɑ AB
მეფსალმუნე	m ɛ AB pʰ s ɑ AB l m u AC n ɛ AB
მეფურად	m ɛ AB pʰ u AC r ɑ AB d
მეფური	m ɛ AB pʰ u AC r i AB
მეფუტკრე	m ɛ AB pʰ u AC tʼ kʼ r ɛ AB
მეფუტკრეობა	m ɛ AB pʰ u AC tʼ kʼ r ɛ AB ɔ AC b ɑ AB
მექალთანე	m ɛ AB kʰ ɑ AB l tʰ ɑ AB n ɛ AB
მექანიზაცია	m ɛ AB kʰ ɑ AB n i AB z ɑ AB t s i AB ɑ AB
მექანიზმი	m ɛ AB kʰ ɑ AB n i AB z m i AB
მექანიკა	m ɛ AB kʰ ɑ AB n i AB kʼ ɑ AB
მექანიკოსი	m ɛ AB kʰ ɑ AB n i AB kʼ ɔ AC s i AB
მექანიკურად	m ɛ AB kʰ ɑ AB n i AB kʼ u AC r ɑ AB d
მექანიკური	m ɛ AB kʰ ɑ AB n i AB kʼ u AC r i AB
მექნება	m ɛ AB kʰ n ɛ AB b ɑ AB
მექნისტიკურად	m ɛ AB kʰ n i AB s tʼ i AB kʼ u AC r ɑ AB d
მექრთამეობა	m ɛ AB kʰ r tʰ ɑ AB m ɛ AB ɔ AC b ɑ AB
მექსიკა	m ɛ AB kʰ s i AB kʼ ɑ AB
მექსიკური	m ɛ AB kʰ s i AB kʼ u AC r i AB
მეღორე	m ɛ AB ɣ ɔ AC r ɛ AB
მეყვავილე	m ɛ AB qʼ v ɑ AB v i AB l ɛ AB
მეყვავილეობა	m ɛ AB qʼ v ɑ AB v i AB l ɛ AB ɔ AC b ɑ AB
მეშახტე	m ɛ AB ʃ ɑ AB x tʼ ɛ AB
მეშველზმნიანი	m ɛ AB ʃ v ɛ AB l z m n i AB ɑ AB n i AB
მეშვიდე	m ɛ AB ʃ v i AB d ɛ AB
მეშვიდედ	m ɛ AB ʃ v i AB d ɛ AB d
მეშურდულე	m ɛ AB ʃ u AC r d u AC l ɛ AB
მეშუშე	m ɛ AB ʃ u AC ʃ ɛ AB
მეჩეთი	m ɛ AB t ʃ ɛ AB tʰ i AB
მეჩეჩზე	m ɛ AB t ʃ ɛ AB t ʃ z ɛ AB
მეჩვიდმეტე	m ɛ AB t ʃ v i AB d m ɛ AB tʼ ɛ AB
მეჩირაღდნე	m ɛ AB t ʃ i AB r ɑ AB ɣ d n ɛ AB
მეჩუქურთმე	m ɛ AB t ʃ u AC kʰ u AC r tʰ m ɛ AB
მეცამეტე	m ɛ AB t s ɑ AB m ɛ AB tʼ ɛ AB
მეცენატი	m ɛ AB t s ɛ AB n ɑ AB tʼ i AB
მეცნიერება	m ɛ AB t s n i AB ɛ AB r ɛ AB b ɑ AB
მეცნიერები	m ɛ AB t s n i AB ɛ AB r ɛ AB b i AB
მეცნიერი	m ɛ AB t s n i AB ɛ AB r i AB
მეცნიერულად	m ɛ AB t s n i AB ɛ AB r u AC l ɑ AB d
