ँ	ə̃
बहिष्कार	b ə ɦ ɪ ʃ k äː ɾ
बहुचर्चित	b ɔ ɦ ɔ t ʃ ə ɾ t ʃ ɪ t̪
बहुजन	b ɔ ɦ ɔ d ʒ ə̃ n̪
बहुत	b ɔ ɦ ɔ t̪
बहुदलीय	b ɔ ɦ ɔ d̪ ə l̪ iː j
बहुपद	b ɔ ɦ ɔ p ə d̪
बहुपयोगी	b ɔ ɦ ɔ p j oː ɡ iː
बहुफलक	b ɔ ɦ ɔ pʰ ə l̪ ə k
बहुभाषीय	b ə ɦ u bʱ ɑː ʂ i j ə
बहुभुज	b ɔ ɦ ɔ bʱ ʊ d ʒ
बहुराष्ट्रीय	b ɔ ɦ ɔ ɾ äː ʃ ʈ ɾ iː j
बहुरूपिया	b ɔ ɦ ɔ ɾ uː p i j äː
बहुवचन	b ɔ ɦ ɔ ʋ ə t ʃ ə̃ n̪
बहुविवाह	b ɔ ɦ ɔ ʋ ɪ ʋ äː ɦ
बहुव्रीहि	b ɔ ɦ ɔ ʋ ɾ iː ɦ iː
बहुसंख्यक	b ɔ ɦ ɔ s̪ ə̃ ŋ kʰ j ə k
बहुसंख्या	b ɔ ɦ ɔ s̪ ə̃ ŋ kʰ j äː
बाँग	b ä̃ː ŋ ɡ
बाँचना	b ä̃ː t ʃ n̪ äː
बाँझ	b ä̃ː n̪ d ʒʱ
बाँटना	b ä̃ː ʈ n̪ äː
बाँध	b ä̃ː n̪ d̪ʱ
बाँधना	b ä̃ː n̪ d̪ʱ n̪ äː
बाँस	b ä̃ː s̪
बाँसुरी	b ä̃ː s̪ ʊ ɾ iː
बाँह	b ä̃ː ɦ
बांग्लादेश	b ä̃ː ŋ ɡ l̪ äː d̪ eː ʃ
बांचना	b ä̃ː t ʃ n̪ äː
बांझ	b ä̃ː n̪ d ʒʱ
बांटना	b ä̃ː ʈ n̪ äː
बांधव	b ä̃ː n̪ d̪ʱ ə ʋ
बांस	b ä̃ː n̪ s̪
बांह	b ä̃ː ɦ
बाई	b äː iː
बाईस	b äː iː s̪
बाएँ	b äː ẽː
बाक़ायदा	b äː q äː j d̪ äː
बाक़ी	b äː q iː
बाकी	b äː q iː
बाकू	b äː k uː
बाख़ुदा	b äː x ʊ d̪ äː
बाग	b äː ɣ
बाग़	b äː ɣ
बाघ	b äː ɡʱ
बाछ	b äː t ʃʰ
बाजरा	b äː d ʒ ɾ äː
बाज़	b äː z
बाज़ारी	b äː z äː ɾ iː
बाज़ीचा	b äː z iː t ʃ äː
बाज़ू	b äː z uː
बाजा	b äː d ʒ äː
बाजी	b äː d ʒ iː
बाट	b äː ʈ
बाटना	b äː ʈ n̪ äː
बाड़ी	b äː ɽ iː
बाढ़	b äː ɽʱ
बाण	b ä̃ː ɳ
बात	b äː t̪
बातचीत	b äː t̪̚ t ʃ iː t̪
बाती	b äː t̪ iː
बातूनी	b äː t̪ uː n̪ iː
बाथरूम	b äː t̪ʰ ɾ ũː m
बाद	b äː d̪
बादल	b äː d̪ ə l̪
बादशाह	b äː d̪ ʃ äː ɦ
बादशाहत	b äː d̪ ʃ äː ɦ ə t̪
बादाम	b äː d̪ ä̃ː m
बाधा	b äː d̪ʱ äː
बाध्य	b äː d̪ʱ j
बान	b ä̃ː n̪
बानवे	b ä̃ː n̪ w eː
बाप	b äː p
बापू	b äː p uː
बाप्तिस्मा	b äː p t̪ ɪ s̪ m äː
बाबत	b äː b ə t̪
बाबर	b äː b ə ɾ
बाबा	b äː b äː
बाबू	b äː b uː
बायाँ	b äː j ä̃ː
बार	b äː ɾ
बारह	b äː ɾ ə ɦ
बारहखड़ी	b äː ɾ ɛ ɦ kʰ ə ɽ iː
बारात	b äː ɾ äː t̪
बारिक	b äː ɾ ɪ k
बारिश	b äː ɾ ɪ ʃ
बारी	b äː ɾ iː
बारीक	b äː ɾ iː k
बारूद	b äː ɾ uː d̪
बारूदख़ाना	b äː ɾ uː d̪ x äː n̪ äː
बारे	b äː ɾ eː
बाल	b äː l̪
बालक	b äː l̪ ə k
बालकेलि	b äː l̪ k eː l̪ iː
बालक्रीड़ा	b äː l̪ ə k ɾ iː ɽ äː
बालटी	b äː l̪ ʈ iː
बालतोड	b äː l̪ t̪ oː ɽ
बालतोड़	b äː l̪ t̪ oː ɽ
बालपन	b äː l̪ p ə̃ n̪
बालिका	b äː l̪ ɪ k äː
बालिश	b äː l̪ ɪ ʃ
बालू	b äː l̪ uː
बाल्टी	b äː l̪ ʈ iː
बाल्यावस्था	b äː l̪ j äː ʋ ə s̪ t̪ʰ äː
बावजूद	b äː ʋ d ʒ uː d̪
बावन	b äː ʋ ə̃ n̪
बावरची	b äː ʋ ə ɾ t ʃ iː
बावला	b äː ʋ l̪ äː
बाशिंदा	b äː ʃ ɪ̃ n̪ d̪ äː
बासठ	b äː s̪ ə ʈʰ
बासन	b äː s̪ ə̃ n̪
बासमती	b äː s̪ m ə t̪ iː
बाहर	b äː ɦ ə ɾ
बाहुबली	b äː ɦ ʊ b ə l̪ iː
बाह्य	b äː ɦ j
बिंदास	b ɪ̃ n̪ d̪ äː s̪
बिंदी	b ɪ̃ n̪ d̪ iː
बिंदु	b ɪ̃ n̪ d̪ uː
बिकवाल	b ɪ k w äː l̪
बिकाऊ	b ɪ k äː uː
बिगड़ना	b ɪ ɡ ə ɽ n̪ äː
बिगुल	b ɪ ɡ ʊ l̪
बिचला	b ɪ t ʃ l̪ äː
बिचौलिया	b ɪ t ʃ ɔː l̪ i j äː
बिच्छू	b ɪ t̚ t ʃʰ uː
बिछड़ना	b ɪ t ʃʰ ə ɽ n̪ äː
बिछना	b ɪ t ʃʰ n̪ äː
बिछवाना	b ɪ t ʃʰ ʋ äː n̪ äː
बिछाना	b ɪ t ʃʰ äː n̪ äː
बिछौना	b ɪ t ʃʰ ɔː n̪ äː
बिजली	b ɪ d ʒ l̪ iː
बिजलीकरण	b ɪ d ʒ l̪ iː k ə ɾ ə̃ ɳ
बिजलीघर	b ɪ d ʒ l̪ iː ɡʱ ə ɾ
बिटकॉइन	b ɪ ʈ k ɔ ɪ̃ n̪
बिटिया	b ɪ ʈ i j äː
बिताना	b ɪ t̪ äː n̪ äː
बित्ता	b ɪ t̪̚ t̪ äː
बिन	b ɪ̃ n̪
बिनती	b ɪ̃ n̪ t̪ iː
बिना	b ɪ n̪ äː
बिबाद	b ɪ b äː d̪
बिमारी	b ɪ m äː ɾ iː
बियाबान	b i j äː b ä̃ː n̪
बिरयानी	b ɪ ɾ j äː n̪ iː
बिरादर	b ɪ ɾ äː d̪ ə ɾ
बिल	b ɪ l̪
बिलखना	b ɪ l̪ ə kʰ n̪ äː
बिलोना	b ɪ l̪ oː n̪ äː
बिलौटा	b ɪ l̪ ɔː ʈ äː
बिल्कुल	b ɪ l̪ k ʊ l̪
बिल्ला	b ɪ l̪ l̪ äː
बिल्ली	b ɪ l̪ l̪ iː
बिश्नोई	b ɪ ʃ n̪ oː iː
बिसरना	b ɪ s̪ ə ɾ n̪ äː
बिस्कुट	b ɪ s̪ k ʊ ʈ
बिस्तर	b ɪ s̪ t̪ ə ɾ
बिस्मिल्ला	b ɪ s̪ m ɪ l̪ l̪ äː
बिहार	b ɪ ɦ äː ɾ
बिहारी	b ɪ ɦ äː ɾ iː
बीकानेर	b iː k äː n̪ eː ɾ
बीघा	b iː ɡʱ äː
बीजांड	b iː d ʒ ä̃ː ɳ ɖ
बीजांडासन	b iː d ʒ ä̃ː ɳ ɖ äː s̪ ə̃ n̪
बीड़ा	b iː ɽ äː
बीतना	b iː t̪̚ n̪ äː
बीमा	b iː m äː
बीमार	b iː m äː ɾ
बीमारी	b iː m äː ɾ iː
बीरगंज	b iː ɾ ɡ ə̃ n̪ d ʒ
बीवी	b iː v iː
बीस	b iː s̪
बुंदेलखंड	b ʊ̃ n̪ d̪ eː l̪ kʰ ə̃ ɳ ɖ
बुंदेली	b ʊ̃ n̪ d̪ eː l̪ iː
बुआ	b ʊ äː
बुआई	b ʊ äː iː
बुज़दिल	b ʊ z d̪ ɪ l̪
बुझाना	b ʊ d ʒʱ äː n̪ äː
बुटवल	b ʊ ʈ w ə l̪
बुड्ढा	b ʊ ɖ̚ ɖʱ äː
बुड्ढी	b ʊ ɖ̚ ɖʱ iː
बुढ़ाना	b ʊ ɽʱ äː n̪ äː
बुढ़ापा	b ʊ ɽʱ äː p äː
बुद्धि	b ʊ d̪̚ d̪ʱ iː
बुद्धिजीवी	b ʊ d̪̚ d̪ʱ ɪ d ʒ iː ʋ iː
बुद्धिमान	b ʊ d̪̚ d̪ʱ ɪ m ä̃ː n̪
बुधवार	b ʊ d̪ʱ ʋ äː ɾ
बुनना	b ʊ̃ n̪ n̪ äː
बुनियाद	b ʊ n̪ i j äː d̪
बुभुक्षा	b ʊ bʱ ʊ k ʃ äː
बुभुक्षित	b ʊ bʱ ʊ k ʃ ɪ t̪
बुरक़ा	b ʊ ɾ q äː
बुर्जुआ	b ʊ ɾ d ʒ ʊ äː
बुलंद	b ʊ l̪ ə̃ n̪ d̪
बुलंदशहर	b ʊ l̪ ə̃ n̪ d̪ ʃ ɛ ɦ ɛ ɾ
बुलबुल	b ʊ l̪ b ʊ l̪
बुलबुला	b ʊ l̪ b ʊ l̪ äː
बुलाकर	b ʊ l̪ äː k ə ɾ
बुलाना	b ʊ l̪ äː n̪ äː
बुलावा	b ʊ l̪ äː ʋ äː
बुलेटिन	b ʊ l̪ eː ʈ ɪ̃ n̪
बुल्गारिया	b ʊ l̪ ɡ äː ɾ i j äː
बुल्ला	b ʊ l̪ l̪ äː
बुसान	b ʊ s̪ ä̃ː n̪
बूँद	b ũː n̪ d̪
बूंद	b ũː n̪ d̪
बूझना	b uː d ʒʱ n̪ äː
बूढ़ा	b uː ɽʱ äː
बृहस्पति	b ɾ ɪ ɦ ə s̪ p ə t̪ iː
बेंच	b ẽː n̪ t ʃ
बेअक़्ल	b eː ə q l̪
बेइज़्ज़ती	b eː ɪ d̚ d ʒ ə t̪ iː
बेक़रार	b eː q ə ɾ äː ɾ
बेक़ाबू	b eː q äː b uː
बेकार	b eː k äː ɾ
बेगम	b eː ɡ ə̃ m
बेगाना	b eː ɡ äː n̪ äː
बेगार	b eː ɡ äː ɾ
बेगुनाह	b eː ɡ ʊ n̪ äː ɦ
बेचैन	b eː t ʃ ɛ̃ː n̪
बेज़बान	b eː z b ä̃ː n̪
बेजान	b eː d ʒ ä̃ː n̪
बेटा	b eː ʈ äː
बेड़ा	b eː ɽ äː
बेतवा	b eː t̪ w äː
बेतहाशा	b eː t̪ ə ɦ äː ʃ äː
बेताब	b eː t̪ äː b
बेतुका	b eː t̪ ʊ k äː
बेदख़ल	b eː d̪ ə x l̪
बेदख़ली	b eː d̪ ə x l̪ iː
बेनतीजा	b eː n̪ ə t̪ iː d ʒ äː
बेबस	b eː b ə s̪
बेबाक़	b eː b äː q
बेबुनियाद	b eː b ʊ n̪ i j äː d̪
बेमेल	b eː m eː l̪
बेरौनक़	b eː ɾ ɔː n̪ ə q
बेलचा	b eː l̪ t ʃ äː
बेलन	b eː l̪ ə̃ n̪
बेलना	b eː l̪ n̪ äː
बेलनाकार	b eː l̪ ə̃ n̪ äː k äː ɾ
बेलफ़ास्ट	b eː l̪ pʰ äː s̪ ʈ
बेलारूस	b eː l̪ äː ɾ uː s̪
बेल्जियम	b eː l̪ d ʒ i j ə̃ m
बेवफ़ा	b eː ʋ ə pʰ äː
बेवा	b eː ʋ äː
बेशक़ीमती	b eː ʃ q ĩː m t̪ iː
बेशुमार	b eː ʃ ʊ m äː ɾ
बेसन	b eː s̪ ə̃ n̪
बेसबॉल	b eː s̪ b ɔ l̪
बेस्वाद	b eː s̪ ʋ äː d̪
बेहतर	b ɛ ɦ t̪ ə ɾ
बेहतरीन	b eː ɦ t̪ ə ɾ ĩː n̪
बैंक	b ɛ̃ː ŋ k
बैंगन	b ɛ̃ː ŋ ɡ ə̃ n̪
बैंगनी	b ɛ̃ː ŋ ɡ n̪ iː
बैठकबाज़	b ɛː ʈʰ ə k b äː z
बैठना	b ɛː ʈʰ n̪ äː
बैतनिय्याह	b ɛː t̪ ə n̪ ɪ j j äː ɦ
बैतलहम	b ɛː t̪ l̪ ɛ ɦ ɛ̃ m
बैरा	b ɛː ɾ äː
बैल	b ɛː l̪
बैलगाड़ी	b ɛː l̪ ɡ äː ɽ iː
बैसाखी	b ɛː s̪ äː kʰ iː
बॉलीवुड	b ɔ l̪ iː ʋ ʊ ɖ
बोझिल	b oː d ʒʱ ɪ l̪
बोतल	b oː t̪ ə l̪
बोतलबंद	b oː t̪ ə l̪ b ə̃ n̪ d̪
बोतली	b oː t̪ l̪ iː
बोत्सवाना	b oː t̪ s̪ ʋ äː n̪ äː
बोना	b oː n̪ äː
बोरियत	b oː ɾ i j ə t̪
बोल	b oː l̪
बोलना	b oː l̪ n̪ äː
बोलने	b oː l̪ n̪ eː
बोलिए	b oː l̪ ɪ eː
बोलिविया	b oː l̪ ɪ ʋ i j äː
बोली	b oː l̪ iː
बोलो	b oː l̪ oː
बोहरान	b oː ɦ ɾ ä̃ː n̪
बौछाड़	b ɔː t ʃʰ äː ɽ
बौछार	b ɔː t ʃʰ äː ɾ
बौड़म	b ɔː ɽ ə̃ m
बौना	b ɔː n̪ äː
ब्याज	b j äː d ʒ
ब्यान	b j ä̃ː n̪
ब्याह	b j äː ɦ
ब्याहना	b j äː ɦ n̪ äː
ब्योंत	b j õː n̪ t̪
ब्यौरा	b j ɔː ɾ äː
ब्रह्म	b ɾ ɛ ɦ m
ब्रह्मदेश	b ɾ ɛ ɦ m ə d̪ eː ʃ
ब्रह्मा	b ɾ ɛ ɦ m äː
ब्रह्मांड	b ɾ ɛ ɦ m ä̃ː ɳ ɖ
ब्रह्माण्ड	b ɾ ɛ ɦ m ä̃ː ɳ ɖ
ब्राज़िल	b ɾ äː z ɪ l̪
ब्राह्मण	b ɾ äː ɦ m ə̃ ɳ
ब्राह्मणेतर	b ɾ äː ɦ m ə ɳ eː t̪ ə ɾ
ब्राह्मी	b ɾ äː ɦ m iː
ब्रिटेन	b ɾ ɪ ʈ ẽː n̪
ब्रिस्बेन	b ɾ ɪ s̪ b ẽː n̪
ब्रुनेई	b ɾ ʊ n̪ eː iː
ब्रूनेई	b ɾ uː n̪ eː iː
ब्रैंपटन	b ɾ ɛ̃ː m p ʈ ə̃ n̪
भँवरा	bʱ ə̃ ʋ ɾ äː
भंकस	bʱ ə̃ ŋ k ə s̪
भंग	bʱ ə̃ ŋ ɡ
भंजक	bʱ ə̃ n̪ d ʒ ə k
भंडा	bʱ ə̃ ɳ ɖ äː
भंडाफोड़	bʱ ə̃ ɳ ɖ äː pʰ oː ɽ
भंडार	bʱ ə̃ ɳ ɖ äː ɾ
भगनासा	bʱ ə ɡ n̪ äː s̪ äː
भगफल	bʱ ə ɡ pʰ ə l̪
भगवा	bʱ ə ɡ ʋ äː
भगवाकरण	bʱ ə ɡ ʋ äː k ə ɾ ə̃ ɳ
भगवान	bʱ ə ɡ ʋ ä̃ː n̪
भगवान्	bʱ ə ɡ ʋ ä̃ː n̪
भजन	bʱ ə d ʒ ə̃ n̪
भजमन	bʱ ə d ʒ m ə̃ n̪
भटकना	bʱ ə ʈ ə k n̪ äː
भटनागर	bʱ ə ʈ n̪ äː ɡ ə ɾ
भटूरा	bʱ ə ʈ uː ɾ äː
भड़कना	bʱ ə ɽ ə k n̪ äː
भड़काऊ	bʱ ə ɽ k äː uː
भड़काना	bʱ ə ɽ k äː n̪ äː
भड़कीला	bʱ ə ɽ k iː l̪ äː
भतीजा	bʱ ə t̪ iː d ʒ äː
भत्ता	bʱ ə t̪̚ t̪ äː
भद्दा	bʱ ə d̪̚ d̪ äː
भयाक्रांत	bʱ ə j äː k ɾ ä̃ː n̪ t̪
भयावह	bʱ ə j äː ʋ ə ɦ
भरण	bʱ ə ɾ ə̃ ɳ
भरना	bʱ ə ɾ n̪ äː
भरनी	bʱ ə ɾ n̪ iː
भरोसा	bʱ ə ɾ oː s̪ äː
भरोसेमंद	bʱ ə ɾ oː s̪ eː m ə̃ n̪ d̪
भर्त्सना	bʱ ə ɾ t̪ s̪ ə n̪ äː
भला	bʱ ə l̪ äː
भली	bʱ ə l̪ iː
भले	bʱ ə l̪ eː
भवन	bʱ ə ʋ ə̃ n̪
भविष्य	bʱ ə ʋ ɪ ʃ j ə
भविष्यवाणी	bʱ ə ʋ ɪ ʃ j ə ʋ äː ɳ iː
भाँग	bʱ ä̃ː ŋ ɡ
भाँजना	bʱ ä̃ː n̪ d ʒ n̪ äː
भाँड़	bʱ ä̃ː ɽ
भाँति	bʱ ä̃ː n̪ t̪ iː
भांग	bʱ ä̃ː ŋ ɡ
भांजा	bʱ ä̃ː n̪ d ʒ äː
भांजी	bʱ ä̃ː n̪ d ʒ iː
भाई	bʱ äː iː
भाईचारा	bʱ äː iː t ʃ äː ɾ äː
भाखा	bʱ äː kʰ äː
भाग	bʱ äː ɡ
भागना	bʱ äː ɡ n̪ äː
भागवत	bʱ äː ɡ ʋ ə t̪
भागा	bʱ äː ɡ äː
भागी	bʱ äː ɡ iː
भागीदार	bʱ äː ɡ iː d̪ äː ɾ
भागे	bʱ äː ɡ eː
भाग्यवान	bʱ äː ɡ j ə ʋ ä̃ː n̪
भाग्यशाली	bʱ äː ɡ j ə ʃ äː l̪ iː
भाजन	bʱ äː d ʒ ə̃ n̪
भाजपा	bʱ äː d ʒ p äː
भाटक	bʱ äː ʈ ə k
भाड़	bʱ äː ɽ
भाड़ा	bʱ äː ɽ äː
भात	bʱ äː t̪
भाद्र	bʱ äː d̪ ɾ
भाना	bʱ äː n̪ äː
भाप	bʱ äː p
भाभी	bʱ äː bʱ iː
भार	bʱ äː ɾ
भारत	bʱ äː ɾ ə t̪
भारतीय	bʱ äː ɾ t̪ iː j
भारा	bʱ äː ɾ äː
भारी	bʱ äː ɾ iː
भारोत्तोलक	bʱ äː ɾ oː t̪̚ t̪ oː l̪ ə k
भारोत्तोलन	bʱ äː ɾ oː t̪̚ t̪ oː l̪ ə̃ n̪
भारोपीय	bʱ äː ɾ oː p iː j
भालू	bʱ äː l̪ uː
भाव	bʱ äː ʋ
भावनगर	bʱ äː ʋ n̪ ə ɡ ə ɾ
भावना	bʱ äː ʋ n̪ äː
भावनात्मक	bʱ äː ʋ n̪ äː t̪ m ə k
भावमय	bʱ äː ʋ m ə j
भावुक	bʱ äː ʋ ʊ k
भावुकता	bʱ äː ʋ ʊ k t̪ äː
भाषण	bʱ äː ʃ ə̃ ɳ
भाषा	bʱ äː ʃ äː
भाषाबोध	bʱ äː ʃ äː b oː d̪ʱ
भाषाविज्ञान	bʱ äː ʃ äː ʋ ɪ ɡ j ä̃ː n̪
भाषाविद्	bʱ äː ʃ äː ʋ ɪ d̪
भाषिक	bʱ äː ʃ ɪ k
भास्कर	bʱ äː s̪ k ə ɾ
भिंडी	bʱ ɪ̃ ɳ ɖ iː
भिक्षा	bʱ ɪ k ʃ äː
भिखारी	bʱ ɪ kʰ äː ɾ iː
भिड़ना	bʱ ɪ ɽ n̪ äː
भिन्न	bʱ ɪ̃ n̪ n̪
भिन्नता	bʱ ɪ̃ n̪ n̪ t̪ äː
भिया	bʱ i j äː
भिषग्माता	bʱ ɪ ʃ ə ɡ m äː t̪ äː
भिषग्वर	bʱ ɪ ʃ ə ɡ ʋ ə ɾ
भीगा	bʱ iː ɡ äː
भीड़भाड़	bʱ iː ɽ bʱ äː ɽ
भीमसरट	bʱ ĩː m s̪ ə ɾ ə ʈ
भीषण	bʱ iː ʃ ə̃ ɳ
भुगतना	bʱ ʊ ɡ ə t̪̚ n̪ äː
भुगतान	bʱ ʊ ɡ t̪ ä̃ː n̪
भुगताना	bʱ ʊ ɡ t̪ äː n̪ äː
भुजंग	bʱ ʊ d ʒ ə̃ ŋ ɡ
भुजा	bʱ ʊ d ʒ äː
भुट्टा	bʱ ʊ ʈ̚ ʈ äː
भुवन	bʱ ʊ ʋ ə̃ n̪
भूकंप	bʱ uː k ə̃ m p
भूकम्प	bʱ uː k ə̃ m p
भूखा	bʱ uː kʰ äː
भूगोल	bʱ uː ɡ oː l̪
भूचाल	bʱ uː t ʃ äː l̪
भूजल	bʱ uː d ʒ ə l̪
भूटान	bʱ uː ʈ ä̃ː n̪
भूतकाल	bʱ uː t̪ k äː l̪
भूतनी	bʱ uː t̪̚ n̪ iː
भूनना	bʱ ũː n̪ n̪ äː
भूभाग	bʱ uː bʱ äː ɡ
भूमंडल	bʱ uː m ə̃ ɳ ɖ ə l̪
भूमंडलीकरण	bʱ uː m ə̃ ɳ ɖ ə l̪ iː k ə ɾ ə̃ ɳ
भूमंडलीय	bʱ uː m ə̃ ɳ ɖ ə l̪ iː j
भूमिका	bʱ uː m ɪ k äː
भूयाति	bʱ uː j äː t̪ iː
भूरा	bʱ uː ɾ äː
भूराजनीति	bʱ uː ɾ äː d ʒ n̪ iː t̪ iː
भूल	bʱ uː l̪
भूलभुलैया	bʱ uː l̪ bʱ ʊ l̪ ə̯ i j äː
भूविज्ञान	bʱ uː ʋ ɪ ɡ j ä̃ː n̪
भूसा	bʱ uː s̪ äː
भूस्खलन	bʱ uː s̪ kʰ ə l̪ ə̃ n̪
भेंट	bʱ ẽː ɳ ʈ
भेजना	bʱ eː d ʒ n̪ äː
भेजा	bʱ eː d ʒ äː
भेदना	bʱ eː d̪̚ n̪ äː
भेदभाव	bʱ eː d̪ bʱ äː ʋ
भेलपूरी	bʱ eː l̪ p uː ɾ iː
भेषज	bʱ eː ʃ ə d ʒ
भैंस	bʱ ɛ̃ː s̪
भैंसा	bʱ ɛː s̪ äː
भैया	bʱ ə̯ i j äː
भोंकना	bʱ õː ŋ k n̪ äː
भोगना	bʱ oː ɡ n̪ äː
भोजन	bʱ oː d ʒ ə̃ n̪
भोजनालय	bʱ oː d ʒ n̪ äː l̪ ə j
भोपाल	bʱ oː p äː l̪
भोला	bʱ oː l̪ äː
भोलानाथ	bʱ oː l̪ äː n̪ äː t̪ʰ
भोलेपन	bʱ oː l̪ eː p ə̃ n̪
भोसड़ी	bʱ oː s̪ ɽ iː
भौंरा	bʱ ɔ̃ː ɾ äː
भौकाल	bʱ ɔː k äː l̪
भौगोलिक	bʱ ɔː ɡ oː l̪ ɪ k
भौतिकवाद	bʱ ɔː t̪ ɪ k w äː d̪
भ्रम	bʱ ɾ ə̃ m
भ्रमण	bʱ ɾ ə m ə̃ ɳ
भ्रष्टाचार	bʱ ɾ ə ʃ ʈ äː t ʃ äː ɾ
भ्राजातु	bʱ ɾ äː d ʒ äː t̪ uː
भ्राता	bʱ ɾ äː t̪ äː
भ्रामकता	bʱ ɾ äː m ə k t̪ äː
भ्रूण	bʱ ɾ ũː ɳ
भ्रूणता	bʱ ɾ ũː ɳ t̪ äː
मँगनी	m ə̃ ŋ ɡ n̪ iː
मँगवाना	m ə̃ ŋ ɡ ʋ äː n̪ äː
मँगेतर	m ə̃ ŋ ɡ eː t̪ ə ɾ
मंगल	m ə̃ ŋ ɡ ə l̪
मंगलवार	m ə̃ ŋ ɡ ə l̪ ʋ äː ɾ
मंगवाना	m ə̃ ŋ ɡ ʋ äː n̪ äː
मंगोलिया	m ə̃ ŋ ɡ oː l̪ i j äː
मंच	m ə̃ n̪ t ʃ
मंचूरिया	m ə̃ n̪ t ʃ uː ɾ i j äː
मंजन	m ə̃ n̪ d ʒ ə̃ n̪
मंज़िल	m ə̃ z ɪ l̪
मंडप	m ə̃ ɳ ɖ ə p
मंडराना	m ə̃ ɳ ɖ ɾ äː n̪ äː
मंडलवक	m ə̃ ɳ ɖ ə l̪ ə ʋ ə k
मंडलिका	m ə̃ ɳ ɖ ə l̪ ɪ k äː
मंत्र	m ə̃ n̪ t̪ ɾ
मंत्रालय	m ə̃ n̪ t̪ ɾ äː l̪ ə j
मंत्रिमंडल	m ə̃ n̪ t̪ ɾ ɪ m ə̃ ɳ ɖ ə l̪
मंत्री	m ə̃ n̪ t̪ ɾ iː
मंदी	m ə̃ n̪ d̪ iː
मंशा	m ə̃ n̪ ʃ äː
मंसब	m ə̃ n̪ s̪ ə b
मअनी	m ə ə n̪ iː
मकड़ा	m ə k ɽ äː
मकदूनिया	m ə q d̪ uː n̪ i j äː
मक़दूनिया	m ə q d̪ uː n̪ i j äː
मक़बरा	m ə q b ə ɾ äː
मक़बूल	m ə q b uː l̪
मक़सद	m ə q s̪ ə d̪
मकान	m ə k ä̃ː n̪
मक्का	m ə k̚ k äː
मक्कार	m ə k̚ k äː ɾ
मक्खन	m ə k̚ kʰ ə̃ n̪
मक्खनफल	m ə k̚ kʰ ə̃ n̪ pʰ ə l̪
मख़मल	m ə x m ə l̪
मखानी	m ə kʰ äː n̪ iː
मखीजा	m ə kʰ iː d ʒ äː
मगरमच्छ	m ə ɡ ə ɾ m ə t̚ t ʃʰ
मग्न	m ə ɡ n̪
मचलना	m ə t ʃ ə l̪ n̪ äː
मचाना	m ə t ʃ äː n̪ äː
मच्छ	m ə t̚ t ʃʰ
मच्छर	m ə t̚ t ʃʰ ə ɾ
मच्छी	m ə t̚ t ʃʰ iː
मछली	m ə t ʃʰ l̪ iː
मछलीपालन	m ə t ʃʰ l̪ iː p äː l̪ ə̃ n̪
मछुआ	m ə t ʃʰ ʊ äː
मछुआरा	m ə t ʃʰ ʊ äː ɾ äː
मजनू	m ə d ʒ n̪ uː
मजनूँ	m ə d ʒ n̪ ũː
मजमा	m ə d ʒ m äː
मजमून	m ə z m ũː n̪
मजलिस	m ə d ʒ l̪ ɪ s̪
मज़लूम	m ə z l̪ ũː m
मज़ा	m ə z äː
मज़ाक़	m ə z äː q
मज़ाक़िया	m ə z äː q i j äː
मज़ार	m ə z äː ɾ
मजाल	m ə d ʒ äː l̪
मझधार	m ə d ʒʱ d̪ʱ äː ɾ
मटकना	m ə ʈ ə k n̪ äː
मटका	m ə ʈ k äː
मटकाना	m ə ʈ k äː n̪ äː
मटमैला	m ə ʈ m ɛː l̪ äː
मट्टी	m ə ʈ̚ ʈ iː
मड़ुआ	m ə ɽ ʊ äː
मण्डलिका	m ə̃ ɳ ɖ ə l̪ ɪ k äː
मतगणना	m ə t̪ ɡ ə̃ ɳ n̪ äː
मतदाता	m ə t̪̚ d̪ äː t̪ äː
मतदान	m ə t̪̚ d̪ ä̃ː n̪
मतलब	m ə t̪ l̪ ə b
मतलबी	m ə t̪ l̪ ə b iː
मथुरा	m ə t̪ʰ ʊ ɾ äː
मददगार	m ə d̪ ə d̪ ɡ äː ɾ
मदमाता	m ə d̪ m äː t̪ äː
मदार	m ə d̪ äː ɾ
मदिरा	m ə d̪ ɪ ɾ äː
मद्देनज़र	m ə d̪̚ d̪ eː n̪ ə z ə ɾ
मद्धम	m ə d̪̚ d̪ʱ ə̃ m
मद्यपान	m ə d̪ j ə p ä̃ː n̪
मद्यसार	m ə d̪ j ə s̪ äː ɾ
मद्रासी	m ə d̪ ɾ äː s̪ iː
मधुमक्खी	m ə d̪ʱ ʊ m ə k̚ kʰ iː
मधुशाला	m ə d̪ʱ ʊ ʃ äː l̪ äː
मध्यांतर	m ə d̪ʱ j ä̃ː n̪ t̪ ə ɾ
मध्यावकाश	m ə d̪ʱ j äː ʋ k äː ʃ
मध्यावधि	m ə d̪ʱ j äː ʋ ə d̪ʱ iː
मन	m ə̃ n̪
मनमाना	m ə̃ n̪ m äː n̪ äː
